Gene	k_i	C_i
fruK	4	0.666666666667
fsr	0	0
ftsH	6	0.733333333333
ftsW	4	0.833333333333
fusA	0	0
gabD	0	0
gcp	0	0
glgA	0	0
glgC	7	0.380952380952
glgP	4	0.0
glgX	2	1.0
glmM	2	1.0
glmS	4	0.5
glpE	0	0
glpF	1	0
glpG	3	0.666666666667
glpK	2	1.0
glpR	6	1.0
glpT	8	0.285714285714
gltB	1	0
gltL	0	0
gor	1	0
gspF	0	0
gspG	1	0
gyrB	0	0
hemA	0	0
hemL	2	0.0
hrpA	1	0
hsdR	0	0
hslU	2	1.0
hupB	14	0.252747252747
hycE	0	0
hyfG	0	0
hypE	3	1.0
iclR	1	0
ilvE	0	0
ilvG	1	0
ilvL	3	0.666666666667
infB	4	0.5
ispH	2	1.0
kefC	0	0
kpsD	181	0.0128299570289
kpsE	11	0.290909090909
kpsM	7	0.47619047619
kpsT	9	0.5
leuV	0	0
leuX	0	0
livJ	0	0
lon	3	1.0
lptB	1	0
lsrG	2	1.0
lysP	4	0.833333333333
lysR	0	0
malQ	0	0
manX	0	0
manZ	0	0
mdoG	3	0.333333333333
mdoH	6	0.6
mdtE	0	0
metA	5	0.4
metH	6	0.6
metJ	6	0.266666666667
metW	5	0.8
mhpR	0	0
motB	1	0
mraY	0	0
mraZ	4	0.5
mrdA	3	0.666666666667
mrdB	10	0.266666666667
mreB	2	1.0
mreC	5	0.5
mreD	9	0.138888888889
murA	0	0
murE	0	0
mutL	0	0
nagD	5	0.8
napA	0	0
narG	0	0
narY	0	0
nrdR	0	0
nuoA	0	0
nuoM	1	0
nuoN	2	1.0
nusA	8	0.25
ompR	7	0.333333333333
orn	2	1.0
oxyR	3	1.0
pbpG	1	0
pck	2	0.0
pdhR	4	0.666666666667
pgaB	4	1.0
phnD	0	0
pitB	3	1.0
pmbA	0	0
polB	0	0
potD	0	0
poxA	0	0
ppiA	0	0
ppk	4	0.666666666667
pqiB	0	0
prc	0	0
prfA	0	0
proM	0	0
proQ	0	0
proW	1	0
pta	2	1.0
puuD	0	0
puuP	4	1.0
pyrB	1	0
rep	5	0.6
rhlB	2	1.0
rho	1	0
rhsA	0	0
rhsB	0	0
rluB	4	0.833333333333
rmlA	0	0
rmlB	3	1.0
rnc	0	0
rne	0	0
rplF	2	1.0
rpoA	4	0.333333333333
rpoB	1	0
rpoC	2	1.0
rpoD	7	0.380952380952
rpoH	1	0
rpoS	5	0.4
rpsA	6	0.333333333333
rpsC	1	0
rpsR	3	1.0
rrlB	0	0
rsmC	1	0
rssB	4	0.5
rtn	0	0
sbcC	4	0.833333333333
sbmA	0	0
sdaC	0	0
secF	6	0.4
sgrR	0	0
slyA	3	0.666666666667
speB	0	0
sucB	0	0
sufD	0	0
sufI	8	0.678571428571
tap	0	0
thiI	1	0
thrA	7	0.428571428571
thrB	1	0
thrS	0	0
tig	3	1.0
tktB	0	0
tldD	0	0
topA	5	0.7
torS	1	0
torY	0	0
treF	1	0
truB	3	0.666666666667
ubiB	1	0
uidB	0	0
ulaG	0	0
uraA	5	0.9
uspA	8	0.321428571429
uvrD	1	0
uxaA	0	0
vacJ	0	0
valT	2	1.0
wbbC	3	1.0
wbbD	0	0
wcaI	0	0
wzyE	1	0
yahA	1	0
yahG	2	1.0
yahN	0	0
ybaL	1	0
ybbN	3	1.0
ybeA	2	1.0
ybfA	3	1.0
ybhI	2	1.0
ybhJ	0	0
ybiO	0	0
ybiV	0	0
ybiW	0	0
ybjE	0	0
ycbC	5	0.5
ycbS	0	0
yccE	8	0.714285714286
yceF	0	0
ycfQ	0	0
ycgV	0	0
yciQ	0	0
ycjP	0	0
ydaE	5	0.8
ydbD	0	0
ydcD	0	0
ydcN	4	0.833333333333
ydcR	0	0
ydcU	0	0
yddV	0	0
ydeH	1	0
ydeJ	5	0.9
ydgR	0	0
ydiJ	0	0
yebS	0	0
yecP	0	0
yedW	4	1.0
yeeJ	3	1.0
yegE	0	0
yehU	7	0.285714285714
yejA	2	1.0
yejM	2	1.0
yfaE	4	0.833333333333
yfcD	0	0
yfcI	1	0
yfcN	3	0.666666666667
yfdC	0	0
yfeY	2	1.0
yfgA	0	0
yfhK	2	1.0
yfiB	0	0
ygaD	4	0.833333333333
ygcN	0	0
ygdH	0	0
ygfA	3	1.0
ygfK	0	0
yggG	0	0
ygiV	3	1.0
ygjF	0	0
yhaO	0	0
yhdJ	0	0
yhhA	0	0
yhhF	8	0.678571428571
yhiO	0	0
yiaG	0	0
yicC	4	0.666666666667
yjaG	6	0.733333333333
yjaH	0	0
yjbA	0	0
yjcC	0	0
yjcF	3	0.666666666667
yjcO	0	0
yjcR	2	1.0
yjeP	4	0.833333333333
yjgN	1	0
yjgQ	2	1.0
yjhA	0	0
yjhC	0	0
ykgE	0	0
ykgG	4	0.5
ylaB	2	1.0
ylbH	0	0
yncB	0	0
yneH	0	0
ynjA	0	0
ynjI	4	0.833333333333
yqeA	1	0
yraL	5	0.6
yraM	1	0
yraQ	0	0
znuA	1	0
zraR	0	0
