Gene	z_score	p_score
mdoH	10.9902103309	0.0006
ECB_misc_RNA_47	0.0284175405246	0.1659
ECB_00212	-0.65344098525	0.8934
uxaA	-0.40940296123	0.6603
thrS	-0.206915372605	0.3198
fruK	-0.407441393284	0.6104
ECB_00256	-0.462102671783	0.9114
ECB_01252	-0.475046237728	0.8249
ECB_02035	-0.476563830513	0.8839
rpsC	-0.472440373284	0.8978
ppiA	4.08490794869	0.0122
gspF	-0.388961946065	0.547
pck	-0.331010735621	0.5753
rrlB	-0.36316037163	0.6071
thiI	1.64727720811	0.0429
hupB	4.10950898874	0.023
efeO	2.23086528423	0.0342
IS3_insF	1.04953001917	0.0835
araE	1.84386470954	0.0443
sufD	0.650740498494	0.123
wbbC	0.777162876643	0.112
metH	-0.256205274924	0.4822
ECB_02798	-0.309401939139	0.4028
uidB	-0.456058345267	0.8249
argA	-0.438787883713	0.8191
yfcN	-0.180805104017	0.2798
yraQ	-0.248180195586	0.3452
yjgQ	3.23170093864	0.0177
prfA	-0.419848808463	0.6194
manX	-0.383445687562	0.6043
proW	-0.394575442008	0.6122
uvrD	-0.414236108327	0.6619
wbbD	-0.46378053644	0.8866
sdaC	-0.464334535896	0.8951
treF	-0.468126746052	0.8968
metJ	0.0690593721788	0.2854
hsdR	-0.471844154565	0.9086
deoA	-0.676768183018	0.9903
ydcN	-0.419775692651	0.5872
glpT	-0.621157254405	0.7341
ygaD	-0.387021781151	0.5724
ykgG	-0.458340467525	0.8286
yraL	-0.543182704807	0.7696
atpC	-0.467073173121	0.7949
ESCRE1328	-0.484533881117	0.8538
pta	1.82808778469	0.0421
yqeA	-0.477256355386	0.9152
leuX	-0.388659155852	0.6112
yfcI	2.85911185765	0.026
yggG	3.20344791087	0.0234
mraZ	1.45404576312	0.076
ECB_02821	1.61862723662	0.0488
rpsA	-0.520414810923	0.7345
yfgA	-0.355233592215	0.522
dnaA	-0.45391995086	0.6732
yjcR	-0.146771401864	0.2737
yjhC	-0.146257409179	0.2736
proQ	0.634884940655	0.1308
ECB_02002	0.255473932069	0.2135
hslU	0.357990549617	0.1559
speB	0.554682116181	0.1361
yfiB	0.679692202245	0.1228
rnc	-0.344308598098	0.4486
truB	-0.358705054039	0.4894
glmM	-0.375042122546	0.5226
eutJ	-0.462650622173	0.8343
hycE	-0.459564454318	0.8524
lptB	-0.453917206742	0.8278
rhsA	-0.403249191302	0.8599
yddV	-0.33682667051	0.4464
envZ	-0.337440425102	0.462
ECB_03516	-0.348029846646	0.465
mraY	0.528683515044	0.142
pgaB	0.268507493339	0.1639
yedW	0.765529506789	0.1161
pbpG	0.684405499829	0.1264
yhiO	1.85173380518	0.0609
dacA	-0.477844341996	0.8831
ynjI	-0.446777428883	0.8765
lysP	-0.487275160679	0.8813
rpoS	0.0996911170995	0.2567
atpE	-0.460169385082	0.7768
pmbA	-0.447257639707	0.8819
flhA	-0.353112467737	0.8673
dusB	-0.424195749828	0.6177
yjcO	-0.465813740875	0.8413
yahA	-0.448791436715	0.7587
manZ	-0.436375345496	0.7505
yfcD	-0.441561422998	0.7086
yfeY	-0.433521079367	0.7044
ygfK	-0.423010686947	0.7985
gltL	0.858125961477	0.1144
ydgR	0.146810628777	0.1901
ygcN	0.176976941765	0.185
aroA	-0.324610937697	0.4589
fsr	-0.433477300789	0.6851
topA	-0.528457931199	0.9547
lsrG	-0.357982789449	0.4597
eamA	-0.398438809082	0.6688
gabD	-0.41630861348	0.7093
ydbD	-0.43709870458	0.7969
fusA	-0.437737651676	0.7947
malQ	-0.435797762791	0.7913
yjcC	-0.431234446978	0.7612
yjgN	-0.459015903358	0.7796
yfhK	-0.242038411534	0.3369
glpG	1.61765311026	0.0572
frmB	-0.450260004436	0.7375
tap	-0.408837937657	0.7744
ESCRE2157	-0.310584313456	0.3618
atoC	-0.520490849851	0.8185
dppD	-0.45598950703	0.7527
rmlB	-0.466436524812	0.8634
ECB_misc_RNA_7	-0.351229914288	0.461
ylaB	0.0753729885775	0.2118
ydeH	0.234007607984	0.1787
rtn	0.0501004686695	0.2113
glpK	0.0922492513677	0.2086
azoR	0.432763658245	0.1476
gltB	-0.025187855366	0.2418
yahN	-0.181006468416	0.2832
rpoH	-0.349614629792	0.5211
yjaH	-0.18514887807	0.2867
hrpA	-0.179796091262	0.3032
znuA	-0.0504188507088	0.2361
nuoM	-0.121809824022	0.2673
yfdC	-0.0372571131594	0.229
nagD	-0.0196950429697	0.2242
puuP	-0.123717777304	0.2621
ECB_02804	-0.0698147924337	0.2427
IS5_ESec3	-0.102897087116	0.2555
tig	-0.337467574454	0.4755
oxyR	-0.335738967386	0.4334
ybhI	8.83061074028	0.001
dgsA	0.527259414142	0.1355
hyfG	0.308235494033	0.1622
yjbA	1.1755132418	0.0919
ECB_04076	0.617613513832	0.1265
sbcC	-0.35199862689	0.6251
hypE	-0.27742267631	0.3667
dapA	-0.113912473738	0.3362
ygjF	0.95235937302	0.1045
ubiB	0.335230012519	0.1667
pyrB	0.521141040985	0.1406
rluB	-0.134612548347	0.2659
ydcU	-0.135744397063	0.2676
yjeP	-0.222446935455	0.346
ykgE	-0.308769229375	0.378
dnaX	-0.367510106121	0.5317
dinG	-0.383661135438	0.5417
wcaI	-0.351074481872	0.489
ylbH	-0.458437341998	0.8303
ECB_00737	-0.569792991844	0.7955
fcl	-0.47354973978	0.8425
ydeJ	-0.484890673876	0.9442
frmC	-0.475127739905	0.9481
uraA	-0.501268110602	0.9507
yahG	-0.330747448673	0.4687
bglJ	-0.307489021068	0.3791
napA	-0.31345585716	0.448
yhhF	0.518535647393	0.1634
polB	-0.453816849487	0.9996
sgrR	-0.484449810812	0.9998
mhpR	-0.500621317883	0.9995
ECB_00490	-0.499564284868	0.9994
cusC	-0.486405811141	0.9994
ECB_00624	-0.446194192461	0.9997
ybiO	-0.463294120723	0.9999
ybiV	-0.511222809068	0.9997
bssR	-0.49570797043	0.9994
pqiB	-0.49740391108	0.9996
flgC	-0.499648484427	0.9995
yceF	-0.493602039336	0.9999
ycfQ	-0.502013358492	0.9994
potD	-0.482507033785	0.9997
narG	-0.411871496656	1.0
adhE	-0.405328052822	0.9997
yciQ	-0.510346203923	0.9994
puuD	-0.500302525043	0.9995
ydcR	-0.495138291241	0.9997
yncB	-0.471945014179	0.9995
ydcD	-0.518123630304	0.9996
narY	-0.496102738018	0.9992
yebS	-0.479243984426	0.9997
torY	-0.484214948871	0.9996
yegE	-0.44805701275	0.9997
dld	-0.393288562977	0.9998
fadL	-0.494566524688	0.9994
emrB	-0.497348447066	0.9998
cysH	-0.498308130319	0.9998
gcp	-0.506670194391	0.9997
yhdJ	-0.49266409201	0.9997
yhhA	-0.492778546226	0.9996
livJ	-0.490382617229	0.9998
rhsB	-0.436006921734	0.9997
mdtE	-0.479136744124	0.9996
dfp	-0.485574625986	1.0
proM	-0.553960418429	0.9981
ECB_03714	-0.434658330855	0.9997
ECB_03951	-0.47851297069	0.9999
phnD	-0.480251214486	0.9993
mutL	-0.490142103867	0.9997
fimE	-0.492107407818	0.9994
leuV	-0.563971866695	0.9986
cbpA	-0.407166507782	0.6437
ECB_02003	-0.464825102947	0.8392
yicC	-0.455083934063	0.6499
yjcF	-0.454802673557	0.8363
ybeA	-0.461698598134	0.8269
ycjP	-0.464650444119	0.8504
gspG	-0.452259876266	0.8044
atpG	-0.453673006066	0.8473
aspA	-0.487608589888	0.8639
slyA	0.28051807961	0.2006
ECB_04210	0.380237988601	0.1626
rsmC	0.604867457222	0.1272
yeeJ	-0.354162708257	0.6794
ygiV	-0.362734954046	0.4892
yraM	-0.336888076666	0.6374
sucB	-0.466458753789	0.919
ybjE	-0.47042057671	0.9166
ECB_02800	-0.380987915168	0.9229
ftsH	-0.428191650336	0.9283
yjaG	-0.477027112735	0.9106
ulaG	-0.467037666913	0.9189
ycgV	-0.394368785228	0.6336
ppk	-0.423098286067	0.633
ygfA	-0.371846641355	0.4828
rmlA	0.180892506197	0.1833
nuoN	0.045137324727	0.211
ECB_01413	-0.460426539864	0.8843
yiaG	-0.466304225849	0.7852
valT	1.50564080442	0.0735
kefC	-0.39271214772	0.5596
ygdH	-0.387995130896	0.5263
glgX	-0.389181759069	0.5478
kpsT	0.54703915093	0.1577
rhlB	1.37665186685	0.0763
orn	2.43930060668	0.0397
ybfA	-0.371617739126	0.4719
ECB_02512	-0.438779113657	0.7543
pdhR	0.0961151418956	0.2035
clpB	-0.0769628753756	0.2491
ybhJ	0.701996647244	0.1179
yccE	18.9639169484	0.0002
ECB_00503	-0.0727449607649	0.2312
ESCRE1397	0.691050142481	0.1352
prc	-0.233359887052	0.3342
dedA	-0.085877896855	0.2369
ydiJ	-0.285672510777	0.4288
yejA	-0.293526616834	0.4036
endA	-0.224614410396	0.3097
atpF	-0.151212863178	0.259
folM	-0.281715454292	0.4575
sufI	0.136299882076	0.1944
bcsB	0.0601062543353	0.214
yneH	-0.253270936395	0.3348
murA	-0.271958101752	0.3792
