"ECB_02512"	"ECB_02798"	"ECB_02804"	"ECB_02821"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"cls"	"crp"	"cysQ"	"eutJ"	"fbp"	"fis"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpR"	"glpT"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvE"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"lptB"	"metA"	"metH"	"metW"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"pitB"	"ppiA"	"puuP"	"rep"	"rho"	"rhsA"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rssB"	"secF"	"speB"	"tldD"	"torS"	"truB"	"uspA"	"wzyE"	"ybaL"	"ybbN"	"ybfA"	"ydaE"	"yehU"	"yjhA"	"ynjA"	"zraR"
"fbp"	0.095521609949241	0	0	0	0.00159989089850592	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.00319086545625455	-0.0585872916974246	0	0	-0.0175774671572463	0	0	0	0	0	0	0	0	-0.0430569950605105	-0.00463292954842247	0	0	0	-0.0490431531496703	0	0	0	0	0	0.00453790534154941	0	-0.0107580975115799	0.0188979454850924	0	0	0	0	0	0	0	-0.142567309537589	0	0	0	0	0	0	0	0	0	-0.00972362851582131	0	0	0	0	0	0
"fis"	-0.213608526640915	0	0.0022704113730993	-0.000484614315828524	0	0	0	0	0	0	0	0	0	1	-0.00320670569780704	0	0	0	0	0	0	0	0	0	0	0.00293431833552805	0	0.050072467288324	0	-0.0215889229295336	0	0	0	0.0118616925258987	0	0	0	0	0	0	0	0.0378455372910025	0	0	0	0	0	0	0	-0.00424369816714654	0	0	0	0	0	-0.0603579770523309	0	0	0	0	0.00345546170022333	0.00126697721830106	0	0	0	0	-0.0216907777423836	0	0	0.0455571636273655	0	0
"glgC"	0.11453058067663	0	0	0	0	0	0	0	0	-0.00375159291734259	0	0	0	-0.00320670569780704	1	0	-0.00405383471342954	0	0	0	0	-0.00310650311469213	0	0	0	0	0	0	0	0	0	0	0	-0.156505944350172	0	0	0	0	0	0	0	0	0	0	0	0	-0.0149524354548795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00585951245541212	0	0	0	-0.0141947908329425	0	0	0	0	0	0
"glgP"	-0.000494436518212067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.120509164808175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmM"	-0.0971540601980016	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00405383471342954	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147584590076929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299059303324828	0	0	-0.114764284256343	0	0	0	0	0	0.0395716584987258	0	0	0	0	0	0	0	0	0	0
"glmS"	0.163354473806737	0	0	0.0215732224758536	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0131556401466976	0.015238136117305	0	-0.00649639557275716	0	0	0	0	0	0	0	0	0.0522586148208515	0	0	0.015983345207919	0	-0.0542668280046922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0479455735813472	-0.0127459146192827	0	0	0	-0.0144670378756266	0	0	0	0	0	0	0	0	0	0	0
"glpE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.000272131557782754	0	0	0	0	0	0	0	0	0	0	0	-0.092939430180879	0	0	0	0	0.0460619557815843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159693318523798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0.0117447558999406	0	0	0	-0.0041499776483177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331668711070853	0	0	0	0	-0.00339259978743039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0461002683123872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	-0.13176049096992	0	0	0	0	0	0	0	0	0	0	0	-0.00319086545625455	0	0	0	0	0	0	0	1	0.0291231913056884	0	0	0	0	0	0	0	0	0	0	0	0.051531850940712	0.0875353794619202	0	0	0	0.0237785046152822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447265764276858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	-0.0861188253776481	0	-0.0323015560447092	-0.0173599903689113	0	0	-0.0287015966406577	0	0	0.0470775215691692	0	0.0258444094805761	-0.0585872916974246	0	-0.00310650311469213	0	0	-0.0131556401466976	0.000272131557782754	0	0.0291231913056884	1	-0.0136496755535818	0.0305438897622993	0.0543841510490702	0	-0.0389611053966129	0	0	0	0.0148093455520022	0.00369340729926621	0.0319480399502201	0.0601738931483244	0.0307540395675326	0.00790513750774712	-0.0141495738364278	0	0.0677727018833045	0	-0.013819510935185	0	-0.0305907010976953	0	-0.0521347573210024	0	0.0478923465620447	-0.053345505298	-0.0297607538181244	0	0	0.0315150057193177	0	0	-0.0256493116466306	0.137330841243926	0.0138679470663316	0.000323757058332872	0	0	0	0	0	-0.0381974187719073	0	0.0470726977620472	0	0.0049844976311608	0	0	0	0
"hupB"	0.16361338746877	0	0	0.0224600608273097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015238136117305	0	0	0	-0.0136496755535818	1	0	-0.00725129389805817	0	0	0	0	0	0	0	0	0.0525422293877343	0	0	0.0169321450625428	0	-0.054681462002364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0479506745822854	-0.0140490930708816	0	0	0	-0.0152558185846451	0	0	0	0	0	0	0	0	0	0	0
"hycE"	0.0015518843415757	0	-0.00527252264377985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0305438897622993	0	1	0	0	0	0	0	0	0	0	0	0.0923178717633973	0	0	0	0	0	0	0	0	-0.00143167157183737	0	0	0	0	0	0	0	0	0	0	0	0	0.168133421143294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hypE"	-0.132119547832087	0	0	-0.0127925967291448	0	0	0	0	0	0	0	0	-0.0175774671572463	0	0	0	0	-0.00649639557275716	0	0	0	0.0543841510490702	-0.00725129389805817	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.00782526898860099	0	0.0629600504840065	0	0	0	0	0	-0.01176620498926	0	0.000680686154822936	-0.009430284465774	0	0	0	0	0	0	0	0.121692839642422	0.0246725066727197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	-0.247528644721407	0	0.0168779798080552	0	0	0	0.00851771084925573	0	0	0	0	0	0	0.00293431833552805	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0146112015061053	0	0	0	-0.0985157943666462	0	0	0	0	0	0	0	0	0.0130719915883317	0	0	0	0	0	0.0107774407500598	0	0	0	0	0	0	-0.126734282021386	0	0	0	0	0.0526526537866326	0	0	0	0	0	-0.014586507926818	0	0	0	0	0
"ilvE"	0	0	0.000581481796190881	0	0	0	0	0	0	-0.0181604349839394	0	0	0	0	0	0	0	0	0	0	0	-0.0389611053966129	0	0	0	0	1	0	0	0	0	0	0	-0.149389731973563	0	0	0	0	0	0	0	0	0	0	0	0	-0.0170071132038695	0	0	0	0	0	0	0	0	-0.098610094905949	0	0	0	0	0	0	0	0.0670814768999257	0	-0.0157115299825182	0	0	0	0	0	0
"infB"	-0.202586602585764	0	0	0	0	0	0	0	0	0	0	0	0	0.050072467288324	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.00553663463353598	0	0	0	0.00870551533407585	0	0	0	0	0	0	0	0.030741982252645	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.051442527201172	0	0	0	0	0	0	0	0	0	0	-0.00571506379961563	0	0	0.0315225120822576	0	0
"ispH"	0.0523998775684235	0	0	0	0	0	0	0	0	0	0.0075440846046777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.153762689891424	0	0	0	0	-0.055173344420134	0	0	0	0	0	0.00131131980473191	0	0	0	0	0	0	0	0	0	0	-0.102491207929524	-0.00525206150074925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00816915961581913
"kpsD"	0.182645250149484	0	-0.000117772733429878	0	0	0	0	0	0	0	0	0	0	-0.0215889229295336	0	0	0	0	0	0	0	0	0	0	0	-0.0146112015061053	0	-0.00553663463353598	0	1	0	0	0	0.0156112113709817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0859656556048091	0	0	0	0	-0.0119260348612106	0	0	0	0	0	0.0125591398147698	0	0	-0.00113571045717364	0	0
"kpsE"	0.0410993965529832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148093455520022	0	0	0	0	0	0	0	0	1	0	0	0.197003297859404	0	0	0	0	0	0	-0.00269354099563579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132054851310508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369340729926621	0	0	0	0	0	0	0	0	0	1	0	-0.0966278673198799	0	0	0	0	0.0489092718989306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163697314441773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lptB"	0.00143977072744848	0	-0.0066554937729925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319480399502201	0	0	0	0	0	0	0	0	0	0	1	0.0934474602932615	0	0	0	0	0	0	0	0	-0.0029314791234209	0	0	0	0	0	-0.00105812797193499	0	0	0	0	0	0	0.168524385041972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	0	-0.204249099784161	-0.00316207819935937	0.0536922586915119	0.0360764355636711	0.173457123645832	-0.00479776461128354	-0.152457462788061	0	0.25523446411129	0.150420492668957	0.0889139898991843	-0.0430569950605105	0.0118616925258987	-0.156505944350172	0	0.147584590076929	0.0522586148208515	-0.092939430180879	0.0331668711070853	0.051531850940712	0.0601738931483244	0.0525422293877343	0.0923178717633973	0	-0.0985157943666462	-0.149389731973563	0.00870551533407585	0.153762689891424	0.0156112113709817	0.197003297859404	-0.0966278673198799	0.0934474602932615	1	0.0519685180917533	-0.099815257885983	0.0529699675317556	0.126263905226198	-0.0237416415237692	-0.141589503537027	-0.145389553893122	-0.0956765827399514	-0.00513744137058274	-0.153933353404681	0.0542493144778213	0.192972699811884	0.171880464036785	-0.0423243366661682	-0.00473195588311861	-0.0732298181933091	0	0.0916435750848962	0.139696189062778	0	-0.25346689055237	-0.0342471832878068	-0.151364526418439	-0.0926834731058751	0.177344765013853	-0.148411758463156	-0.108647375158275	0.148245671588311	0.0393006183464678	-0.146911893495569	0.206709130253633	0.171125566275044	0.0147753342623698	-0.0977002806735167	-0.0205292776511742	0.00696819806159393	-0.150056542861578	0.15057678998526
"metH"	-0.137904606347159	0	0	0	0	0	0	0	0	0	0	0	-0.00463292954842247	0	0	0	0	0	0	0	0.0875353794619202	0.0307540395675326	0	0	0	0	0	0	0	0	0	0	0	0.0519685180917533	1	0	0	0	0.0255848783898174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0442805466415724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00790513750774712	0	0	0	0	0	0	0	0	0	0	0	-0.099815257885983	0	1	0	0	0.0511967454781681	0	0	0	0	0	-0.0030745089375613	0	0	0	0	0	0	0	0	0	0	0.167399561195213	0	0	0	0	0	0	0	0	0	0	0	0.00116404829894151	0	0	0	0
"mraZ"	0.16278926269597	0	0	0.0231145934024891	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015983345207919	0	0	0	-0.0141495738364278	0.0169321450625428	0	-0.00782526898860099	0	0	0	0	0	0	0	0	0.0529699675317556	0	0	1	0	-0.0549191798990722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0488926366133254	-0.0149334769413314	0	0	0	-0.0155449471887475	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0.135912310946054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126263905226198	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124442027641492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdB"	-0.0746930094097065	0.0310881975846022	-0.021148743879919	-0.0572915481330293	-0.0129725175864673	0	-0.0168291209532923	0	0	0	-0.0513968311241097	0	-0.0490431531496703	0	0	0	0	-0.0542668280046922	0.0460619557815843	-0.00339259978743039	0.0237785046152822	0.0677727018833045	-0.054681462002364	0	0.0629600504840065	0	0	0	-0.055173344420134	0	0	0.0489092718989306	0	-0.0237416415237692	0.0255848783898174	0.0511967454781681	-0.0549191798990722	0	1	0	0	0.0275707797412733	-0.0187679495272674	0	-0.0954281285635439	-0.00239023627881785	0	-0.0433768520531384	-0.0180493700303567	0	0	0	0	0	0	0.117865200916729	0.0875255468288536	0.0462449710351389	0	0	0.0301938700992723	0	-0.0306088316262541	0	0	0	0	0.0499656654684142	0	0	0	-0.0522507238328269
"mreB"	0.102849689747271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.141589503537027	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	-0.0719798019685764	0	0	0	0	0	0	0	0	-0.00207267961975815	0	0	0	0	0	0	0	0	0	0	0	-0.013819510935185	0	0	0	0	0	0	0	0	-0.00269354099563579	0	0	-0.145389553893122	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.115721179976918	0	0	0	0	0.00226570644196067	0	0	0	0	0	0	0	0	0	0	0
"mreD"	-0.104779728243128	0.00599171750551182	0	0	0	0	0	0	0	0	0	0	0	0.0378455372910025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030741982252645	0	0	0	0	0	-0.0956765827399514	0	0	0	0	0.0275707797412733	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00142852861605852	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249688704883889	0	0
"nagD"	-0.050686361391239	0	0.037947270680713	0	0	0	0.0329023014289729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0305907010976953	0	-0.00143167157183737	0	0.0130719915883317	0	0	0	0	0	0	-0.0029314791234209	-0.00513744137058274	0	0	0	0	-0.0187679495272674	0	0	0	1	0	0.00501884493867846	0	0	0	0.0342924807701057	0	0	-0.00316142820239332	0	0	0	-0.19690329154273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nrdR"	0.112574312700644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153933353404681	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0.0577456765499621	0	0.00995144835562697	0	0	0	0.000348971439926604	0	0	0	0	0	0.00453790534154941	0	0	0	0	0	0	0	0	-0.0521347573210024	0	0	-0.01176620498926	0	0	0	0.00131131980473191	0	0	0	0	0.0542493144778213	0	-0.0030745089375613	0	0	-0.0954281285635439	0	0	0	0.00501884493867846	0	1	0	0	0	0.00302204861693783	0	0	0	0	0	0	-0.267031996648323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ompR"	-0.00780354111136658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192972699811884	0	0	0	0	-0.00239023627881785	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.129436953629188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pitB"	-0.0898204522873201	0	0	0	0	0	0	0	0	0.0566059340493365	0	0	-0.0107580975115799	0	-0.0149524354548795	0	0	0	0	0	0	0.0478923465620447	0	0	0.000680686154822936	0	-0.0170071132038695	0	0	0	0	0	0	0.171880464036785	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0034208072924534	0	0	0	0	0	0	0	0.0391732338228039	0	0	0	0	0	0	0	-0.0154671878141411	0	0.0631945387697876	0	0	0	0	0	0
"ppiA"	0.0927133553332085	0	0	0	0	0	0	0	0	0	0	0	0.0188979454850924	0	0	0	0	0	0	0	0	-0.053345505298	0	0	-0.009430284465774	0	0	0	0	0	0	0	0	-0.0423243366661682	0	0	0	0	-0.0433768520531384	0	0	0	0	0	0	0	-0.0034208072924534	1	0	0	0	0	0	0	0	-0.140298727660681	0	0	0	0	0	0	0	0	0	-0.00227052516364212	0	0	0	0	0	0
"puuP"	-0.0500244411324272	0	0.0368392301030761	0	0	0	0.0315902103973327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0297607538181244	0	0	0	0.0107774407500598	0	0	0	0	0	0	-0.00105812797193499	-0.00473195588311861	0	0	0	0	-0.0180493700303567	0	0	0	0.0342924807701057	0	0.00302204861693783	0	0	0	1	0	0	-0.00130714446091548	0	0	0	-0.197864464703087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rep"	0.215625443704118	0	0	0	0	0	0	0	0	0	0	0	0	-0.00424369816714654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0732298181933091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0628570946285647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	-0.188364928250702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0773955349043451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rhsA"	0.00324620492632765	0	-0.00687424419554364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315150057193177	0	0	0	0	0	0	0	0	0	0	0	0.0916435750848962	0	0	0	0	0	0	0	0	-0.00316142820239332	0	0	0	0	0	-0.00130714446091548	0	0	1	0	0	0	0.169169880399539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rnc"	-0.0898214503389429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299059303324828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139696189062778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.106064920702722	0	0	0	0	0	0.0316374298773049	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.04449638588505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0.0308048305507719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0256493116466306	0	0	0	0	0	0	0	0	0	0	0	-0.25346689055237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.111472931365071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoD"	0.0114582437383762	0.00768313324058744	-0.195388093800601	-0.0464874049243805	-0.0306610692677457	0.0378392510382151	-0.198069921642178	0	-0.0302874759411927	0.0613278931944011	-0.0988033762226391	0.164702055308879	-0.142567309537589	-0.0603579770523309	0	-0.120509164808175	-0.114764284256343	-0.0479455735813472	0.159693318523798	-0.0461002683123872	0.0447265764276858	0.137330841243926	-0.0479506745822854	0.168133421143294	0.121692839642422	-0.126734282021386	-0.098610094905949	-0.051442527201172	-0.102491207929524	0.0859656556048091	0.132054851310508	0.163697314441773	0.168524385041972	-0.0342471832878068	0.0442805466415724	0.167399561195213	-0.0488926366133254	0.124442027641492	0.117865200916729	0	-0.115721179976918	0.00142852861605852	-0.19690329154273	0	-0.267031996648323	-0.129436953629188	0.0391732338228039	-0.140298727660681	-0.197864464703087	0.0628570946285647	-0.0773955349043451	0.169169880399539	-0.106064920702722	0.04449638588505	-0.111472931365071	1	0.0831806247315976	0.159263776233887	0.038407371865121	0	0	-0.117777153207759	0	-0.0972478820722605	0.0754629189502306	0.0378427614990246	0.0846925942892778	0.164653749106061	0.0655363764348735	-0.0496529161161721	0	-0.0986457330291887
