"ECB_01992"	"ESCRE0483"	"ESCRE1901"	"aroA"	"cls"	"cysQ"	"deoA"	"fruK"	"fusA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpK"	"glpT"	"hsdR"	"hypE"	"iclR"	"infB"	"ispH"	"kpsD"	"malQ"	"metA"	"metJ"	"motB"	"mrdA"	"mrdB"	"mreD"	"nusA"	"ompR"	"orn"	"pbpG"	"rhlB"	"rho"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rssB"	"rtn"	"sdaC"	"thrA"	"thrS"	"treF"	"valT"	"wbbD"	"ybaL"	"ydbD"	"ydeH"	"yhiO"	"yjcC"	"yjgN"	"ylaB"	"zraR"
"glgP"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.218588616031132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	-0.112882394248907	0	1	0	0	0	0	0	0	0	0	0	0	0.0026083205370631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	-0.114143435501026	0	0	1	0	0	0	0	0	0	0	0	0	-0.0181718735685936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpK"	0	0	0	0	0	0	0	0	0	-0.0439891319715754	0	0	0	1	0	0	0	0	0	0	0	0	-0.0384412518833209	0	0	0	0	0	0	0	0	0	0	0	0	0.16243166824682	0	0	0	0.147380414329782	0	0	0	0	0	0	0	0	0.148068106576192	0	0	0	0.160862414303925	0
"glpT"	0	0	0	0.0349370026357143	0	0	0	0	0	0.0453826165546856	0	0	0	0	1	0	0.150281862777842	0	0	0	0.0709201680059551	0	-0.00639069433245743	0	0	0	0.0691538188903394	0	0	0	0	0	0	0	0	-0.0595404435367341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsdR"	0	0	0	0	0	0	0	0	0	0.167341142612487	0	0	0	0	0	1	0	0	0	0	0	0	0.133473633120408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hypE"	0	0	0	0	0	0	0	0	0	-0.00432028964036452	0	0	0	0	0.150281862777842	0	1	0	0	0	0	0	-0.060872898846564	0	0	0	0.105981049067061	0	0	0	0	0	0	0	0	0	0	0	0.131114971622843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	-0.291305932746228	0	0	0	0	0	0	0	1	0	0	0	0	-0.024489334480369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	-0.185619891211508	0	0	0	0	0	0	0	0	1	0	0	0	0.149767661477388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ispH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.267279091930409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0	0.0615984360871886	0	0	0	0	0	0.152515202779259	0	0	0	0	0.0709201680059551	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"malQ"	0	0	0	0	0	0	0	0	0	0.178433674075755	0	0	0	0	0	0	0	0	0	0	0	1	-0.0979436552960512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	0.0481402102784305	-0.142986520827633	-0.259787484763081	0	0.00440172845949815	0.241743604561511	0.120700175444264	0.128019536778956	-0.0985431849173585	0	0.218588616031132	0.0026083205370631	-0.0181718735685936	-0.0384412518833209	-0.00639069433245743	0.133473633120408	-0.060872898846564	-0.024489334480369	0.149767661477388	0.267279091930409	0	-0.0979436552960512	1	0.137683660155537	-0.14603384228813	0.0184179523439815	-0.236041519154203	0.148143946834494	0.23808249571858	0.215579865376297	0.0112480145276374	0.0467184470604783	0.0126744516488474	0	0.0014265242147997	0.0316589190281281	-0.255933885752936	-0.148061339396541	-0.0369148907638637	-0.0345979321550511	0.13298216336149	-0.261743972475696	0.13165804638357	0.136820188306311	-0.260627929732706	0.131351985251166	-0.0381583517657378	-0.105672345381259	-0.035821476793621	0.0467826096595467	-0.0933194562584855	-0.10796841472015	-0.0393836171042581	0.24139145393739
"metJ"	0	0	0	0	0	0	0	0	0	0.17049929962402	0	0	0	0	0	0	0	0	0	0	0	0	0.137683660155537	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"motB"	0	0.0156548572339493	0	0	0	0	0	0	0	-0.200498280347411	0	0	0	0	0	0	0	0	0	0	0	0	-0.14603384228813	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0271364070916766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0	0	0	0	0.274986906218302	0	0	0	0	0	0	0	0	0	0	0	0	0.0184179523439815	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0691538188903394	0	0.105981049067061	0	0	0	0	0	-0.236041519154203	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00726646790926884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	-0.185987808467567	0	0	0	0	0	0	0	0	0	0	0	0	0.148143946834494	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23808249571858	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ompR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215579865376297	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"orn"	0	0	0	0	0	0	0	0	0	-0.189966857258914	0	0	0	0	0	0	0	0	0	0	0	0	0.0112480145276374	0	0	0	0	0	0	0	1	0	0.146587303615745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pbpG"	0.156717488129409	0	0	0	0	0	0	0	0	-0.0188924857652274	0	0	0	0	0	0	0	0	0	0	0	0	0.0467184470604783	0	0	0	0	0	0	0	0	1	0	0.0244817385507002	0	0	0	0	0.187834385459103	0	0	0	0	0	0	0	0	0	0	0.147435707456121	0	0	0	0
"rhlB"	0	0	0	0	0	0	0	0	0	-0.212040481154408	0	0	0	0	0	0	0	0	0	0	0	0	0.0126744516488474	0	0	0	0	0	0	0	0.146587303615745	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0.0402119590764662	0	0	0	0	0	0	0	0	-0.199479120436313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0244817385507002	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124149283756142	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	-0.00804494341604496	0	0	0	0	0	0	0	0	0	0	0	0	0.0014265242147997	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0	0	0	0	0.0973225323105865	0	0	0	0.16243166824682	-0.0595404435367341	0	0	0	0	0	0	0	0.0316589190281281	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.143674434026741	0	0	0	0	0	0	0	0	0.144137223512829	0	0	0	0.165505820084369	0
"rpoD"	0	0	0	0	0	0	0	0	0	0.157505823059574	0	0	0	0	0	0	0	0	0	0	0	0	-0.255933885752936	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	0.0197569076610876	0	0	0	0	0	0	0	-0.20348572183512	0	0	0	0	0	0	0	0	0	0	0	0	-0.148061339396541	0	0.0271364070916766	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0.196790144366599	0	0	0	0	0	0	0	0	0.0456568039369215	0	0	0	0	0	0	0.131114971622843	0	0	0	0	0	-0.0369148907638637	0	0	0	0.00726646790926884	0	0	0	0	0.187834385459103	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.179493071787123	0	0	0	0
"rtn"	0	0	0	0	0	0	0	0	0	-0.038356230454785	0	0	0	0.147380414329782	0	0	0	0	0	0	0	0	-0.0345979321550511	0	0	0	0	0	0	0	0	0	0	0	0	0.143674434026741	0	0	0	1	0	0	0	0	0	0	0	0	0.135740391257083	0	0	0	0.149419602778448	0
"sdaC"	0	0	0	0	0	0	0	0	0	0.164785159051273	0	0	0	0	0	0	0	0	0	0	0	0	0.13298216336149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrA"	0	0	0	0	0	0	0	0	0	0.00701896638771605	0	0	0	0	0	0	0	0	0	0	0	0	-0.261743972475696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"thrS"	0	0	0	0	0	0	0	0	0	-0.156631252576564	0	0	0	0	0	0	0	0	0	0	0	0	0.13165804638357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"treF"	0	0	0	0	0	0	0	0	0	0.169449624389576	0	0	0	0	0	0	0	0	0	0	0	0	0.136820188306311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"valT"	0	0	0	0	0	0	0	0	0	0.00655224505924122	0	0	0	0	0	0	0	0	0	0	0	0	-0.260627929732706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"wbbD"	0	0	0	0	0	0	0	0	0	0.162963231384394	0	0	0	0	0	0	0	0	0	0	0	0	0.131351985251166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0381583517657378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ydbD"	0	0	0	0	0	0	0	0	0	0.190535333489112	0	0	0	0	0	0	0	0	0	0	0	0	-0.105672345381259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ydeH"	0	0	0	0	0	0	0	0	0	-0.0398973184014405	0	0	0	0.148068106576192	0	0	0	0	0	0	0	0	-0.035821476793621	0	0	0	0	0	0	0	0	0	0	0	0	0.144137223512829	0	0	0	0.135740391257083	0	0	0	0	0	0	0	0	1	0	0	0	0.15009612748285	0
"yhiO"	0.152751175053695	0	0	0	0	0	0	0	0	-0.0210132478499398	0	0	0	0	0	0	0	0	0	0	0	0	0.0467826096595467	0	0	0	0	0	0	0	0	0.147435707456121	0	0.0124149283756142	0	0	0	0	0.179493071787123	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yjcC"	0	0	0	0	0	0	0	0	0	0.174092867403005	0	0	0	0	0	0	0	0	0	0	0	0	-0.0933194562584855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yjgN"	0	0	0	0	0	0	0	0	0	0.193436321020615	0	0	0	0	0	0	0	0	0	0	0	0	-0.10796841472015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ylaB"	0	0	0	0	0	0	0	0	0	-0.044789645262402	0	0	0	0.160862414303925	0	0	0	0	0	0	0	0	-0.0393836171042581	0	0	0	0	0	0	0	0	0	0	0	0	0.165505820084369	0	0	0	0.149419602778448	0	0	0	0	0	0	0	0	0.15009612748285	0	0	0	1	0
"zraR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24139145393739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
