"ECB_01992"	"ECB_02003"	"ECB_02821"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1328"	"ESCRE1901"	"ESCRE2157"	"ESCRE4497"	"actP"	"atoC"	"atpF"	"cls"	"dppD"	"dusB"	"endA"	"fbp"	"fis"	"flhA"	"frmB"	"frmC"	"ftsW"	"glgA"	"glgP"	"glmS"	"glpF"	"glpR"	"glpT"	"gltL"	"hupB"	"hypE"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"leuX"	"lon"	"manX"	"metH"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"nusA"	"ompR"	"prfA"	"proW"	"pta"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rsmC"	"rssB"	"secF"	"slyA"	"tap"	"thrA"	"topA"	"uraA"	"uspA"	"uvrD"	"valT"	"ybaL"	"ycbC"	"ydeJ"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yfaE"	"yfcI"	"yfgA"	"ygcN"	"yggG"	"yhaO"	"yicC"	"yjcF"	"yjcO"	"yqeA"
"atoC"	0	0	0	0	0	0	0	0.0615569898645443	0	0	1	0	0	0.0581018667934273	0	0	0	0	0	0.0714936387471406	0	0	0	-0.0150179995797647	0	0	0	0	-0.0143594315849754	0	0	0.0872199742981623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0583222564380724	0	0	0	0	0	0.0629162427370225	0	0	0	0	0	0	0	0	0	-0.00443880428976479	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	-0.0141434344542574	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0983706520762064	0	0	0	0	0	0	0	-0.0471387158371283	0	0	0	0	0	0	0	0.0154218768698032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0924241037954819	0	0.100817954169224	0	0	0	0	0	0	0	0	0	0
"cls"	-0.0517502911241329	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0542758579470426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dppD"	0	0	0	0	0	0	0	0.0592754174491417	0	0	0.0581018667934273	0	0	1	0	0	0	0	0	0.069492972150857	0	0	0	-0.0147753877121489	0	0	0	0	-0.012858531934568	0	0	0.0867203662028865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0567676158322226	0	0	0	0	0	0.0606741753703104	0	0	0	0	0	0	0	0	0	-0.00269242502077067	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0.00948174775987042	0	0	0	0	0	0	0	0	0.105498334806694	0	0	0	0	1	0	0	0	0.105295070394349	0	0	0	0	0	0	0	0.106376933334087	0	0	0	0	0	0	0	0.0807169719251924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0171259126470324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0969071587391886	0	0	0	0	0	0.105512140447135	0
"endA"	-0.0145086278557253	0	0	0	0	0	0	0	0	0	0	0.0983706520762064	0	0	0	1	0	0	0	0	0	0	0	-0.0478735794361658	0	0	0	0	0	0	0	0.0153787008845714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0893736702040899	0	0.0977970373654711	0	0	0	0	0	0	0	0	0	0
"fbp"	0.025758143353841	0.0463177973595266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00850210336014141	0	0	0	-0.0344640318716018	0.00530238083650451	0.0421067693956637	0	0	0	0	-0.0061383623021899	0	0	0.0733534170898247	0	0	0	0.0504536087506206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142732436549377	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.030098199564237	-0.00220270051721158	0	0	-0.0014997887072567	0	-0.0318568065921527	0	0	0	0	0	0.0637889559057194	0.0515696529793653	0	0
"fis"	0.130942616387929	0.00757887407176645	0	0	-0.0226945251684503	0	0	0	0	0	0	0	0	0	0	0	0.00850210336014141	1	0	0	-0.00797616549290069	-0.0120971748102956	0	0.0972789557805804	0	0	0	0	0	0	0	0	0.0830296356310089	0	0.0672433310640842	0.0112400514380729	0	0	0	0	-0.0152607649555754	0	0.0135179474491762	0	0	0	0	0	0	0	0	0.0791360673409845	0	-0.0675490177257296	0	0	0	0	0.00541243472298077	0	0	-0.0143856168791116	-0.0192597562452038	0	0	0	0	-0.00912456198278599	-0.040171748420318	0	0	-0.000789230176834295	0	-0.0106224260716709	0	0	0	0	0	0.0237563461770755	0.013023886222928	0	0
"flhA"	0.00908569152315744	0	0	0	0	0	0	0	0	0.110183118288147	0	0	0	0	0.105295070394349	0	0	0	1	0	0	0	0	0	0	0	0.111093572028778	0	0	0	0	0	0	0	0.0838340381852764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0175679572761282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101812829181357	0	0	0	0	0	0.110248718640482	0
"frmB"	-0.00447844312358741	0	0	0	0	0	0	0.0724757011418849	0	0	0.0714936387471406	0	0	0.069492972150857	0	0	0	0	0	1	0	-0.00361428289175438	0	-0.019112664294176	0	0	0	0	-0.0230603389054125	0	0	0.0911965598183946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0653592214184508	0	0	0	0	0	0.0736561789331177	0	0	0	0	0	0	0	0	0	-0.0147057092481219	0	0	0	-0.000898961453227916	0	0	-0.00502408752940708	0	0	0	0	0	0.0060229328897476
"frmC"	-0.0908351225897346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00797616549290069	0	0	1	0	0	-0.142886164616263	0	0	0	0	0	0	0	0	0	0	-0.0154887204785006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0546735959695492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145495216752582	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ftsW"	-0.0182652686204722	-0.0335814147152858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0344640318716018	-0.0120971748102956	0	-0.00361428289175438	0	1	0	-0.022040299662064	0	0.0325357015807221	0	0	0.0198352796683372	0	0	-0.0745954674862015	0	0	0	-0.0375291505335165	0	0	0	0	0	0	-0.00768296248051796	0	0	0	0	0	0	0	0	0	0	0.105411931546835	0.0663632223330498	0	0	0	0	0	0	0	0	0	0	0	0	0.0850776530189179	0.00186947078628532	0.0131382605839811	0	0	0	0.0856898393685848	0	0	0.00581643803604589	0	0	-0.0480608113690162	-0.0385950332874924	0	0
"glgA"	0	0.00423663637788143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00530238083650451	0	0	0	0	0	1	0.0570450677032948	0	0	0	0	0	0	0	0	0	0	0	0.00971367343541155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0288299911425546	0.028283662979974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0497313480125465	0.0241093595767402	0.0113084898247169	0	0
"glgP"	0.0877809462118989	0.041702263974419	0	0.0540075000421621	-0.155686567228926	-0.0952894737882061	0	-0.015404021501449	0.00524474021808714	0	-0.0150179995797647	-0.0471387158371283	0	-0.0147753877121489	0	-0.0478735794361658	0.0421067693956637	0.0972789557805804	0	-0.019112664294176	-0.142886164616263	-0.022040299662064	0.0570450677032948	1	0	0	0	0	0.0468980859887192	0	0	-0.0328034541195426	0.0738146349708605	-0.00975215729808221	0.0844107704254807	0.04217074359193	0.0070108530140504	-0.0923521606898378	0.00823911588798031	0.129369360935065	-0.149145071152349	0	0.133054258368786	0	0.148773407023763	0.185829063714179	-0.0444663077115295	0.11845599628917	0.133686737630131	-0.0956570260198315	-0.10291564659905	0.0698915290750386	0.101551144228944	-0.00844496558979379	0.0110236403573286	0.0667417751303238	0	-0.00895247213226742	0.0739662570096906	-0.0161486133986075	0.00123923793884291	-0.147478810845157	-0.151663594376038	0	0.138182922922099	0.00158078046037257	-0.0283434672698624	-0.0212882134470669	-0.149413405080056	0.0513107105204887	-0.0496785573358836	-0.0481495606034762	-0.0479622102087957	-0.0226942753210611	0.0509678148409138	0	0.0487475921609835	0.0490816150217247	0.139730435561682	0.0423050028483258	0.0447379505955558	0	-0.0900736281273233
"glmS"	0	0	0.078367289194727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0718541180606435	0	-0.0845309860299757	0	0	0	0	0	0	0	0	0	0.0726233560711332	0	0	0	0	0	0	0	0	0	0	0	0.0769368502801838	0	0	0	0	0	0	0	0	0	0.0640455423356669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0104948251903351	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325357015807221	0	0	0	1	0	0	0.033459183802957	0	0	-0.194621380962243	0	0	0	-0.00605459717168656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167334550122887	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251594567579233	0	0.0184025073690457	0	0	0	0.0278315073956792	0	0	0.00253467538505818	0	0	-0.0368609643807225	-0.0081076802998919	0	-0.000504032453824271
"glpR"	0.00812431087216597	0	0	0	0	0	0	0	0	0.11123596232019	0	0	0	0	0.106376933334087	0	0	0	0.111093572028778	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0841205555023699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0174972628753235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102906825967651	0	0	0	0	0	0.111318158180359	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.195328249357178	-0.00468894366125701	0	0	0	0	0	0	0	0	0	0	0	0.158370418740515	0	0	0	0	0	0	0	0	0	0.00509625637715905	0	0	0.19161325510165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gltL"	0.0249211577060806	-0.00508484702210927	0	0	0	-0.0275874346540158	0.00702516020550995	-0.0152036049922599	0	0	-0.0143594315849754	0	0	-0.012858531934568	0	0	-0.0061383623021899	0	0	-0.0230603389054125	0	0.0198352796683372	0	0.0468980859887192	0	0.033459183802957	0	0	1	0	0	-0.132906497617125	0	-0.00639280314375522	0	-0.0101126016976563	0	-0.0199911065051957	0	0	0	0	0	0	0.0219295245633688	0.0237305702788329	0	0	0	-0.0254742103432232	0	0	0	0.0725647192202154	0	0	0	-0.0052986557341079	0.00216751165363032	-0.0161652509590115	0	0	0	0	0	0	0	0.0162297192680748	0	0.0671783886723826	0	0	0	0.017405742524294	0	0	0.0633842813592584	0	0	-0.0219907843930159	-0.0105506348511186	0	-0.0409744309901023
"hupB"	0	0	0.0797518426640589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0718541180606435	0	0	0	0	1	0	-0.0851376345652948	0	0	0	0	0	0	0	0	0	0.07405146069407	0	0	0	0	0	0	0	0	0	0	0	0.0767311149778098	0	0	0	0	0	0	0	0	0	0.0655291097158124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0108877795445442	0	0	0
"hypE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195328249357178	0	0	1	-0.00594399462603878	0	0	0	0	0	0	0	0	0	0	0	0.159444919276826	0	0	0	0	0	0	0	0	0	0.00391704847465496	0	0	0.192705758782293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	-0.0367433194096849	0.0723721455421706	-0.0866199259026496	-0.0763698044184325	0	0.146694689918013	-0.0432598131609655	0.0876469690941865	0	0	0.0872199742981623	0.0154218768698032	0	0.0867203662028865	0	0.0153787008845714	0.0733534170898247	0	0	0.0911965598183946	0	-0.0745954674862015	0	-0.0328034541195426	-0.0845309860299757	-0.194621380962243	0	-0.00468894366125701	-0.132906497617125	-0.0851376345652948	-0.00594399462603878	1	0	0.122759811010195	-0.0225685129180626	0.0761035138483125	0	0.142723426711288	0.00441205374239837	0	0	-0.0843394371418131	0.0137240556299804	-0.01490457570577	-0.183798255289479	-0.211341814587986	-0.0085077810417336	0	0	0.145941326693754	0.0630985251548571	0	0	-0.0635581809226631	-0.0266651019868819	-0.0825904147091249	-0.00380168014809843	0.121957316352598	-0.0841403709449967	0.0881264767552993	-0.0349337389281161	0	0	-0.0814593673913555	0	-0.0352637352903651	0	-0.0732096990685828	0.00643637964529197	-0.148119704301274	0.0160679580947493	-0.0135770984229163	0.0159231594257341	-0.0733184463206267	-0.0441949265127095	0	-0.153691797029195	-0.0457041131291475	-0.0703089909855656	0.0752050031620983	0.0749973272963967	0	0.141448028574221
"ilvL"	0.112114643142362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0830296356310089	0	0	0	0	0	0.0738146349708605	0	0	0	0	0	0	0	0	1	0	0.0259279940385639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0436148790037543	0	-0.07030889306981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0125404842360862	0	0	0	0	0	0	0	0	0	0	0.00455400222194864	0	0	0
"infB"	-0.00101570898657752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00975215729808221	0	0	0	0	-0.00639280314375522	0	0	0.122759811010195	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0533385276760532	0	0	0	0.0755856711307959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.177794865087887	0	0	0.0659345470617842	-0.0353510898973628	-0.00218544921572207	0	0	0	0.0860335254359777	0	0	0	0	0.0807169719251924	0	0	0.0672433310640842	0.0838340381852764	0	-0.0154887204785006	0	0	0.0844107704254807	0	0	0.0841205555023699	0	0	0	0	-0.0225685129180626	0.0259279940385639	0	1	0	0	0	0	0	-0.0253413252701103	0	0	0	0	0	0	0	0	-0.000183022212206823	0	0.0206617189761771	0	-0.0398879180183665	0	0.0762590062848466	0	0	0.0818385221335427	0	0	-0.0238389450360715	-0.0303483437405788	0	0	0	0	0	-0.057936932699307	0	0	0	0	0	0	0.0776215513530432	0	0	0	0.00977535780137484	0.00168339028896197	0.0834446065316962	-0.0190961935853168
"kpsE"	0.0261044319463479	0.0497144580038892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0504536087506206	0.0112400514380729	0	0	0	-0.0375291505335165	0.00971367343541155	0.04217074359193	0	-0.00605459717168656	0	0	-0.0101126016976563	0	0	0.0761035138483125	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.141478943721883	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0334716515091239	-0.00429755616870462	-0.00339906488659493	0	-0.00566428191840199	0	-0.0350696059922239	0	0	0	0	0	0.0651463228198272	0.0543494831530578	0	0
"kpsM"	0.00643289166745331	0	0	0	0	0	0	0	0.13902710198484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0070108530140504	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.147195927934559	0	0	0	0.0105323847520996	0	0	0	0	0	0	0	0	0	0	-0.0754342306736533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"leuX"	-0.0543374128365725	0	0	0	0	0.016286971326366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0923521606898378	0	0	0	0	-0.0199911065051957	0	0	0.142723426711288	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0137670441146325	0	0	0	-0.0221883506882402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00972382931687492	0	0	0	0	0	0	0	0	0	0	0	0	0.0336963431256367
"lon"	0.00942488694445455	0	0	0	0	0	0	0	0.153675014391407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00823911588798031	0	0	0	0	0	0	0	0.00441205374239837	0	0	0	0	0.147195927934559	0	1	0	0	0	0.0306673802716753	0	0	0	0	0	0	0	0	0	0	-0.0755551604987297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129369360935065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0777240869671937	0.088147952448125	0	0	0	0	-0.070213514434972	0	0	0	0	0	0	0	0	0	0	0.0918653678812053	0	0	0	-0.00131094947088299	0	0	0	0	0	0	0	0	0	0	0.00655481443626336	0	0	0
"metH"	-0.0966038831102963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0152607649555754	0	0	0	0	0	-0.149145071152349	0	0	0	0	0	0	0	0	0	0	-0.0253413252701103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0571451072072683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209235354725121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mraZ"	0	0	0.0805179774040325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0726233560711332	0	0	0	0	0.07405146069407	0	-0.0843394371418131	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0764073951846752	0	0	0	0	0	0	0	0	0	0.0663023394737188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0108857265007573	0	0	0
"mrdA"	0.0666265710358498	0	0	0	0	0	0	0	0.0178656346929812	0	0	0	0	0	0	0	0	0.0135179474491762	0	0	0	-0.00768296248051796	0	0.133054258368786	0	0	0	0	0	0	0	0.0137240556299804	0	0	0	0	0.0105323847520996	0	0.0306673802716753	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.231433910135749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0020322216896287	0	0	0	0	0	0.0340923186465462	0	0	0
"mrdB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158370418740515	0	0	0.159444919276826	-0.01490457570577	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00389907987984656	0.0240658614829877	0	0.15583288682892	0	0	0	0.154136927742823	0	0	0	0	0.153440656599883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0.0767532108315983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148773407023763	0	0	0	0	0.0219295245633688	0	0	-0.183798255289479	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0057368136539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00626021036618228	0	0	0	0	0	0	0	0	0	0	0	0	-0.0133301409404478
"nusA"	0.0899668492866072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185829063714179	0	0	0	0	0.0237305702788329	0	0	-0.211341814587986	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00489897907305423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00648547081721122	0	0	0	0	0.0338329569528362	0	0	0.0170577900181024	0	0	0	0	-0.0260991120892717
"ompR"	-0.0186021409818609	0	0	0	0	0	0.0305514071175989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0444663077115295	0	0	0	0	0	0	0	-0.0085077810417336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.132487742613564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0582520387285262	0	0	0	0	0	0	0	-0.0208849932710189	-0.00147294315343553	0	0
"prfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11845599628917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0777240869671937	0	0	0	0	0	0	0	1	0.0791094965466966	0	0	0	0	-0.0667687369630533	0	0	0	0	0	0	0	0	0	0	0.0830595305860509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00161622025627463	0	0	0
