"ECB_00212"	"ECB_00256"	"ECB_00376"	"ECB_00825"	"ECB_01252"	"ECB_01992"	"ECB_02008"	"ECB_02035"	"ESCRE1901"	"ESCRE3628"	"IS3_insF"	"actP"	"araE"	"aspA"	"atoC"	"atpG"	"azoR"	"cbpA"	"clpB"	"cls"	"dapA"	"deoA"	"dusB"	"efeO"	"fbp"	"flhA"	"fruK"	"glgC"	"glgP"	"glmS"	"glpF"	"glpR"	"glpT"	"gltB"	"gor"	"gspG"	"gyrB"	"hsdR"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"metJ"	"mrdA"	"mreB"	"mreD"	"napA"	"nusA"	"ompR"	"pdhR"	"pta"	"pyrB"	"rho"	"rne"	"rplF"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsC"	"sdaC"	"secF"	"slyA"	"thiI"	"treF"	"ubiB"	"uspA"	"uxaA"	"wbbD"	"ybaL"	"ybeA"	"ybhI"	"ycjP"	"ydcN"	"yecP"	"yehU"	"yejM"	"yfcI"	"yfgA"	"ygaD"	"yggG"	"ygjF"	"yhhF"	"yjcO"
"aspA"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00526783911128977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143448234662499	0	0	0	0	0.0729596668575988	0	0	0	0	0	0	0	0	0	0	0	0	-0.112686223897945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0929382901211589	0	0	0	0	0.106360332454485	0	0	0	0	0	0	0	0	0	0	0	0	-0.122057250480553	0	0	0	0	0	-6.66693076915007e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpG"	0	0	0	0	0	0	0	0	0	0	0	0	-0.00487006261852621	0.00526783911128977	0	1	0	0	0	0	0	0	0	-0.00448221817763056	0	0	0	0.00102430727549924	0	0	0	0	0	0	0	0.00789304004477646	0	0	0	0.153305201616242	0	0	0	0	0.0755946052358572	0	0	0	0	0	0	0	0	0	0	0	0	-0.119485265726549	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100610201861455	0	0.00494736961449503	0	0	0	0	0	0	0	0	0	0	0
"azoR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261627184629451	0	0	0	0	0	0.115815437868035	0	0	0	0	-0.118140417804282	0	0	0	0	0.00246431762935143	0	0.0284500977747996	0	0	0	0	0	0.110349835272544	0	0	0	0	0	0.0149531774486267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cbpA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0948297967126649	0	0	0	0	0.107176521119696	0	0	0	0	0	0	0	0	0	0	0	0	-0.128115043028126	0	0	0	0	0	-0.0019452300979535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"clpB"	0	0	0	-0.0144688445503032	0	0.00554251622495042	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0839170464315186	0	0	0.00641688598217754	0	-0.0529606871878631	0	0	0	0	0	0.00857191520217944	0	0	0	0	-0.00336399011027741	0	-0.178182893559462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182227818465313	0	0	0	0	-0.000873763487832668	0	0	0	0	0	0	0	0	0	0	0	0	0.0285865151161518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.113610935569702	0	0	0	0	0.00627785981093601	0	0	0	0	0	0	0	0	0	0	0	0	0.151463952111075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145400647092379	0	0	0	0	0	0	0	0	0	0	0	0	0.101162798613586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.185491639091259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"efeO"	0	0	-0.0121989822884168	0	0	0	-0.0152681259704958	0	0	0	0.00839477626986371	0	0.0340979281978981	0	0	-0.00448221817763056	0	0	0	0	0	0	0	1	0	0	0	-0.0210440675826048	0	0	0	0	0	0	0	0	0	0	0	-0.0564787861835344	0	0	0	0	-0.194500659193607	0	0	0	0	0	0	0	0	0	0	0	0	1.05993835701152e-05	0	0	0	0	0	0.00904555145960314	0.0224770732145576	0	0	-0.00501198986000966	0	0	0	0	0	0	-0.0137752414190484	0	0	-0.0121042421232092	0	0	-0.0145499807769212	0	0	0	0
"fbp"	0	0	0	0	0	0	0	0	0.11569647471259	0.0851586120085609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0767592342590633	0	0	0	0	0	0	0	0	0	0	-0.0310592741731157	0	0	0	0	0.0664361063308175	0.0854311973964421	0	0	0	0	0	0	0	0	0	0	0	0.0102871533926787	0.168734692445093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0806449885293146	0	0	0	0	0	0	0	0	0
"flhA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.192729135523964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0216943618339713	0	0	0	0	-0.0355285554705122	0	0	0	0	0	0	0	0	0	0	0	0	-0.205686855366412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	0.0122827839385457	0.000931723653855901	0	0	0.0155563964842989	0	0	0	0	0	-0.0224709316171718	0	0	0.00102430727549924	0	0	0	0	0	0	0	-0.0210440675826048	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.132138066958386	0	0	0	0	0.154696057800886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00700766235926115	0	0	0	0	0	0	0	0	0	0	0	0	0.0121529102666141	0	0	0	0	0	0	0
"glgP"	0	0	0	0	0	0	0	0	-0.0236528400788825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0767592342590633	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0153882513692956	0	0	0	0	-0.0396911815320863	0	0	0	0	0	0	0	0	0	0	0	0	0.0792041975946472	-0.0932648873963099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.115804890900425	0	0	0	0	0.00685168858372518	0	0	0	0	0	0	0	0	0	0	0	0	0.154693878837594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.164173509340195	0	0	0	0	-0.0993318817839834	0	0	0	0	0	0	0	0	0	0	0	0	-0.0853309632631262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.19441360307101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0719782805566261	0	0	0	0	0.0844197557771339	0	0	0	0	0	0	0	0	0	0	0	0	-0.198184148006172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gltB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261627184629451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.112093898186633	0	0	0	0	-0.114530376752012	0	0	0	0	0	0	0.0249781893917481	0	0	0	0	0	0.108302450643588	0	0	0	0	0	0.0119080500552707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gor"	0	0	0	0.0266470190130788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.185350788570995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145855369195862	0	0.087232793686669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gspG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00789304004477646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.145675304845016	0	0	0	0	0.0758303809198521	0	0	0	0	0	0	0	0	0	0	0	0	-0.114649423507773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gyrB"	0	0	0	0.0250685560062352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.183076323897249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127623744649236	0	0.0860872154988294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsdR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.153876421712614	0	0	0	0	0	0	0	0	0	0	0	0	0.109148136456652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0558454846616861	0	0	0	0	-0.210997723345371	0	0	0	0	0	0	0	0	0	0	0	0	-0.217896859985173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	-0.0186408175422337	-0.106080246884503	0.131608047705385	0.205824031046479	-0.0948285820095625	-0.0299959030450579	0.133035103819045	-0.0935794599863706	-0.0378574810569713	0.0427922383402944	-0.0502263446352311	-0.19307704140076	-0.0555587445634079	0.143448234662499	-0.0929382901211589	0.153305201616242	0.115815437868035	-0.0948297967126649	-0.0839170464315186	0.182227818465313	-0.113610935569702	0	-0.185491639091259	-0.0564787861835344	-0.0310592741731157	-0.192729135523964	-0.0216943618339713	0.132138066958386	-0.0153882513692956	-0.115804890900425	0.164173509340195	-0.19441360307101	0.0719782805566261	0.112093898186633	0.185350788570995	0.145675304845016	0.183076323897249	0	-0.0558454846616861	1	0.0463885885384463	-0.117065669223042	-0.0844907264831694	0	-0.0352695328904706	-0.00115490598581694	-0.0999906560856076	0.0510706961274807	-0.0419693188372312	0.0877324603274752	-0.0845826965902929	0.116051271489723	-0.118919176875714	0.133116881130351	0.182358109666677	0.20037910465121	-0.0396325363733526	-0.0270824016744247	0.02716682404284	-0.0915365068816038	-0.101640375744846	0	0.0488481102753596	0.0927897875870118	-0.0561034011085467	0	-0.118071625392118	0.0151915830305666	-0.0181460060533044	0	-0.0217283977141454	0.148589279861844	-0.0055638042688904	0.142946589629127	0.0160168149889816	0.0424722803858831	-0.101814391918125	0.131046765652366	-0.124487269866037	-0.181865366733205	0.0157982859116361	-0.116791367150501	-0.116419029636776	0.0499608626361845	-0.19451233393323
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0463885885384463	1	0	0	0	-0.0439527902008721	0	0	0	0	0	0	0	0	0	0	0	0	-0.150353227113012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.117065669223042	0	1	0	0	0.000339348583533651	0	0	0	0	0	0	0	0	0	0	0	0	0.10486230118225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0	0	0	-0.00610672885064871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00641688598217754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0844907264831694	0	0	1	0	-0.0475151906663115	0	0	0	0	0	0	0	0	0	0	0	0	-0.17209717625598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.155828284225219	0	0	0	0	0	0	0	0	0	0	0	0	0.110529467486865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	-0.124132105895833	0.156516815233187	0.150129438981407	0	0.151628144484587	-0.0417097167823423	0.152206352468434	0.149732588176226	-0.0205566287784351	0.00961025880804327	-0.174694515539666	0	-0.194127299308917	0.0729596668575988	0.106360332454485	0.0755946052358572	-0.118140417804282	0.107176521119696	-0.0529606871878631	-0.000873763487832668	0.00627785981093601	0.145400647092379	0	-0.194500659193607	0.0664361063308175	0	-0.0355285554705122	0.154696057800886	-0.0396911815320863	0.00685168858372518	-0.0993318817839834	0	0.0844197557771339	-0.114530376752012	0	0.0758303809198521	0	0.153876421712614	-0.210997723345371	-0.0352695328904706	-0.0439527902008721	0.000339348583533651	-0.0475151906663115	0.155828284225219	1	-0.0590032472133253	0.039167377249099	-0.0491964490332768	-0.145030665615413	-0.198738829061009	-0.0499852144387088	-0.117592479138445	0.00873835886469231	-0.146432576193116	0	0	-0.0219082600254157	0	-0.0109655464045403	0.104435754488526	0.153533190538114	0.154651471870638	-0.0488062015546841	-0.204414248972203	-0.196008324508583	0.158113763166718	0.00971914179514582	0.174767755954767	-0.121440692022338	0.154959253471179	0.0276793241977939	0.0764517139185985	-0.111161951885169	0.0736060397619203	0.184150988544588	0.00985278684133114	0.0390502362248782	0.150873249932667	-0.10693338109977	0	0.18502746976986	-0.100123670924948	0.0091770765412867	-0.0519123727413635	0
"mreB"	0	0	0	0	0	0	0	0	0.0366468473609496	0.0456548015384656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0854311973964421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00115490598581694	0	0	0	0	-0.0590032472133253	1	0	0	0	0	0	0	0	0	0	0	0	0.0216849707060053	0.144014974650067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0330947921984552	0	0	0.0386765319003066	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0999906560856076	0	0	0	0	0.039167377249099	0	1	0	0	0	0	0	0	0	0	0	0	-0.200916234894795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"napA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0510706961274807	0	0	0	0	-0.0491964490332768	0	0	1	0	0	0	0	0	0	0	0	0	-0.162909616658197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0419693188372312	0	0	0	0	-0.145030665615413	0	0	0	1	0	0	0	0	0	0	0	0	0.0131448640679758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ompR"	0	-0.00652816118033791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00246431762935143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0877324603274752	0	0	0	0	-0.198738829061009	0	0	0	0	1	0	0.00190733496927764	0	0	0	0	0	0.0157683720265582	0	0	0	0	0	0.0360988567574183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pdhR"	0	0	0	-0.00791176706380551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00857191520217944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0845826965902929	0	0	0	0	-0.0499852144387088	0	0	0	0	0	1	0	0	0	0	0	0	-0.173299188331725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284500977747996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249781893917481	0	0	0	0	0	0.116051271489723	0	0	0	0	-0.117592479138445	0	0	0	0	0.00190733496927764	0	1	0	0	0	0	0	0.109430976266179	0	0	0	0	0	0.0144714251707598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pyrB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118919176875714	0	0	0	0	0.00873835886469231	0	0	0	0	0	0	0	1	0	0	0	0	0.157485993116242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133116881130351	0	0	0	0	-0.146432576193116	0	0	0	0	0	0	0	0	1	0	0	0	0.0865994889957005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rne"	0	0	0	0.0242896378408036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182358109666677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0117522885898557	0	0.0843542872097525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
