"ECB_00739"	"ECB_01992"	"ECB_02002"	"ECB_02804"	"ECB_04076"	"ESCRE1328"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"aroA"	"cls"	"crp"	"dapA"	"dusB"	"fbp"	"flhA"	"glgC"	"glgP"	"glmS"	"glpR"	"glpT"	"hslU"	"hyfG"	"iclR"	"ilvE"	"kpsD"	"kpsE"	"leuX"	"metA"	"metJ"	"mrdA"	"mrdB"	"mreB"	"nagD"	"nusA"	"ppiA"	"proQ"	"pta"	"puuP"	"pyrB"	"rho"	"rpoB"	"rpoC"	"speB"	"ubiB"	"wzyE"	"ybaL"	"ybhJ"	"ycbC"	"yehU"	"yfcN"	"yfgA"	"ygjF"	"yjbA"	"yjcO"	"yqeA"	"yraQ"
"aroA"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.118692371784733	0	0.233277138063364	0	0	0	0.0192933039999801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0587895533781657	0	0	0	0	0	0	0	0
"cls"	0.0452331676321703	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0083862826936116	0	-0.00786014528790119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0779650597910072	0	0	0	0	0	0	0	0
"crp"	-0.0284825386632901	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0866343048699171	0	0.136443329621967	0	0	0	0	0	0	0.0997507591394997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.114037329881208	0	0	0	0	0	0	0	0
"dapA"	-0.125815204686441	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.005181117205257	0	0.0452137943814453	0	0	0	0	0	0	-0.123432621825318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.120906692015163	0	0	0	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.158050821741954	0	0.0196113504684585	0	0	0	0	0	0	-0.143047829654744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	-0.115179715808246	0	0	0.130979876467542	0.15349114017865	-0.0235647904736469	0.156345469814799	0.0801559546113645	0.128819808363469	-0.161774808741806	-0.118692371784733	-0.0083862826936116	0.0866343048699171	0.005181117205257	-0.158050821741954	1	-0.161594592417217	-0.0779894777750807	0.0826673954894641	0.00427367723873905	-0.14800091821481	-0.122508303429603	0	0.154803914004248	-0.0343769256650814	0.0756622967630013	-0.103406743132617	0.0957090843430577	-0.0201343630064819	0.0854398704835568	-0.0642251618772056	0	-0.0360780120067924	0.14937076845178	0.130621471542032	0.23487652724689	0.212893451751322	0	-0.020566953115563	0.12976650078074	0.00693793972527657	0	-0.0245042024762422	0.175567548259079	0.0806999819829763	0.00681889738688843	0.004813222706407	-0.0945598536444306	-0.0581082090613242	-0.0482642782920184	-0.160479558609304	-0.162455768837602	-0.155591626901399	0.006098150052872	0.157414732248893	-0.162331322311704	-0.0210865336941205	-0.155976197426652
"flhA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.161594592417217	1	0.0201140466125411	0	0	0	0	0	0	-0.149955347217258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	-0.00285959015907713	-0.272588055585676	-0.12631483185809	-0.031292181103636	-0.175125413071778	0.113924730460783	0.0622845584074873	0.126555104268509	-0.0152353544363576	0.0205965165845871	0.233277138063364	-0.00786014528790119	0.136443329621967	0.0452137943814453	0.0196113504684585	-0.0779894777750807	0.0201140466125411	1	-0.0482960196951406	0.0458139548200197	-0.0677489041689358	0.239495678577111	-0.129159724230085	-0.176835250553692	0.015714713061442	-0.0769157751241909	0.195790224467062	0	0.113280133298525	0.145961482974565	-0.14366511102829	0.283151851105263	0.0305349754759029	-0.169971458260387	-0.0158096485484245	0	0	-0.127499775185563	0.117118937355013	-0.0155889462936483	0.0501772252580399	-0.011825037951282	0.00191442404829938	-0.0489871226266784	0.129669807014848	0.0501873522243289	-0.128364163490454	0.203951172837517	-0.133609271741285	-0.0562013883572488	0	0	0.0191793500353865	0.048069232155661	-0.181007645670898	0.0208517536255747	0.122754130701214	0
"glgP"	-0.150602620326263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0826673954894641	0	-0.0482960196951406	1	0	0	0	0	0	-0.18213326453504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0303345724744516	0	0	0	0	0	0	0	0
"glmS"	-0.126334165765636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00427367723873905	0	0.0458139548200197	0	1	0	0	0	0	-0.127706922571619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.120942517454096	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14800091821481	0	-0.0677489041689358	0	0	1	0	0	0	-0.195416313306067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646879417859117	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0.0192933039999801	0	0	0	0	-0.122508303429603	0	0.239495678577111	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0610716633377353	0	0	0	0	0	0	0	0
"hslU"	0.100898359151408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.129159724230085	0	0	0	0	1	0	0.0583453627536522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136174622679912	0	0	0	0	0	0	0	0
"hyfG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154803914004248	0	-0.176835250553692	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0.0325468499343066	0	0.0572350672591123	0.203035951402083	0	0.188327915509103	0	0.0897239710737742	0.191116964775161	-0.14713608227926	0	0	0.0997507591394997	-0.123432621825318	-0.143047829654744	-0.0343769256650814	-0.149955347217258	0.015714713061442	-0.18213326453504	-0.127706922571619	-0.195416313306067	0	0.0583453627536522	0	1	-0.192883166297108	-0.180517803862148	0.0325740064904333	0.178911104155821	0.107921118555442	-0.127570645732312	0.0350909642865214	0	0	0.19267802305984	0.1244202220474	0	0.0560005561497887	0.183552584340915	0.191691140024585	-0.128185081304683	0.177409896455821	-0.0747991373897752	-0.138251590915481	0.0925471676611695	-0.128244884336422	-0.210469003243193	0	-0.12685250535691	0.000549195141677925	0.0026081494692083	0.00268283354168891	-0.139890353927711	-0.126341679392449	0	-0.147381800861573	0.190070482715924	0.0024638558150233
"ilvE"	-0.107368171539762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0756622967630013	0	-0.0769157751241909	0	0	0	0	0	0	-0.192883166297108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0239907022974359	0	0	0	0	0	0	0	0
"kpsD"	-0.0451232267593461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.103406743132617	0	0.195790224467062	0	0	0	0	0	0	-0.180517803862148	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0928492211309871	0	0	0	0	0	0	0	0
"kpsE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0957090843430577	0	0	0	0	0	0	0	0	0.0325740064904333	0	0	1	0	0	0	0	0.00680402047485597	0	0	0	0	0	0	0	0	0	0.245871149372817	0	0	0	0	0	0	-0.048050133313886	0	0	0	0	0	0	0	0
"leuX"	0.0615579183384013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0201343630064819	0	0.113280133298525	0	0	0	0	0	0	0.178911104155821	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	-0.0324127703635948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0854398704835568	0	0.145961482974565	0	0	0	0	0	0	0.107921118555442	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.117080880113795	0	0	0	0	0	0	0	0
"metJ"	0.00161798212215668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0642251618772056	0	-0.14366511102829	0	0	0	0	0	0	-0.127570645732312	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0924783269136071	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283151851105263	0	0	0	0	0	0	0.0350909642865214	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0961012204687588	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0360780120067924	0	0.0305349754759029	0	0	0	0	0	0	0	0	0	0.00680402047485597	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.202189037968441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14937076845178	0	-0.169971458260387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nagD"	0	0	0	0.0103278968793238	0	0	0	0	0	0	0	0	0	0	0	0.130621471542032	0	-0.0158096485484245	0	0	0	0	0	0	0.19267802305984	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	-0.0430002440719565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23487652724689	0	0	0	0	0	0	0	0	0.1244202220474	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0637233230383283	0	0	0	0	0	0	0	0
"ppiA"	-0.113236473994645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212893451751322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0903643100637884	0	0	0	0	0	0	0	0
"proQ"	0.0987222658499201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127499775185563	0	0	0	0	0	0	0.0560005561497887	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.133890685631986	0	0	0	0	0	0	0	0
"pta"	0.0625707760866685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.020566953115563	0	0.117118937355013	0	0	0	0	0	0	0.183552584340915	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"puuP"	0	0	0	0.00911642803952264	0	0	0	0	0	0	0	0	0	0	0	0.12976650078074	0	-0.0155889462936483	0	0	0	0	0	0	0.191691140024585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pyrB"	-0.127980934928729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00693793972527657	0	0.0501772252580399	0	0	0	0	0	0	-0.128185081304683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.123738689824862	0	0	0	0	0	0	0	0
"rho"	0.12319567250048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.011825037951282	0	0	0	0	0	0	0.177409896455821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.111935695253407	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0245042024762422	0	0.00191442404829938	0	0	0	0	0	0	-0.0747991373897752	0	0	0.245871149372817	0	0	0	0	0.202189037968441	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	-0.16244761884099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175567548259079	0	-0.0489871226266784	0	0	0	0	0	0	-0.138251590915481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0560081337091934	0	0	0	0	0	0	0	0
"speB"	-0.0238225711925789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0806999819829763	0	0.129669807014848	0	0	0	0	0	0	0.0925471676611695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.108227280388057	0	0	0	0	0	0	0	0
"ubiB"	-0.12795905823347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00681889738688843	0	0.0501873522243289	0	0	0	0	0	0	-0.128244884336422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.123719939616037	0	0	0	0	0	0	0	0
"wzyE"	-0.0595412616216171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004813222706407	0	-0.128364163490454	0	0	0	0	0	0	-0.210469003243193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0945598536444306	0	0.203951172837517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ybhJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0581082090613242	0	-0.133609271741285	0	0	0	0	0	0	-0.12685250535691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0815240852892096	0	0	0	0	0	0	0	0
"ycbC"	0.0767234541171122	0.13461185181495	0.133467735716869	0	0	0	-0.178991710296451	-0.106640814323443	0	0	-0.0587895533781657	0.0779650597910072	-0.114037329881208	-0.120906692015163	0	-0.0482642782920184	0	-0.0562013883572488	-0.0303345724744516	-0.120942517454096	0.0646879417859117	-0.0610716633377353	0.136174622679912	0	0.000549195141677925	-0.0239907022974359	-0.0928492211309871	-0.048050133313886	0	-0.117080880113795	0.0924783269136071	-0.0961012204687588	0	0	0	-0.0637233230383283	-0.0903643100637884	0.133890685631986	0	0	-0.123738689824862	0.111935695253407	0	-0.0560081337091934	-0.108227280388057	-0.123719939616037	0	0	0.0815240852892096	1	0.0934628064083105	0.0950857483706299	0	-0.122803307437918	0	0	0	0.0900265873739965
"yehU"	0.120388417050248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.160479558609304	0	0	0	0	0	0	0	0	0.0026081494692083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0934628064083105	1	0	0	0	0	0	0	0
"yfcN"	0.121622879230025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.162455768837602	0	0	0	0	0	0	0	0	0.00268283354168891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0950857483706299	0	1	0	0	0	0	0	0
"yfgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.155591626901399	0	0.0191793500353865	0	0	0	0	0	0	-0.139890353927711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ygjF"	-0.127361144220476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006098150052872	0	0.048069232155661	0	0	0	0	0	0	-0.126341679392449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.122803307437918	0	0	0	1	0	0	0	0
"yjbA"	-0.000495901581273251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157414732248893	0	-0.181007645670898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yjcO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.162331322311704	0	0.0208517536255747	0	0	0	0	0	0	-0.147381800861573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yqeA"	0.0638171310542112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0210865336941205	0	0.122754130701214	0	0	0	0	0	0	0.190070482715924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"yraQ"	0.117630839366972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.155976197426652	0	0	0	0	0	0	0	0	0.0024638558150233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0900265873739965	0	0	0	0	0	0	0	1
