"ECB_00256"	"ECB_00739"	"ECB_01252"	"ECB_01992"	"ECB_01996"	"ECB_02003"	"ECB_02035"	"ECB_02800"	"ESCRE0483"	"ESCRE1901"	"IS3_insF"	"actP"	"aroK"	"clpB"	"cls"	"crp"	"dapA"	"deoA"	"dinG"	"dnaA"	"dnaX"	"dusB"	"fbp"	"fis"	"flhA"	"fruK"	"ftsH"	"glgA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hsdR"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"mdoH"	"metA"	"metH"	"metJ"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"napA"	"nusA"	"ompR"	"orn"	"oxyR"	"pdhR"	"ppiA"	"ppk"	"pyrB"	"rhlB"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsC"	"rpsR"	"rssB"	"sbmA"	"sdaC"	"secF"	"slyA"	"speB"	"sucB"	"tig"	"tktB"	"torS"	"treF"	"ubiB"	"ulaG"	"vacJ"	"wbbD"	"wcaI"	"yahN"	"ybaL"	"ybjE"	"yccE"	"ycgV"	"ydgR"	"yeeJ"	"yehU"	"yfcN"	"yfgA"	"ygcN"	"ygfA"	"ygiV"	"ygjF"	"yhaO"	"yhhF"	"yicC"	"yjaG"	"yjaH"	"yjcF"	"yjcO"	"yjhA"	"ykgE"	"yraM"	"yraQ"
"IS3_insF"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00652557206720383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0159008524746839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"clpB"	0	0	0	0.106186978531391	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117249130731565	0	0	0	0	0.117691056959882	0	0	0	0	0	0	0	0	0	0	0.119962156948303	0	0	0	0	0	0.133143085312926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127132932702511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.347029644032118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0.023161908844674	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322583989774814	0.0488650676721382	0	0	0.109468067230528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dinG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0449065167540914	0	0.0505027013709982	0	0	0.12236226396945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0553214207473294	0.0298896865532166	0	0	0	0	0	0	0.00373377046281601	0	0	0	0	0	0	0.0389101289672627	0	0	0	0	0.125656764311813	0	0	0	0	0	0.042066919875251	0.045117667484003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0911599798836401	0	0	0	0	0	0.123362976616652	0	0	0	0	0	0	0
"dnaX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449065167540914	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20825998903409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0765615496372871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0683792400341883	0	0	0	0	0.0310338675280954	0.0329491413333722	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0.0776347838211798	0	0.0143209819529297	0	0	0.0225067966642222	0	0	0	0.0139254862781079	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169474406081036	0.00718297117732464	0	0	0	0	0	0	0.0305027303330915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252673171676985	0	0	0.00496174297833752	-0.0137078935862553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0926245090317262	0	0	0.0658277783374503	0	0	0	0	0
"fis"	0	0	0	0.0771812231281947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505027013709982	0	0	0	1	0	0	0.122261567400323	0	0	0.161402520076079	0	0	0	0	0	0	0	0	0.0487327813683046	0	0	0.0109855136006022	0.0169639657778991	0	0	0	0	0	0	0.0545140602119344	0	0	0	0.125552152293738	0	0	0.00654791968007211	0	0	0	0	0	0	0	0	0	0	0	0.0392764632826872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123681257763199	0	0	0	0	0	0	0
"flhA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101758635887207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ftsH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12236226396945	0	0	0	0.122261567400323	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0588342033891462	0	0	0	0.100279025391298	0	0	0	0	0	0	0.0668710758750345	0	0	0	0	0	0	0.103438863380234	0	0	0	0	0	0	0	0	0	0	0	0.11040392569904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143781982981013	0	0	0	0	0	0	0
"glgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0761161079338802	0	0	0	0	0	0	0	0	-0.0177661026092138	0	0	0	0	0	0	0	0	0	0	0.139142189461595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0	0	0.0731895292685839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161402520076079	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0136197688915588	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035986983013948	0	0	0	0	0	0	0	0	0	0	0	0.171671419850014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0358232800788307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00879418940286837	0	0	0	0	0	0	-0.0349120233003945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00898503842556038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0761161079338802	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.00367597160164286	0	0	0	0	0.0342786275775945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0.0302903449276311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00879418940286837	0	0	1	0	0	0.0747890999411024	0	0	0	0	0	0.0661234839084266	0	0	0	0	0	0	0.0972789816885232	0	0	0	0.00658077975786455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0647251225013186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0309318646424709	0	0	0	0	0	0	0	0	0
"gltL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsdR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0303241036989628	0	0	0	0	0	0.0316698272827851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00974632453327927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0.189442183203965	0	0	0	0	0	0	0	0	0	0.117249130731565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747890999411024	0	0	1	0	0	0	0.0271449118279742	0.0212094449714074	0	0.11802588866707	0	0	0	0	0	0	0	0	0.040140893447032	0.0128640018497752	0	0	0	0	0.0864940504896794	0	0	0	0	0	0	0	0	0.0526268334460066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108266852955637	0	0	0	0.0528099890631191	0	0	0	0	0	0	0	0.0360694986242288	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0487327813683046	0	0	0.0588342033891462	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.246601151903445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0608336197837985	0	0	0	0	0	0	0
"ilvL"	0	0	0	0.00218820901364695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0472752867134662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.121431030829249	-0.0892378196630162	0.089658601945494	0.0177652528759597	0	0.0242029812400544	0.0623800217550806	0	-0.0238811343450477	0.112092180115209	0	0.00652557206720383	-0.0159008524746839	0	-0.347029644032118	0.0322583989774814	0	0	0	0.0553214207473294	0	0.20825998903409	0.169474406081036	0.0109855136006022	0.0101758635887207	0	0	0	-0.0177661026092138	0.0136197688915588	0.0358232800788307	-0.0349120233003945	0	-0.00367597160164286	0	0	0.0303241036989628	0.0271449118279742	-0.246601151903445	0.0472752867134662	0	1	0.0574194318967568	0	6.62052391916101e-05	0.0437509935310985	-0.0469580373431487	0	-0.0979302263242035	0.267829465019889	0	0	-0.00513136292503604	-0.0347639566509467	0	-0.00545393026266484	0	-0.0769264498631419	-0.062306699973705	0	0	0.0412424292072672	0.102792202732043	-0.0976207378220667	-0.452045315120936	0.0017343086581072	0.0422652061198495	0.184486540456467	0	0	0.0862000097288578	-0.267358712361668	-0.0883987896848051	-0.0173397529490628	0.017965389032396	0	-0.0280595954051066	0	0	-0.0611903009425498	0	-0.108337062336425	0.0334175727091253	0.102450562088899	0	0	0.00294173976016515	0	-0.026545151750494	-0.0193156348442078	0	0	0	0	0.133165109867727	-0.0287407535153811	-0.062395106021074	0	0	0.0229231593056716	0.109660178667389	0.0661625641282406	0	0	0.0388313141796763	0	-0.00364554238509532	0.0328810204514255	0.0206586494148415	0	0	0.0641627039186131	0
"kpsE"	0	0	0	0	0	0.0141531473962368	0	0	0	0	0	0	0	0.117691056959882	0	0.0488650676721382	0	0	0	0.0298896865532166	0	0	0.00718297117732464	0.0169639657778991	0	0	0.100279025391298	0	0	0	0	0	0	0	0	0	0	0.0212094449714074	0	0	0	0.0574194318967568	1	0	0	0.0921999128759121	0	0	0	0.162648958295547	0	0	0	0.0430128972727283	0	0	0	0	0	0.0870173363763777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321410250327142	0	0	0	0	0	0	0	0	0.094314977907203	0.101548586128269	0	0.0639528991428411	0	0	0	0	0
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0661234839084266	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0661145252700548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mdoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11802588866707	0	0	0	6.62052391916101e-05	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115196582749731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	0	0	0	0	0	0	0	0	0	0.0733774626166571	0	0	0	0	0	0.109468067230528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0437509935310985	0.0921999128759121	0	0	1	0	0	0	0.0284284359862099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
