"ECB_00739"	"ECB_01992"	"ECB_01999"	"ECB_02804"	"ECB_03523"	"ESCRE0749"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"abgB"	"actP"	"araE"	"aspA"	"atoC"	"atpE"	"atpG"	"bglJ"	"cbpA"	"cls"	"crp"	"cysQ"	"dacA"	"dapA"	"dusB"	"efeO"	"fbp"	"fis"	"flhA"	"fruK"	"glgA"	"glgP"	"glmM"	"glmS"	"glpF"	"glpR"	"glpT"	"gspG"	"hemA"	"hemL"	"hupB"	"iclR"	"ilvG"	"ilvL"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"lysP"	"lysR"	"metA"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"nagD"	"napA"	"nuoA"	"nusA"	"ompR"	"pbpG"	"pmbA"	"ppiA"	"puuP"	"pyrB"	"rho"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsR"	"rssB"	"secF"	"sufD"	"thiI"	"thrB"	"truB"	"ubiB"	"uspA"	"wbbC"	"wzyE"	"yahG"	"ybaL"	"ybeA"	"ybhJ"	"ybiW"	"ycbS"	"ycjP"	"ydcN"	"yehU"	"yfgA"	"ygaD"	"ygjF"	"yhaO"	"yhhF"	"yhiO"	"yjcO"	"yjhA"	"ynjI"	"zraR"
"actP"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00771980594164954	0	0	0	0	-0.174492398713257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"araE"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0145924556914287	0	0	0	0	-0.100397033208515	0	0	0	0	0	0	0	0	0	0.0948361399027278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0924485970968571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aspA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00116020370547472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135226452652722	0	0	0	0	0.080546251078861	0	0	0	0	0	0	0	0	0	-0.0326785348559598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0525193826342172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322572304639672	0	0	0	0	-0.0091262369537493	0	0	0	0	0	0	0	0	0	0.0413859951456862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.182759600801072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000465328819855638	0	0	0	0	0.104844143249378	0	0	0	0	0	0	0	0	0	-0.0966298579312265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106464946647312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpG"	-0.00626530722430317	0	0	0	0	0	0	0	0	0	0	0	0.00116020370547472	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146306988409412	0.00905610908448379	0	-0.00189838847025186	0	0.0853780748794774	0	0	0	0	0	-0.00217337608936099	0	0	0	-0.0476725246128246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0705076766414772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00920113703254177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bglJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112541727725694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125040621318667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00776929086606548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cbpA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335801243102633	0	0	0	0	-0.0113141266328515	0	0	0	0	0	0	0	0	0	0.0468436359128521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.187845228736269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0918008257805606	0	0	0	0	0	0	0	0	0	-0.00726881964731005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00557106928472806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167965565306311	0	0	0	0	-0.0117273929149715	0	0	0	0	0.00183274920868195	0	0	0	0	-0.114860365895723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124652162519898	0	0	0	0	0	0	0	0	0	0	0	0	0.00438433696797636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cysQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0448286950504348	0	0	0	0	0.00897450090289403	0	0	0	0.0136417345281613	0	0	0	0	0	0.124321760297156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102296169149447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dacA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011177827741809	0	0	0	0	0.109817714539457	0	0	0	0	0	0	0	0	0	-0.0987192978641591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111292525441864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0402561910797653	0	0	0	0	-0.0658943014470063	0	0	0	0	0.0198900929628524	0	0	0	0	-0.0172271242990833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067164298558485	0	0	0	0.158421192080502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00686827673436048	0	0	0	0	-0.165242557101319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"efeO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0148004074440389	0	0	0	0	-0.10041205597023	0	0	0	0	0	0	0	0	0	0.0948416160806287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0920978161631066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.135096456138	0	0	0	0	-0.0147123287864475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122977276183353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.062369329953652	0	0	0	0	0.146032831660925	0	0	0.00127995282344531	0	-0.0125132968945985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0818539884878061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"flhA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00782143796376	0	0	0	0	-0.174970450387511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0889668544251148	0	0	0	0	-0.0887976865338215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0628498359384404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.104990917219751	0	0	0	0	0.0140899189714793	0	0	0	0	0	0	0	0	0	0.0967618559099228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0.0501454384170184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0461473066624111	0	0	0	0	0.0105358504821392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00568458835938114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.00281293454487735	0	0	0	0	0.10109861240831	0	0	0	0	-0.0183209177155538	0	0	0	0	0.0881456388873859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0997590199775808	0	0	0	0	0	0	0	0	0	0.00716104989851809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0432796721214018	0	0	0	0	-0.0675677139589602	0	0	0	0	0.0237834623683553	0	0	0	0	-0.0207049050816332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00517684497494158	0	0	0	0.161746476579191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0140638665308046	0	0	0	0	-0.00927511786832513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0883660964836071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.051260767687394	0	0	0	0	-0.198584341988351	0	0	0	0	0	0	0	0	0	0.0134555756022703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	-0.154135198577529	0	0.01630225677461	-0.106649742573586	0.104640923717905	-0.0828057942674407	-0.0347771382229839	-0.0121982340104289	-0.0980383822182555	-0.0896541878043599	0.00771980594164954	-0.0145924556914287	0.135226452652722	0.0322572304639672	0.000465328819855638	0.146306988409412	0.112541727725694	0.0335801243102633	0	0.0167965565306311	-0.0448286950504348	0.0011177827741809	-0.0402561910797653	0.00686827673436048	-0.0148004074440389	-0.135096456138	0.062369329953652	0.00782143796376	0.0889668544251148	-0.104990917219751	-0.0461473066624111	-0.00281293454487735	-0.0432796721214018	0.0140638665308046	-0.051260767687394	1	0.140975196440487	0.0289142515403959	-0.147663073540949	0	0	0.036787866953686	0.183665335659381	0.0462603277621834	-0.0959660476539181	0	-0.1485942075474	0.112186839628361	0.0257179912692333	-0.0895006570709033	-0.0763591698040272	0.0465582903349044	-0.0829679416154188	0.0655795045554662	0.00619809398307959	-0.0988063313525046	-0.00324669856642935	0.0368527577759231	-0.0897518231126254	-0.0794733683592339	0.0998095153889829	-0.0863219161775803	-0.130160745957488	-0.0526103382193248	0.0638649566679206	0.0176649034055351	-0.125836123072481	-0.0753329525131258	-0.0317480868712239	0	-0.00789297550872441	0.00714405298236073	-0.104351898795996	-0.00663597892328546	0.0016341123066818	0.0191769405082725	0.0340758956013401	0.114888037003943	0.0999927032644904	0.0490978131210407	-0.0553408680431843	0.0998214076476119	0	-0.0278007569267125	0.0991697195002918	0.0533221603345387	-0.0817101367715625	0.132894638999819	0.023074185831641	0.141724170654848	-0.0816195930547242	-0.0877352230542355	-0.0864053495161812	0.132726932202915	0.10086406117939	0.0618085729864808	0.00710346267436984	0.107146901603474	-0.0253478307697393	-0.107731069275082	0.100120236430508	0.0641929956150014	0.00797360540360714	0.0467624302133107	0.0216664335927288	-0.080832296626071
"gspG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00905610908448379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140975196440487	1	0	0	0	0.0819197353023795	0	0	0	0	0	0	0	0	0	-0.03966004882857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0615859647323493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hemA"	0	0	0	0	0	0	0.0118061415562487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289142515403959	0	1	0	0	-0.103611891686481	0.01404649135499	0	0	0	0	0	0	0	0	-0.0908186691825208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676217626615907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hemL"	0.000731163924417899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00189838847025186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.147663073540949	0	0	1	0	-0.0763822466364336	0	0	0	0	0	0	0	0	0	0.0699520048643953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227692448193437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.147782433618433	0	0	0	0	0	0	0	0	0	0.0727437514504541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.165082990680741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	-0.0762418670555004	-0.00857153198913929	-0.103440805950517	0.125325563649627	-0.0392011244734342	0.116293076472199	-0.062725449623413	-0.0841481861730886	0.124603824080574	0.129889627058459	-0.174492398713257	-0.100397033208515	0.080546251078861	-0.0091262369537493	0.104844143249378	0.0853780748794774	0	-0.0113141266328515	0.0918008257805606	-0.0117273929149715	0.00897450090289403	0.109817714539457	-0.0658943014470063	-0.165242557101319	-0.10041205597023	-0.0147123287864475	0.146032831660925	-0.174970450387511	-0.0887976865338215	0.0140899189714793	0.0105358504821392	0.10109861240831	-0.0675677139589602	-0.00927511786832513	-0.198584341988351	0	0.0819197353023795	-0.103611891686481	-0.0763822466364336	-0.147782433618433	1	-0.116168720931154	-0.0884397548459658	0.158538009286965	0.0231645331350837	-0.185112528634756	-0.0750051050032302	-0.0372373646775385	0.0909515838886105	0.126627541559195	0	-0.0176333119825779	-0.143162473161976	-0.000903537036803775	-0.03299857186508	-0.0521204321946529	0.0466730409555496	0.0852407548981955	0.12761494365332	0.147598829558676	-0.104189716255381	0.122133412963932	0	0.0828535032666119	0.115915660362295	0.0927719395066804	-0.00990269208199637	0.143393690323295	-0.0821113390376696	0.214139107350446	0.11727543111677	-0.0406579268342795	0.060220445850929	-0.0175321490486532	-6.81838719913157e-05	0.0968801900889367	0.165860014470849	0.04522357050539	-0.0971039067548269	-0.0170953378115448	-0.0754859807373141	-0.0429712945093182	0.10634026672569	-0.0843966934438729	0.00245962586653295	-0.0210365922352136	-0.136836821775069	0	-0.00381255795693626	0.0831132699460013	-0.134936448527585	0.121883843943157	0.120397929161567	0.0784951470492056	0.00552500040690705	-5.08459834795365e-05	-0.157905303728673	0.00770385793108056	-0.0833407349883587	0.0142983539015839	-0.104455227944941	0.115776479251821	-0.177190167660308	0.149617732410632	0.098964763075742	0.0288259660526187
"ilvG"	0	0	0.015537597569219	-0.00158688456386966	0	0	0.0208925132123278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036787866953686	0	0.01404649135499	0	0	-0.116168720931154	1	0	0	-0.0116997855188412	0.00932726451264592	0	0	0	0	-0.0998712968658726	0	0	0	0	0	0	0	0	-0.00533358266731763	0	0	0	0	0	0	0	-0.00374913086606446	0	0	0	0	0.0843034905370978	0	0	0	0	0	0	0	0	0	-0.00500207526529552	0	0	0.00795019985692787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183665335659381	0	0	0	0	-0.0884397548459658	0	1	0	0	0	0	0	0	0	-0.108093395654081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127995282344531	0	0	0	0	0	0	0	0	0.0462603277621834	0	0	0	0	0.158538009286965	0	0	1	0	-0.0117863573452886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0674053131391709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
