"ECB_00256"	"ECB_00376"	"ECB_00825"	"ECB_01252"	"ECB_01992"	"ECB_02002"	"ECB_02008"	"ECB_02035"	"ECB_misc_RNA_7"	"ESCRE1901"	"cls"	"crp"	"dapA"	"deoA"	"dnaA"	"ebgA"	"eutJ"	"fbp"	"glgC"	"glgP"	"glmS"	"glpK"	"glpR"	"glpT"	"gor"	"gyrB"	"hsdR"	"hslU"	"hupB"	"hycE"	"iclR"	"infB"	"kpsD"	"kpsE"	"lptB"	"metJ"	"mrdA"	"mreB"	"mreC"	"nusA"	"pitB"	"proQ"	"pyrB"	"rho"	"rhsA"	"rmlB"	"rne"	"rplF"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsC"	"rpsR"	"rssB"	"rtn"	"sdaC"	"secF"	"torS"	"treF"	"ubiB"	"uspA"	"wbbD"	"wzyE"	"ybaL"	"ybbN"	"ybhI"	"ybhJ"	"ycbC"	"ydeH"	"yehU"	"yejM"	"yfcI"	"yfgA"	"yggG"	"ygjF"	"yjcR"	"yjhC"	"ylaB"
"cls"	0	0	0	0	0.0461202815247244	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.147409792074841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0800299928676014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0.0117055641171432	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0191878766036001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158758780651043	0	0	0	0	0	0	0	0	-0.00450877030682969	0	0.0550223429581735	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846386950661	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	0	-0.0795782713628226	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0986019866809654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106883876610175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0	0.0517973175611428	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0738637437221604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337786171788398	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129503554195096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	-0.0540258432048242	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0767248260049249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0442481666818775	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.189498831464133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ebgA"	0	0	0	0	-0.190487919426164	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0115790561137177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0348294003079487	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0145222196722849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0	-0.0644661115268271	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.159364338569314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0685529851158152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0.0540794258622834	0	0	0.026889897506254	-0.179116685387897	0	0	0.0228309306869061	0	0	0	0	0	0	0	0	0	1	0	0.0782712445848249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0274356804273804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	-0.0228658338509951	0	0	0	0.131731382951368	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.150880584495771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0.0847219319655122	-0.14257420905048	-0.193230908396612	0.0794568657323671	0.113189991916044	-0.0177656853862949	-0.145354040386906	0.0770546399794341	-0.028106599850545	0.0499559375493346	-0.147409792074841	0.0191878766036001	0.0986019866809654	0.0738637437221604	-0.0767248260049249	-0.0115790561137177	0.159364338569314	0.0782712445848249	-0.150880584495771	1	0.108511541250764	-0.134796277413019	0.0991791973808428	0.168934057313014	-0.181181178229746	-0.179071989212879	0.0874901327687898	-0.017214989329722	-0.0224589231282896	0.166591639317957	-0.189162178395276	-0.071705658563265	0.0670042072593286	0.174289619599435	0.16973146717732	0.170338668945582	0.114469724677888	-0.0207196896327462	-0.0207314105852764	0.0893261548131837	-0.022729079444099	-0.0138320020813755	0.114306988507817	-0.0681804017652968	0.167972334095084	-0.0220995190568863	-0.177341854333653	-0.18751058297597	0.0207137993377842	0	0.175396695802193	0.0221165808551909	0.0786800108325619	-0.0891382220028088	-0.177025241861225	-0.131162618822734	0.0870678510713088	-0.0665365218324752	-0.185032666803776	0.0909106597196096	0.106072368848678	-0.0252982043801057	0.0859536483235026	0.0813948801826368	-0.014439647214921	-0.0235190920348734	-0.0194155737057644	0.0800725186059873	-0.0149440813581649	-0.131700796406052	0.164961012572394	-0.142812277482691	0.0530663778166938	-0.0810111694106196	0.0494242629847577	0.103013092960962	-0.0887929185465951	-0.0835853142143168	-0.148078741464562
"glmS"	0	0	0	0	-0.081119382677822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108511541250764	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104950466180052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpK"	0	0	0	0	8.67471669616517e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.134796277413019	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178879605289581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0.167044269300379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991791973808428	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0364857846662603	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00801737232055117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	-0.0676556391312204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168934057313014	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0726757098734424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gor"	0	0	0.007716695370336	0	-0.103935789937849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181181178229746	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0465159424485125	0	0	0	0	0	0	0	0	0	0	0	0.000291443596574763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gyrB"	0	0	0.00576705621657271	0	-0.103298492847983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.179071989212879	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0451723447754883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsdR"	0	0	0	0	0.0575901875047222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0874901327687898	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0412233760039083	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137873986390112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hslU"	-0.00500553132250448	0	0	0	0.147175098606696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.017214989329722	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119052825666226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	-0.00648061665323074	0	0	0	0.156264885543121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0224589231282896	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.15237916266787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hycE"	0	0	0	0	-0.0668025096491469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166591639317957	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0716936019654565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0.0132405368417873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.189162178395276	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.04223668828778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0.0645817350078727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.071705658563265	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.194982886115587	0	0	0	0	0	0	0	0.01805274372196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0	0	-0.238781784788266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0670042072593286	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0661114548164172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0	0	0	0	-0.0691591224924044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174289619599435	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0743665928849634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lptB"	0	0	0	0	-0.0677703150893399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16973146717732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0728085508613437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0	-0.054457325944066	0	0.127701039493345	0	0	0	-0.00345452105892972	0	0	0	0	0.0337786171788398	-0.0442481666818775	-0.0348294003079487	0	0	0	0.170338668945582	0	0	0.0364857846662603	0	-0.0465159424485125	-0.0451723447754883	0.0412233760039083	0	0	0	0	0	0	0	0	1	0	0	-0.0425708307583495	0	0	0	0	0	0	0	-0.0438996671294573	-0.0506550710522997	0	0.0513738581363954	0	0	0	0	-0.00873036068753268	0	0.0426920136330095	0	-0.0125276566050579	0.0449454607755479	0	-0.0113792746152937	0.0418337860495471	0.0216323651862786	0	0	0	0.0196777753993562	0	0	0	0	0	-0.0422226647548643	0	0	-0.0493691395154799	-0.0444148270086303	0
"mrdA"	0	0	0	0	-0.0208554086077393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114469724677888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0170356827767131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	-0.000180086162406477	0	0	0	0.148166837865224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0207196896327462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.143208469665396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	-0.208905301729776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0207314105852764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0425708307583495	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0139242458587586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0.00508574656669197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0893261548131837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.278064851250912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pitB"	0	0	0	0	-0.0135255226557627	0	0	0	0	0	0	0.158758780651043	0	0	0	0	0	0	0	-0.022729079444099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0691047110841932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12099107709571	0	0	0	0	0	0	0	0	0	0	0	0	0
"proQ"	-0.00452922352566957	0	0	0	0.151531312481294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0138320020813755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.111918618869942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pyrB"	0.00209871359138303	0	0	0	-0.0830616033579692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114306988507817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.106276181313888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0	0.00813009170388609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0681804017652968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0320472501262764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rhsA"	0	0	0	0	-0.0672743337319569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167972334095084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0723068764315878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rmlB"	0	0	0	0	-0.164855622936158	0	0	0	0.00100780338971203	0	0	0	0	0	0	0	0	0	0	-0.0220995190568863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.146343826863668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rne"	0	0	0.00394155517950957	0	-0.103035131859275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.177341854333653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0438996671294573	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rplF"	0	0	0.0135922392555111	0	-0.105655378692613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18751058297597	0	0	0	0	0.000291443596574763	0	0	0	0	0	0	0	0	0	0	-0.0506550710522997	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0207137993377842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.210665949279406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0.115227327624233	0	0	0.147742920567301	0	0.0800299928676014	-0.00450877030682969	0.106883876610175	0.129503554195096	-0.189498831464133	-0.0145222196722849	-0.0685529851158152	0	0	0	0.104950466180052	0.178879605289581	-0.00801737232055117	-0.0726757098734424	0	0	0.137873986390112	0.119052825666226	-0.15237916266787	-0.0716936019654565	-0.04223668828778	-0.194982886115587	0.0661114548164172	-0.0743665928849634	-0.0728085508613437	0.0513738581363954	-0.0170356827767131	-0.143208469665396	-0.0139242458587586	-0.278064851250912	0.0691047110841932	0.111918618869942	0.106276181313888	0.0320472501262764	-0.0723068764315878	0.146343826863668	0	0	-0.210665949279406	1	-0.073769060622036	-0.186785039675956	0	0.0238786324917775	-0.0946876767872839	0.166748302205489	0.139260805556644	-0.192593721916445	-0.0975325278550773	0.141397181903852	0.111232454198002	0.0912459648627096	0.138049150696934	-0.00884812086242225	0.0480098866854145	0.0699504283460512	-0.14607067129522	-0.00884642339122412	0.117546252957301	0.167291657783381	-0.0702851479064576	0	-0.223246986746134	-0.163177522029391	-0.209573310682234	0.109661200487954	-0.18258970119359	-0.168731569738236	0.179627460545864
"rpoD"	0	0	0	0	-0.0695754155069862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175396695802193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.073769060622036	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsA"	0	0	0	0	0.010389699211059	0	0	0	0	0	0	0.0550223429581735	0	0	0	0	0	0	0	0.0221165808551909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.186785039675956	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsC"	0.0556642325075309	0	0	0.0291523299848791	-0.182585891870116	0	0	0.0251321790583199	0	0	0	0	0	0	0	0	0	0.0274356804273804	0	0.0786800108325619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	0	0	0	-0.0209270340668834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0891382220028088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238786324917775	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0	0	0.0414657225622817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.177025241861225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00873036068753268	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0946876767872839	0	0	0	0	1	0	0	0	0.0231816455644561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rtn"	0	0	0	0	6.21754635087219e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131162618822734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166748302205489	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sdaC"	0	0	0	0	0.0622999216300784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0870678510713088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426920136330095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139260805556644	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0	0	0	0.0605187577421964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0665365218324752	0	0	0	0	0	0	0	0	0	0	0	0.01805274372196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.192593721916445	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
