"ECB_01992"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1328"	"ESCRE1901"	"aroA"	"atpF"	"cls"	"crp"	"dnaA"	"endA"	"fis"	"frmC"	"glgC"	"glgP"	"glpE"	"glpT"	"iclR"	"ilvE"	"ilvL"	"infB"	"kpsD"	"kpsM"	"leuX"	"metH"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreD"	"nusA"	"pta"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rsmC"	"secF"	"slyA"	"thrA"	"topA"	"uraA"	"valT"	"wzyE"	"ybaL"	"ydaE"	"ydeJ"	"ydiJ"	"yejA"	"yfcI"	"yfgA"	"yggG"	"yjcR"	"yjhA"	"yjhC"	"yqeA"
"endA"	0	0	0	0	0	0	0.126816433062539	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0654642315308158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00338220717344709	0	0	0	0	0	0	0	0	0	0	0	0	0.113683232027665	0.12568379289685	0	0	0	0	0	0	0
"fis"	0.0821201199739576	0	-0.0538008340915015	0	0	0	0	0	0	0	0	1	-0.0277481828359393	0	0	-0.057376309040209	0	0	0	0.091436604009078	0.0302524068212696	0.0633762211600379	-0.0665264481532134	0	-0.037512422320483	-0.0769924568281202	0.0200568426575387	-0.117518987789024	0	0.0297504699273077	0	0	0	0.0847851097348707	0	0	-0.159463830507268	0	0	-0.057159935904866	0	0	-0.038988475673109	-0.0479505861162377	0	0	0	-0.0686501460163492	-0.0670040297840009	0	0	0	0	0	0	0.0187768205261326	0	0
"frmC"	-0.0554440200531288	0	0	0	0	0	0	0	0	0	0	-0.0277481828359393	1	0	0	0	0	0	0	0	0	-0.158837970697769	0	0	0	0	0	0.00964645101210487	0	0	0	0	0	0	0	0	0.0518612814705885	0	0	0	0	0	0	0	0	0	0	0	0.0679295733604245	0	0	0	0	0	0	0	0	0
"glgC"	0.00207755348453866	0	0	-0.039515999873092	0	0.108185834326144	0	0	0	0	0	0	0	1	0	0	0.115924239262135	0	0	0	0	0.188745623650433	0	-0.0290834896280986	0	0	0.0273390044451013	0.0359976476668228	0	0	0	-0.0373787509520203	0	0	0	0	0.0676119487429844	0	0	0	0	0	0	0	0	0	0	0	-0.0388451082881336	0	0	0	0	0	0	0	0	-0.0516895520395899
"glgP"	0.02555020995456	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.12281481494314	0	0	0	0	0	-0.0476783687594349	0	0	0	0	0	0	0	0	-0.189654339201014	0	0	0	0	0	0	0	0	0	0	0	-0.0744376975063456	0	0	0	0	0	0	0	0	0
"glpE"	-0.0482426090535605	0	0	0	0	0	0	0	0	0	0	-0.057376309040209	0	0	0	1	0	0	0	0	0	-0.0177877701041413	0.0349155029748503	0	0	0.0460318717389052	0	0.0638272463728563	0	0	0	0	0	0	0	0	0.131081426614263	0	0	0.024089736650571	0	0	0	0	0	0	0	0.0373997180203923	0.043503379720613	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	-0.0118547455654207	0	0.0880984115160434	0	0	0	0	0	0	0	0.115924239262135	0	0	1	0	0	0	0	0.178348020071976	0	0	0	0	0	0.0297476030681808	0	0	0	-0.0090006644269154	0	0	0	0	0.0693820556777114	0	0	0	0	0	0	0	0	0	0	0	-0.0222100685939951	0	0	0	0	0	0	0	0	-0.0295070402903436
"iclR"	0	0	0	0	0	0	0	0	0	0.166321344260446	0	0	0	0	0	0	0	1	0	0	0	-0.0562365871361115	0	0	0	0	0	-0.0509674777378586	0	0	0	0	0	0	0	0	-0.0754451995202858	0.112821366500323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143104765244368	0	0.166224285823105	0	0.149160461034334	0
"ilvE"	0.00174096683236634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.0206988353030106	0	0	0	0	0	0	0	0.147604726188877	-0.0879016607217136	0	0	0	0	0	0	0	0	0.133449645379969	0	0	-0.0130438935151164	0	0	0	0	0	0	0	0	0
"ilvL"	0.023355783359856	0	0	0	0	0	0	0	0	0	0	0.091436604009078	0	0	0	0	0	0	0	1	0	0.13062566648636	0	0	0	0	0	-0.0230819272732116	0	0	0	0	0	0.0263258547362614	0	0	-0.0573839530329795	0	0	0	0	0	0	0	0	0	0	0	-0.0499653015233371	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0.0302524068212696	0	0	0	0	0	0	0	0	1	-0.000928904899507292	0	0	0	0	0	-0.108906233938971	0	0	0	0	0	0	0	0	-0.197662317805015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.168439170813768	0.0788837525074909	-0.179819161252971	-0.170663428557968	0.118315356150376	0.166079377165286	-0.0663332978155394	-0.143183940442166	0.0643400434031309	0	-0.0654642315308158	0.0633762211600379	-0.158837970697769	0.188745623650433	0.12281481494314	-0.0177877701041413	0.178348020071976	-0.0562365871361115	0	0.13062566648636	-0.000928904899507292	1	-0.0183446515789127	-0.162028432856875	-0.16837152049586	-0.0192037699472773	0.210237230984249	0	0.0649350198437868	-0.000643637418630883	0.140547775555674	-0.168828269130955	-0.18366798041161	0.124965807054948	0.12415731960618	0	0.00156386750329331	0.0345499604744615	0.0861966710440737	-0.0179225488226889	0.0877454686475868	0.0194593845994375	-0.16893682160201	-0.175532317084403	0.0194361862028884	0	-0.0236754927488096	-0.0182147321227742	-0.139995168188715	-0.0646112689772174	-0.0660011321676897	0.119058940210836	0	0.113090799318385	0	0	0	-0.175587167174625
"kpsM"	-0.0548784671306917	0	0	0	0	0	0	0	0	0	0	-0.0665264481532134	0	0	0	0.0349155029748503	0	0	0	0	0	-0.0183446515789127	1	0	0	0.053666804529836	0	0.0712441646432132	0	0	0	0	0	0	0	0	0.137456235804111	0	0	0.0346249560285279	0	0	0	0	0	0	0	0.046183935112906	0.0461533226908381	0	0	0	0	0	0	0	0	0
"leuX"	0	0	0	0.0189183314676864	0	0	0	0	0	0	0	0	0	-0.0290834896280986	0	0	0	0	0	0	0	-0.162028432856875	0	1	0	0	0	-0.0532490478791713	0	0	0	0.015983808950697	0	0	0	0	-0.114851470758809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0369973571582029
"metH"	-0.0640438050733603	0	0.000405616482020777	0	0	0	0	0	0	0	0	-0.037512422320483	0	0	0	0	0	0	0	0	0	-0.16837152049586	0	0	1	0	0	0.0131122946464045	0	0	0	0	0	0	0	0	0.0524940712774767	0	0	0	0	0	0	0	0	0	0	0	0.0725503739829688	0	0	0	0	0	0	0	0	0
"metW"	-0.0624883499384014	0	0.000898767930168516	0	0	0	0	0	0	0	0	-0.0769924568281202	0	0	0	0.0460318717389052	0	0	0	0	0	-0.0192037699472773	0.053666804529836	0	0	1	0	0.080326915726254	0	0	0	0	0	0	0	0	0.145466097624783	0	0	0.045791179460393	0	0	0	0	0	0	0	0.0554510525420399	0.0492330929846752	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0	0	0	0.0608785040482868	0	0	0.0200568426575387	0	0.0273390044451013	0	0	0	0	0	0	0	0.210237230984249	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00681460459498287	0	0	0	0	0	0	0	0	0	0	-0.054259893120013	0	0	0	0	0	0	0	0	0
"mrdB"	-0.0456976389174085	0	0.0198752568440524	-0.0601584461324337	0.102764645883272	0.0254729549701446	0	0	-0.00357459399351779	0	0	-0.117518987789024	0.00964645101210487	0.0359976476668228	-0.0476783687594349	0.0638272463728563	0.0297476030681808	-0.0509674777378586	-0.0206988353030106	-0.0230819272732116	-0.108906233938971	0	0.0712441646432132	-0.0532490478791713	0.0131122946464045	0.080326915726254	0	1	0	-0.108608184073797	0	-0.0589265949023204	-0.0132087280979461	-0.0195661944090245	0	-0.022906093204719	0.169871166299645	0	-0.00162940276791646	0.0637263398010654	-0.00256406888214798	0.0947543793033938	0.0139780484351042	0.0175133461822834	0.0937101087792959	-0.0191871557265502	0	0.0731070198898322	0.00708600488183754	0	0	0.0375314837177679	0	0.0318039158616801	0	-0.0990942506749228	0	-0.0679243019905825
"mreB"	0.068889465661837	0.0781629365270436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0649350198437868	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0175755146545532	0	0.0887093473502744	0	0.0921208831441551	0	0	0	0	0	0	0	-0.0326210988392064	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	0	0	0.0297504699273077	0	0	0	0	0	0	0	0	0	-0.000643637418630883	0	0	0	0	0	-0.108608184073797	0	1	0	0	0	0	0	0	-0.197389417277923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0	0	0	0.0714125620682769	0	0	0	0	0	0	0	0	0	0	0	0	0.140547775555674	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.00560808811484501	0.00787019584150028	0	0.0142940964789859	0	0	0	0	0	0	0	0	0	0	0.0761021741315605	0	0.039609346656069	0	0	0	0
"pta"	0	0	0	0.028751320647397	0	0	0	0	0	0	0	0	0	-0.0373787509520203	0	0	-0.0090006644269154	0	0	0	0	-0.168828269130955	0	0.015983808950697	0	0	0	-0.0589265949023204	0	0	0	1	0	0	0	0	-0.11983194151439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0450579964621729
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18366798041161	0	0	0	0	0	-0.0132087280979461	0	0	0	0	1	0	0	0	-0.119101584183319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0.0178688230676048	0	0	0	0	0	0	0	0	0	0	0.0847851097348707	0	0	0	0	0	0	0	0.0263258547362614	0	0.124965807054948	0	0	0	0	0	-0.0195661944090245	0	0	0	0	0	1	0	0	-0.0548959868651393	0	0	0	0	0	0	0	0	0	0	0	-0.0465787556281143	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12415731960618	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0259079486832474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0.00354677989641579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147604726188877	0	0	0	0	0	0	0	0	-0.022906093204719	0	0	0	0	0	0	0	1	-0.089271774325247	0	0	0	0	0	0	0	0	0.142578035706361	0	0	-0.013297839653733	0	0	0	0	0	0	0	0	0
"rpoD"	-0.0566561958521466	-0.0226393876834164	0.054291610483482	-0.120413359492308	0.205656705115797	0.0680074293506172	-0.0040657431949967	-0.146156511524281	-0.0302279924042019	0.0258428650870724	-0.00338220717344709	-0.159463830507268	0.0518612814705885	0.0676119487429844	-0.189654339201014	0.131081426614263	0.0693820556777114	-0.0754451995202858	-0.0879016607217136	-0.0573839530329795	-0.197662317805015	0.00156386750329331	0.137456235804111	-0.114851470758809	0.0524940712774767	0.145466097624783	0	0.169871166299645	-0.0175755146545532	-0.197389417277923	0	-0.11983194151439	-0.119101584183319	-0.0548959868651393	0.0259079486832474	-0.089271774325247	1	0	-0.0247748219388314	0.131184606058428	-0.0248004290870829	0.154253198952648	0.0530249496377881	0.0537142510494042	0.153011468432383	-0.0867129053780523	0.0196632373087762	0.139040529258435	0	-0.00270961732936593	-0.00399619665281264	0.10600491746105	0.0215324445761136	0.104767285926388	0.0253077851551568	-0.187725768421309	0.0230220168375251	-0.124715506102171
"rpsA"	0	0	0	0	0	0	0	0	0.221507678783398	0.149382349911355	0	0	0	0	0	0	0	0.112821366500323	0	0	0	0.0345499604744615	0	0	0	0	0.00681460459498287	0	0	0	0.00560808811484501	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131828975666191	0	0.149246215484748	0	0.136340889665875	0
"rsmC"	0.0906867947489295	0.11032188402379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0861966710440737	0	0	0	0	0	-0.00162940276791646	0.0887093473502744	0	0.00787019584150028	0	0	0	0	0	-0.0247748219388314	0	1	0	0.120366190573657	0	0	0	0	0	0	0	-0.0451723924581492	0	0	0	0	0	0	0	0	0
"secF"	-0.0481439231056836	0	0	0	0	0	0	0	0	0	0	-0.057159935904866	0	0	0	0.024089736650571	0	0	0	0	0	-0.0179225488226889	0.0346249560285279	0	0	0.045791179460393	0	0.0637263398010654	0	0	0	0	0	0	0	0	0.131184606058428	0	0	1	0	0	0	0	0	0	0	0.0371964293840793	0.0435960203464684	0	0	0	0	0	0	0	0	0
"slyA"	0.0924169321788735	0.113043499698364	-0.00306064618478727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0877454686475868	0	0	0	0	0	-0.00256406888214798	0.0921208831441551	0	0.0142940964789859	0	0	0	0	0	-0.0248004290870829	0	0.120366190573657	0	1	0	0	0	0	0	0	0	-0.0463197898771096	0	0	0	0	0	0	0	0	0
"thrA"	0	0	0	0	0.00987186505218575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194593845994375	0	0	0	0	0	0.0947543793033938	0	0	0	0	0	0	0	0	0.154253198952648	0	0	0	0	1	0	0	0.0834454364621119	0	0	0	0	0	0	0	0	0	0	0	0	0
"topA"	-0.0651485730042973	0	0.00202361197363369	0	0	0	0	0	0	0	0	-0.038988475673109	0	0	0	0	0	0	0	0	0	-0.16893682160201	0	0	0	0	0	0.0139780484351042	0	0	0	0	0	0	0	0	0.0530249496377881	0	0	0	0	0	1	0	0	0	0	0	0.073000394228536	0	0	0	0	0	0	0	0	0
"uraA"	-0.072514282943452	0	0.0122897164954436	0	0	0	0	0	0	0	0	-0.0479505861162377	0	0	0	0	0	0	0	0	0	-0.175532317084403	0	0	0	0	0	0.0175133461822834	0	0	0	0	0	0	0	0	0.0537142510494042	0	0	0	0	0	0	1	0	0	0	0	0.0764152103700851	0	0	0	0	0	0	0	0	0
"valT"	0	0	0	0	0.00805889371868453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194361862028884	0	0	0	0	0	0.0937101087792959	0	0	0	0	0	0	0	0	0.153011468432383	0	0	0	0	0.0834454364621119	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"wzyE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133449645379969	0	0	0	0	0	0	0	0	-0.0191871557265502	0	0	0	0	0	0	0	0.142578035706361	-0.0867129053780523	0	0	0	0	0	0	0	0	1	0	0	-0.0121406003150537	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0236754927488096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196632373087762	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ydaE"	-0.0563885073586119	0	0	0	0	0	0	0	0	0	0	-0.0686501460163492	0	0	0	0.0373997180203923	0	0	0	0	0	-0.0182147321227742	0.046183935112906	0	0	0.0554510525420399	0	0.0731070198898322	0	0	0	0	0	0	0	0	0.139040529258435	0	0	0.0371964293840793	0	0	0	0	0	0	0	1	0.0467221391239399	0	0	0	0	0	0	0	0	0
"ydeJ"	-0.0842464727591268	-0.0408482170830608	0.0786081923335338	0	0	-0.0124612289415036	0	0	-0.0317413686356415	0	0	-0.0670040297840009	0.0679295733604245	-0.0388451082881336	-0.0744376975063456	0.043503379720613	-0.0222100685939951	0	-0.0130438935151164	-0.0499653015233371	0	-0.139995168188715	0.0461533226908381	0	0.0725503739829688	0.0492330929846752	-0.054259893120013	0.00708600488183754	-0.0326210988392064	0	0	0	0	-0.0465787556281143	0	-0.013297839653733	0	0	-0.0451723924581492	0.0435960203464684	-0.0463197898771096	0	0.073000394228536	0.0764152103700851	0	-0.0121406003150537	0	0.0467221391239399	1	0	0	0	0	0	0	0	0	0.00433834721295359
"ydiJ"	0	0	0	0	0	0	0.118380867710827	0	0	0	0.113683232027665	0	0	0	0	0	0	0	0	0	0	-0.0646112689772174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00270961732936593	0	0	0	0	0	0	0	0	0	0	0	0	1	0.117203199680808	0	0	0	0	0	0	0
"yejA"	0	0	0	0	0	0	0.13010555800554	0	0	0	0.12568379289685	0	0	0	0	0	0	0	0	0	0	-0.0660011321676897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00399619665281264	0	0	0	0	0	0	0	0	0	0	0	0	0.117203199680808	1	0	0	0	0	0	0	0
"yfcI"	0	0	0	0	0.0451302395485436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119058940210836	0	0	0	0	0	0.0375314837177679	0	0	0.0761021741315605	0	0	0	0	0	0.10600491746105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.104790356262386	0	0	0	-0.0131418509061582
"yfgA"	0	0	0	0	0	0	0	0	0	0.162165607265725	0	0	0	0	0	0	0	0.143104765244368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215324445761136	0.131828975666191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.16204251726358	0	0.151439941792388	0
"yggG"	0	0	0	0	0.0204126523006923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113090799318385	0	0	0	0	0	0.0318039158616801	0	0	0.039609346656069	0	0	0	0	0	0.104767285926388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104790356262386	0	1	0	0	0	0
"yjcR"	0	0	0	0	0	0	0	0	0	0.175822772335563	0	0	0	0	0	0	0	0.166224285823105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0253077851551568	0.149246215484748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16204251726358	0	1	0	0.165650723231299	0
"yjhA"	0	0	0	0	0	0	0	0	0	0	0	0.0187768205261326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0990942506749228	0	0	0	0	0	0	0	0	-0.187725768421309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yjhC"	0	0	0	0	0	0	0	0	0	0.165770859188031	0	0	0	0	0	0	0	0.149160461034334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0230220168375251	0.136340889665875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151439941792388	0	0.165650723231299	0	1	0
"yqeA"	0	0	0	0.0471780443461323	-0.00441254898386253	-0.0177577908961698	0	0	0	0	0	0	0	-0.0516895520395899	0	0	-0.0295070402903436	0	0	0	0	-0.175587167174625	0	0.0369973571582029	0	0	0	-0.0679243019905825	0	0	0	0.0450579964621729	0	0	0	0	-0.124715506102171	0	0	0	0	0	0	0	0	0	0	0	0.00433834721295359	0	0	-0.0131418509061582	0	0	0	0	0	1
