"ECB_00212"	"ECB_00739"	"ECB_01992"	"ECB_02821"	"ESCRE1901"	"argA"	"aroA"	"atoC"	"cbpA"	"cls"	"crp"	"dnaA"	"eutJ"	"fbp"	"fis"	"glgA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpT"	"hupB"	"hycE"	"iclR"	"kpsD"	"kpsE"	"lptB"	"manZ"	"metH"	"mraY"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nusA"	"ompR"	"pgaB"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rssB"	"sufD"	"uidB"	"uxaA"	"wbbC"	"yahA"	"ybaL"	"yedW"	"yehU"	"yfcD"	"yfcN"	"yfeY"	"ygfK"	"yhaO"	"yraQ"
"crp"	0	0	0.0336441852478027	0	0	0	0	0	0	0	1	-0.000115232446185687	0	0	0	0	0	0	0	0	0.0248193868246856	0	0	0	0	0	0	0	0.0180273946897101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481625630979183	0	0	0	0.0287369561283984	0	0	0.225428261174064	0	0	0	0	0	0	-0.0234556423720183	0	0	0
"dnaA"	0	0	-0.00498703511621329	0	0	0	0	0	0	0	-0.000115232446185687	1	0	0	0	0	-0.0147693073684812	0	0	0	-0.0475244732894579	0	0	0	-0.00372265002486354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.209749808354217	0	0	0	0	0	0	0.0149315175544689	0	0	0
"eutJ"	0	0	0	-0.0704486195562123	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.106488434314881	0	0.0105447555350877	0	0	0.182750442288459	0.0166090051611183	0	0	0	0	0	0	0	0	0	0	0	0	0.0130483870525181	0	0	0	0	0	0	0	0	0	0.0558210476074963	0	0	0	0	0	0	0	0	0	0
"fbp"	-0.00564461033814124	0	0	0	0	0.0203867781595051	0	0	0	0	0	0	0	1	0.0301470060749216	0	-0.135225024516848	0	0	0	0	0	0	0	-0.0438681359402438	0.177329120893303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00885437205630402	0	-0.0426050329024172	0	0	0	0	0	0	0	0	0	0
"fis"	-0.0230458987139186	0	0	0	0	0.0359136405313632	-0.00224109026693732	0	0	0	0	0	0	0.0301470060749216	1	0	-0.127074839913946	0	0	-0.0125578387797659	0	0	0	0	-0.0574015060363597	0.176732493839432	0	0	0	0	0	0	0	-0.016972797007596	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273092280663153	-0.0145891752068796	-0.0377898293102832	0	0	0	0	0	0	0	0	0	0
"glgA"	0	0	0	0.0393668166992682	0	0	0	0	0	0	0	0	0	0	0	1	-0.0799852775751302	0	0	0	0	0	0	0	0	0.131602978991063	0	0	0	0	0	0	0	0	0	0.0197833199963386	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106506442898071	0	0	0	0	0	0	0	0	0.000966680530065536	0
"glgC"	0.0355030395481504	0	0	-0.101108635700181	0	-0.132922096790639	0.171792553083515	0.0758411910583518	0.080200214226286	0	0	-0.0147693073684812	0	-0.135225024516848	-0.127074839913946	-0.0799852775751302	1	-0.0246735200803706	-0.0147604844677784	0.172859700490115	0.142000596669053	-0.126118807260546	0	-0.123949062328151	0.182798299225852	0	0	-0.0145400278927899	0	-0.123693703178037	0.0837020585963074	0	0	0.174600895435539	0.0777480120732033	-0.0930322466801713	0	-0.131353039382713	-0.0174221458423228	0	0.159518692141146	0	-0.00318820355514459	-0.136617487640054	0.0708519386790348	-0.0147606122347766	0	-0.135120762807386	0.0295480091289166	0	-0.0147286747541869	0	-0.130811186451037	0.0296791165759345	-0.0147101717342053	0	-0.0198463735115952	-0.015097950096602	-0.085273138699626	0
"glgP"	0	0	0	0.199081464567204	0	0	0	0	0	0	0	0	0	0	0	0	-0.0246735200803706	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173741478380432	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0147604844677784	0	1	0	-0.0399174976705805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.185011617497967	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	0	-0.0799917383876719	0	-0.00217796031367546	0	0	0	0	0	0	0	0	-0.0125578387797659	0	0.172859700490115	0	0	1	0	0	0	0	0	-0.152093273710512	0	0	0	0	0	0	0	0.0554060122018577	0	0	0	0	0	0	0.0306689784757531	0	0	0	0	0	0	0	0	-0.00691614732143348	0	0	0	0	0	0	0	0	0	0
"glpT"	0	-0.0587834414992227	0.0289397111148214	-0.103944510937948	-0.0287595121801643	0	0.100406670660091	0.0315325848480762	0.0386125992879104	0	0.0248193868246856	-0.0475244732894579	0.106488434314881	0	0	0	0.142000596669053	0	-0.0399174976705805	0	1	-0.0760507110807124	0.107523591491644	-0.0734750249901436	0.0676006134185945	0.0274973445056824	0.107140004213178	-0.044857857412966	0.0134087650461102	-0.0731746250672802	0.170166529394164	0.012035721726653	0	0	0.0352451682018525	0	-0.0244968699921322	-0.0820986755258958	-0.162498680326697	0.107456183712111	0	0	-0.0523353220215414	0	0.0253051346232941	-0.0460823094552552	0.0237510530469091	0	0	0.033455455632539	-0.0471406034141991	0	-0.0814657912125965	0	-0.0470043470901432	-0.0579116878007238	-0.052799128223258	-0.0397832414779813	0	-0.0539286722387157
"hupB"	0	0	0	0.160906180577337	0	0	0	0	0	0	0	0	0	0	0	0	-0.126118807260546	0	0	0	-0.0760507110807124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0396986048870626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hycE"	0	-0.0128875562045746	0	-0.0731480674041563	0	0	0	0	0	0	0	0	0.0105447555350877	0	0	0	0	0	0	0	0.107523591491644	0	1	0	0	0.187117985541694	0.027539943225975	0	0	0	0	0	0	0	0	0	0	0	0	0.0244996755854216	0	0	-0.00313926651012367	0	0	0	0	0	0	0.0585854700348858	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0.160082909271922	0	0	0	0	0	0	0	0	0	0	0	0	-0.123949062328151	0	0	0	-0.0734750249901436	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0359146618208168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.0750901510096802	0	0	0	0	-0.0501197233961386	0.0605704489885263	0	0	0	0	-0.00372265002486354	0	-0.0438681359402438	-0.0574015060363597	0	0.182798299225852	0	0	0	0.0676006134185945	0	0	0	1	-0.10990387943188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0405750997819952	0.0667432856991535	0.152430693341173	0	0	0	0	0	0	-0.0249469746738137	0	0	0
"kpsE"	-0.157011466497026	-0.219106835188308	0	-0.0103781918395843	-0.164648241815619	0.178364296556447	-0.00866585550472609	0	0	-0.0772182380726441	0	0	0.182750442288459	0.177329120893303	0.176732493839432	0.131602978991063	0	0	0	-0.152093273710512	0.0274973445056824	0	0.187117985541694	0	-0.10990387943188	1	0.186301329098944	0	0	0	0.0292703351757465	0.135744532603813	-0.00925366193462071	-0.154203451267179	0	0.155513542378083	-0.156076150000089	0	-0.0448072033286616	0.186769607758507	-0.136658439792399	0.132452719494227	-0.166581069054182	0.175672298939247	0	0	0	0.176081492056452	-0.155338507120544	0	0	0	0	-0.0438759711160311	0	-0.216062908323388	0	0	0.141291330474282	-0.207367623437132
"lptB"	0	-0.0185513282952503	0	-0.072756000889072	0	0	0	0	0	0	0	0	0.0166090051611183	0	0	0	0	0	0	0	0.107140004213178	0	0.027539943225975	0	0	0.186301329098944	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0295040229845751	0	0	-0.00807093744710042	0	0	0	0	0	0	0.0607801418636736	0	0	0	0	0	-0.00623463289345521	0	0	0	0
"manZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0145400278927899	0	0	0	-0.044857857412966	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.198969780785766	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0.0226025857302061	0	0	0	0	0	0	0	0.0180273946897101	0	0	0	0	0	0	0	0	0	0.0134087650461102	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403858197374271	0	0	0	0.0169822321736516	0	0	0.222434840377934	0	0	0	0	0	0	-0.0135417862764639	0	0	0
"mraY"	0	0	0	0.159956664384787	0	0	0	0	0	0	0	0	0	0	0	0	-0.123693703178037	0	0	0	-0.0731746250672802	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0354227299135085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	-0.0630608762798897	0	0	0	0	0	0	0	0	0	0	0	0	0.0837020585963074	0	0	0	0.170166529394164	0	0	0	0	0.0292703351757465	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210739145017457	0	0	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	-0.0851997033678944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012035721726653	0	0	0	0	0.135744532603813	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.067236599750325	0	0	0	0	0	0	-0.037458178147188	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0.0668055438934966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00925366193462071	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115483339594281	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	-0.0815603589079668	0	-0.00707627344733904	0	0	0	0	0	0	0	0	-0.016972797007596	0	0.174600895435539	0	0	0.0554060122018577	0	0	0	0	0	-0.154203451267179	0	0	0	0	0	0	0	1	0	-0.00294742455831836	0	0	0	0	0.0360479784404458	0	0	0	0	0	0	0	0	-0.00792630125189787	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	-0.157304657532284	0	0	0	0.00650971888802477	0.0184075727103559	0	0	0	0	0	0	0	0.0777480120732033	0	0	0	0.0352451682018525	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0913223579050666	0	0	0	0	0	0	-0.095550470575651	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0.0466369929805373	0	0	0	0	0	0	0	0	0	0	0	0.0197833199963386	-0.0930322466801713	0	0	0	0	0	0	0	0	0.155513542378083	0	0	0	0	0	0	0	-0.00294742455831836	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119911744901433	0	0	0	0	0	0	0	0	0.030692286196094	0
"ompR"	0	0	0	0.0628365655730476	0.0516634620547466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0244968699921322	0	0	0	0	-0.156076150000089	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0924637246335114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pgaB"	0	0	0	0.162207568963721	0	0	0	0	0	0	0	0	0	0	0	0	-0.131353039382713	0	0	0	-0.0820986755258958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0505668610760784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0.108143592201112	0	0	0	0	0	0	0	0	0	0	0	0	-0.0174221458423228	0	0	0	-0.162498680326697	0	0	0	0	-0.0448072033286616	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0375387677749326	0	0	0	0	0	0	0	0	0	0
"rhsA"	0	-0.0152432211697301	0	-0.0729621789415948	0	0	0	0	0	0	0	0	0.0130483870525181	0	0	0	0	0	0	0	0.107456183712111	0	0.0244996755854216	0	0	0.186769607758507	0.0295040229845751	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.00502032172041304	0	0	0	0	0	0	0.0597005134971997	0	0	0	0	0	-0.00239172611357206	0	0	0	0
"rpoA"	0	0	0	-0.0725053269671708	0	0	0	0	0	0	0	0	0	0	0	0	0.159518692141146	0	0	0.0306689784757531	0	0	0	0	0	-0.136658439792399	0	0	0	0	0	0	0	0.0360479784404458	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.00512367776974827	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	-0.141228672391005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132452719494227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0329595847449489	0	0	0	0	0	0	0	0	0	0
"rpoC"	0.0211364339562632	0	0.0504219426959509	0.175397975620392	0.105074011615157	0	0	-0.0847686290254958	-0.0966756780600374	0.0345999945186486	0.0481625630979183	0	0	0	0	0	-0.00318820355514459	0	0	0	-0.0523353220215414	0.0396986048870626	-0.00313926651012367	0.0359146618208168	0	-0.166581069054182	-0.00807093744710042	0	0.0403858197374271	0.0354227299135085	0	-0.067236599750325	0	0	-0.0913223579050666	0	0.0924637246335114	0.0505668610760784	0	-0.00502032172041304	0	0	1	0	-0.0746204855352622	0	0.0476202625466925	0	0.011682162398984	0.162798098333111	0	0	0.0492925690774065	0	0	0	-0.0103535825382196	0	0	0
"rpoD"	0	0	0	0.0306808296045314	0	0	0	0	0	0	0	0	0	0	0	0	-0.136617487640054	0	0	0	0	0	0	0	0	0.175672298939247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0977865092828331	0	0	0	0	0	0	0	0	0	0
"rpoH"	0	0	0	-0.153717800431516	0	0	0	0	0.00207471061684022	0	0	0	0	0	0	0	0.0708519386790348	0	0	0	0.0253051346232941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0746204855352622	0	1	0	0	0	0	-0.0893334944063695	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0147606122347766	0	0	0	-0.0460823094552552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.201907203249492	0	0	0	0	0	0	0	0	0	0
"sufD"	0	0	0.0327523622944268	0	0	0	0	0	0	0	0.0287369561283984	0	0	0	0	0	0	0	0	0	0.0237510530469091	0	0	0	0	0	0	0	0.0169822321736516	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0476202625466925	0	0	0	1	0	0	0.225143138470698	0	0	0	0	0	0	-0.022646394577046	0	0	0
"uidB"	-0.00183906722922121	0	0	0	0	0.0170640525639598	0	0	0	0	0	0	0	0.00885437205630402	0.0273092280663153	0	-0.135120762807386	0	0	0	0	0	0	0	-0.0405750997819952	0.176081492056452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.0426915629367956	0	0	0	0	0	0	0	0	0	0
"uxaA"	0.0590373138224806	0	0	0.0227770315053961	0	-0.00377159228214758	0	0	0	0	0	0	0	0	-0.0145891752068796	0	0.0295480091289166	0	0	0	0	0	0	0	0.0667432856991535	-0.155338507120544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011682162398984	0	0	0	0	0	1	0.121071916312919	0	0	0	0	0	0	0	0	0	0
"wbbC"	0.124112164730868	-0.0936246324930115	0.225375835557988	0	0	-0.0408445496817031	0.090131446054884	-0.0930639466016538	-0.0973558622759037	0.0271338494492449	0.225428261174064	-0.209749808354217	0.0558210476074963	-0.0426050329024172	-0.0377898293102832	0.106506442898071	0	0.173741478380432	-0.185011617497967	-0.00691614732143348	0.033455455632539	0	0.0585854700348858	0	0.152430693341173	0	0.0607801418636736	-0.198969780785766	0.222434840377934	0	0.210739145017457	-0.037458178147188	0.115483339594281	-0.00792630125189787	-0.095550470575651	0.119911744901433	0	0	-0.0375387677749326	0.0597005134971997	-0.00512367776974827	-0.0329595847449489	0.162798098333111	0.0977865092828331	-0.0893334944063695	-0.201907203249492	0.225143138470698	-0.0426915629367956	0.121071916312919	1	-0.205719572660771	0	0	-0.0108473882835322	-0.205381139675424	-0.0892852494463888	-0.193199761653052	-0.185485600339603	0.111701181788842	-0.0841216629758367
"yahA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0147286747541869	0	0	0	-0.0471406034141991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.205719572660771	1	0	0	0	0	0	0.00469751745497732	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"yedW"	0	0	0	0.162114562010853	0	0	0	0	0	0	0	0	0	0	0	0	-0.130811186451037	0	0	0	-0.0814657912125965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0492925690774065	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yehU"	0	0	0	-0.0316609529289764	0	0	0	0	0	0	0	0	0	0	0	0	0.0296791165759345	0	0	0	0	0	0	0	0	-0.0438759711160311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0108473882835322	0	0	0	1	0	0	0	0	0	0
"yfcD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0147101717342053	0	0	0	-0.0470043470901432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.205381139675424	0	0	0	0	1	0	0.00409606162612847	0	0	0
"yfcN"	0	0.0343293018774316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0579116878007238	0	0	0	0	-0.216062908323388	-0.00623463289345521	0	0	0	0	0	0	0	0	0	0	0	0	-0.00239172611357206	0	0	0	0	0	0	0	0	0	-0.0892852494463888	0	0	0	0	0	1	0	0	0	0.00764060243109835
"yfeY"	0	0	-0.0268569839180774	0	0	0	0	0	0	0	-0.0234556423720183	0.0149315175544689	0	0	0	0	-0.0198463735115952	0	0	0	-0.052799128223258	0	0	0	-0.0249469746738137	0	0	0	-0.0135417862764639	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0103535825382196	0	0	0	-0.022646394577046	0	0	-0.193199761653052	0.00469751745497732	0	0	0	0.00409606162612847	0	1	0	0	0
"ygfK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.015097950096602	0	0	0	-0.0397832414779813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.185485600339603	0	0	0	0	0	0	0	1	0	0
"yhaO"	0	0	0	0.0422926072888423	0	0	0	0	0	0	0	0	0	0	0	0.000966680530065536	-0.085273138699626	0	0	0	0	0	0	0	0	0.141291330474282	0	0	0	0	0	0	0	0	0	0.030692286196094	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111701181788842	0	0	0	0	0	0	0	0	1	0
"yraQ"	0	0.0227616575181705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0539286722387157	0	0	0	0	-0.207367623437132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0841216629758367	0	0	0	0	0	0.00764060243109835	0	0	0	1
