"ECB_00737"	"ECB_00825"	"ECB_01992"	"ECB_02821"	"ECB_04210"	"ESCRE1901"	"ESCRE3628"	"ESCRE4497"	"argA"	"atpC"	"azoR"	"cls"	"crp"	"dapA"	"dnaA"	"fbp"	"fcl"	"fis"	"glgP"	"glmS"	"glpF"	"glpT"	"gltB"	"gor"	"gyrB"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"lon"	"manZ"	"mraY"	"mraZ"	"mrdA"	"mreB"	"mreD"	"nusA"	"pgaB"	"ppiA"	"pta"	"rho"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rsmC"	"rssB"	"slyA"	"uidB"	"uspA"	"yahA"	"ybaL"	"ybhI"	"ydcN"	"yecP"	"yedW"	"yfcD"	"yfeY"	"yfgA"	"yfiB"	"ygaD"	"ygfK"	"yjcR"	"yjhA"	"yjhC"	"ykgG"	"ylbH"	"yraL"
"glmS"	0	0	0	0.179434354334135	0	0	0	0	0	0	0	0	0	0	-0.00249848759646978	0	0	0	0	1	0	0.0590099391621682	0	0	0	0	0	0	0	-0.0924142649747533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0.190079093178483	0	0	0	0	0	0	0	0	0	0	0.0702700051615341	0	0	0	0	0	1	-0.0172718356830881	0	0	0	0	0	0	0	-0.123133218024966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0.114324832870683	-0.174811846875842	-0.0430186931786775	0	0	0.0592868029660114	0.0191582876157607	0.0960499149080724	-0.134835350432622	0.193121727680008	-0.196207905217577	-0.0976776683908567	0.138040581989505	0.112371159126552	-0.0110741953721881	-0.0437559483321796	0.121402894442713	-0.166237172155002	-0.0325017908618834	0.0590099391621682	-0.0172718356830881	1	-0.187460338838441	-0.166657596905681	-0.164835451335053	0.0782891059899279	-0.0966271509589763	-0.0560157620861913	-0.191907792286275	-0.00259576675369116	0.0168434928983497	0.093460526604034	0.0969640149290956	0	-0.0499893846248511	0.0588991771109397	0.164656400387898	0.0402307707978157	-0.191254273100338	0.0976140282727614	-0.0535297770615548	0.0534926573822378	-0.175575269074357	-0.149457040184921	-0.164091218434907	-0.17149301433271	-0.0537516873585619	0.0236503866010494	0.0739504844901704	-0.111777964283445	-0.0036921484021085	0	0.080063492433257	0	-0.132041132293077	0.144557675695354	0	0	0.113486581195928	0.179658175577243	0.0161893220830226	-0.0535000223102335	0	0	-0.046336275712759	-0.0872180694227768	0.179045191987203	0	-0.0477218830510193	-0.184057813298834	-0.0469380299474953	0.199305773537033	0.110037629595445	0.198567850526047
"gltB"	0	0	0	0.0958965173596737	0	0	0	0	0	0	0.0215592847934644	0	0	0	-0.027044842356453	0	0	0	0	0	0	-0.187460338838441	1	0	0	0	0	0	0	0.0210940545041789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gor"	0	0.00608174700868681	0	0.0264184866727636	0	0	0	0	0	0	0	0	0	0	0.123826428339044	0	0	0	0	0	0	-0.166657596905681	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gyrB"	0	0.00403505121770837	0	0.0259140614113443	0	0	0	0	0	0	0	0	0	0	0.122511596443816	0	0	0	0	0	0	-0.164835451335053	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0.225786883464985	0	0	0	0	0	0	0	0	0	0	-0.0807797019319246	0	0	0	0	0	0	0.0782891059899279	0	0	0	1	0	0	0	-0.053239531104167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0.0145734654057702	0	0	0	0	0	0	0	0	0	0	0.0319270224394705	0	0	0	0	0	0	-0.0966271509589763	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	-0.155835863231954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0560157620861913	0	0	0	0	0	1	0	0.103211193498978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	-0.0568194716941518	0	0	0	0	0	0	0	0	0	0	0.0125188682775285	0	0	0	0	0	0	-0.191907792286275	0	0	0	0	0	0	1	0.0775018810074335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	-0.0528291273676933	0	0.185953668831334	-0.101100032144158	0.115418959225359	0.0250196520199297	0	0	0.106897290762785	0	0.0131147550633285	0	0.0511327719476699	-0.0474289644754867	-0.00977734072932061	0.0923355140480285	-0.0687595665721166	0.185322040878938	0.0962657273889021	-0.0924142649747533	-0.123133218024966	-0.00259576675369116	0.0210940545041789	0	0	-0.053239531104167	0	0.103211193498978	0.0775018810074335	1	0	0	0	-0.11612269387219	0	-0.0960562151395129	0	0	0.0772783585250614	0.0897836521948924	0	0.0310370017759796	-0.0139381020824369	0	0	0	0.0997738838740341	0	0	0.0455916982863101	0.00217552495007037	0.120289333846339	-0.119708392410604	0.123253557304832	0.101698924332312	-0.176835561675032	-0.119927825630761	0	-0.0462876828408173	-0.132016289527942	0	0	-0.119707996720588	-0.125793128961754	0	-0.0448931841648549	-0.13098892072036	-0.109380406456488	0	0.0715521559285183	0	0	-0.0468613863728938	0
"kpsE"	0	0	0	-0.0111486856985413	0	0	0	0	0	0	0	0	0	0	-0.0171815205349381	0	0	0	-0.117703098554856	0	0	0.0168434928983497	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsM"	0	0	0	-0.191199607501283	0	0	0	0.0225975503891	0	0	0	0	0	0	0.052271669693351	0	0	0	0	0	0	0.093460526604034	0	0	0	0	0	0	0	0	0	1	0.0241840970686693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lon"	0	0	0	-0.199703414280333	0	0	0	0.0325199384030522	0	0	0	0	0	0	0.0540225862823899	0	0	0	0	0	0	0.0969640149290956	0	0	0	0	0	0	0	0	0	0.0241840970686693	1	0	0	0	0	0	0	0	-0.00836984622111315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0088462897963378	0	0	0	0	0	0	0	0	0	0	0	0
"manZ"	0	0	0	0.0467029449549709	0	0	0	0	0	0	0	0	0	0	0.124492888323855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11612269387219	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mraY"	0	0	0	0.191016820538129	0	0	0	0	0	0	0	0	0	0	-0.0789460112899164	0	0	0	0	0	0	-0.0499893846248511	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.87520256700118e-05	0	0	0	0	0	0	0	0	0	0	0	0
"mraZ"	0	0	0	0.182837896206708	0	0	0	0	0	0	0	0	0	0	-0.00239228321073119	0	0	0	0	0	0	0.0588991771109397	0	0	0	0	0	0	0	-0.0960562151395129	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	-0.131738096645172	0	0	0	0	0	0	0	0	0	0	0.00552601383352507	0	0	0	0	0	0	0.164656400387898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0.0235870259249934	0	0	0	0	0	0	0	0	0	0	-0.0911352122894456	0	0	0	0	0	0	0.0402307707978157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	-0.0570540922940103	0	0	0	0	0	0	0	0	0	0	0.0121047558181552	0	0	0	0	0	0	-0.191254273100338	0	0	0	0	0	0	0	0.0772783585250614	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	-0.0882419989009748	0	0	0	0	0	0	0	0	0	0	-0.185073349984337	0	0	0	0	0	0	0.0976140282727614	0	0	0	0	0	0	0	0.0897836521948924	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pgaB"	0	0	0	0.197834355466893	0	0	0	-0.0079558364524991	0	0	0	0	0	0	-0.0822506185616841	0	0	0	0	0	0	-0.0535297770615548	0	0	0	0	0	0	0	0	0	0	-0.00836984622111315	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114703368550348	0	0	0	0	0	0	0	0	0	0	0	0
"ppiA"	0	0	0	0	0	0.0135699129485855	0	0	0	0	0	0	0	0	-0.187577513344661	0	0	0	0	0	0	0.0534926573822378	0	0	0	0	0	0	0	0.0310370017759796	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pta"	0	0	0	0.168141862573111	0	0	0	0	0	0	0	0	0	0	0.0128169425150224	0	0	0	0	0	0	-0.175575269074357	0	0	0	0	0	0	0	-0.0139381020824369	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0.0770843398817452	0	0	0	0	0	0	0	0	0	0	0.0146410663423688	0	0	0	0	0	0	-0.149457040184921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rne"	0	0.00313880780104399	0	0.0258450419893461	0	0	0	0	0	0	0	0	0	0	0.121852640566917	0	0	0	0	0	0	-0.164091218434907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rplF"	0	0.012379208238265	0	0.0285519289429138	0	0	0	0	0	0	0	0	0	0	0.127792720778198	0	0	0	0	0	0	-0.17149301433271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0	0	0	-0.153058353086051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0537516873585619	0	0	0	0	0	0	0	0.0997738838740341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	-0.0402221661861557	0	0	0	0	0	0	0	0	0	0	0.0183425585855756	0	0	0	0	0	0	0.0236503866010494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0.0953156987513915	0	0	0	0	0	0	0	0	0	0	-0.171022830031602	0	0	0	0	0	0	0.0739504844901704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoD"	0	0	0	0.121612407474902	0	0	0	0	0	0	0	0	0	0	-0.205287580944801	0	0	0	0	0	0	-0.111777964283445	0	0	0	0	0	0	0	0.0455916982863101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsA"	0	0	0	-0.0947800224098891	0	0	0	0	0	0	0	0	0	0	0.0151186071109231	0	0	0	0	0	0	-0.0036921484021085	0	0	0	0	0	0	0	0.00217552495007037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rsmC"	0	0	0	-0.0812401310920804	0.00304241811882798	0	0	0	0	0	0	0	0	0	-0.135355558904918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120289333846339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0116074963460801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192656393934564	0	0	0	0	0	0	0.080063492433257	0	0	0	0	0	0	0	-0.119708392410604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"slyA"	0	0	0	-0.0824930666910222	0.0059172044477537	0	0	0	0	0	0	0	0	0	-0.138336706100236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123253557304832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116074963460801	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uidB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.115097175578991	0	0	0	0	0	0	-0.132041132293077	0	0	0	0	0	0	0	0.101698924332312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uspA"	0	0	0	0.114090339312744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144557675695354	0	0	0	0	0	0	0	-0.176835561675032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"yahA"	0	0	0	0.0485569569267455	0	0	0	0	0	0	0	0	0	0	0.13036543221291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119927825630761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	-0.00266941807613657	0	0	0	0	0	0	0	0	0	0	0.0349030928166381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybhI"	0	0	0	0.130402448376092	0	0	0	0	0	0	0	0	0	0	-0.0848851504141707	0	0	0	0	0	0	0.113486581195928	0	0	0	0	0	0	0	-0.0462876828408173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ydcN"	0	0	0	0.0297520261363588	0	0	0	0	0	0	0	0	0	0	0.000113214309486875	0	0	0	0	0	0	0.179658175577243	0	0	0	0	0	0	0	-0.132016289527942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0087632830138275	0	0	0	0	0	0	0
"yecP"	0	0	0	0.0948396303597603	0	0.0200404196288817	0.0304491372331437	0	0	0	0	0	0	0	-0.167353315501945	0	0	0	0	0	0	0.0161893220830226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"yedW"	0	0	0	0.197907602978677	0	0	0	-0.00843748379934569	0	0	0	0	0	0	-0.0828656636457159	0	0	0	0	0	0	-0.0535000223102335	0	0	0	0	0	0	0	0	0	0	-0.0088462897963378	0	6.87520256700118e-05	0	0	0	0	0	0.0114703368550348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
