"ECB_00376"	"ECB_01992"	"ECB_02003"	"ECB_02008"	"ESCRE1901"	"ESCRE2157"	"IS3_insF"	"atoC"	"atpE"	"atpF"	"bglJ"	"cls"	"crp"	"dacA"	"dnaA"	"dppD"	"dusB"	"ebgA"	"endA"	"fbp"	"frmB"	"fruK"	"fusA"	"glgA"	"glgC"	"glgP"	"glpF"	"glpR"	"glpT"	"gltL"	"gspF"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"lysP"	"malQ"	"manZ"	"mdoG"	"metA"	"metH"	"metJ"	"mrdA"	"mreB"	"mreC"	"napA"	"nusA"	"ompR"	"orn"	"oxyR"	"pck"	"pmbA"	"rhlB"	"rho"	"rluB"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rrlB"	"rssB"	"sbcC"	"secF"	"speB"	"tap"	"tig"	"uspA"	"yahA"	"yahG"	"ybaL"	"ydbD"	"ydcN"	"ydcU"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yejM"	"yfcD"	"yfeY"	"ygaD"	"ygcN"	"ygfK"	"yhhF"	"yicC"	"yjcC"	"yjcF"	"yjeP"	"yjgN"	"ynjI"	"yraL"
"bglJ"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.128351672368299	0	0	0	0	-0.0850764621015706	0	0	0	0	0	0	0	0	0	0	0.0610687262898955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00308129258318209	0	0	0	0	0	0	0	0	0	0	-0.0688408646767759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.0808802923815619	0	0	0	0	-0.022096003262173	0	0	0	0	0	0	0	0	0	0	0.165616715335736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dacA"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.10848896533682	0	0	0	0	0.140323665012267	0	0	0	0	0	0	0	0	0	0	-0.0289186047755577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.189468857946256	0	0	0	0	-0.0591244132587136	0	0	0	0	0	0	0	0	0	0	-0.0113636483351447	0	0	0.000382036285579641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347473631684666	0	0	0	0	0	0	0	0	0	0	0.00474373904158587	0.0102680253956912	0	0	0	0	0	0	0	0	0	0	0
"dppD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.00184816944262785	0	0	0	0	-0.0838827825237285	0	0	0	0	0	0	0	0	0	0	-0.166843396664933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0724788326008977	0	0	0	0	0.00195159842630634	0	0	0	0	0	0	0	0	0	0	-0.156063785114404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ebgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.124437366879306	0	0	0	0	-0.141356611416817	0	0	0	0	0	0	0	0	0	0.00284322398085484	0.00741420463932683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0572442387374812	0	0	0	0	-0.183328637386079	0	0	0	0	0	0	0	0	0	0	-0.0529103977848023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0.132822178222643	0	-0.0611302550682656	-0.00283282163418748	-0.0728864692032089	-0.00254093041396998	-0.105851048269905	0.0568858942092179	-0.128351672368299	0	-0.0808802923815619	-0.10848896533682	-0.189468857946256	-0.00184816944262785	0.0724788326008977	0.124437366879306	0.0572442387374812	1	-0.0175753088508745	0	0	0.138356911202044	0.138275664054424	0.0494931552083736	-0.126514659268575	-0.0252166926475806	0.00879596952410367	-0.186979630550432	-0.139164072426891	0	-0.0324264163355712	0	0.124156200086056	0.000197500931423053	-0.113952813036202	0	-0.183313247930977	-0.151743962785501	-0.0918745177874771	-0.027580136448959	-0.0878383972837221	-0.002264362168738	-0.176732512690265	0.239869523779064	0	-0.182062137378045	-0.146200968912891	-0.114072966657173	-0.0916316764691704	-0.153531602932113	-0.104534692628913	-0.117660308332479	-0.0327026216261118	0.061359308038953	-0.000452655922168281	-0.0937088526741852	0.0011172272325146	-0.113562373823842	-0.151404133214197	-0.00925005260390024	0.164034168563885	0	-0.0793172232370843	-0.000171059402698729	-0.0940266930472572	0.0465384603088395	-0.183428701332956	-0.149690017471638	-0.00615024406327466	0	0.00750356354002385	0.0764850067363496	-0.181448937710347	0.0527705726962252	-0.142768557289897	0.0551768440333444	2.00564469798516e-06	-0.183668582410397	-0.183524375195228	0.0107918974283303	-0.181304886909048	-0.180286880137324	0	0.116285541370391	0	0.121878115691853	0.0690891197048286	0	-0.119651393510684	0.167756158362709
"frmB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0175753088508745	1	0	0	0	-0.0907022266444908	0	0	0	0	0	0	0	0	0	0	-0.179304663681234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0708177236899396	0	0	0	0	0	0	0	0	0	0	0.143104004475849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.166066037514645	0	0	0	0	0	0	0	0	0	0	0.0612622445174737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138356911202044	0	0	0	1	0.00316302881093507	0	0	0	0	0	0	0	0	0	0	0.0820929668573828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0.121535658676408	0.0777113589459976	-0.000508173926350469	0.126205475431178	0.00413975717967152	-0.0863146498755637	-0.0206978838894038	-0.0852384093012589	0.137171737144783	-0.186577648395286	-0.0850764621015706	0.00308129258318209	-0.022096003262173	0.140323665012267	-0.0591244132587136	-0.0838827825237285	0.00195159842630634	-0.141356611416817	-0.183328637386079	0.138275664054424	-0.0907022266444908	0.0708177236899396	0.166066037514645	0.00316302881093507	1	0.0122280634036135	0.0201886341134382	-0.0380243125410123	0.00909945844400125	0.0475708313063386	0.0559595924122224	0.0747227636667727	0.0286154625543889	0.0702901945367683	-0.15947248478286	-0.143468991324985	0.144363551735288	0.16934996667613	-0.0615510466211594	0.0700445740074142	-0.0224856451497387	-0.0405407075374361	-0.165287940597571	0	0.0526176875037961	-0.0593009591760601	0.0801906423813996	0.0540996460354236	0.0673649671925346	0.0204642954303779	-0.173571936119086	0.0721927527744716	0.138170731130152	0.0207568130800187	-0.0412437643121011	0.00855885732170807	-0.0166427369926755	0.211992055961136	0.148707597437654	0.143512164598322	0.0720485231307112	0.0196760941120371	0.094298735495918	0.078494691529877	-0.01988088934707	-0.0933580525887632	-0.176607762546146	-0.246854173927372	-0.0571973098835504	-0.0899231399613051	-0.149709366696317	0.176418602019031	-0.191717694181421	0	0.0538178932002399	-0.18479397596794	-0.0837011924362777	-0.194734121918034	0.125079750837982	-0.0559096316310119	-0.0576123675951178	-0.185276317581306	0.0530965787203369	-0.0596500883311799	0.0793632202249239	-0.000392676621554773	0.165237684166014	0	0.00420143190632212	0.17311678151543	0.133685808148799	0.0860015369786491
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0494931552083736	0	0	0	0	0.0122280634036135	1	0	0	0	0	0	0	0	0	0	-0.180547826706369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.126514659268575	0	0	0	0	0.0201886341134382	0	1	0	0	0	0	0	0	0	0	0.0502528004462542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0252166926475806	0	0	0	0	-0.0380243125410123	0	0	1	0	0	0	0	0	0	0	-0.0284935846320599	0	0	0	0	0	0.124328269330222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00879596952410367	0	0	0	0	0.00909945844400125	0	0	0	1	0	0	0	0	0	0	0.0899336624762675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gltL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.186979630550432	0	0	0	0	0.0475708313063386	0	0	0	0	1	0	0	0	0	0	-0.000970163802901495	0	0	0	0	0	0	0	0	0.0115774923965161	0	0	0.0180307824150145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183763434906574	0	0	0	0	0	0	0	0.0171804479014794	0	0	-0.00356004340091691	0	0	0	0	0	0
"gspF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.139164072426891	0	0	0	0	0.0559595924122224	0	0	0	0	0	1	0	0	0	0	0.0741782845498899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747227636667727	0	0	0	0	0	0	1	0	0	0	0.162126033289418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0324264163355712	0	0	0	0	0.0286154625543889	0	0	0	0	0	0	0	1	0	0	-0.21787457839375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0702901945367683	0	0	0	0	0	0	0	0	1	0	0.144545507687747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284322398085484	0	0.124156200086056	0	0	0	0	-0.15947248478286	0	0	0	0	0	0	0	0	0	1	0.00569282827974482	-0.0010758291933069	0	0	0	0	0	0	0	-0.0020360554960134	0	0	-0.00840394687274097	0	0	0	0	0	0	0	0	0	0	0	-0.00486198048329542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00892613736005215	0	0	0	0	0	0	0	-0.00757211199676335	0	0	0	0	0	0	0	-0.00307507372352568	0
"kpsE"	-0.142347256778916	0.166591504215187	0.112395074371643	-0.146176406397523	0.0248194434196987	-0.172022790932683	0.14984252333642	-0.170203550922132	-0.0295944398757556	-0.0536329194126356	0.0610687262898955	-0.0688408646767759	0.165616715335736	-0.0289186047755577	-0.0113636483351447	-0.166843396664933	-0.156063785114404	0.00741420463932683	-0.0529103977848023	0.000197500931423053	-0.179304663681234	0.143104004475849	0.0612622445174737	0.0820929668573828	-0.143468991324985	-0.180547826706369	0.0502528004462542	-0.0284935846320599	0.0899336624762675	-0.000970163802901495	0.0741782845498899	0.162126033289418	-0.21787457839375	0.144545507687747	0.00569282827974482	1	-0.0436429450128312	0.0599219672858021	-0.0210521141411176	0.0801123139136645	0.175101851288525	-0.0314265527709336	-0.0503345570795934	0.0630761004448981	-0.0333930474081406	-0.040444856684156	0.160452276982467	-0.0227730973441299	0.0749009930414872	-0.158924655535804	-0.053404935257204	0.0817612051728968	-0.0284507247192359	-0.166425027570315	-0.0725327479222827	-0.203515515307939	0.0123393446662384	0.0294392321776627	0.128697636905961	-0.049669269529242	0.080919938827335	0.000677483296963964	0.0123530714593024	0.157177698482754	0.158860412455015	-0.173042727787817	-0.0567173085017913	0.0568730004763661	-0.0361796175495188	0.0689004616019576	0.0099405667340608	0.0626916264402764	0.124216069328981	-0.144330047439591	-0.0281970521448736	-0.0508712375201529	0.0664629472812055	-0.0532569741899233	-0.142545123548751	-0.0384300965802729	-0.0385847511680385	0.126935089866605	-0.0310032165018434	-0.0209634567781335	0.165316021136375	0.143921097083923	0.0611671884860456	0.147399994140166	-0.193916394469555	0.0633729723824338	-0.0650393173815756	0.0135225158361882
"lysP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.113952813036202	0	0	0	0	0.144363551735288	0	0	0	0	0	0	0	0	0	-0.0010758291933069	-0.0436429450128312	1	0	0	0	0	0	0	0	0	0	0	0.000612689136493519	0	0	0	0	0	0	0	0	0	0	0	0.00185345984796715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127530051967201	0	0	0	0	0	0	0	1.64397035594819e-06	0	0	0	0	0	0	0	0.00142722853670178	0
"malQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16934996667613	0	0	0	0	0	0	0	0	0	0	0.0599219672858021	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000382036285579641	0	0	0	0	-0.183313247930977	0	0	0	0	-0.0615510466211594	0	0	0	0	0	0	0	0	0	0	-0.0210521141411176	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258412488623237	0	0	0	0	0	0	0	0	0	0	0.0038415204146774	0.00937850177624752	0	0	0	0	0	0	0	0	0	0	0
"mdoG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.151743962785501	0	0	0	0	0.0700445740074142	0	0	0	0	0	0	0	0	0	0	0.0801123139136645	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00171339370273361	0	0	0	0	0	0	0	0	1.08394917391321e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0918745177874771	0	0	0	0	-0.0224856451497387	0	0	0	0	0	0	0	0	0	0	0.175101851288525	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0078495429238601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.027580136448959	0	0	0	0	-0.0405407075374361	0	0	0.124328269330222	0	0	0	0	0	0	0	-0.0314265527709336	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0878383972837221	0	0	0	0	-0.165287940597571	0	0	0	0	0	0	0	0	0	0	-0.0503345570795934	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00561199345792699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082997040833752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.002264362168738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0630761004448981	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.176732512690265	0	0	0	0	0.0526176875037961	0	0	0	0	0.0115774923965161	0	0	0	0	-0.0020360554960134	-0.0333930474081406	0	0	0	0	0	0	0	0	1	0	0	0.0178898114087423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018485629759975	0	0	0	0	0	0	0	0.0174114536942799	0	0	-0.00860276170440692	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239869523779064	0	0	0	0	-0.0593009591760601	0	0	0	0	0	0	0	0	0	0	-0.040444856684156	0	0	0	0	0	0	0	0	0	1	0	-0.00238401258990465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00217988631785331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"napA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0801906423813996	0	0	0	0	0	0	0	0	0	0	0.160452276982467	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.182062137378045	0	0	0	0	0.0540996460354236	0	0	0	0	0.0180307824150145	0	0	0	0	-0.00840394687274097	-0.0227730973441299	0.000612689136493519	0	0	0	0	0	0	0	0.0178898114087423	-0.00238401258990465	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00441690065304932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237317763350869	0	0	0	0	0	0	0	0.022724979608442	0	0	-0.0114352797696043	0	-0.000834225312456683	0	0	0.0035291519759226	0
"ompR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146200968912891	0	0	0	0	0.0673649671925346	0	0	0	0	0	0	0	0	0	0	0.0749009930414872	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"orn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.114072966657173	0	0	0	0	0.0204642954303779	0	0	0	0	0	0	0	0	0	0	-0.158924655535804	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.00157852563594826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0126112942961778	0	-0.00236654458066185	0	0	0	0
