"ECB_00739"	"ECB_00825"	"ECB_01992"	"ECB_01996"	"ECB_02512"	"ECB_04210"	"ESCRE0749"	"ESCRE1901"	"IS3_insF"	"abgB"	"actP"	"araE"	"argA"	"aroK"	"cls"	"crp"	"dapA"	"efeO"	"fbp"	"fis"	"fruK"	"glgA"	"glgC"	"glgP"	"glmM"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"gor"	"gyrB"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"lysR"	"mdoH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreD"	"murE"	"nrdR"	"nuoA"	"nusA"	"ompR"	"oxyR"	"pbpG"	"pyrB"	"rep"	"rho"	"rnc"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"slyA"	"thiI"	"thrA"	"thrS"	"tig"	"tktB"	"tldD"	"truB"	"ubiB"	"uidB"	"uspA"	"vacJ"	"valT"	"wzyE"	"ybaL"	"ybfA"	"ybhJ"	"ybiW"	"ycbS"	"yccE"	"ydcN"	"yehU"	"yfcN"	"ygaD"	"ygjF"	"yhaO"	"yhiO"	"ynjA"	"yraQ"
"actP"	0	0	-0.196382259388988	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0582528703265811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"araE"	0	0	0.0589239680948757	0	0	0	0	0	0.0813640200022877	0	0	1	0	0	0	0	0	0.103728398361577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0825822856374797	0	0	0	0.0414300516534075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988564879506669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"argA"	0	0	-0.00595326295338576	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.1327166482284	0.14577436986769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0136279851138706	0.134477965588126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124912315666895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131073142163379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	-0.0408210672638402	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0579264379863175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0899581950977526	0	0	0	0	0	0.0861968358936044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.122506655284184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0.0603553903880288	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0516579379757966	0	0	0	0	0.031799791179006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103737891212618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	0	0	0	0	0.0708650275456496	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0755367873109237	0	0	0	0	0	0	0	0	0	0	0.0674917299795324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0794289561431521	0	0	0	0	0	0	0	0.0788991940766186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0793438057592853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767353522361634	0	0	0	0
"efeO"	0	0	0.059088060157454	0	0	0	0	0	0.0815985500407349	0	0	0.103728398361577	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0828281187331721	0	0	0	0.0415703370939873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0990601322856751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	-0.0058349526335154	0	0	0	0	0	0	0	0	0	0.1327166482284	0	0	0	0	0	1	0.142290255441266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0133777662948438	0.13156218971903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121390763144231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128154013286156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0.025993921602967	0	0	0	0	0	0	0	0	0	0.14577436986769	0	0	0	0	0	0.142290255441266	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547012014844707	0	0.0174324664713075	0.144385115269999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0476003117854863	0	0	0.0936238824314701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140313148885567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0.0591131256853183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0824985271484775	-0.03669799018773	0	0	0	0	0	0	0	0.0822980480283883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071678307224842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgA"	0	0	0.0518986569217446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209022379117244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12690853505829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103202438893566	0	0	0
"glgC"	0	0	-0.215497175612117	0	0.00823754891624348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.00576714536878266	0	0	0	0	0	0	0	0.0653040689183113	0	0	0	0	0	0	0	0	0	0.000982269500602592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0	0.271613872041632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmM"	0	0	0.0460212564132586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0946617332910967	0	0	0	0	0	0	0	0	0	-0.0262190039977837	0	0	0	0	0	0	0	0	0	0	0	0	0.098560697202678	0	0	0	0	0	0.101379118659451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109101797391947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmS"	0	0	0	0	0	0	0	0.0753715631703755	0	0	0	0	0	0	0	0	0.0755367873109237	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0765931747826913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0826673842094311	0	0	0	0	0	0	0	0.0832010934764341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0825867099347547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0800845747929848	0	0	0	0
"glpF"	0	0	0.0444821123184533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0946617332910967	0	1	0	0	0	0	0	0	0	0	0	-0.0257585259071625	0	0	0	0	0	0	0	0	0	0	0	0	0.0843164177178266	0	0	0	0	0	0.0872834183956404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953488688543184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	-0.0212263685641904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.0644791188387245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0.213477979777315	0.0336629570351057	-0.00274323128957726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00576714536878266	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.027012557592505	0	0	0	0.0759826985802388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0414339588188444	0	0.086746733337223	0	0	0.0833945688516626	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	-0.0734137262072673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.114290932703204	0	0	0	0	0.00515840130094339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186532029821766	0	0	0	0	0	0	0	0	0	0.0730584750627944	0	0	0.0724961548611404	0	0	0	0	0
"gor"	0	0.0173030788630576	-0.0947121447013674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.186487002600495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00612656882126607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gyrB"	0	0.0132081011212587	-0.0927146162572403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.180348337870282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014558630670508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0.054828587806535	0	0	0.0825822856374797	0	0	0	0	0	0.0828281187331721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0239366851905402	0	0	0.142372630943504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768040450026034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141049156806594	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0.0270966937473535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.189284051405979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0.100465718922287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547012014844707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0852638442646626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107056998803199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0.061404934543513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0824985271484775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0376386733123004	0	0	0	0	0	0	0	0.0952957556613892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0851591147544825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	-0.0597531085981205	-0.206506811191407	0.140133520856111	-0.0570504405318531	0.185844199783746	0.0920685138194853	-0.175378833263448	0.0344997598272853	0.0340795337578909	-0.191146775905262	0.0582528703265811	0.0414300516534075	-0.0136279851138706	-0.0579264379863175	-0.122506655284184	0.0516579379757966	0.0674917299795324	0.0415703370939873	-0.0133777662948438	0.0174324664713075	-0.03669799018773	0.0209022379117244	0.0653040689183113	0	-0.0262190039977837	0.0765931747826913	-0.0257585259071625	-0.0644791188387245	-0.027012557592505	0.114290932703204	-0.186487002600495	-0.180348337870282	0.0239366851905402	-0.189284051405979	0.0852638442646626	-0.0376386733123004	1	-0.013601519292167	-0.188139578929483	0.0254668141417634	-0.00213914790579231	0.237474002827084	0.032864739605094	0.0597062363433706	-0.0376524150796514	-0.189067778859112	0.0603425040435005	-0.183173493541494	0.0957484814185554	-0.0258746832549524	-0.0210530221636783	-0.0324432591167589	0.0888883488294424	0.127322916428909	-0.156523298488308	-0.0261470285727158	-0.177160580735464	-0.198657063332026	0.0795781506946533	0.0468274834286612	0.0263106562997063	-0.00169485283033831	0.0515007025648874	-0.0661302412151827	0.103907373779734	-0.0324337975688493	-0.0573906930599376	0.108178118953099	0.0398070898075592	0.0252168409617889	-0.0371337962517265	-0.0210785915879607	-0.0560292980837822	0.0546263530436153	-0.0265070030768165	0.0885718791732751	-0.0132826059999354	0.233327497663996	-0.0586411512397995	0.0250785700053368	0.00336458190661558	-0.00105656061791194	0.169719549412599	0.00318136965369409	-0.183951618454192	-0.181958057883518	0.0254360429577103	0.119881388247055	0	-0.0550998937366666	0.119671199450655	0.0800116190609456	0.021391509070427	-0.0321131893532799	0.0560957939537573	-0.0468271923713575
"kpsE"	0	0	-0.00597818264963287	0	0	0	0	0	0	0	0	0	0.134477965588126	0	0	0	0	0	0.13156218971903	0.144385115269999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.013601519292167	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123531182701219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12991848657926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysR"	0	0	0.080845267928881	0	-0.0130984239381756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.188139578929483	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mdoH"	0	0	-0.0143663300555735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142372630943504	0	0	0	0.0254668141417634	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165137071886481	0	0	0	0	0	0	0	0	0
"metJ"	0	0	-0.0222061228112571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0759826985802388	0	0	0	0	0	0	0	-0.00213914790579231	0	0	0	1	0	0	0	0	0	0	0	0	0	0.164383348992081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163980813590662	0	0	0	0	0	0	0	0	0.129906385717283	0	0	0.127813734352983	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0	-0.0221893558584074	0	0.0162691028841582	0	0	0	0	0	0	0	0	0	0	0.031799791179006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515840130094339	0	0	0	0	0	0	0.237474002827084	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251209459553798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00393823100087816	0	0	0	0	0	0	0	0	0	0.0148143407697943	0	0	0.0139693040177661	0	0	0	0	0
"mrdB"	0	0	-0.0572100479091263	0	0	0	0	0.0657738285441323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032864739605094	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0506528927820806	0	0	0	0	0	0	0	0.0752938149015792	0	0	0	0	0	0	0	0	0	0.0746876846218739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0597062363433706	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0.0614753687598117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0822980480283883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952957556613892	-0.0376524150796514	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0849601272934288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"murE"	0	0	0.0810271765286372	0	-0.0137377868772169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.189067778859112	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nrdR"	0	0	-0.20127249515407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000982269500602592	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0603425040435005	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nuoA"	0	0	0.080082261047679	0	-0.00967853404540086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.183173493541494	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0.145619435123656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0957484814185554	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000555791028550718	0	0	0
