"ECB_00256"	"ECB_01252"	"ECB_01992"	"ECB_01996"	"ECB_01999"	"ECB_02002"	"ECB_02003"	"ECB_02035"	"ECB_02800"	"ESCRE0483"	"ESCRE1901"	"IS3_insF"	"argA"	"aroK"	"atpE"	"clpB"	"cls"	"dacA"	"dnaA"	"dusB"	"fbp"	"fis"	"fruK"	"ftsH"	"glgA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"gspF"	"hemA"	"hslU"	"hupB"	"iclR"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsT"	"lysP"	"manX"	"manZ"	"mdoG"	"mdoH"	"metH"	"metJ"	"motB"	"mrdA"	"mreC"	"mreD"	"napA"	"nusA"	"ompR"	"pck"	"pdhR"	"pmbA"	"ppk"	"prfA"	"proQ"	"proW"	"rho"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rpsC"	"rpsR"	"rrlB"	"rssB"	"sbmA"	"secF"	"slyA"	"sucB"	"thrS"	"tktB"	"torS"	"uidB"	"ulaG"	"uvrD"	"vacJ"	"wzyE"	"yahA"	"ybaL"	"ybhJ"	"ybjE"	"ycbC"	"yccE"	"ycgV"	"ydcU"	"yeeJ"	"yehU"	"yfcD"	"yfeY"	"ygfA"	"ygfK"	"ygiV"	"yhhF"	"yicC"	"yjaG"	"yjcF"	"yjeP"	"yjhA"	"ynjI"	"yraM"
"ESCRE1901"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0604085496638147	0	0	0.115075564725777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"argA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.108786022656549	0.0925687408792463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0905513574909392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0772861464558091	0	0	0	0	0	0	0	0	0	0	0	0	0.0458749802566474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0158102239189211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0317070655712547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0760019934885712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544294510468025	0	0.0451444631676174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0435580159517663	0
"clpB"	0	0	0.0632905406351025	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0813102630443464	0	0	0	0	0	0	0	0	0	0	0	0.101230934077628	0	0	0	0	0.0304813150479506	0.0935752256704401	0	0	0	0	0	0	0	0	0	0	0	0.120760938089662	0	0	0	0	0.128249045828754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117259760521807	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.306164253440663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dacA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317070655712547	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118875796511336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105447599107598	0	0.100575681292763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10203265290156	0
"dnaA"	0	0	-0.0658461696055616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0128304330394859	0	0	0	0.123634118422454	0	0	-0.0650764369973551	0	0	-0.0133024751994395	0	0	0	0	0	0	0	0	0	0.00691646178304925	0.00907495591179042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000922541406320002	0	0	0	0.130950813791318	0	0	0	0	0	0	0	0.0933900657547946	0.00109152576088024	0	0	0	0	0.074991683725751	0	0	0	0	0	0	0	0	0	0	0	0	0.0605250407052491	0	0	0	0	0	0	0	0	0	0.052114880318217	0.123901890180709	0.0832916773804983	0	0	0	0	0.124810625285789	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0128304330394859	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241670835218303	0	0	0	0	0	0	0	0	0	0	0	0.0239276359744313	0	0	0	0	0	0	0	0.106266635924523	0	0	0	0	0.0921270140213605	0	0	0.064548986894663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0968256356793775	0	0	0	0.049374696338939	0	0.0596488849239465	0	0	0	0	0.0838558525642026	0	0	0
"fbp"	0.0856615235446006	0.0281646425710149	0	0	0	0	0.0351796898762037	0	0	0	0	0	0.108786022656549	0	0	0	0	0	0	0	1	0.0338672183575489	0	0	0	0	-0.0571194194065603	0	0	-0.0271408243035776	0	0	0	0	0	0	0	0	0	0.141190993441823	0.169031620891262	0	0	0	0	0	0	0	0	0	0.0278716194012552	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00589076557184399	0	0	0	0.0527927529903982	0	0.0195905438892116	-0.00173505791591347	0	0	0	0	0	0	0	0	0	0.0432539518072598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0933405387890157	0	0.0705461315561218	0	0	0	0
"fis"	0	0	0	0	0	0	0	0	0	0	0	0	0.0925687408792463	0	0	0	0	0	0	0	0.0338672183575489	1	0	0.098575770639987	0	0	0.088082378693707	0	0	0	0	0	0	0	0	0	0	0	0.0845091733357325	0.0251719094902258	0.13408195415227	0	0	0	0	0	0	0	0	0	0	0	0.082209586986238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105176094973601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100046158760005	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0813102630443464	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.121040839314314	0	0	0	0.01813886566566	0.00720039003249944	0	0	0	0	0	0	0	0	0	0	0	0	0.159609528033533	0	0	0	0	0.0253985979336439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0178445281000014	0	0	0	0	0	0	0	0	0	0	0	0	0
"ftsH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123634118422454	0	0	0.098575770639987	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0140870444062846	0	0	0	0.0151007316639736	0.100020457837489	0	0	0	0	0	0	0	0	0	0.0309745607354644	0	0	0	0	0.0940407428741824	0	0	0	0	0	0	0	0	0	0	0	0	0.0880107578070213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150797504948755	0	0	0	0	0
"glgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.143259042098892	0	0	0	0	0	0	0	0	0	0	-0.00413521465681365	0	0	0	0	0	0	0	0	0	0	0	0.148192878404142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0	0.120076226733844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0650764369973551	0	-0.0571194194065603	0.088082378693707	0	0	0	0	1	0	0	0.13157330319379	0	0	0	0	0	0	0	0	0.156767693697566	0	-0.0242255013878894	0	0	0	0	0	0	0	0.0237019530223094	0	0	0	0.107297555604815	0	0	0	0	0	0	0	0	0	0	0	0.0556199338093506	0	0	-0.00539234207196718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0479773316049458	0	0	0	-0.102789197506688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0429040177748157	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.0299164778720438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056629272887447	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143259042098892	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.117114176466389	0	0	0	0	0	0	0	0	0	0.0954132799677545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0973053603287378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00945604063562341	0	0	0	0	0	0	0	0.0849437312333307	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0.138829071602417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0133024751994395	0	-0.0271408243035776	0	0	0	0	0	0.13157330319379	0	0	1	0	0	0	0	0	0	0	0	0	-0.0825686335555379	-0.0281321986102345	0	0	0	0	0	0	0.0582063259443354	0.0982564236828715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0123460318236104	0	0	0	0	0.0453386308574527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gspF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hemA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0581841366996205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hslU"	0	0	0.000804101545057772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0231963615707056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12047239236771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0.0706688368382729	0	0	0	0	0	0	0	0	0	0	0	0	0.101230934077628	0	0	0	0	0	0	0.121040839314314	0	0	0	0	0	0	0	0.0123460318236104	0	0	0	1	0	0	0	0	0.123336979272046	0.00225476032129226	0	0	0	0	0	0.0996389402841271	0	0	0	0	0	0.0228749180351449	0	0	0	0	0.0698652545246912	0	0	0	0	0	0	0	0	0	0	0.00203237960756809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0911137369746178	0	0	0	0.0570115709234009	0	0	0	0	0	0.00818255447550698	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140870444062846	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.000508625079064677	-0.333851166668202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158015395167441	0	0	0	0	0
"ilvG"	0	0	0	0	0.0658579838605313	0	0	0	0	0	0.0604085496638147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.154150147922266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0525068842175601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.112843209130901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0845091733357325	0.01813886566566	0	0	0	0.156767693697566	0	0	0	0	0	0	0	0	0.000508625079064677	0	0	1	-0.114435713136838	0	0	0	0	0	0	0	0	0	0	0	0	0.229579951101804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.148907569730292	0.114221808039481	0.0549180840001937	0	0.118602963974068	0	0.0396237919128932	0.0886760490622316	0	-0.0296345403291029	0.115075564725777	0	0	-0.0158102239189211	0	0.0304813150479506	-0.306164253440663	0	0.00691646178304925	0.0241670835218303	0.141190993441823	0.0251719094902258	0.00720039003249944	0.0151007316639736	0	-0.00413521465681365	0	-0.0299164778720438	0	-0.0825686335555379	0.0453386308574527	0	0.0581841366996205	-0.0231963615707056	0.123336979272046	-0.333851166668202	0.154150147922266	0.112843209130901	-0.114435713136838	1	0.0722793589149052	0.00613486251396669	-0.000454235698529401	0	0	0.00125394171207618	0.0260672529594531	-0.0367796264627747	0	-0.100257392600873	0.264897748481374	-0.0841922753201785	-0.0334591130871926	0.0392974822835045	-6.79481664707492e-05	0.00733158083649138	0.00375010732105088	0.0223685891950683	0	0.0241976023635127	0	0	0.000177850016476852	-0.340192089691134	-0.0961069789940226	0.0128789593654991	0.088881810069003	0	0.154089211015646	0	0.110250443572378	-0.235481224913398	0	-0.122535030021548	-0.0173237410892283	0	-0.00153411293420195	0	0	0	-0.114216944527294	0	0	0	-0.00111383690433543	0	-0.00160930764229515	-0.0226641219812365	0	0	-0.040506208279578	0.0233114374638742	0	0	0.167734259659764	0.0575279574324872	-0.00102909951817228	-0.00970848346972172	0.00908578800404527	0	0.140570144143117	0.0446421083609436	0.0660707069587336	0.0161837862720899	0.051795879660825	-0.0929577844179201	0	0	0.0911417822778534
"kpsE"	0	0	0	0	0	0	0.0163245337028354	0	0	0	0	0	0.0905513574909392	0	0	0.0935752256704401	0	0	0.00907495591179042	0	0.169031620891262	0.13408195415227	0	0.100020457837489	0	0	-0.0242255013878894	0	0	-0.0281321986102345	0	0	0	0	0.00225476032129226	0	0	0	0	0.0722793589149052	1	0	0	0	0	0	0	0	0	0	0.0227777344881242	0	0.0193423784650994	0	0	0	0	0.07338563245177	0	0	0	0	0	0	-0.00294362810016929	0	0	0	0.114991872587716	0	0	0	0	0	0	0	0	0	0	0	0	0.0155677019999205	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301599196952798	0	0	0	0	0	0	0.085519912136371	0.101089255027772	0.0585174508351929	0	0	0	0
"kpsT"	0	0	0.0346853651613688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117114176466389	0	0	0	0	0	0	0	0	0	0	0.00613486251396669	0	1	0	0	0	0	0	0	0	0	0.0449713779247988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132113743149084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128399099730348	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0760019934885712	0	0	0.118875796511336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000454235698529401	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123677830536111	0	0.120432317567164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122730987085349	0
"manX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306483520738281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0733577749577113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mdoG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125394171207618	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0324454794647283	0.0679175286906769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
