"ECB_00503"	"ECB_00739"	"ECB_01413"	"ECB_01992"	"ECB_01999"	"ECB_02798"	"ECB_03523"	"ESCRE1397"	"ESCRE1901"	"ESCRE2157"	"ESCRE3628"	"actP"	"aroA"	"aroK"	"atoC"	"bglJ"	"cbpA"	"cls"	"dedA"	"deoA"	"dgsA"	"dgt"	"dinG"	"dnaX"	"dppD"	"dusB"	"fbp"	"fis"	"frmB"	"fruK"	"fusA"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hemA"	"hemL"	"hsdR"	"iclR"	"ilvE"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"malQ"	"metH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nrdR"	"nusA"	"ompR"	"orn"	"pbpG"	"poxA"	"prc"	"pta"	"rep"	"rhlB"	"rho"	"rluB"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsA"	"rpsR"	"rssB"	"sbmA"	"sdaC"	"secF"	"tap"	"thrB"	"thrS"	"tktB"	"tldD"	"treF"	"truB"	"uspA"	"wbbD"	"wcaI"	"wzyE"	"yahG"	"ybaL"	"ybhJ"	"ydaE"	"ydbD"	"ydcN"	"ydcU"	"ydgR"	"yecP"	"yehU"	"yfiB"	"ygaD"	"ygcN"	"yhiO"	"yiaG"	"yjcC"	"yjeP"	"yjgN"	"yjhA"	"ykgE"	"ynjA"
"ESCRE3628"	0	0	0	-0.0314862394897757	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078170891960366	0	0	0	0	0.0829551419614851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183198442662035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0635181952129682	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105844456998634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0450163146358289	0	0	0	0	0	0	0	0.0258264999433921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271804263271596	0	0	0	0	0	0	0	0	0	0	0.0140351528662039
"aroA"	0	0	0	-0.0671456590185178	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132249032172778	0	0	0	0	0	0	0	0.0252143456237562	0	0	0	0	0	0	0	0	0	0.00427397951937798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	0	-0.0629955736358536	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0974802844914981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499113407486617	0	0	0	0	0	0.0419046147338706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	-0.153306856766712	0	0	0	0	0	0	0	0	0	0	1	0	0.0692181097749271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0300065107488581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343086888521936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029489926676824	0	0	0	0	0	0	0	0	0	0	0
"bglJ"	0	0	0	-0.0508219509951401	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281832683244029	0	0	0	0	0.0360603649741165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108954613865946	0	0	0	0	0	0	0	0	0.0495114785945344	0	0	0	0	0	0	0	0	0	0	0
"cbpA"	0	0	0	-0.0746189925405194	0	0	0	0	0	0	0	0	0	0	0.0692181097749271	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0982317830429273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0739807923300852	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0.000195669083322647	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0966612018487816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dedA"	0.0370649606536304	0	0	-0.0651957423238615	0	0	0	0.056314745887895	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0712103275490162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252004152262461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0334234928561418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0.0666963589866437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0390971773234203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dgsA"	0	0	0	-0.0634661781633091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.111346305674786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044876494677822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dgt"	0	0	0	0.122080518436187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0528003764271726	0	0	0.0398145041041186	0	0	0	0	0	0	0	0	0	0	0	0	0.00488834511585234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039258401240865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dinG"	0	0	0	-0.133153254469168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.00305720420611426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaX"	0	0	0	-0.188137580461084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.00914397957217282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dppD"	0	0	0	-0.115045991940681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.041047073677888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0	0	0	0.0630498306748683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.061423002023155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00873609512703022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00386214335827942	0	0	0	0
"fbp"	0	0	0	-0.0319299619421139	0	0	0	0	0	0	0.078170891960366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0839833781346932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197024264133324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0647354430891958	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0	0.100406726569747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0309045045719359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196961651693372	0.0507368740382081	0	0	0	0	0	0	0	0	0	0	0.0154617801181515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"frmB"	0	0	0	-0.161645792637245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0658625878162885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00191276653268502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0.000529444904193791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fusA"	0	0	0	0.0598932146523917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.115638443745974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189485611111116	0	0	0	0	0	0	0	0	0	0	0	0	0.0224089516406128	0	0	0
"glgC"	0.0796214887329748	0.0797073866927678	0.0743795839461998	0	0.0779061280910418	0.0285529124921772	0.0250399530947996	0.0968878538599521	0.0998603400581658	-0.0529631498416029	0.0829551419614851	0.105844456998634	0.132249032172778	-0.0974802844914981	-0.0300065107488581	0.0281832683244029	0	-0.0966612018487816	0.0712103275490162	0.0390971773234203	-0.111346305674786	-0.0528003764271726	-0.00305720420611426	-0.00914397957217282	-0.041047073677888	-0.061423002023155	0.0839833781346932	-0.0309045045719359	-0.0658625878162885	0	0.115638443745974	1	-0.0540409458917057	-0.097014602114956	-0.0570828404523579	0.0232590061868948	-0.0353454143380135	-0.0939888768650812	-0.0159451089605597	0.117418020892566	0.0418493739417456	0.0716455006827377	0.0761829889724495	0.0551540458686898	-0.253426921482867	5.97424704811229e-05	0.0875042703040464	0	-0.13920679121852	0.202680532215554	0.074892937085498	0.0162730445884398	0.108123599492133	-0.0609961695842013	0.022108005908324	0.0276192487569614	0.11064055927012	0.00548871260411675	0.193962597557614	0	-0.0162804612263937	0.117717145696143	0.127167714014731	-0.0594942144347247	-0.0931909689469756	-0.0774686487137288	-0.0568469282553477	0.0758388023900436	-0.0910825771420368	0.096598705711624	-0.0996713890412729	-0.365267458269409	-0.128066867761992	-0.0756030349197657	0.0655168047656956	0.00126807247770205	0.127873366345571	0.185894062695688	0	0.0678893098400706	-0.18917092551003	0.00803658987950497	-0.097136330550762	0.0534209108651435	-0.0264684724030406	-0.054980586960286	0.0261270787211483	-0.0205734457564479	-0.084618679612107	0.0793056650570425	0.0566727230742295	-0.0981864790459415	0.0417585799008858	0.05126801700577	-0.00605166330106869	0	0.0335915246711735	-0.0349945721084673	0	0.0267614573664566	0.133621594152246	0.0633488128381216	0	0.0405119686955061	0.0699899405880169	0.0508859077292284	0	0.0629598113616481	0.0390573553768715	-0.0719491412061345	0.0605615705467519	0.0979728481417984	-0.12573782057577	0.137389945275282	-0.0472824781415742	-0.00757885900827797	0.0904101781589447
"glgP"	0	0	0	0.265329720064673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0540409458917057	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmM"	0	0	0	0.0405106278348525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.097014602114956	0	1	0	0	0.0142389810168429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0467122776003746	0	0	0	0	0	0	0	0	0	0.0630504648697831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0791921567562754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmS"	0	0	0	0.129127208922853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0398145041041186	0	0	0	0	0	0	0	0	0	-0.0570828404523579	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0114622115453151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447618246392708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpE"	0	0	0	-0.0203377489195957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232590061868948	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501894824399732	0	0	0	0.0890718969839447	0	0.0751544161942105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0581816596307975	0	0	0	0	0	0	0.0786276025259635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867604038042801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	-0.00649997830190266	0	0	0	0	0	0	0	0	0	0	0	0.0360603649741165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0353454143380135	0	0.0142389810168429	0	0	1	0	0	0	0.0655910835904173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142252375776634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159956959694093	0	0	0	0	0.0737965726983747	0	0	0	0	0	0	0.0567473271389528	0	0	0	0	0.0331523061543576	0	0	0	0	0	0	0	0
"glpG"	0	0	0	-0.0424960989692207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0939888768650812	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0.0348823165760814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0159451089605597	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0928290974693502	0.0362388883630986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114876027771613	0	0	0.0344055895471057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	-0.25356374583298	0	0	0	0	0	0	0	0	0.0252143456237562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117418020892566	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00359376738396647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202325957371154	0	0	0	0	0	0.0194882975156393	0	0	0	0	-0.000685093163747184	0	0	0	0
