"ECB_00737"	"ECB_01992"	"ECB_02002"	"ECB_02800"	"ECB_02821"	"ECB_03516"	"ECB_03523"	"ECB_misc_RNA_47"	"ESCRE1328"	"ESCRE1901"	"ESCRE3628"	"IS3_insF"	"argA"	"aroK"	"atpC"	"atpE"	"bcsB"	"cls"	"crp"	"dacA"	"dnaA"	"ebgA"	"envZ"	"fbp"	"fis"	"folM"	"frmC"	"ftsH"	"glgP"	"glgX"	"glpF"	"glpG"	"glpR"	"glpT"	"hslU"	"hupB"	"hypE"	"iclR"	"ilvL"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"leuX"	"lysP"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"nusA"	"ompR"	"orn"	"pmbA"	"proQ"	"pta"	"rhlB"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rssB"	"sbmA"	"sucB"	"sufI"	"thrB"	"tktB"	"topA"	"torS"	"uidB"	"ulaG"	"uraA"	"uspA"	"yahN"	"ybaL"	"ybjE"	"ycbC"	"yccE"	"yddV"	"ydeJ"	"yecP"	"yehU"	"ygdH"	"yhhF"	"yjaG"	"yjaH"	"yjgQ"	"ykgG"	"ynjI"	"yqeA"	"yraL"
"ESCRE3628"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449221336862241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0646440618153525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162124115376271	0	0	-0.0426591953800942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0939633996280142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0609399138971903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273289875218472	0	0	-0.0505452505944966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"argA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.177213238090194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066495148693486	0	0	0.018818891640131	0	0	0	0	0	0	0	0	0	0	0.00557810348012084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	-0.00894449447597096	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0659405946734761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0117742244875308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0899088344388932	0	0	-0.128614076963075	0	0	0	0.026569740706013	0	0	0	0.024001885939084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0859777130675338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143385705886833	0	0	0.0541476645602424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpE"	0	0	0	0	-0.00029844549524579	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.0450364834899555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052072952303789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0890230092477591	0	0	0.121087351601087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bcsB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.13597862723561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0610755384506504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00903284407567693	0	0	0.0424846764075317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.0455430489717087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141070991091937	0	0	-0.000240849572921311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0872144882931648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0518062859258487	0	0	0	0	0	0	0	0	0	-0.0515625765988251	0	0	0.0184014112969222	0.0547779971521222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dacA"	0	0	0	0	-0.00385280602725726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0461531060224196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0539524456223659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0906480750886097	0	0	0.122795785991269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.119671141161584	0	0	0.00237067877891943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0757546150207695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399202863693772	0	0	-0.0641474819837576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ebgA"	0	0.00794954609736719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0211153413612818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0518227509112865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124714816617121	0	0	0.114792227479225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"envZ"	0	0	0	0	0.0286959869202701	0.0203096449611131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0755048569308321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0208333731034159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.148490519248265	0	0	-0.0648036783000414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147346256697486	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.102982883487904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0537661781804262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118894617121123	0	0	-0.0158813459856582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0.0461884519023235	0.14118254688951	0.0960010827070267	0.102751358101913	0.0815082717760759	0.0789327099601294	0.0225176014300931	-0.157115459653987	-0.153135435769926	-0.00725815448739221	0.0449221336862241	0.0939633996280142	0.177213238090194	-0.0659405946734761	0.0859777130675338	-0.0450364834899555	-0.13597862723561	-0.0455430489717087	0.0872144882931648	-0.0461531060224196	0.119671141161584	0.0211153413612818	0.0755048569308321	0.102982883487904	1	-0.155510192633642	-0.12565405316298	0.147409562930429	0.181328948435701	0.0427492431685196	-0.0319755772181502	-0.000643523262126188	-0.152843469101494	-0.00670397065706331	0.0948702384901477	-0.155048736846574	-0.129723745464402	0	0.0792364522514421	0.0455380028908735	0.0765916386002972	0.221471231591245	0.00018988256366259	0	-0.153396406180435	-0.0258755817089932	-0.132899857275006	0.0428516495347094	0.0623167159146507	-0.157897856499832	0.0688294492894304	0.000123675931051581	0.0726508912307346	0.0311439707247558	0	-0.0308870387784756	0.09539824241132	-0.157537039346884	0	-0.00949814725872257	0.10272477252411	0.0089028606167727	0	0.104591433561456	-0.0534527740587835	0.0210375982206777	0.0863281700680079	-0.0570031932259987	-0.0640297795876444	-0.0621716682104734	0.122988340469515	-0.160101375881667	0.0240356320102421	-0.0605175579088011	-0.152508024483759	-0.0313979962787813	0.1669435697778	0.119915166480392	-0.154969029137449	0.0165044519954928	-0.0558154669289734	-0.0305402541858442	0.122769197403842	0.0952345725072601	-0.14709393094438	0.0812789347569011	-0.161956353859231	0.0487019621091825	-0.00754010759648813	0.0535005266105654	-0.152604712153942	0.144908367358985	-0.055416085889974	-0.0442913026763864	0.094839220002733	-0.0550560143063526	-0.155813211632405	0.09427857210037
"folM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.155510192633642	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0606515716982701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0204366416646569	0	0	0.0290734510707419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"frmC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12565405316298	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0946974854363666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ftsH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00237067877891943	0	0	0	0.147409562930429	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125619870090431	0	-0.0875766515534686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000709143282864194	0	0	0	0.054805553092474	0	0	-0.0707443853883881	0	0	0	0	0.000586695643379573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217662764179647	0	0	0	0	0	0
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181328948435701	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0358997003997734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.171509374542271	0	0	-0.0577398922510434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgX"	0.00756049108300853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0427492431685196	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0828774793400349	0	0	0	0.00263650189342584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0536641374499845	0	0	-0.165085537453352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00220882091108199	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0319755772181502	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0349621598877872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061713079701103	0	0	-0.120880675085203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0.0220867370287006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000643523262126188	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0986244739548314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0300269259575493	0	0	0.153832286307958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.152843469101494	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0602069468081765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0199063767358347	0	0	0.0295264292719722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00670397065706331	0	0	0	0	0	0	0	0	1	0	0	0.00608273012831473	0	0	0	0	0	0	0.00502986399758048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000555211114291288	0	0	0.0228932763072432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hslU"	0	0.0183422952347099	0.0094494789354463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0948702384901477	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.018340297902584	0	0	0	0	0	0	0	0	0	0	0	0	0.0095499584999968	0	0	0	0	0	0.0283920545735594	0	0	0.144636213066888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155009616389361	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.155048736846574	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0606098579037078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0201956257322792	0	0	0.0292469773329594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hypE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.129723745464402	0	0	0	0	0	0	0	0	0.00608273012831473	0	0	1	0	0	0	0	-0.00128492918176279	0	0.00492543918645913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.156476818435213	0	0	-0.0153491025853392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0178819827696878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0282256713483833	0	0	-0.210513562125858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0792364522514421	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.200972942744163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kefC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0455380028908735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0769690357664883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0490730369320147	0	0	-0.154395094041729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0.0223118838457707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0765916386002972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0474987790015664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.135979395103027	0	0	0.138455248257569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221471231591245	0	0	0.0125619870090431	0	0	0	0	0	0	0	0	-0.00128492918176279	0	0	0	0	1	0	-0.022914053813625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140250468240149	0	0	0.0120388413845138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791768803747108	0	0	0.00845628479688063	0	0	0.00724895284659166
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018988256366259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00645844413869744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.217412600702998	0	0	0	0	0	0	0	0	0	0.00375350664407678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsT"	-0.0812851718774813	0.0814296712239556	0.0171083562623845	-0.066075652882712	-0.0249283142501625	-0.023139674964851	0.00764692375752403	0.00180405382982719	0	0	-0.0646440618153525	-0.0609399138971903	0	-0.0117742244875308	0	0.052072952303789	0.0610755384506504	0	0	0.0539524456223659	-0.0757546150207695	0.0518227509112865	-0.0208333731034159	-0.0537661781804262	0	0.0606515716982701	0	-0.0875766515534686	-0.0358997003997734	-0.0828774793400349	-0.0349621598877872	0.0986244739548314	0.0602069468081765	0.00502986399758048	0.018340297902584	0.0606098579037078	0.00492543918645913	-0.0178819827696878	0	-0.0769690357664883	0.0474987790015664	-0.022914053813625	0.00645844413869744	1	0	0.0532508602339919	0	-0.0794758894563374	0	0.0701798181048601	-0.0645990299080063	0.0615557626774302	0	-0.024111855982294	-0.0874407527287217	0.048002592001225	0.0156163327777757	0	-0.0987385829520985	0	0.00191837352255951	0	-0.00268638379775018	-0.0727646249539646	-0.0376582043074336	0.101374439207344	0	-0.0425275700569103	0	-0.0116896213586631	-0.0736461535632542	0.0620099324666955	0.00892371173200538	-0.0111835828952818	0.000765798848830781	-0.00256670201884182	0	-0.0715024466242793	0.0014365442269897	0.0549786587669364	-0.0410007731738677	0.016713999376656	-0.0732720538799368	0.0219128512925133	0.0598889173983232	-0.022510529044963	0.00197366745062627	-0.0634700485695344	0.0306437444388642	-0.0778947798630385	0.0608029850205601	-0.0865704689875476	-0.0407189852162912	0.0357924981562648	0	0.0566714035457017	0	0
"leuX"	0	-0.0181830920313657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153396406180435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24890865178432e-05	0	0	-0.094864533841601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysP"	0	0	0	0	-0.00332497121298096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0258755817089932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0532508602339919	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0954329220531859	0	0	0.13215468185721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.132899857275006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099825898081934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
