"ECB_00737"	"ECB_01992"	"ECB_02798"	"ECB_02821"	"ESCRE1901"	"IS3_insF"	"actP"	"araE"	"atoC"	"atpC"	"cbpA"	"cls"	"crp"	"dapA"	"dgt"	"efeO"	"fcl"	"fruK"	"glgA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpG"	"glpT"	"hupB"	"iclR"	"ilvL"	"kpsE"	"mraY"	"mrdA"	"mrdB"	"mreB"	"mreD"	"napA"	"nrdR"	"nusA"	"pgaB"	"pitB"	"poxA"	"rep"	"rho"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rssB"	"secF"	"thiI"	"tldD"	"ybaL"	"ybbN"	"yedW"	"yehU"	"yhaO"	"yhhF"	"yjgQ"	"ykgG"	"ylbH"	"ynjA"	"yraL"
"dapA"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.120115071398659	-0.138626755394241	0	0	0	0	0	0	0	0.0655873187468326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dgt"	0	0.208739589527168	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.108099719618582	-0.0141372348317479	0	0	0	0	0	0	0	0.0280470799494973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"efeO"	0	0.0210819191123503	0	0	0	0.00997896114820236	0	0.0334528491515244	0	0	0	0	0	0	0	1	-0.0201175274975137	0	0	0.120719235993284	0.179125068745451	0	0	0	0	0	0	0	-0.0929687510599278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022558734518068	0	0	0	0	0	0	0	0	0	0	0	0
"fcl"	0	0	0	0	0	0	0	-0.0201002927195977	0	0	0	0	0	0	0	-0.0201175274975137	1	0	0	-0.12219121359334	-0.155340374380455	0	0	0	0	0	0	0	0.0859466118739807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00832763605603343	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0.154058606763685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.103604955423505	0.022096961602374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgA"	0	-0.112273492072316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0149039849298271	0.128900269006484	0	0	0	0	0	0	0	-0.0929259573788089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	-0.124493013636714	-0.0166094337760649	0.0343604077538199	-0.0915265558363227	0.00594290881398192	0.111812611957326	0.224049230919039	0.120823231110376	0.0774178836624393	0.130851723352114	0.0819598392595024	-0.0627141890518836	-0.175047302363877	-0.120115071398659	-0.108099719618582	0.120719235993284	-0.12219121359334	0.103604955423505	-0.0149039849298271	1	-0.000241981610885098	-0.109589124976585	0.106332616510561	-0.262066438754448	0.233758383225285	0.0518542458434094	-0.230884623824761	0	0.0175085753862552	-0.0892064284330132	0	0.00621096600833008	0.119964174562429	0.0382567465924665	0.112968991192154	0.226840949130983	0.0681134119334326	-0.0918671155758429	-0.178377580428344	-0.10941502004679	0.222124059417666	-0.250460739004085	0.0412042118270722	0.0295808407026629	0.00235227244782166	0.0728864300657094	-0.0939221861667791	0.110075937023787	0.119796678762522	0.218356768410861	-0.0780786081727103	-0.177026245955743	-0.0914520418820103	0.21401344419156	-0.0161144634732795	0.113565457327054	0.00555876606632305	0.134595089735239	-0.118597909496804	0.220509816514893	0.134349868454937
"glgP"	-0.14304038970115	0	-0.102945776021636	0.153277743948714	0	0.16421186673082	0	0.179084987254553	-0.120075729085755	-0.138945473070499	-0.12457272813243	0.0512483540399035	0	-0.138626755394241	-0.0141372348317479	0.179125068745451	-0.155340374380455	0.022096961602374	0.128900269006484	-0.000241981610885098	1	-0.00399515945503214	0.0219486574990839	-0.0129891935672157	-0.0790735284707739	0.193812583440861	0.051265873972079	0.00769347475542207	-0.184304248394535	0.136430921229099	-0.224638044070718	0	0.122770972338506	-0.0443817742141033	0.0231282172872676	0	0.200042671528647	0.142367781607494	0	-0.00419389092076642	0	0.0766356367070726	-0.00449791530565133	-0.0031313751518877	0.114697828655753	-0.11441086532763	-0.119107115571485	0.0226841043047666	0.172176651979376	0	-0.0788628726373403	0	0.142267066196241	-0.0757827112911201	0.1358033561192	0.0231016902712153	0	-0.14722983191365	-0.136958214329395	0	-0.144590898618411
"glmS"	0	0.212723917283784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.109589124976585	-0.00399515945503214	1	0	0	0	0	0	0	0.0218519397248273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0.157122182282945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106332616510561	0.0219486574990839	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0.0312366774519943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.262066438754448	-0.0129891935672157	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0.16231568089465	0	0	0	0	0	0	0	0.00448233621230149	0	0	0	0	0	0	0	0	0	0.233758383225285	-0.0790735284707739	0	0	0	1	0	0	0	0.0751147660919098	0	0	0	0	0	0	0	0	0	-0.00132962749225846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0206766158387759	0	0	0.0164567630790206
"hupB"	0	0.131391945207376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0518542458434094	0.193812583440861	0	0	0	0	1	0	0	-0.0628219448423064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0.137696679256705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.230884623824761	0.051265873972079	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0.266422740691085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769347475542207	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0.0693539576720946	0.00225708191754169	0.0945733027869161	-0.0742634822393348	0	-0.0796891275896028	0	-0.0929115692092667	0.0385253096256927	0.0953829386020451	0.0415129726145673	-0.0214142219160251	-0.00408725125654657	0.0655873187468326	0.0280470799494973	-0.0929687510599278	0.0859466118739807	0	-0.0929259573788089	0.0175085753862552	-0.184304248394535	0.0218519397248273	0	0	0.0751147660919098	-0.0628219448423064	0	0	1	-0.0595493124647863	0.132110341597123	0	-0.0694470439552451	0.0259131033747997	0	0	-0.121298463256911	-0.0640756588524438	-0.00601731916016114	0.0219930159797055	0	-0.0476921233551541	0	0.0103757984020145	-0.0384768264199385	0.0348689208863428	0.088993602109542	0	-0.0860864636135368	0	0	-0.00358739193242469	-0.0639467153507617	0.0116291010666322	-0.0980145927193171	0	0	0.101572526376975	0.0641207460021128	0	0.0996501566520436
"mraY"	0	0.0760050615343385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0892064284330132	0.136430921229099	0	0	0	0	0	0	0	-0.0595493124647863	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0.014961276331653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.224638044070718	0	0	0	0	0	0	0	0.132110341597123	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdB"	0	-0.267825925425046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00621096600833008	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	-0.0734114584405033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119964174562429	0.122770972338506	0	0	0	0	0	0	0	-0.0694470439552451	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0.0520683058726321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0382567465924665	-0.0443817742141033	0	0	0	0	0	0	0	0.0259131033747997	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"napA"	0	0.166369415614955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112968991192154	0.0231282172872676	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nrdR"	0	-0.0335629702087192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226840949130983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	-0.0555443243061827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0681134119334326	0.200042671528647	0	0	0	0	0	0	0	-0.121298463256911	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pgaB"	0	0.0779732415674822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0918671155758429	0.142367781607494	0	0	0	0	0	0	0	-0.0640756588524438	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pitB"	0	-0.176323735415148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.178377580428344	0	0	0	0	-0.00132962749225846	0	0	0	-0.00601731916016114	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00369845587057289	0	0	0	0	0	0	0	0	0
"poxA"	0	0.212434206163864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10941502004679	-0.00419389092076642	0	0	0	0	0	0	0	0.0219930159797055	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rep"	0	-0.0327777872626985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222124059417666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	-0.0109165997566288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.250460739004085	0.0766356367070726	0	0	0	0	0	0	0	-0.0476921233551541	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	-0.00910561246798707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412042118270722	-0.00449791530565133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0.0323998604408899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0295808407026629	-0.0031313751518877	0	0	0	0	0	0	0	0.0103757984020145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoD"	0	0.0410321556558668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00235227244782166	0.114697828655753	0	0	0	0	0	0	0	-0.0384768264199385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoH"	0	-0.152164909037532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728864300657094	-0.11441086532763	0	0	0	0	0	0	0	0.0348689208863428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0.210053905514606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0939221861667791	-0.119107115571485	0	0	0	0	0	0	0	0.088993602109542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0.162013722728738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110075937023787	0.0226841043047666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"thiI"	0	0.0209458913903076	0	0	0	0	0	0.0225188562581842	0	0	0	0	0	0	0	0.022558734518068	-0.00832763605603343	0	0	0.119796678762522	0.172176651979376	0	0	0	0	0	0	0	-0.0860864636135368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"tldD"	0	-0.0321896669085992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218356768410861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	-0.140593582329002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0780786081727103	-0.0788628726373403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ybbN"	0	-0.175527404637855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.177026245955743	0	0	0	0	0	0	0	0	-0.00358739193242469	0	0	0	0	0	0	0	0	0	0.00369845587057289	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"yedW"	0	0.0778258110950368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0914520418820103	0.142267066196241	0	0	0	0	0	0	0	-0.0639467153507617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"yehU"	0	-0.130229171882247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21401344419156	-0.0757827112911201	0	0	0	0	0	0	0	0.0116291010666322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"yhaO"	0	-0.116053308592708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0161144634732795	0.1358033561192	0	0	0	0	0	0	0	-0.0980145927193171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"yhhF"	0	0.166499889110496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113565457327054	0.0231016902712153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"yjgQ"	0	-0.267320868387295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00555876606632305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ykgG"	0	0.0600523564996887	0	0	0	0	0	0	0	0.0076117767055338	0	0	0	0	0	0	0	0	0	0.134595089735239	-0.14722983191365	0	0	0	0.0206766158387759	0	0	0	0.101572526376975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0167876227423249
"ylbH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118597909496804	-0.136958214329395	0	0	0	0	0	0	0	0.0641207460021128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ynjA"	0	-0.0325336262969438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220509816514893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"yraL"	0	0.059886829319242	0	0	0	0	0	0	0	0.00360241200603077	0	0	0	0	0	0	0	0	0	0.134349868454937	-0.144590898618411	0	0	0	0.0164567630790206	0	0	0	0.0996501566520436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167876227423249	0	0	1
