"ECB_00376"	"ECB_01992"	"ECB_02008"	"ECB_03523"	"ESCRE1328"	"ESCRE1901"	"ESCRE2157"	"atoC"	"azoR"	"cls"	"crp"	"dgsA"	"dnaA"	"dppD"	"dusB"	"fbp"	"frmB"	"ftsW"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"gltB"	"hrpA"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsM"	"kpsT"	"leuX"	"mdoH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreC"	"nuoM"	"nuoN"	"nusA"	"orn"	"ppiA"	"ppk"	"pta"	"rhlB"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rssB"	"secF"	"tap"	"thrB"	"wzyE"	"yahN"	"ybaL"	"ybhJ"	"ycbC"	"yccE"	"ycgV"	"ydaE"	"yeeJ"	"yehU"	"yejM"	"yfaE"	"yfdC"	"ygfA"	"ygiV"	"yjaH"	"yqeA"	"yraM"	"znuA"
"nuoN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0808504011950358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0174187399916271	0	0	0	1	0	0	0	0	0.137390167039401	0	0	0.137334654633961	0	-0.0525029202853535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0126936592721914	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0.139808430452968	0	0	0	0	0.14675138381454	-0.0132619834739509	0	0	0	0.148602682321299	0	0	0	0.203448932383257	0	0	0	0	0	0	0	-0.197401997948914	0	0	0	0	0	0	0	0	0	0.041576739360965	-0.0363016058973812	0	-0.000757929997062788	0	1	-0.0102211428963107	0.0719805553103839	0	-0.00848966311903291	-0.0176898244530676	-0.0756724313258555	0	0	0	0.100756245828265	0	0	0	0.127960998468697	-0.0889972055801856	0	-0.00294960794142916	0	0	0	0	-0.0465734323592808	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00258591142433243	0	-0.00398693462124227
"orn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0102211428963107	1	0	0	0.00123667322348834	0.204518534821309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ppiA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0419111856585806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0719805553103839	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ppk"	0	0	0	0	0	0	0	0	0	0	0	0	0.145664725832621	0	0.11440725800148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0853636384596482	0	0	0	0	0	0.110570668677626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113822174785122	0	0	0	0	0	0	0.138159861820228	0	0	0	0	0
"pta"	0	-0.0791332859946717	0	0	0.12312997810562	0	0	0	0.144527736410394	0.103632390037606	-0.0368534963471892	0.00486228894010549	-0.0661445868823989	0	-0.161587219842079	0	0	0	0	0.00505841370051394	0	0.098453731796881	-0.0455855942161832	-0.0596999853897052	0.118946825089673	0.0946206962114889	-0.0389674543958224	0.0680674837139582	0	0	-0.090019809652372	-0.0581095775715297	-0.0441018043231798	0.0109706282186511	-0.037018253336672	-0.0195318604863272	-0.00340344513119788	-0.140594814552707	0.00699321681868186	0	0.0975308694165549	0.137390167039401	-0.00848966311903291	0.00123667322348834	0	-0.0853636384596482	1	0.00160455626915274	0.259103257639228	0.0994187133574719	0	-0.344185712515842	0	0	0	-0.0114800568603582	-0.0196891955153977	0.0194742035935397	-0.00212683889894011	0	0	-0.00760268324691172	0	0	0.154773258728768	0	0	-0.0328596642005576	-0.0182541324796633	-0.000775486178812312	-0.121773561348205	0	0	0	0.063153974051547	-0.0505560591148199	-0.0859693049833228	0	0.141550315345615	-0.0561416586606647	0.100906623361249
"rhlB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00448388854543834	0	0	0	0	0	0	0	0.0158874161316436	0	0	0	0	0	0	0	0	0	-0.00404422215254792	0	0	0	0	-0.0176898244530676	0.204518534821309	0	0	0.00160455626915274	1	0	0	0	0	-0.00631810180296655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	-0.0768929382444166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.172426507456434	0	0	0	0	-0.0756724313258555	0	0	0	0.259103257639228	0	1	0	0	-0.00763275195903999	0	0	0	0	0	0.0912944139547316	0	0	0	0	0	0	0	0	0	0	0	0	-0.0492230760304393	0	0	0	0	0	0	0	0	0	0
"rmlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137334654633961	0	0	0	0	0.0994187133574719	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0.0465194543823499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.137244713908927	0.0158840257493961	0.02262536000354	0	0	0.0109350264831778	0	0	0.00114226589837975	0	0.0489042276565792	0	0	0.00340001224343096	0	0	0.0704603024667471	0	0	0	-0.0525029202853535	0	0	0	0	-0.344185712515842	0	-0.00763275195903999	0	0	1	0	0	0	0	0	-0.0998109820804846	0	0.134561089385684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0.0444524032214982	0	0	0	0	0	0	0.0946997637191723	0	0.000212660207324656	0.10273914073855	0	0.112892379313778	0	0.146895469779106	0	0	0	0	0	0	0	-0.188180599459035	0	0	0	0	0	0	0	0	0	0	-0.0148510787637791	0.0836534596883669	0	0	0.100756245828265	0	0	0.110570668677626	0	-0.00631810180296655	0	0	0	0	1	0.0398402089066919	0	0	0	-0.0300318780541542	0	-0.00751120202573356	0	0	0	0	0	0	0.106646921312153	0	0.00370131945390034	0	0	0	0	0.107464726630907	0	0.0737284715572359	0	0	0	0	0
"rpoD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141933317770466	0	0	0.0735476856902977	0	0	0	0	0	0	0	0	0	0	0.0810211740064872	0	0	0	0	0.126982977276833	0	0.100293618369251	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0398402089066919	1	0	0	0	0	0	0.0608256028504025	0	0	0	0	0	0	0.137282108987067	0	0	0.117036955547959	0	0	0	0.137881971111726	0	0	0	0	0	0	0
"rpoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoS"	0	0.108784430060167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0923435920832517	0	0	0	0	0	0	0	0	0	0.138755988367583	0	0	0	0	0.0623681955074012	0	0	0	0	0	0	0	0	-0.0114800568603582	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0932413386063018	0	0	0	0	0	0	0	0	0
"rpsA"	0	0	0	0	0	0	0	0	0	0	0.129220908910047	0	0	0	0	0	0	0	0	0.0406215176946224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0577957150725085	0	0	0	0	0.127960998468697	0	0	0	-0.0196891955153977	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	-0.053916238600601	0	0	0	0	0	0	0	0	0	0.116903141708059	0	0	0	0	0	0	0	-0.0465179927806571	0	0.0074905202767269	0	-0.0038307157221966	0	0	0	0.0206434620721298	0	0	0	-0.00919078779246987	0	0	0	0	0	-0.0957879045317442	0	0	0	0	-0.0889972055801856	0	0	0	0.0194742035935397	0	0.0912944139547316	0	0	-0.0998109820804846	-0.0300318780541542	0	0	0	0	1	0	0	0	0	0	0.092148879547836	0	0	0	0	0	0	-0.00852154302695508	0	0	0	0	0	0	0.0638433985235512	0	0	0
"rssB"	0	0	0	0.0843041486656496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127525500986239	0	0	0	0	0	0.0801763284533153	0	0	0	0	0	0	0	0	-0.00212683889894011	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.123334326227225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
