"ECB_01992"	"ECB_01996"	"ECB_01999"	"ECB_02002"	"ECB_04076"	"ECB_04210"	"ESCRE0483"	"ESCRE0749"	"ESCRE1901"	"ESCRE4497"	"IS3_insF"	"abgB"	"aroA"	"aroK"	"bglJ"	"cls"	"crp"	"deoA"	"dinG"	"dnaX"	"eamA"	"eutJ"	"fbp"	"fruK"	"fsr"	"fusA"	"gabD"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"hemA"	"hsdR"	"hupB"	"hycE"	"hyfG"	"iclR"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"lon"	"lptB"	"lsrG"	"lysR"	"malQ"	"mdoH"	"metA"	"metJ"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"napA"	"nuoA"	"nusA"	"pta"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"sdaC"	"secF"	"slyA"	"speB"	"thrS"	"tktB"	"topA"	"treF"	"vacJ"	"wbbD"	"wcaI"	"yahG"	"yahN"	"ybaL"	"ybiW"	"ycbS"	"yccE"	"ydbD"	"yehU"	"yfcI"	"yfhK"	"yfiB"	"yggG"	"yhhF"	"yjaH"	"yjbA"	"yjcC"	"yjgN"	"ykgE"
"fusA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0971061249401169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gabD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011957155638163	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0513330609963145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	-0.0361110835762453	0	0	0	0	0	0	0	0	0	0	0	0.0688222180698094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0611993996014694	0	0.162131841424231	0	0	0	0	0	0	0	0	0	0	0	0.00882299407963453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182122336196014	0	0	0	0	0	0	-0.0766352656493803	0	0	0	0	0	0	0	0	0.00437386963621085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173360868058033	0	0	0	0	0	0	0	0	0	0.0271893388384124	0
"glgP"	0.108954603656599	0	0	0	0	0	0	0	-0.0727352966986792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0611993996014694	1	0	0	0	-0.0124222191299964	0	0.059991353274858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0856548107131969	0	0	0	0.134677403539967	0	0	0	0	0	0	0	0.0616744807100433	0	0	0	0	0	0	0	0.0575273653570359	0	0	0.0362293890354464	0	0.0811840025784377	0	0	0	0	0.0786124746526022	0	0.00888268341305551	0	0	0	-0.073899695147999	0	0	0	0	0	0	0.0963443822677685	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030759511873161	0	0	0	0.027786655056559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0760056779358555	0	0	0	0	0	0	0	0	0	0	0	0.0114194195043146	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162131841424231	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135386312995829	0	0	0	0	0	0	0.0380486128444773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0.0232596953379363	0	0	0	0	0	0	0	0.088974290372138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135996526424027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100869188701059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	-0.00202818176923181	0	0	0	0.00629200170812382	0	0	0	0	0	0	0.0653754398054833	0	0	0	0	0	0	0	0	-0.0124222191299964	0	0	0	1	0	0	0.0362575118953716	0	0	0	0	0	0	0	0	0.0594678918343092	0	0	0	0	0	0	0	0	0	0	0.151688864337334	0	0	0	0	0.0550190660343346	0	0	0	-0.0958927647519097	0	0	0	0	0.0121627194132574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0610250517004591	0	0	0	0	0.0837707699383908
"hemA"	0	0	0.083801174919893	0	0	0	0	0	0.0171421744796806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.129477948553474	0	0	0.0591984898307731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0325698899378916	0	0	0	0	0.00433145920063463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsdR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059991353274858	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116279073299662	0	0	0	0	0	0	0	0	0	0	0	-0.0122208755598397	0	0	0	0.0839929446568991	0	0	0	0	0	0	0.0982006912994976	0	0	0	0	0	0	0.113544080030639	0	0.0870595553845957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0.0264471581906104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362575118953716	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167380747605913	0	0	0	0	0	0	0	0	0	0.119524416519983	0	0	0	-0.0101478225219057	0	0	0	0	0.0742899450704173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163135784678369	0	0	0	0	0	0	0.124023269714166	0	0	0	0	0
"hycE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153327698313812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hyfG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.012247717522934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0793763159766011	0	0	0	0	0	0	0	0	0.313367107285003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvG"	0	0	0.143174251002648	0	0	0	0	0	0.116594133981446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129477948553474	0	0	0	0	0	1	0	0	0.119117954857032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0535170418982879	0	0	0	0	0.0744859006443527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0745727768197047	0	0	0	0	0	0.0625220316723919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0.0849039183743203	0	0	0.0689562207995738	0	0	0	0	0	0	0.072244259775065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00882299407963453	0	0	0	0	0	0.0591984898307731	0	0	0	0	0	0.119117954857032	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234217915952024	0	0	0	0	0	0.112243392996592	0	-0.0964966975665191	0	0	0	0	0	0	0	0.115441808274763	0	0	0	0	0.12162593824952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0.000915433526277267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767237504560119	0	0	0	0	0	0.0974803784361877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.10138964810271	0	0	0	0	0.0264558386547226	0	0	0	0	0	0	0	-0.223223639072571	0	0	0	0.0322541861002588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0721779692949816	0	0	0
"kpsM"	0	0	0	0	0	0	0	0	-0.0226540294573472	0.135699386954995	0	0	0	0	0	0	0	0	0	0.0676065259578224	0	0	0	0	0	0	0	0	0	0	0	0	0.0594678918343092	0	0	0	0	0	0	0	0	0	0	0	1	0.150938141063634	0	0	0	0	0	0	0	0	0	0.145699465135975	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0470145918872391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138464314554444	0	0	0	0	0	0	0	0.0842327375306536
"lon"	0	0	0	0	0	0	0	0	0	0.197049607018165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150938141063634	1	0	0	0	0	0	0	0	0	0.0651108986917579	0	0	0	0	0	0	0	0	0	-0.0317028374626834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lptB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.175130282504982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lsrG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127085533613874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0958027909733053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706551399260237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysR"	0	0	0	0	0	0	0	0	0	0	0	0.0177624757061158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885112105902415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"malQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0793801377986676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mdoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167380747605913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172255521689855	0	0	0	0	0	0	0	0	0	0	0	0
