"ECB_00376"	"ECB_00503"	"ECB_00737"	"ECB_00739"	"ECB_01413"	"ECB_01992"	"ECB_01996"	"ECB_02003"	"ECB_02008"	"ECB_02821"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1397"	"ESCRE1901"	"aroK"	"atoC"	"atpF"	"cbpA"	"cls"	"crp"	"dapA"	"dedA"	"deoA"	"dnaA"	"endA"	"eutJ"	"fbp"	"fis"	"frmC"	"ftsW"	"glgA"	"glgC"	"glgP"	"glgX"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"hsdR"	"hupB"	"hycE"	"iclR"	"infB"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lptB"	"manX"	"manZ"	"mdoH"	"metH"	"metJ"	"mraY"	"mrdA"	"mreB"	"mreC"	"mreD"	"nuoN"	"nusA"	"orn"	"oxyR"	"pgaB"	"prc"	"prfA"	"proW"	"pta"	"pyrB"	"rhlB"	"rho"	"rhsA"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"sdaC"	"slyA"	"sufD"	"tig"	"tktB"	"topA"	"treF"	"ubiB"	"uraA"	"uvrD"	"vacJ"	"wbbC"	"wbbD"	"yahA"	"ybaL"	"ycbC"	"yccE"	"ydeJ"	"ydiJ"	"yedW"	"yehU"	"yejA"	"yejM"	"yfaE"	"yfcD"	"yfcN"	"yfeY"	"yfhK"	"ygdH"	"ygfK"	"ygjF"	"yiaG"	"yicC"	"yjcF"	"yjhA"	"yraQ"
"ECB_04210"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0642509316032042	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14059049739824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.014689884223545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0525409417233333	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0909473202987538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134602874291737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00654015587664405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1397"	0	0.00783208760603159	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00548272266362427	0	0	0	0	0	0	0	0	0	0.0793940652576711	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161903459799391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686482666839062	0	0	0	0	0	0	0	0	0	0	-0.0458324471966232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0430199300795298	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14920946628207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.168785243939462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0616543665416342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0157341326848735	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0346186124043918	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00990854589822979	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076929161548036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.171035873824745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112478268200349	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.112218201760493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0203675046896305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cbpA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157341326848735	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0362280494967496	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.010685514330802	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152067101695573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.178873293136897	0	0.00317495701491045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0129114301706089	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0339349929614123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00400515518374351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.101311293901546	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120599843351125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113101277276538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00370558230163531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088338619095355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077682904774369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dedA"	0	0	0	0	0	0	0	0	0	0	0	0	0.00548272266362427	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0685128238247995	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143115021882879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0406959990094023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.122767003740228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0922812294962226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.131034057743737	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0280972996044257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.110480847355851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.111121195585108	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.109927051641029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0200382732958476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0790335735401523	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062803607382022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.129476982371024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.000894169057149344	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135220125968607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.096381965442422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.110607770646607	0	0	0	0	0	0	0	0	0	0	0	0.011693155067299	0	-0.0950149286713023	0	0	0	0	0	0	0	0	0	0	0	0	-7.60079051712593e-05	0.0101871077169411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.107632393033533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157835406979034	0
"frmC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0501288956707868	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0815078010738641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12346448639137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ftsW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.122661870724957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122340699122409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00838682774329341	0	0	0	0	0	0	0	0.00908963755103389	0	0	0	0	0	0	0	0	0	0	0	0
"glgA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112042456357274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0812573918033136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0.155907693396352	0.0701703043725551	-0.16273972095605	0.0142612754638955	0.10835972427991	-0.005708856593961	-0.0508055553495053	-0.000933751195140026	0.160475360647704	-0.0454315138945336	-0.0642509316032042	0.0525409417233333	0.0793940652576711	0.0430199300795298	0	-0.0346186124043918	0.112478268200349	-0.0362280494967496	0.0129114301706089	-0.101311293901546	0	0.0685128238247995	-0.122767003740228	0.131034057743737	0.111121195585108	-0.0790335735401523	-0.000894169057149344	-0.110607770646607	0.0501288956707868	0.122661870724957	0	1	-0.100039195430594	-0.170826151181129	0	0.0864495569658369	0.14842350838319	-0.0524822627522769	-0.0890452103256677	-0.132690839168649	-0.0243585033439739	-0.0893148833435698	-0.0175215177265682	-0.109139159353082	-0.164654241838229	0	-0.0568832665852896	-0.0943738873700532	0.0684926239550045	-0.083367162066537	-0.177258950222628	0.122386141312885	-0.0615783966888627	0.00073236298187958	-0.0883244332120853	-0.0438699663859362	-0.0321700854903416	-0.0341762796764862	0.209694874304625	-0.108990231159129	0.0948693168580557	-0.0316528824113722	2.2544448579453e-05	-0.0449838764416241	-0.0477411811134049	0.0705072613910537	-0.168219838732621	-0.177570983105816	0.0867026828151417	-9.79413255657118e-07	2.99855051540012e-05	0	-0.0837187031625597	0.0836748315311805	0.184781754854025	-0.0426680949447334	0	-0.0228626457005073	-0.0313143484417075	0.0662630747040086	-0.0105362548306959	0.0126604304724991	-0.062741288525651	0.124672790885708	0	-0.136635288683002	-0.0633667155833356	-0.0515842115606683	-0.047552734028209	0	0.0521144879150701	-0.139023190332918	-1.57840600988835e-05	0.0531612901160323	-0.179992976595597	-0.0533603337630319	-0.0498996142342117	-0.135496329291299	0.127463718832482	0.0270390819656954	0.123040191528466	-0.0622565126552775	0.0566877409748402	0.10635526651492	-0.0481424796678885	-0.0109552030221014	0.10956105343014	0.156107355309544	0.124066394125117	0.127175806522196	0.0140215137070641	0.131395651929503	-0.092823051426413	-0.163808379317115	0.109835408858805	-6.08205379887833e-06	0.0940975361591401	-0.000162208794084961	-0.000173481864350483	-0.0962005856776917	0.01407686142498
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.100039195430594	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0107042404119793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0521159666295276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgX"	0	0	0.0059270767824317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.170826151181129	0	1	0	0	0	0	0	0	0	0	0	0	0.00264191776516353	-0.0803959898165709	0	0	0	0	0	0	0	0	0	0	0	0	-0.00209617980622131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157043099248915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00457509389660463	0	0	0	0	0	0	0
"glmS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0874214486050744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147950331413097	0	0	0	0	0	0	0.0780215015062061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020822898512984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0864495569658369	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0193689934291097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00679436618550413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14842350838319	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0914697335509435	0	0	0.00293593189607772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.120290570300254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0.0359855267387368	0.0249831260480753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0524822627522769	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0945102689085852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0480387386571949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292209095621873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0890452103256677	0	0	0	0	0	0	1	0	0	0.00289423532592761	0	0	0	0.0678507952282289	0	0	0	0.00225329546178518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129583982282057	0	0	0	-0.138015633064812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsdR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.132690839168649	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00139684862657927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997413463670104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0243585033439739	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0173480174947198	0	0	0	0	0	0	0.0822606265671521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017821144504891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0811573607268048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
