"ECB_01992"	"ECB_02003"	"ESCRE1901"	"IS3_insF"	"atpF"	"clpB"	"cls"	"crp"	"dinG"	"dnaX"	"endA"	"fbp"	"fis"	"fruK"	"glgA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"hupB"	"hypE"	"iclR"	"infB"	"kpsE"	"kpsM"	"kpsT"	"metA"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nuoN"	"pdhR"	"pta"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rssB"	"speB"	"sufD"	"wbbC"	"wcaI"	"wzyE"	"ybaL"	"ybhI"	"ybhJ"	"ydiJ"	"yehU"	"yejA"	"yicC"	"yjcF"	"yjhA"	"ykgE"
"endA"	0	0	0	0	0.133221210324818	-0.0346063976526251	0	0	0	0	1	0	0.00156188036764211	0	0	0	0	0	0	0	0	-0.0187136396135499	0	0	0	-0.126657693297323	0	0	-0.0217635882223327	0	0	0	0	0	0	0	0	-0.0150649313556241	0	0.0410262672360891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117818245883084	-0.0074782263190532	0.131793433625424	-0.0123093104410747	0	0	0
"fbp"	0	0.0592360763232052	0	0	0	0	0	0	0	0	0	1	-0.0853798920398426	0	0.0131061131301161	0	-0.135446852054802	0	0	-0.0259617367334243	0	0	0	-0.00217859100492889	-0.0322223107477843	0.0704577143040212	0	0	0	0	-0.0332908869932835	0	0.00895357941717928	0	0	-0.0112107651351768	-0.00437864041572436	0	0	-0.0470627112384202	0	0	0	0	0	0	0	0	0	0	0	-0.00374478656939686	0	0	0	0	0	0	0.100395923739968	0.0675010597571302	-0.00648615065917408	0
"fis"	0	-0.085578312944494	-0.0544532729543117	-0.0480398694415086	0.00323524178499464	0.0167350439112817	0	-0.0821333461698606	0	0	0.00156188036764211	-0.0853798920398426	1	0.0108198721073842	-0.0811260448254833	-0.0480871007358993	0.0977649814035119	0	-0.0385768313563578	0.0509738188253207	0	0.0138071777093567	-0.0209175502711607	0.110919099453507	0.112867306354238	-0.0270090735992911	0.00364830716416906	-0.00432319313212769	-0.0589897201745623	0	0.0541731883534817	-0.130698522916388	0	0	-0.0446037303158927	0.105437855807022	0	0.0217059043265189	0	0.0905643334848928	0	-0.0320140841161553	0	0	0	-0.00305475728259005	-0.0181516506945967	-0.0509717497989767	0	0	0	0.0416573053708275	0	0	0.0387469952881407	0	0	0.00274583256333436	-0.07303724860988	-0.081216063587445	0.118411164544374	0
"fruK"	0	0	0	0	0	0.117580708838303	0	0	0	0	0	0	0.0108198721073842	1	0	0	0	0	0	0	0	0.0267868650525048	0	0	0	0.0705353832105189	0	0	0	0	0	0	-0.00114047696612246	0	0	0.0872018693252425	-0.011485707511039	0.0705903501500722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00282505715523722	0	0	0	0	0
"glgA"	0	0.0111579315670065	0	0	0	0	0	0	0	0	0	0.0131061131301161	-0.0811260448254833	0	1	0	-0.11702924113747	0	0	0	0	0	0	0	0	0.0362230338915383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103991329296135	0.0336137563208332	0	0
"glgC"	0	0	0	0	0	-0.0720704067388247	0	0.0216312309285017	0	0	0	0	-0.0480871007358993	0	0	1	-0.00163465442732501	0	0.140155575776697	-0.0019229955672201	0	-0.0952697025134249	0	-0.0403626709079833	-0.0133863060444724	-0.0303854542378039	-0.000387959163307625	0	0	0	-0.00715591017214803	0	0	-0.0125684714274736	0.144506102310044	-0.0875803082220572	0.00146613461562802	-0.0521936492545074	0	0	0	0.131534042652078	0	0	0	0	0	0	0	0.0283154824189048	0	0	0	-0.0146405078201232	0	0	0	0	0.0200865520957165	0	0	0
"glgP"	0.133460002973606	-0.135822347041624	0	0	0	0	0	0	0	-0.00216411872049553	0	-0.135446852054802	0.0977649814035119	0	-0.11702924113747	-0.00163465442732501	1	0	0	0.0705827255295628	-0.0914909619969291	0	-0.0763440469035607	0	0.0943753756670955	-0.0811761565192448	-0.0117861932671993	0	0	0.067650248252833	0.0759815566033181	0	-0.0912360326667368	0	0	0.0768726756286897	0.0104709929004716	0	0	0.0731528679076171	0	0	0	0.0742239106040251	0.0754264075351816	0	-0.0732114447309918	0	0.0739188019506531	0.0728254367275294	0	0.0579102399076875	0	0	0.0543863897836549	0	0	0	-0.124867068066018	-0.131159869705843	0.0775372467547735	-0.00361572324509316
"glpF"	0	0	0	0	0	-0.0430687948956903	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0333427084624028	0	0	0	-0.118901818262235	0	0	0	0	0	0	0	0	0	0	0.12414845233063	-0.0193466551527474	0.094424742840201	0.0180018609457122	0.0887319436431698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000528517695342058	0	0	0	0	0
"glpG"	0	0	0	0	0	-0.00541631101193379	0	0	0	0	0	0	-0.0385768313563578	0	0	0.140155575776697	0	0	1	0	0	-0.0772961112937782	0	-0.0400202793378091	0	0	-0.00473721358064828	0.159115206156633	0	0	0	0	-0.0110996823722601	0	0.127598589415436	-0.023825084619017	0	0	0	0	0	0.0913165553834433	0	0	0	0.145959136329984	0	0	0	0.0544774067010676	0	0	0	0	0	0	0.0331629045572043	0	0.00507073667372713	0	0	0
"glpR"	0.0550139789202997	-0.0253072336542828	0	0	0	0.030451798247828	0	0	0	0	0	-0.0259617367334243	0.0509738188253207	0	0	-0.0019229955672201	0.0705827255295628	0	0	1	-0.0341438535063996	0.0198321199289681	-0.0452546527292097	0	0	0	0	0	0	0	0.137292281680668	0	-0.0428945402000196	0	0	0	0	0.00540748193733287	0	0	0	0	0	0	0	0	-0.0388574475621073	0	0	0	0	0.12962250037603	0	0	0.127633637428318	0	0	0	-0.0632397712228763	-0.0333191545054971	0	0
"glpT"	-0.15794226108713	0	-0.00547492781087691	0	0	-0.0281699234802087	0	-0.0403013039755263	0.0382484940446589	0.0485563244728703	0	0	0	0	0	0	-0.0914909619969291	0	0	-0.0341438535063996	1	0	0.0831423435063054	0.00245138633547756	0	-0.0165363115742879	0.0543075226559036	-0.0603169632677161	-0.0232183186409304	-0.0434244820606453	-0.0386007808733249	-0.0411973546927422	0.128912563075902	0	0	0	0	-0.0143733751472531	0	0	0	0	0	-0.0496197415513939	-0.0519856274227428	-0.0520145302417043	0.0801054259896423	0	-0.0491625568092711	-0.0606742359349136	0.0433109707903227	-0.0219819592371487	0	0	-0.0189066657561636	0	-0.0821221737145783	0	0	0	0	0.0494440817127411
"hupB"	0	0	0	0	-0.0273643098947864	0.102347615073185	-0.123878235965789	-0.03182984533555	0.00542564911729233	0.0194887312958739	-0.0187136396135499	0	0.0138071777093567	0.0267868650525048	0	-0.0952697025134249	0	-0.0333427084624028	-0.0772961112937782	0.0198321199289681	0	1	-0.0265520232603847	0.0383441440108933	0	0.117282726076563	0.032862579621016	0	0	-0.0343851422208189	0.0215296253063765	0	0	0.147990434589788	-0.0889699904491009	0.0902849396761196	-0.0841976360287449	0.0895548916063307	-0.0578946729092115	-0.00971890588106439	-0.0510757251480332	-0.0705853939086195	0	-0.0394135550775574	-0.0429448582740792	0	-0.0207483757745241	0	-0.0390788739438777	-0.0603732819288368	0.0109349993319312	0.0104662299573577	0	0.14917968476196	0.00737764486665631	-0.00482586867401622	0.0136571118078668	-0.024789359723648	0	0	0	0.0215191342655198
"hypE"	-0.0980066581529197	0	0	0	0	-0.0719754038148135	0	0	0	0	0	0	-0.0209175502711607	0	0	0	-0.0763440469035607	0	0	-0.0452546527292097	0.0831423435063054	-0.0265520232603847	1	0	0	-0.0282229594680498	0	-0.00324563957434968	0	0	-0.0508413560453872	0	0.0971200820734665	0	0	-0.0533883934442296	0.00333091808976877	-0.0507128434591072	0	0	0	0	0	0	0	0	0.0915721230738077	0	0	0	0	-0.0282308072434088	0	0	-0.0234392319813958	0	-0.0636499057110188	0	0.0242819387428642	0	0	0
"iclR"	0	-0.000816908863810062	-0.0513214023298881	0	0	0.0074050718997028	0	-0.144507750426139	0.0355232105700755	0.052613259351606	0	-0.00217859100492889	0.110919099453507	0	0	-0.0403626709079833	0	0	-0.0400202793378091	0	0.00245138633547756	0.0383441440108933	0	1	0.0757013122250582	0	0.0607234489187843	-0.0155003699406093	-0.0731774359202042	-0.00995867206499495	0	-0.106661167239681	0.00946497110977269	0	-0.0296275676114867	0.0962477310291113	0	0	0	0.0280930173845671	0	-0.000760228703698063	0	-0.0202843988420312	-0.0270881164762245	-0.00584414786273565	0	-0.0140470378225319	-0.0194690300576267	-0.0658461364366269	0.0441379195464168	0	0	0	0	0	0	0	-0.0619660318252494	-0.0149445128202545	0.0584060965638676	0.0539144131505377
"infB"	0	-0.0312338283015344	-0.0130890125784061	0	0	0.0047497842283893	0	-0.0741568315353766	0	0	0	-0.0322223107477843	0.112867306354238	0	0	-0.0133863060444724	0.0943753756670955	0	0	0	0	0	0	0.0757013122250582	1	-0.00541150576873128	0	0	-0.0385632424231964	0	0	-0.0165380241896146	0	0	-0.00101179226337165	0.0954839512023249	0	0	0	0.037759269990129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0840937298627472	-0.0423553667286766	0.0599351944285711	0
"kpsE"	0.0375275745023372	0.0704625888280743	0.100098450280789	0.0728488819172981	-0.128797400105862	0.103486880654547	-0.174088520356534	0	0	0	-0.126657693297323	0.0704577143040212	-0.0270090735992911	0.0705353832105189	0.0362230338915383	-0.0303854542378039	-0.0811761565192448	-0.118901818262235	0	0	-0.0165363115742879	0.117282726076563	-0.0282229594680498	0	-0.00541150576873128	1	0	0.00987148175561327	0.0938961002704437	-0.0312049906051313	0	0.0418223413511449	-0.027665607294144	0.0514306474694405	-0.0207734092442135	0.00812492996790437	-0.13885920372546	0.111130944585418	-0.130237387418303	-0.230131498846299	-0.128019247589363	0	0.0635971627340665	-0.0333042408593393	-0.0337591702660058	0.00215443407633281	-0.0237398212552992	0.0860030707605253	-0.0333726940972066	-0.0330789953206459	0	0	0	0.0531354141872357	0	-0.12232430208864	0.100972845997051	-0.128067881324381	0.0529326361674818	0.0688581353557142	-0.000827130160600975	0
"kpsM"	-0.000685696698939638	0	0	0	0	0	0	-0.0988494327950053	0.0530673387220527	0.061217600212922	0	0	0.00364830716416906	0	0	-0.000387959163307625	-0.0117861932671993	0	-0.00473721358064828	0	0.0543075226559036	0.032862579621016	0	0.0607234489187843	0	0	1	-0.00716888779927839	-0.0181475764180657	-0.0440114068182922	0	-0.0328694780162733	0.06303354862802	0	0	0	0	0	0	0	0	0	0	-0.0519379523632393	-0.0564415134297874	0	0	0	-0.0513831325762773	-0.0946812090508356	0.0569384246316978	0	0	0	0	0	0	0	0	0	0	0.0620062047251108
"kpsT"	0.0403569186279024	0	0	0	0	0	0	0	0	0	0	0	-0.00432319313212769	0	0	0	0	0	0.159115206156633	0	-0.0603169632677161	0	-0.00324563957434968	-0.0155003699406093	0	0.00987148175561327	-0.00716888779927839	1	0	0	0	0.0545055927329871	-0.0766412504796638	0	0	0	0	0	0	0	0	0	0	0	0	0.163884243024509	0	0	0	0.0295228637107215	0	0	0	0	0	0	0.144636117780809	0	0	0	0	0
"metA"	0	0	0.116249355081745	0.0917542074560724	-0.0246487901681803	0	0	0.130345410429617	0	-0.00813203295990302	-0.0217635882223327	0	-0.0589897201745623	0	0	0	0	0	0	0	-0.0232183186409304	0	0	-0.0731774359202042	-0.0385632424231964	0.0938961002704437	-0.0181475764180657	0	1	0	0	0.0213276232945926	-0.0335175192966489	0	0	0	-0.0175561437418891	0	-0.00244775757153658	-0.0800361568895911	-5.68333284995958e-05	0	0	0	0	0	0	0.105760863480378	0	0.0139700881111662	0	0	0	0	0	-0.0142101145513263	0	-0.0237854244065213	0.0210920046563922	0	-0.0266490715389932	-0.0097707217273481
"metH"	0	0	0	0	0	0	0	0.0796139560643249	-0.0048561229730458	-0.0272532926025008	0	0	0	0	0	0	0.067650248252833	0	0	0	-0.0434244820606453	-0.0343851422208189	0	-0.00995867206499495	0	-0.0312049906051313	-0.0440114068182922	0	0	1	0	0	-0.058046842783488	0	0	0	0	0	0	0	0	0	0	0.0627748164566631	0.0681511341908529	0	0	0	0.0621283634343098	0.107337743165072	-0.0151894659177924	0	0	0	0	0	0	0	0	0	0	-0.0298746253221636
"metJ"	0.0647259633351674	-0.0327205427794791	0	0	0	0.0311789102549806	0	0	0	0	0	-0.0332908869932835	0.0541731883534817	0	0	-0.00715591017214803	0.0759815566033181	0	0	0.137292281680668	-0.0386007808733249	0.0215296253063765	-0.0508413560453872	0	0	0	0	0	0	0	1	0	-0.0455103341285756	0	0	0	0	0.00942201798756429	0	0	0	0	0	0	0	0	-0.0453486019007033	0	0	0	0	0.133319926670628	0	0	0.131904735793501	0	0	0	-0.0666094246227956	-0.0396981246539332	0	0
"mrdA"	0	0	0	0	0	0	0	0.158206604579772	0	-0.000299649354397629	0	0	-0.130698522916388	0	0	0	0	0	0	0	-0.0411973546927422	0	0	-0.106661167239681	-0.0165380241896146	0.0418223413511449	-0.0328694780162733	0.0545055927329871	0.0213276232945926	0	0	1	-0.0753247223579556	0	0	0	0	0	0	-0.0311348779331097	0	0	0	0	0	0.0304734593423083	0	0	0	0.0977199353703501	0	0	0	0	0	0	0	0	0.0983764166608971	0.0156671177885445	0	-0.00533040052749424
"mrdB"	-0.189824772519608	0.00896457477637578	-0.0213629768316776	0	0.000448211788480213	-0.0290314886864535	0	-0.0307820467001157	0.0603009588525375	0.0639343837862785	0	0.00895357941717928	0	-0.00114047696612246	0	0	-0.0912360326667368	0	-0.0110996823722601	-0.0428945402000196	0.128912563075902	0	0.0971200820734665	0.00946497110977269	0	-0.027665607294144	0.06303354862802	-0.0766412504796638	-0.0335175192966489	-0.058046842783488	-0.0455103341285756	-0.0753247223579556	1	0	0	0	0.00507325461730196	-0.0223058426535878	0	0	0	0	0	-0.0603869432733872	-0.0604975098525959	-0.0731072838106467	0.0965626124781852	0	-0.0601958580402141	-0.0513509192030234	0.0624035921088021	-0.0369060505838487	0	0	-0.0357122277091169	0	-0.0993739262186034	0.000139527169488293	0.00572254972689541	0.00962757878369698	0	0.0638326863975726
"mreB"	0	0	0	0	0	0.0117057448653438	0	-0.0293769158293974	0	0	0	0	0	0	0	-0.0125684714274736	0	0	0	0	0	0.147990434589788	0	0	0	0.0514306474694405	0	0	0	0	0	0	0	1	0	0	-0.0291135335563312	0	0	0	0	0	0	-0.00974240067323229	-0.0183264733069181	0	0	0	-0.00871975383910364	-0.0789707961227592	0	0	0	0.14808134765644	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	-0.0649406667140935	0	0.0149048204296538	0	0	0	0	-0.0446037303158927	0	0	0.144506102310044	0	0	0.127598589415436	0	0	-0.0889699904491009	0	-0.0296275676114867	-0.00101179226337165	-0.0207734092442135	0	0	0	0	0	0	0	0	1	-0.0767649152311524	0	-0.0402928612405917	0	0	0	0.116700194795616	0	0	0	0	0	0	0	0.0244380082830519	0	0	0	-3.63573212105655e-05	0	0	0	0	0.0148195324079165	0	0	0
"mreD"	0.0463231494272058	-0.0102543087889453	0	0	0	0.112573481458125	0	-0.0867527383205685	0	0	0	-0.0112107651351768	0.105437855807022	0.0872018693252425	0	-0.0875803082220572	0.0768726756286897	0	-0.023825084619017	0	0	0.0902849396761196	-0.0533883934442296	0.0962477310291113	0.0954839512023249	0.00812492996790437	0	0	0	0	0	0	0	0	-0.0767649152311524	1	-0.0171648092268033	0.113857341313508	0	0	0	-0.0456886187038849	0	0	0	0	-0.0474083184724299	0	0	-0.0109753418048981	0	0	0	0	0	0	0.0542041031213831	0	-0.0620775452795385	-0.0211967993083644	0.0777178154048851	0
"nuoN"	-0.0111065858117567	-0.00391697324199669	-0.00937928751929755	0	0	-0.0677231271525794	0	0	0	0	0	-0.00437864041572436	0	-0.011485707511039	0	0.00146613461562802	0.0104709929004716	0.12414845233063	0	0	0	-0.0841976360287449	0.00333091808976877	0	0	-0.13885920372546	0	0	-0.0175561437418891	0	0	0	0.00507325461730196	-0.0291135335563312	0	-0.0171648092268033	1	-0.0615253571204214	0.13155608618179	0.0842656576212756	0.129749074433057	0	0	0.00262322951777356	0.00581054518945914	0	0	0	0.00228907966899312	0.0201243623971558	0	0	0	-0.0308332525826796	0	0	-0.0591090614731861	0	-0.0114420181799585	-0.00869365143769373	0	0
"pdhR"	0.0704791348544486	0	0	0	-0.0210326815444947	0.100096904174427	0	-0.00111829940664978	0	0	-0.0150649313556241	0	0.0217059043265189	0.0705903501500722	0	-0.0521936492545074	0	-0.0193466551527474	0	0.00540748193733287	-0.0143733751472531	0.0895548916063307	-0.0507128434591072	0	0	0.111130944585418	0	0	0	0	0.00942201798756429	0	-0.0223058426535878	0	-0.0402928612405917	0.113857341313508	-0.0615253571204214	1	-0.0381070323903828	0	-0.033198640837185	-0.0066589792012774	0	0	0	0	-0.0452476323911157	0	0	-0.0125099235498822	0	0	0	0	0	-0.00374464983401808	0.0725673306340248	-0.0193698026543263	0	0	0	0
"pta"	0	0	0	0	0	-0.0543181390115357	0	0	0	0	0	0	0	0	0	0	0	0.094424742840201	0	0	0	-0.0578946729092115	0	0	0	-0.130237387418303	0	0	-0.00244775757153658	0	0	0	0	0	0	0	0.13155608618179	-0.0381070323903828	1	0.0481316203861062	0.106678605277476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0260498921967719	0	-0.00104464533750182	0	0	0
"rho"	0	-0.0461100765283569	-0.0528726009954367	0	0.0491911887496832	-0.0226450612353523	0	-0.0490711350399671	0	0	0.0410262672360891	-0.0470627112384202	0.0905643334848928	0	0	0	0.0731528679076171	0.0180018609457122	0	0	0	-0.00971890588106439	0	0.0280930173845671	0.037759269990129	-0.230131498846299	0	0	-0.0800361568895911	0	0	-0.0311348779331097	0	0	0	0	0.0842656576212756	0	0.0481316203861062	1	0.0418909706737104	0	0	0	0	0	0	-0.0117019541000266	0	0	0	0	0	0	0	0.0259834969189424	-0.00645017842213947	0.0468414488811041	-0.0875271670289417	-0.0564033193480456	0.0139229945719528	0
"rmlA"	0	0	0	0	0	-0.0509972743509574	0	0	0	0	0	0	0	0	0	0	0	0.0887319436431698	0	0	0	-0.0510757251480332	0	0	0	-0.128019247589363	0	0	-5.68333284995958e-05	0	0	0	0	0	0	0	0.129749074433057	-0.033198640837185	0.106678605277476	0.0418909706737104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0198732505996391	0	0	0	0	0
"rpoA"	0	0	0	0	0	-0.0449549913349482	0	0	0	0	0	0	-0.0320140841161553	0	0	0.131534042652078	0	0	0.0913165553834433	0	0	-0.0705853939086195	0	-0.000760228703698063	0	0	0	0	0	0	0	0	0	0	0.116700194795616	-0.0456886187038849	0	-0.0066589792012774	0	0	0	1	0	0	0	0	0	0	0	0.0140335246088587	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0635971627340665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0	0	0.0789529172181857	-0.0245803752140465	-0.0402052582565366	0	0	0	0	0	0	0.0742239106040251	0	0	0	-0.0496197415513939	-0.0394135550775574	0	-0.0202843988420312	0	-0.0333042408593393	-0.0519379523632393	0	0	0.0627748164566631	0	0	-0.0603869432733872	-0.00974240067323229	0	0	0.00262322951777356	0	0	0	0	0	0	1	0.0723628854762709	0	0	0	0.0685043493919378	0.100570426476382	-0.031735016919507	0	0	-0.0119228567782745	0	0	0	0	0	0	0	-0.0420288550086355
"rpoD"	0.00477480041043269	0	0	0	0	0	0	0.0794868994697518	-0.0352790710148374	-0.0473196649287065	0	0	0	0	0	0	0.0754264075351816	0	0	0	-0.0519856274227428	-0.0429448582740792	0	-0.0270881164762245	0	-0.0337591702660058	-0.0564415134297874	0	0	0.0681511341908529	0	0	-0.0604975098525959	-0.0183264733069181	0	0	0.00581054518945914	0	0	0	0	0	0	0.0723628854762709	1	0	0	0	0.0720880243502521	0.0968521427825264	-0.0407511670119031	0	0	-0.0202319802258316	0	0	0	0	0	0	0	-0.0487307370773743
"rpoS"	0.0188912189793176	0	0	0	0	0	0	0	0	0	0	0	-0.00305475728259005	0	0	0	0	0	0.145959136329984	0	-0.0520145302417043	0	0	-0.00584414786273565	0	0.00215443407633281	0	0.163884243024509	0	0	0	0.0304734593423083	-0.0731072838106467	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0260151105879379	0	0	0	0	0	0	0.134106005810673	0	0	0	0	0
"rssB"	-0.0871564432001666	0	0	0	0	-0.0704836980354862	0	0	0	0	0	0	-0.0181516506945967	0	0	0	-0.0732114447309918	0	0	-0.0388574475621073	0.0801054259896423	-0.0207483757745241	0.0915721230738077	0	0	-0.0237398212552992	0	0	0	0	-0.0453486019007033	0	0.0965626124781852	0	0	-0.0474083184724299	0	-0.0452476323911157	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0188889265673127	0	0	-0.0131809060114217	0	-0.0575741613817664	0	0.0209375977035845	0	0	0
"speB"	0	0	0.074642823807039	0	0	0	0	0.115717560811103	0	0	0	0	-0.0509717497989767	0	0	0	0	0	0	0	0	0	0	-0.0140470378225319	0	0.0860030707605253	0	0	0.105760863480378	0	0	0	0	0	0	0	0	0	0	-0.0117019541000266	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
