"ECB_02512"	"ESCRE1901"	"IS3_insF"	"actP"	"cls"	"crp"	"eutJ"	"glgC"	"glgP"	"glpT"	"hycE"	"iclR"	"kpsD"	"kpsE"	"lptB"	"metA"	"mrdA"	"mreB"	"mreC"	"nrdR"	"pitB"	"rep"	"rho"	"rhsA"	"rpoB"	"rpoC"	"rpoD"	"rssB"	"speB"	"tldD"	"torS"	"uspA"	"ybaL"	"ybbN"	"ybfA"	"yehU"	"ynjA"
"hycE"	0	0	0	0	0	0	0.028507130988011	0.00989453895910656	0	0.0418396104323703	1	-0.0625638925843989	0	0.081745834615609	0.0402356098663434	0	0	0	0	0	0	0	0	0.0374896777647205	0	0	0.185089074256258	-0.0642521325676904	0	0	-0.0810220044227369	0	0	0	0	0.0137090787147179	0
"iclR"	0.0627325783255687	0	0	0	0	0	-0.0584588982646311	-0.0249618944154324	0	-0.0649156581228866	-0.0625638925843989	1	0	-0.0681969690039841	-0.0643924678998534	0	0	0	0	0	0	0	0	-0.0631813924467914	0	0	-0.181412729546754	0.0982060621547204	0	0	0.105443115697138	0	0	0	0	-0.0596932850902176	0
"kpsD"	0.307297033462597	0	0	0	0	0	0	0.0188842530757683	-0.0430760096469204	0	0	0	1	0	0	0	0	0	-0.0290729423946213	0	-0.0174791567276855	0	0	0	0	0	0	0	0	0	0	0.0319091446553784	0	-0.0104459667414122	0.0455161534254304	0	0
"kpsE"	0.0275508545701158	0.0848766287447558	0.0562995789025455	0	-0.207535007098801	0	0.0715825930174903	-0.0908803588970731	-0.160227676248044	0.0912919058540274	0.081745834615609	-0.0681969690039841	0	1	0.0867525014451244	0.129568361909882	0.22113473164411	0	-0.155161826008717	0	0	0	-0.132418008818498	0.082696435298253	0	-0.126128591836094	0.106214196371853	-0.0685773367265688	0.0629572870105352	0	-0.0700559306287255	0	0.131387680968739	0	0	0	0
"lptB"	0	0	0	0	0	0	0.0333350106238061	0.0126640258357931	0	0.0455007209299676	0.0402356098663434	-0.0643924678998534	0	0.0867525014451244	1	0	0	0	0	0	0	0	0	0.0415217198999052	0	0	0.179770668298657	-0.0659099142412697	0	0	-0.081105925777294	0	0	0	0	0.021520844250183	0
"metA"	0.036168803380674	0.0664602117142374	0.0484040945778361	-0.00662543434945425	0	0	0	-0.200338326973626	-0.0688662188548222	0	0	0	0	0.129568361909882	0	1	0	0	-0.0643269757449332	-0.0111996429114323	0	0	0	0	0	-0.0744517819261817	0	0	0.0530420695839607	-0.00239847554789492	0	0	0	0	0	0	-0.00456167912559684
"mrdA"	0.202170832545232	0	0	0	0	0	0	-0.0407928105128978	-0.0031649712629817	0	0	0	0	0.22113473164411	0	0	1	0	0	0	0	0	0	0	0	0	0.0539562682384988	0	0	0	0	0	0	0	0	0	0
"mreB"	0.00156140799437159	0	0	0	0	0	0	0.239967375715168	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	-0.222364703538303	-0.0183674823093887	0	0	0	0	0	0.0634373219476132	0.10746504326422	0	0	0	-0.0290729423946213	-0.155161826008717	0	-0.0643269757449332	0	0	1	0	0	0	0	0	0	0.054528363888334	0	0	-0.000782866234110588	0	0	0	0	0	-0.0142230706271677	0	0
"nrdR"	0.00670408448850924	0	0	0	0	0	0	0.262863832512244	0	0	0	0	0	0	0	-0.0111996429114323	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pitB"	-0.241415209964083	0	0	0	0	0	0	-0.180217871637352	0	0	0	0	-0.0174791567276855	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0167172079030073	-0.00330562592534606	0	0
"rep"	0.291225808605022	0	0	0	0	0	0	0.168195494914619	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	-0.178520673314615	0	0	0	0	0	0	-0.0453054403628129	0	0	0	0	0	-0.132418008818498	0	0	0	0	0	0	0	0	1	0	0	0	-0.233848266944036	0	0	0	0.0221975660351903	0	0	0	0	0	0
"rhsA"	0	0	0	0	0	0	0.0301759536298115	0.0127858423480037	0	0.043095604407095	0.0374896777647205	-0.0631813924467914	0	0.082696435298253	0.0415217198999052	0	0	0	0	0	0	0	0	1	0	0	0.183239243238573	-0.0648332104778982	0	0	-0.0810639245699367	0	0	0	0	0.0167349451813363	0
"rpoB"	0.203269734038265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	-0.187015294815006	0	0	0	0	0	0	0.208118770530285	0.0738705063092056	0	0	0	0	-0.126128591836094	0	-0.0744517819261817	0	0	0.054528363888334	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"rpoD"	-0.0883032090331463	0	0	0	-0.0775829896509512	0	0.191368601214929	0.0687279967575798	0	0.177744740766016	0.185089074256258	-0.181412729546754	0	0.106214196371853	0.179770668298657	0	0.0539562682384988	0	0	0	0	0	-0.233848266944036	0.183239243238573	0	0	1	-0.180127089947541	0	0	-0.155610937916976	0	0.205369026152367	0	0	0.246446511310453	0
"rssB"	0.063781679100417	0	0	0	0	0	-0.0603526065074089	-0.0260140909255899	0	-0.066351675509703	-0.0642521325676904	0.0982060621547204	0	-0.0685773367265688	-0.0659099142412697	0	0	0	0	0	0	0	0	-0.0648332104778982	0	0	-0.180127089947541	1	0	0	0.105817549713788	0	0	0	0	-0.0626971360415324	0
"speB"	0.0745699156297841	0	0	0	0	0	0	-0.220085554428719	-0.0186669664176761	0	0	0	0	0.0629572870105352	0	0.0530420695839607	0	0	-0.000782866234110588	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"tldD"	0.00336205507975908	0	0	0	0	0	0	0.254236641051652	0	0	0	0	0	0	0	-0.00239847554789492	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"torS"	0.0691403304237236	0	0	0	0	0	-0.0795291470723836	-0.0354549791008098	0	-0.0809397034171413	-0.0810220044227369	0.105443115697138	0	-0.0700559306287255	-0.081105925777294	0	0	0	0	0	0	0	0.0221975660351903	-0.0810639245699367	0	0	-0.155610937916976	0.105817549713788	0	0	1	0	-0.023138536682896	0	0	-0.0927481827332537	0
"uspA"	0.31391074005885	0	0	0	0	0	0	0.0102386778211346	-0.0166704241751733	0	0	0	0.0319091446553784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0159088608446764	0	0
"ybaL"	-0.133205601064539	0	0	0	0	0	0	-0.180419844755122	0	0	0	0	0	0.131387680968739	0	0	0	0	0	0	0	0	0	0	0	0	0.205369026152367	0	0	0	-0.023138536682896	0	1	0	0	0	0
"ybbN"	-0.241206017681946	0	0	0	0	0	0	-0.176114563695243	0	0	0	0	-0.0104459667414122	0	0	0	0	0	0	0	0.0167172079030073	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ybfA"	0.31553821918657	0	0	0	0	0	0	0.016149752123539	-0.0298490198115107	0	0	0	0.0455161534254304	0	0	0	0	0	-0.0142230706271677	0	-0.00330562592534606	0	0	0	0	0	0	0	0	0	0	0.0159088608446764	0	0	1	0	0
"yehU"	0	0	0	0	0	0	0.00127818401808636	0.168397283166554	0	0.0238624416187366	0.0137090787147179	-0.0596932850902176	0	0	0.021520844250183	0	0	0	0	0	0	0	0	0.0167349451813363	0	0	0.246446511310453	-0.0626971360415324	0	0	-0.0927481827332537	0	0	0	0	1	0
"ynjA"	0.00398884598302346	0	0	0	0	0	0	0.256577455864316	0	0	0	0	0	0	0	-0.00456167912559684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
