"ECB_02002"	"ECB_02512"	"ECB_02798"	"ECB_02804"	"ECB_02821"	"ECB_misc_RNA_7"	"ESCRE1901"	"ESCRE2157"	"IS3_insF"	"IS5_ESec3"	"actP"	"atoC"	"cls"	"crp"	"cysQ"	"dnaA"	"dppD"	"eamA"	"eutJ"	"fbp"	"fis"	"frmB"	"fsr"	"gabD"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpR"	"glpT"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvE"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"lptB"	"lsrG"	"metA"	"metH"	"metW"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"orn"	"pitB"	"ppiA"	"puuP"	"rep"	"rhlB"	"rho"	"rhsA"	"rmlB"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rssB"	"secF"	"speB"	"tap"	"tldD"	"topA"	"torS"	"truB"	"uspA"	"wzyE"	"ybaL"	"ybbN"	"ybfA"	"ydaE"	"yehU"	"yfgA"	"yjcR"	"yjhA"	"yjhC"	"ynjA"	"zraR"
"actP"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0394028921886525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0911494847539438	0	0	0	0.081381725913571	0	0	0	0	0	0	0	0	0	0.0174158888579199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666204196490865	0	0	0	0	0.00336326113242537	0
"atoC"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0108639330094633	0	0	0	-0.139608085735156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264187090154823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0155363434727435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0136351512007303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215848253115785	0	0	0	0.0335388361761025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180259243958805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593832780889644	0.176311805535359	0	0	0	0	0	0	0	0	0
"cysQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343244194671753	0	6.48546669349852e-06	0	0	0	0.164680685839904	0	0	0	0	0	0	0	0	0	0	0	0.00690175100605926	0	0	0	0	0	0	0	0	0	0	0	0	-0.0704919865094989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183704254427365
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0174389590051811	0	0	0	-0.144562791425489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0435674728142617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0081574661934728	0	0	0	0
"dppD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00931452715671083	0	0	0	-0.138757506158708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024636377616667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eamA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.188563609409746	0	0	0.00867188927912401	-0.127950144107078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0201069052562237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117459420108057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125374450081549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0	0	0	0	0	0	0.0695432240015841	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00225580120776445	0	0	0	0.110159399726995	0	0	0	0	0	0	0	0	0	0	0.0395408481299155	0	0	0	0.0712760056217886	0	0	0	0	0	0	0	0	0	-0.0561223005429963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.000443248028506397	0	0	0	0	0	0	0	0	0	0	0	0.0700819123766493	0	0	-0.075331109958793	0	0	0	0.0282195450976596	0	0	0	0	-1.22601320472139e-05	0	0	0.0806919667485487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.112156787451185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593467332571534	0	0	0
"frmB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0165313492578663	0	0	0	-0.14296940820421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325291027258651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fsr"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16193281801627	0	0	0	-0.0917476604026541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gabD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.166602523395969	0	0	0	-0.0981927983576163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00255530776908569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	0	0	0	0	0	0	0	0	0.0394028921886525	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0895035078787328	0	0	0	0.0893205772435204	0	0	0	0	0	0.00696437590141024	0	0	0	0.0439935005823539	0	0	0	0	0	0	0.00792274988615679	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304742644131313	0	0	0	0	0	0	0	0	0	0.0367340496119775	0	0	0	0	0.0340389715576929	0
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000443248028506397	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00762653969074093	0	0	0	0.189135285926444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.222149634261827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0362089704363716	0	0	0	0	0	0	0	0	0	0	-0.0395696819543538	0	0	0	0.074157047651949	0	-0.00516330401730049	0	0	-0.0141106198856227	0	0	0	0	0	0	0.0445249132022541	0	0	0	0	0	0	0	0	0	0.0582052772338537	0	0	-0.11927564715706	0	0	0	0	0	0	0	0	0.0718433329126485	0	0	0	0	0	0	0	0	0	0	0	0	0
"glmS"	0	0	0	0	0.11379569627732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.105470047529755	0	0	0.107912733047341	0	0	0	0	0	0	0	0.00142139780692778	0	0	0	-0.00627928163150758	0	0	0.108790435098893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0360629019043614	0	0	0	0	0	0	0	0	0	0.0840134271335187	0	0	0	0	0	0	0	0	0	0	0	0
"glpE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.034795232704845	0.00198363922217362	0	0	-0.0943616649433032	0	0.0169357798589725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138275369357023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063394858116797	0	0	0	0	0	0	0
"glpF"	0	0	0	0	0.118466994132863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362089704363716	0.105470047529755	0	1	0	0	0.107681939348446	0	0	0	0	0	0	0	-0.0375487662733777	0	0	0	0	0	0	0.109196025556513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156532733529883	0	0	0	0	0	0	0	0	0	0	0	0.0378035661749212	0.00513855078978621	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0172966294413911	0	0	0	0	0.182065410163533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0161383572283373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.052805803205451	0	0	0	0	0	0.094604033124317	0	0	0	-0.0231751826364146	0	0	0	0	0.0594027727391309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136885337881018	0	0.0371795556535428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0.114960115006352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107912733047341	0	0.107681939348446	0	0	1	0	0	0	0	0	0	0	0.000139313129843164	0	0	0	-0.00651056288609041	0	0	0.109963016348111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034805534349628	0	0	0	0	0	0	0	0	0	0.0853988392045341	0	0	0	0	0	0	0	0	0	0	0	0
"hycE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.135721714506267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13933480333578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hypE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052805803205451	0	0	1	0	0	0	0	0	0.0189265083914581	0	0	0	-0.0191989970808827	0	0	0	0	0.0680177830521865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0546612982849832	0	0.0826329095226446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.174290783863869	0	0	0	-0.0924536461709983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0906703114796959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0259717471679424	0	0	0	0	0	0	0	0	0	0	0.0938271354773705	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0700819123766493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.064325831921282	0	0	0	0.0235119771772491	0	0	0	0	0	0	0	0.0659354805580103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102997799189499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0436155622922481	0	0	0
"ispH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343244194671753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00791446615752467	0	0	0	0.176154726696818	0	0	0	0	-0.00160518364564783	0	0	0	0	0	0	0.0258647801011412	0	0	0	0	0	0	0	0	0	0	0	0	-0.0836407178651906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346074377763013
"kpsD"	0	0.0906934368002103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0714375530694902	0	0	0	0.000812650524764903	0	0	0	0.0139875317136993	0	0	0	0	0	0	0	0	0	0	0	0	0.0339112769687807	0	0	0	0	0	0	0	0.0186473966020999	0	0	0	0	0	0	0	0	0	0.0666592469510094	0	0	0	0.076626075292795	0	0	0	0	0	0	0	0
"kpsE"	-0.167074112533875	0.0713503761829053	0.0202104090890863	-0.13402015084893	0.00238524149256422	-0.00526606760316924	0.0578155358349172	-0.0117090208928885	0.100733787750548	-0.128540113595952	0.0911494847539438	-0.0108639330094633	-0.0155363434727435	0.0215848253115785	6.48546669349852e-06	-0.0174389590051811	-0.00931452715671083	-0.188563609409746	0.117459420108057	0.00225580120776445	-0.075331109958793	-0.0165313492578663	-0.16193281801627	-0.166602523395969	0.0895035078787328	-0.00762653969074093	-0.0395696819543538	0.00142139780692778	0.034795232704845	-0.0375487662733777	-0.0172966294413911	0.094604033124317	0.000139313129843164	0.135721714506267	0.0189265083914581	-0.174290783863869	0	-0.064325831921282	0.00791446615752467	0.0714375530694902	1	0.0408284630150464	0.140270121582897	-0.18377126224094	0.128019681323597	-0.0172198631838058	0.0461696040166371	0.00155914141322832	0.218220652503265	0.0605124707288517	0.0808468832358304	-0.0129017214694743	0	-0.132769799693635	0.0913697628307764	0	-0.00675376224679277	-0.085252457182569	-0.0134060647504546	0	-0.13056464579625	0.117255922794703	-0.0893164958992794	-0.1319739929865	0.137851684184459	-0.00533872005896592	-0.0309508731028945	0.0241439081297848	0	0.0660596937921219	-0.0112933018520076	0	0.0337905410358633	0.107948117933038	-0.0108396140699177	0.0897805251554908	-0.17620759157512	-0.0464880477805641	-0.0404794490529605	0.00295366654894899	0	-0.000754383415076474	-0.0127932754808905	0.0723538561889923	0.0433519730174519	0.152195672337143	-0.00398227346706861	-0.0157995517887079	-0.0510634552620172	-0.00779549591512526	0.0903758516690822	0
"kpsM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00198363922217362	0	0	0	0	0	0	0	0	0	0	0	0.0408284630150464	1	0	0	-0.106907703706434	0	0.0277997439868577	0	0	0.00317911649874688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149524062408907	0	0	0.00098043404136223	0	0	0	0	0	0	0	0	0	0	0	0.0185143381581694	0	0	0	0	0	0	0
"lptB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140270121582897	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143398719040317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lsrG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00867188927912401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18377126224094	0	0	1	-0.119759098260945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0178575630281837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	-0.0987467538693666	0.00340605002202735	0.0351579144767307	0	-0.00709669080060825	0.0100814515883073	0.150711220586075	-0.140125507780886	0.0943701133849497	0	0.081381725913571	-0.139608085735156	0	0.0335388361761025	0.164680685839904	-0.144562791425489	-0.138757506158708	-0.127950144107078	0	0.110159399726995	0.0282195450976596	-0.14296940820421	-0.0917476604026541	-0.0981927983576163	0.0893205772435204	0.189135285926444	0.074157047651949	-0.00627928163150758	-0.0943616649433032	0	0	-0.0231751826364146	-0.00651056288609041	0	-0.0191989970808827	-0.0924536461709983	0.0906703114796959	0.0235119771772491	0.176154726696818	0.000812650524764903	0.128019681323597	-0.106907703706434	0	-0.119759098260945	1	0	-0.113061902941787	-0.00616079867889332	0.0499815956565036	-0.106493145867782	0.0649785731054704	0.0546461403310341	0.0289714346589194	0	0.083881217764629	0.107004560028073	0.154145879404824	-0.0261053972780908	0	0.10351839323344	0	0.038092421186896	-0.0302694009971841	0	0	0.0101289655503455	0.0624505864951356	0	0.112199340326079	0	-0.142639128920738	-0.00382143122050442	-0.093766837010779	0.104140280115929	-0.140036627708815	0.0774891259917545	-0.110778891840315	-0.0290546357171103	0.0753951164734616	0	0.0895432580403443	-0.00596177689988404	0	0	-0.108651245072262	0.037406927920506	-0.13777686507748	-0.144247173079141	0.0195148885130141	-0.14021895182708	0.0785294354399148	0.165063986018295
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182065410163533	0	0	0	0	0	0	0	0	0	-0.0172198631838058	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0160826601762791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00516330401730049	0	0.0169357798589725	0	0	0	0	0	0	0	0	0	0	0	0.0461696040166371	0.0277997439868577	0	0	-0.113061902941787	0	1	0	0	0.0166880403384725	0	0	0	0	0	0	-0.0103385609143196	0	0	0	0	0	0	0	0	0	0	0	0	0.153293799090639	0	0	0.0161016808465174	0	0	0	0	0	-0.00685134754469564	0	0	0	0	0	0.0309316468227805	0	0	0	0	0	0	0
"mraZ"	0	0	0	0	0.115777827286116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108790435098893	0	0.109196025556513	0	0	0.109963016348111	0	0	0	0	0	0	0	0.00155914141322832	0	0	0	-0.00616079867889332	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354376751558679	0	0	0	0	0	0	0	0	0	0.0867965013682411	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0.0250281628563448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139875317136993	0.218220652503265	0	0	0	0.0499815956565036	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0903491550712622	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00681565470954623	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	-0.00985801001646574	0	0	0	0	0	-0.00431136048822289	0	0	0	0	0	0	0	0	0	0	-1.22601320472139e-05	0	0	0	0	0	-0.0141106198856227	0	0	0	0	0.0594027727391309	0	0	0.0680177830521865	0	0	0	-0.00160518364564783	0	0.0605124707288517	0.00317911649874688	0	0	-0.106493145867782	0	0.0166880403384725	0	0	1	0	0	0	-0.00805570206243439	0	-0.00696291275587385	-0.0198222627679302	0	0	0	-0.00640376313471773	0	0	0	0	0	0	0	0	0.154923370729194	0	0.0615328186732407	0	0	0	0	0	0	-0.0157948741681749	0	0	0	0	0	0.00715739407032102	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00696437590141024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0808468832358304	0	0	0	0.0649785731054704	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
