"ECB_01992"	"ECB_02002"	"ECB_04076"	"ESCRE1901"	"IS3_insF"	"cls"	"crp"	"eamA"	"fbp"	"fsr"	"gabD"	"glgP"	"glpR"	"hyfG"	"iclR"	"kpsE"	"lsrG"	"metA"	"metH"	"metJ"	"mrdA"	"mreB"	"nusA"	"oxyR"	"ppiA"	"rho"	"rpoB"	"rpoC"	"speB"	"tig"	"topA"	"ybaL"	"yfcI"	"yggG"	"yjbA"
"gabD"	0	0	0	0	0	0	0	0.257752052660795	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0	0	0.0414936153414194	0	0	0	0.0441479877893813	0.0540887496665118	0	0	1	-0.0901930919465334	0	0	0	0	0	-0.0891702256577084	0	0	0	0.081851378457784	0	0.0893702591568999	0	0	0.211261802196072	0	0	0	0	0.117047239624168	0	0
"glpR"	0.0271302603709631	0	0	0	0	0	0	-0.013984323568405	0	0	0	-0.0901930919465334	1	0	0	0	0	0	0.0874528505489013	0	0	0	-0.057742699383166	0	-0.0531228405321071	0	0	-0.157434019676555	0	0	0	0	-0.214932357676862	0	0
"hyfG"	0.162447448100589	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.00299789074775962	0	0	0	-0.00825607939154621	0	0	0	0.114257086667184	0	-0.00841530396828652	0	0	-0.185903546331043	0	0
"iclR"	0	0	0	0	0	0	0	0.264395772690844	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0.159649283287019	0	0	0	0	0	0	-0.198308745027831	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0841153370223901	0	0	0	0	-0.14679456042032	0	0
"lsrG"	0	0	0	0	0	0	0	0.271843024637236	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	0.00821336556056148	0	0	0	0	0	0	-0.309194837005953	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0.0260467699381916	0	0	0	0	0	0	-0.0139568616344536	0	0	0	-0.0891702256577084	0.0874528505489013	0	0	0	0	0	1	0	0	0	-0.0548308874369116	0	-0.0513308030293456	0	0	-0.15683728427325	0	0	0	0	-0.214417335614149	0	0
"metJ"	-0.153680782920834	0	0	0	0	0	0	0.0387754520183018	0	0	0	0	0	-0.00299789074775962	0	0	0	0	0	1	0	0	0	0.0593293233453745	0	0	0	-0.207930857880374	0	0.0593411197239291	0	0	0.102875558482548	0	-0.0178171172043619
"mrdA"	0	0	0	0	0	0	0	-0.283462324008412	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0.158821627858543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.108027289276606	0	0	0	0	-0.182023126328159	0	0
"nusA"	-0.0640190762754949	0	0	0	0	0	0	0	0	0	0	0.081851378457784	-0.057742699383166	0	0	0	0	0	-0.0548308874369116	0	0	0	1	0	0.0168054625017516	0	0	0.111727800237159	0	0	0	0	0.334080520051385	0.0379650810334482	0
"oxyR"	-0.153422301026469	0	-0.00526464864049819	0	0	0	0	0.0404513773147081	0	0	0	0	0	-0.00825607939154621	0	0	0	0	0	0.0593293233453745	0	0	0	1	0	0	0	-0.20856585057907	0	0.062995852208002	0	0	0.102774670391402	0	-0.0224449073289531
"ppiA"	0	0	0	0	0	0	0	0.0508961248905095	0	0	0	0.0893702591568999	-0.0531228405321071	0	0	0	0	0	-0.0513308030293456	0	0	0	0.0168054625017516	0	1	0	0	0.219332085153	0	0	0	0	0.145419022963535	0	0
"rho"	0	0	0	0	0	0	0	0.139448399610036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.266939856054873	0	0	0	0	-0.078387286862248	0	0
"rpoB"	0	0	0	0	0	0	0	-0.143296871286608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.13896791558235	0	0	0	0	0	0	0
"rpoC"	0.0661237889409912	0	0.112692860888009	0.157153651810817	0	-0.262384920750361	0	0.0128434101432612	0.387743359104771	0	0	0.211261802196072	-0.157434019676555	0.114257086667184	0	0.0841153370223901	0	0	-0.15683728427325	-0.207930857880374	0	0.108027289276606	0.111727800237159	-0.20856585057907	0.219332085153	-0.266939856054873	-0.13896791558235	1	0	-0.208286165249364	0	-0.305111794093327	0	0	0.12578534601514
"speB"	0	0	0	0	0	0	0	-0.269644553031921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"tig"	-0.15355816911334	0	-0.00541981587598046	0	0	0	0	0.0404941596946257	0	0	0	0	0	-0.00841530396828652	0	0	0	0	0	0.0593411197239291	0	0	0	0.062995852208002	0	0	0	-0.208286165249364	0	1	0	0	0.10301671068818	0	-0.0226293494985302
"topA"	0	0	0	0	0	0	0	0.265307098753893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ybaL"	-0.0555395381269447	0	0	0	0	0	0	-0.207751263947763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.305111794093327	0	0	0	1	0	0	0
"yfcI"	-0.129732489793595	0	-0.185704450885505	0.33254989803956	0	-0.0760891764075797	0	-0.00350760083011852	0	0	0	0.117047239624168	-0.214932357676862	-0.185903546331043	0	-0.14679456042032	0	0	-0.214417335614149	0.102875558482548	0	-0.182023126328159	0.334080520051385	0.102774670391402	0.145419022963535	-0.078387286862248	0	0	0	0.10301671068818	0	0	1	0.288342095192555	-0.178148039916759
"yggG"	-0.145745282190389	0	0	0	0	0	0	-0.0952409824664532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0379650810334482	0	0	0	0	0	0	0	0	0	0.288342095192555	1	0
"yjbA"	0.160434851753116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0178171172043619	0	0	0	-0.0224449073289531	0	0	0	0.12578534601514	0	-0.0226293494985302	0	0	-0.178148039916759	0	1
