"ECB_00737"	"ECB_00739"	"ECB_01992"	"ECB_02002"	"ESCRE1901"	"ESCRE3628"	"ESCRE4497"	"IS3_insF"	"araE"	"aroK"	"aspA"	"atoC"	"atpE"	"atpF"	"atpG"	"cbpA"	"clpB"	"cls"	"crp"	"dacA"	"dapA"	"dgsA"	"dnaA"	"dusB"	"efeO"	"endA"	"fbp"	"fcl"	"fis"	"fruK"	"glgC"	"glgP"	"glpG"	"glpR"	"glpT"	"gspG"	"hslU"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lon"	"lysP"	"manX"	"metH"	"metJ"	"mrdA"	"mreB"	"mreC"	"mreD"	"nusA"	"oxyR"	"pdhR"	"pmbA"	"ppk"	"prfA"	"proQ"	"proW"	"rho"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsR"	"rssB"	"sbcC"	"sbmA"	"sufD"	"thiI"	"tig"	"tktB"	"uvrD"	"wbbC"	"wzyE"	"ybaL"	"ybeA"	"ybhJ"	"ycbC"	"ycgV"	"ycjP"	"ydcU"	"ydiJ"	"yecP"	"yehU"	"yejA"	"yfcN"	"ygfA"	"yjeP"	"ylbH"	"ynjI"	"yraL"	"yraQ"
"aspA"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.137444153684483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105476381936552	0.103606790632663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11732578498593	0	0	0	0.0535234836429935	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.108736381658144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101866194275585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403103329984214	0	0	0	0	0	0	0	0
"atpE"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.107207004541171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120045493905643	0	0	0	0	0	0	0	0	0	0	0.0764390564246543	0	0	0	0	0	0	0	0	0.0778123871133846	0	0	0.0893854193698624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110118227849055	0	0
"atpF"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.153543488103076	0	0	0	0	0	0	0	0	0	0	0	0	0.0448430325550628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0259277975781082	-0.0265676762692312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974167264503412	0	0	0.160884307369548	0	0	0	0	0	0	0
"atpG"	0	0	0	0	0	0	0	0	0	0	0.137444153684483	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145817634100095	0.14516880837895	0	0	0.00281232949204099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150238270602397	0	0	0	0.129971475843153	0	0	0	0	0	0	0	0	0	0	0	0
"cbpA"	0	0	0	0	0	0	0	0	0	0	0	0.108736381658144	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159481232018856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120984674423333	0	0	0	0	0	0	0	0
"clpB"	0	0	0.0657387065515851	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.00290979177775033	-0.0436067719020061	0	0	0	0	0	0	-0.0200738723489895	0	0	0	0	0	0	0.123570393132737	-0.0521479517102709	0	0	0.111567038299857	0	0	0	0	0	0	0	0	0	-0.0591157567271667	0.113725431754209	0	0	0.132331517320213	0	-0.00786167626157277	0	0	0	0	-0.0553467001266846	0	0	-0.00157794776687749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0962072141538523	0	0	0	-0.0501160093308607	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00283978306246536	0	0	0	0	0	0	-0.148507713269308	0	0	0	0	0	0	0	0	0.0575740749912519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0440815860484387	0.0822469579641378	0	0	0	0	0	0	0.0614459885769678	0	0	0	0	0.0943391235473685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dacA"	0	0	0	0	0	0	0	0	0	0	0	0	0.107207004541171	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128560360770393	0	0	0	0	0	0	0	0	0	0	0.0986431823669365	0	0	0	0	0	0	0	0	0.0951840735691184	0	0	0.10486537454149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121381818282795	0	0
"dapA"	0.067599040478006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.119750317015515	0	0	0	0	0	0	0	0	0	0	-0.00616431243180222	0	0	0.0775108094361164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0615317969529172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dgsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138062562182409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00282032375247064	-0.0261180392349768	0	0	0.13396456532312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00290979177775033	0	0	0	0	0	1	0.116335021753945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00119973606605325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147680234316117	0	0	0	0	0	0	0	0.125332311568286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106681293277119	0	0	0	0	-0.0230721505728591	0	0	0.133174813194625	0	0	0	0	0
"dusB"	0	0	-0.024731403428923	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0436067719020061	0	0	0	0	0	0.116335021753945	1	0	0	0	0	0	0	0	0.00597514202846917	0	0	0	0	0	-0.00616920215214254	0.0538869143785943	0	0	-0.0591036816317595	0	0	0	0	0	0	0	0	0	0.0534482842741974	-0.0447473517784455	0	0	-0.0170421602423534	0	0.123722922670103	0	0	0	0	0.107322316243347	0	0	0.065437405870866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0623289515790577	0	0	0	0	-0.0958822601262375	0	0	0.105775197039688	0.0997403759727646	0	0	0	0
"efeO"	0	0	0	0	0	0	0	0	0.153536449249282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.00615460504368671	0.0980984873488178	0	0	0	0	0	0.133871388447844	0	0	0	0	0	0	0	0	0	0	0	0	0.0737957203152912	0	0	0.130960580504136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142567531030617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"endA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153543488103076	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0383970481410967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0156750796655193	-0.0185465276195647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750061166294803	0	0	0.15095650063878	0	0	0	0	0	0	0
"fbp"	0	0	-0.0639318664443842	0	0.115657069154316	0.112725536996916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.141999235150933	-0.0146525179793303	0	-0.0236807094196995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0398428858632911	0	0.00947983871189948	0	0	0	0	0	0	0	0	0	0	-0.0189709890897141	0	0	0	0.0907438141290566	0.129455688011319	0	0	0	0.118738467561662	0.131983722605753	0	0	0	0	0	0	0	0	0	0	0	-0.0183295879904453	0	0	0	0	0.0310343300523866	-0.0075148788132477	0	0	0	0	0	0	0.137076476971858	0
"fcl"	0.151717492837476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119750317015515	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0613407193874891	0	0	0.138967707909812	0	0	0	0	0	0	0	0.0709120302009364	0	0	0	0	0	0	0	0	0	0	0	0	-0.0127366213972082	0	0	0	0	0	0	0	0.14814636886568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00823643846081325	0.0333753805998462	0	0	0
"fis"	0	0	0.0656505152273761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0972014368422784	0	0	0	0	0	0	-0.094921563246394	0	0.174788504965701	0	0	0	0	0	0	0	0	0.0581246836206773	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798074812677013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	0	0	-0.119818994425152	0	0	0	0	0	-0.00537491700110407	0	0	0	0	0	0	0	-0.0200738723489895	0	0	0	0	0	0	0	-0.00615460504368671	0	0.141999235150933	0	0	0	1	-0.094389542404388	0.119524072888735	-0.0400923672300796	0	0	0	-0.0489808493348084	0.00821735366128542	0	0	0	0	0	0	0	0	0	-0.0498434549046636	0	0	0.164582096498983	-0.00508875019355796	0	0	-6.01546400451867e-05	0	0	0	0	0	0	0	0.0512084353464105	0	0	0	0	0	0	0.121406207133157	0.143856747517781	0	0	0	0	0	0	0	0	0	0	0	-0.00800579441097811	0	0	0	0	0	0	0	0	0	0	0	0	0.148490365051892	0
"glgP"	0	-0.0167905391522629	0.0322157457256292	0	0	0	0	0	0.0968216867876922	0	0	0	0	0	0	0	0	0	0.00283978306246536	0	0	0	0	0.00597514202846917	0.0980984873488178	0	-0.0146525179793303	0	0.0972014368422784	0	-0.094389542404388	1	-0.119614178895972	0.0401938873736561	0	0	0	0	-0.116205340084486	0	0.0835093928018935	-0.0361404985702209	0	0	0	0	0.063550697592763	0	0.046540851507214	0	0	0	-0.0550993612340167	0.0146371032294624	0	0	0	0	0	0	0.0707426561160613	0	0.104237623809887	0	0	0	0.00243874032894004	0	-0.0174100929014431	0	-0.0508381182082812	0	0	0.00105029621778831	0.0576341501265355	0	0	0.0986193545330326	0.0620529253718891	0	-0.123022840393512	0	0	0	0	0	0	0	0	-0.171136443573098	0	0	0	0.0954524353493995	0	0	0	0
"glpG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119524072888735	-0.119614178895972	1	0	0	0	0	-0.00449243121378633	0.0539639007136816	0	0	0	0	0.118969426303436	0	0	0	0	0	0	0	0.057306080512416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0720173041495142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpR"	0	0	0.0230382303446262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0236807094196995	0	0	0	-0.0400923672300796	0.0401938873736561	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164876886861225	0.153811455710871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0439171884442831	0	0	0	0	-6.99734714859548e-05	0	0	0	0	0	0	0	0	0.0365966160812357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpT"	0	0	0	0	0	0	0	0	0	0	0.105476381936552	0	0	0	0.145817634100095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.121914842184731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131313181782336	0	0	0	0.0891820343903243	0	0	0	0	0	0	0	0	0	0	0	0
"gspG"	0	0	0	0	0	0	0	0	0	0	0.103606790632663	0	0	0	0.14516880837895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121914842184731	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13029650504632	0	0	0	0.0867371046754866	0	0	0	0	0	0	0	0	0	0	0	0
"hslU"	0	0	0.106430071291106	0.116625006989627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997865394879734	0	0.00147497564440041	0	0	0	-0.0495383068147143	-0.0236519068427766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170133254533834	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0.133258255496682	0	0	0	0	0	0	0	0.123570393132737	0	0	0	0	0	0	-0.00616920215214254	0.133871388447844	0	0	0	0	0	-0.0489808493348084	0	-0.00449243121378633	0	0	0	0	1	-0.0465161752292995	0	0	0.0741457349531639	0	0	0	0	0	0	0	0	0.0128804386678926	-0.037566932274655	0.0692519847191507	0.0972453009135034	0	0.10966823432899	0	0	0	0	0	0	-0.0107136427377595	0	0	0	0	0	0	0	0	0	0	0	0.115471667233161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00131814519088983	0	0	0	-0.00461367617763485	0	0	0	0
"iclR"	-0.0410694931910987	0.0140782881453007	-0.222312911510338	0	0	0	-0.00957068301910945	0	0	0.142308602184202	0	0	0	0.0448430325550628	0.00281232949204099	0	-0.0521479517102709	0	-0.148507713269308	0	-0.00616431243180222	0.138062562182409	0	0.0538869143785943	0	0.0383970481410967	0	-0.0613407193874891	-0.094921563246394	0	0.00821735366128542	-0.116205340084486	0.0539639007136816	0	0	0	0	-0.0465161752292995	1	0	-0.0900454940804549	-0.111180463562349	-0.00453341510838528	-0.0783561913569684	-0.0143918707971185	0	-0.0125820231171221	-0.0483509426356222	0	-0.309652092197945	0	0.0844435012077243	-0.00219522218610134	0	0.0247724698278625	-0.039115509838177	0	0	0	0	-0.0141412749056438	0.281427213865305	0.0987861926509983	0	-0.00946094550397449	-0.0249692033992636	-0.114572107160454	0	-0.103854238598808	0.153562433595131	-0.0159906800549472	0	0.143077838090291	-0.147521637573814	0	0.0241599405164595	0.105712771950681	-0.0220993130021596	-0.160054590837682	0	0	0	0	0	0	0	0	0.011486512960494	0	-0.00368972249667126	0.0429151150981732	0.0066438903061918	0	0.0986037499392289	0	0	0	0
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0.052558042789017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174788504965701	0	0	0.0835093928018935	0	0	0	0	0	0	-0.0900454940804549	0	1	0	0	0	0	0	0	0	0	0.0454522950805607	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667251960281641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsE"	0.12002534987479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111567038299857	0	0	0	0.0775108094361164	0	-0.00119973606605325	-0.0591036816317595	0	0	0	0.138967707909812	0	0	0	-0.0361404985702209	0	0	0	0	0	0.0741457349531639	-0.111180463562349	0	0	1	0	0	0	0	0	0	0	0.0168045667833361	0	-0.0613077220120506	0.0759856776912897	0	0	0.101686761714848	0	-0.00615041523071266	0	0	0	0	-0.0760152443307965	0	0	0	0	0	0	0	0.0990586245881141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0441147577988652	0	0	0	-0.0704335463744726	0	0	0	0
"kpsM"	0	0	0	0	0	0	0.172800065954321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00453341510838528	0	0	0	1	0	0.184035885463545	0	0	0	0	0.0730117162303876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsT"	0	0	0.052157599709031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118969426303436	0	0	0	0	0	-0.0783561913569684	0	0	0	0	1	0	0	0	0	0	0.0439605863435565	0	0	0	0	0	0	0	0	0	0	0	0	-0.0260915550557204	0	0	0	0	0	0.152603383383492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120977368180731	0	0	0	-0.0178667063218296	0	0	0	0
"lon"	0	0	0	0	0	0	0.195955772182387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0143918707971185	0	0	0	0.184035885463545	0	1	0	0	0	0	0.102552928760734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysP"	0	0	0	0	0	0	0	0	0	0	0	0	0.120045493905643	0	0	0	0	0	0	0.128560360770393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.114338129580404	0	0	0	0	0	0	0	0	0.108909422787507	0	0	0.116639195388515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13007825621673	0	0
"manX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063550697592763	0	0	0	0	0	0	-0.0125820231171221	0	0	0	0	0	0	0	1	0	0	0.0485030296215094	0	0	0	0	0	0	0	0	0	0	0.1425525319416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159246596503896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0575740749912519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164876886861225	0	0	0	0	-0.0483509426356222	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119405036159922	0	0	0	0	0	0	0.0559400818632901	0	0	0	0	0.0842480668408914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
