Generations	N	k_max	k_mean	C_mean	C_mean_no1or2	d_mean
12250	88	60	7.09090909091	0.703724897575	0.746117963694	3.2687894434882385
16750	107	49	4.72897196262	0.331783868933	0.412800860183	3.05954134231012
47250	215	92	3.25581395349	0.348287847168	0.936023589265	3.3959270660667773
43750	199	65	2.81407035176	0.203360101909	0.763559627923	3.3785449389179756
20750	124	62	4.35483870968	0.583482956441	0.769700921263	3.013272311212815
24250	137	54	3.48905109489	0.285417683254	0.558603180082	3.1358267716535435
28250	153	55	2.88888888889	0.141661093279	0.401373097623	3.414335664335664
51750	225	93	3.28888888889	0.377619147634	0.944047869085	3.9384707287933094
55250	231	118	3.68831168831	0.295878129642	0.594329112585	3.3097738446411014
36250	174	81	3.59770114943	0.223478517689	0.360048722943	3.18386272362176
32750	164	70	3.13414634146	0.327256529612	0.745417650783	3.0481283422459895
8750	61	40	7.54098360656	0.738391169052	0.776583815727	2.893780573025856
4750	39	23	11.4871794872	0.646866864455	0.681832640912	2.5238095238095237
