Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
ECB_00739, 1037.3, , , , , 37250:1:1:0.0105263, , , , 39250:1:1:0, , 7750:2:2:0.981481, 21750:2:2:0.992857;20250:1:1:0
ECB_00783, 203.7, , , , , , , , , , , , 
ECB_01081, 289.7, , , , , , , , 18250:1:1:0, , , , 11750:1:1:0;21750:2:2:1
ECB_01147;ymgD, 592.3, , , , , , , , , 41250:1:1:0, 19250:2:2:0.972222, , 
ECB_01206, 392.3, , , , , , , , , 37750:1:1:0, 18750:1:1:0, 21250:1:4:0, 25250:1:1:0
ECB_01334, 26.7, , , , , , , , , , , , 
ECB_01336;ECB_01335, 423.7, , , , , , , , , , , , 
ECB_01341;ynaK, 1120.0, , , , , , , 53250:1:1:0;38750:1:1:0;30750:1:1:0;34250:3:3:0.571429, 18750:1:1:0, 40250:1:1:0, 14250:1:1:0, , 7750:1:1:0;12250:2:2:1;8250:2:2:1
ECB_01342;ECB_01343;ECB_01344, 1723.3, , , , , , , 32750:1:1:0;36750:1:1:0;53750:3:4:0.340426;28750:3:3:0.641304, 32750:2:3:0.979592, 44750:1:1:0, 22750:2:2:1;35250:1:1:0, 39750:1:1:0;3750:2:2:1;50250:2:3:1;37250:1:1:0, 31250:1:1:0;36250:1:1:0;46750:3:4:0.06875;19750:1:1:0;15250:2:2:1;6750:1:1:0
ECB_01382, 111.3, , , , , , , , 20750:1:4:0.047619, , , , 
ECB_01413;rhsE;ydcD, 1640.7, , , , , , , 27750:1:1:0.025;49250:1:1:0;45250:3:4:0.349206;31250:3:4:0.170213;31250:3:4:0.176471, 20750:1:4:0.0454545, 43750:1:1:0, , 23250:1:1:0;15750:1:1:0;19750:1:1:0;52750:3:6:0.0483871;52750:3:6:0.046875, 35250:1:1:0;27250:1:1:0.00900901;42750:1:1:0.0151515;44250:3:4:0.56383
ECB_01416;ECB_01417, 899.0, , , , , , , 32750:1:1:0, , , , , 27250:1:1:0;21250:1:1:0.00724638;26750:2:3:0.950355
ECB_01458, 263.0, , , , , , , 41750:1:1:0, , , , , 
ECB_01464, 859.0, , , , , , , , 19250:1:1:0, , 19250:2:2:1, 28750:2:3:1;27250:1:1:0;35750:1:1:0, 19750:1:1:0;750:1:1:0;19750:2:2:1
ECB_01465, 326.0, , , , , , , 27250:1:1:0, , , , 22750:2:3:1, 36250:1:1:0
ECB_01466, 279.0, , , , , , , , , , , , 10250:1:1:0;31750:1:1:0.00769231
ECB_01467, 405.0, , , , , , , 53250:1:1:0, , 53250:1:1:0, , 19250:1:1:0, 5250:2:2:0.993243;53750:3:6:0.193548
ECB_01488;ECB_01487, 573.0, , , , , , , 32750:1:1:0, , 57750:3:5:0.04, , 47250:1:1:0;12250:1:1:0, 
ECB_01516;cspI, 426.3, , , , , , , , , , , , 
ECB_01522, 672.7, , , , , , , , , , , , 15250:1:1:0;17750:1:1:0
ECB_01523, 662.0, , , , , , , , , , 20750:2:2:1, 46250:1:1:0, 
ECB_01526, 217.0, , , , , , , , , 44250:2:2:0.864407, , , 
ECB_01527, 501.3, , , , , , , , , , , , 41250:3:3:0.566265;6750:1:1:0;24250:1:1:0
ECB_01533, 175.7, , , , , , , , , , , , 
ECB_01534, 704.3, , , , , , , , , , , , 32250:3:3:0.92
ECB_01539, 313.3, , , , , , , , , , , , 
ECB_01540, 261.7, , 37250:2:2:0.894737, , 35750:1:4:0.2, , , , , , , , 45250:3:4:0.037037
ECB_01541;ECB_01542, 593.0, , , , , , , 52750:1:1:0, 21250:1:1:0, , , 45750:1:1:0, 
ECB_01628, 196.7, , , , , , , 34250:3:4:0.357143, , , , , 
ECB_01690, 198.0, , , , , , , , 34250:1:4:0, , , , 
ECB_01757, 186.7, , , , , , , , , 43250:3:5:0.875, , , 
ECB_01797, 241.7, , , , , , , 19750:1:1:0;41250:1:1:0, 5250:2:3:1, , , 6250:2:2:1, 3250:1:1:0;23250:1:1:0
ECB_01906, 303.7, , , , , , , , 3250:2:2:0.982456, 35250:3:5:0.814815;37250:2:2:0.991228, 50250:3:2:0.928571;38250:1:1:0;57250:1:1:0, 10250:1:1:0;16750:3:6:0.125;23250:1:4:0;25250:1:4:0, 38750:3:4:0.0673077;27750:1:1:0
ECB_01907;ECB_01908, 580.3, , , , , , , , , 43250:1:1:0, , 21750:1:4:0, 8250:2:2:0.990291
ECB_01990, 245.3, , , , , , , , , , , , 
ECB_01991, 219.7, , , , , , , , , , , 21250:2:6:0.933333;23750:1:1:0, 
ECB_01993;ECB_01992, 1105.3, 1250:3:6:0.292308, , 750:2:2:1, 20750:2:2:0.916667, , , 750:2:2:0.987342, 250:2:2:1;15750:1:1:0, 1250:2:2:1, 31750:1:1:0;1250:3:5:0.383459, 250:2:2:1;12750:1:1:0, 10250:1:1:0
ECB_01994, 2235.3, , , , , , , 32250:2:2:1, 24250:1:1:0, , 26250:1:1:0;53250:3:3:0.62963, 9250:1:1:0;27750:1:1:0;29750:1:1:0;4250:1:1:0.0185185, 14250:1:1:0
ECB_01998;ECB_01997;ECB_01996;ECB_01995, 1932.0, , , , , , , 36750:1:1:0;50750:1:1:0;47250:1:1:0, 30250:3:6:0.509804, , 25250:1:1:0;38250:1:1:0;9750:1:1:0;36250:3:3:0.765625, , 5250:1:1:0
ECB_01999;ECB_02000, 1402.3, , , , , , , 34250:1:1:0;38250:2:2:1;28250:1:1:0;31750:2:2:1, 2750:1:1:0;21250:3:6:0.6, , 26250:1:1:0;19250:2:2:1;29250:1:1:0, 29750:2:3:0.988372;31250:1:1:0, 7250:1:1:0
ECB_02001;ECB_02002, 1977.3, , , , , , , 45250:1:1:0, 8250:3:6:0.686567, , 57750:3:4:0.27027, 17250:2:3:1, 8250:2:2:0.947368
ECB_02003, 1078.3, , , , , , , , 10750:3:3:0.765152, , 55750:1:1:0;37750:3:4:0.295082;25250:3:2:0.839286, 17250:1:1:0;14250:2:2:0.935897;10750:2:2:0.945455, 
ECB_02004;ECB_02005;ECB_02006;ECB_02007;ECB_02008, 2606.0, , , , , , , , 8250:3:3:0.650794, , 33750:1:1:0;37250:1:1:0, 3750:1:1:0;19250:2:3:1;14750:1:1:0;19250:2:3:1, 13750:1:1:0;4250:2:2:1;17750:2:2:0.9375;9250:1:1:0
ECB_02009, 492.3, , , , , , , , 24750:1:1:0;3750:3:3:0.625, , , 24250:1:4:0.0117647, 17750:1:1:0
ECB_02010, 266.3, , , , , , , , , , , 38250:3:6:0.709924, 15750:1:1:0
ECB_02011, 288.3, , , , , , , , , , 41250:1:1:0, , 
ECB_02012, 888.3, , , , , 18250:2:2:0.944444, , , 11750:1:1:0, , 20250:1:1:0.0769231, , 
ECB_02013;yegR, 510.0, , , , , , , , , , , 12250:2:2:1, 4250:1:1:0;11250:2:2:1;15250:1:1:0
ECB_02034;ECB_02033, 676.0, , , , , , , , 19750:2:3:0.885965;4250:2:3:0.900709, , , 53250:2:3:1, 42250:1:1:0;10250:1:1:0
ECB_02035, 631.7, , , , , , , , , 47250:1:1:0, , , 20250:2:2:1
ECB_02036, 304.3, , , , , , , , , , , , 
ECB_02037, 299.7, , , , , , , 58250:3:6:0.204819, 19250:1:1:0;10250:3:4:0.172131, , , 19750:1:1:0, 
ECB_02038, 401.0, , , , , , , , , , , , 42750:1:1:0
ECB_02039, 211.3, , 30250:1:1:0, , , , , , , , , , 
ECB_02057;yehZ;yehX;yehY;yehW, 3144.3, , , , , , , 43750:3:3:0.575342;35750:1:1:0;39750:1:1:0;26750:3:3:0.603774;53250:1:1:0;53250:1:1:0;56250:3:4:0.465116;38250:1:1:0;47250:1:1:0, 19750:2:3:1;11750:1:1:0;8750:1:4:0;24750:1:1:0;10750:2:3:0.970588, 52750:1:1:0;57250:3:5:0.771429, 50250:1:1:0;56250:1:1:0;26250:2:2:1, 10750:1:1:0;19250:1:1:0;8750:1:1:0;15250:1:1:0;47250:1:1:0;25250:1:1:0, 6250:1:1:0;46250:1:1:0.0108696;31250:1:1:0.01;35250:3:3:0.8625;28250:3:4:0.120482;7750:1:1:0;34750:1:1:0
ECB_02307;yfeR, 1148.7, , , , , , , , 13750:1:1:0, 45750:1:1:0, 50250:1:1:0;12250:2:2:1, 30250:2:3:1, 750:1:1:0;24250:1:1:0;8750:1:1:0
ECB_02364;dapE;yffB, 1437.7, , , , , , 31250:3:3:0.603774, , 23750:2:3:1;31750:1:1:0, , , 10750:1:1:0, 16750:2:2:0.991379;39250:1:1:0;24750:2:2:1
ECB_02509, 1055.0, , , , , , , 25250:2:2:1, 30750:2:3:0.979592, 46250:1:1:0, 53250:1:1:0, 21250:2:2:0.916667, 4750:1:1:0;38250:1:1:0
ECB_02512;ECB_02510;ECB_02511, 2758.3, , , , , 33250:1:1:0, , 54250:3:4:0.368421;47250:3:3:0.5, 9250:1:1:0;5750:2:3:0.98;50750:3:6:0.275, 53250:1:1:0, 54250:3:3:0.727273;36250:3:4:0.2;50250:1:1:0;45750:3:3:0.789474;48750:3:4:0.210526, 28250:2:3:1;27250:2:2:1, 30250:1:1:0.00909091;16750:1:1:0;57250:1:1:0.00684932;750:1:1:0;6750:2:2:1;35250:3:3:0.420168;19750:1:1:0;43750:1:1:0;42250:3:4:0.0618557;40750:3:3:0.544715;23750:1:1:0;29750:3:4:0.10101
ECB_02621, 683.7, , , , , 33750:2:3:0.966667, , 26250:2:2:1;58750:3:6:0.372881, , 43250:1:1:0;40250:1:1:0.0481928, 32250:1:1:0, 44750:1:1:0, 37750:1:1:0;21750:2:2:1
ECB_02648, 853.0, , , , , , , , , 56250:1:1:0, , 38250:1:1:0;38750:1:1:0, 43750:1:1:0;21750:2:2:0.976923;35750:1:1:0
ECB_02652;ECB_02651;ECB_02650;ECB_02649, 4139.0, , , , , , , 51250:1:1:0;38750:3:4:0.352941;26750:1:1:0;27250:3:3:0.704918;51750:1:1:0, 25250:2:3:0.979167, 43750:1:1:0;53250:3:5:0.858586, 10250:1:1:0;45250:3:3:0.722222;29750:1:1:0;26250:2:2:1, 24250:1:1:0;58250:3:6:0.0434783;3250:1:4:0;52750:1:1:0;39750:1:1:0;39750:1:1:0;18250:1:1:0;31250:1:1:0;27250:2:3:0.966667;21250:1:4:0;3750:1:1:0;38250:1:1:0;21250:1:4:0, 24250:1:1:0;16250:1:1:0;34250:3:3:0.858586;27250:1:1:0;41750:3:4:0.0671141;15250:1:1:0;24750:2:2:1;1750:1:1:0;55250:1:1:0.0123457;30750:1:1:0
ECB_02797, 773.7, , , , , , , 38750:3:3:0.516484, 17750:1:1:0;24250:1:1:0, , 41250:1:1:0, 3750:2:2:1;48750:1:1:0, 4250:1:1:0;41750:3:4:0.378788
ECB_02798, 795.7, , , , , , , , 24750:2:3:1, 43750:3:5:0.144068, 14250:2:2:1;7250:2:2:1;17750:2:2:0.941176, 3750:2:2:0.892857, 32250:3:4:0.405941;13750:1:1:0.0194805;29250:2:3:0.960265;31750:1:1:0;26750:1:1:0
ECB_02802, 426.0, , , , , , , 34750:1:1:0, , , , 23250:1:1:0;46750:1:1:0, 59750:3:4:0.0434783;43250:1:1:0;13750:1:1:0;15750:1:1:0
ECB_02804, 761.3, , , , , , , , 21250:2:2:0.983333, 52250:1:1:0, 50750:3:3:0.707317, 23250:1:1:0;35750:1:1:0;15250:1:1:0;35250:2:3:1, 15750:1:1:0
ECB_02810;yeeW;yeeV, 531.0, , , , , , , 29250:1:1:0;37750:1:1:0;48250:1:1:0, , , 48250:3:4:0.324324, , 29250:3:4:0.0673077;9250:1:1:0
ECB_02811, 416.3, , , , , , , 44250:3:4:0.362637, , , 29250:1:1:0;45250:1:1:0, , 
ECB_02812, 330.0, , , , , , , , , , , , 37250:1:1:0;25250:1:1:0
ECB_02819;ECB_02818;ECB_02813;ECB_02817;ECB_02816;ECB_02815;ECB_02814, 6410.7, , , 11250:1:1:0, , , , 27750:1:1:0;45250:1:1:0;48750:1:1:0;30750:3:3:0.720588;51250:1:1:0;53750:3:4:0.386364, 8750:1:4:0;19750:1:1:0;12750:1:1:0, 46250:1:1:0, 46250:3:3:0.753846;29750:2:2:1;49250:3:4:0.257143;45250:1:1:0;25250:1:1:0;29750:1:1:0;45750:3:3:0.722222;43250:1:1:0;43750:1:1:0;28750:2:2:1;58750:3:6:0.0151515, 35250:1:1:0;37250:1:1:0;15250:1:4:0;40750:1:1:0;19250:1:4:0;17250:1:1:0;16750:2:3:1;40250:2:3:1;16250:2:2:0.952381;41250:1:1:0;30750:2:3:1;5750:1:1:0, 44750:3:4:0.133333;53750:1:1:0.00649351;17750:1:1:0;12750:2:2:1;31750:1:1:0.0294118;8250:2:2:1;3250:1:1:0;9250:1:1:0;6750:1:1:0;3750:1:1:0;25250:1:1:0;23750:1:1:0;31750:1:1:0.00699301;15750:1:1:0;54250:3:6:0.764286;52750:3:3:0.203463;40750:2:3:0.947917
ECB_02820, 812.3, , , , , , , 47750:1:1:0, , , , , 29250:1:1:0;34250:3:3:0.513514
ECB_02821, 1020.7, , , 3250:1:1:0, , , 19250:1:1:0, 35750:1:1:0;34250:1:1:0, 4250:3:3:0.829787, , 53750:3:3:0.694915;9750:2:2:0.911765;36250:3:4:0.458333;46750:3:3:0.536585, 15250:1:1:0;11750:2:2:1;57750:2:6:0.933333, 57250:1:1:0;4750:2:2:0.993056
ECB_02822, 482.0, , , , , , , 55750:3:3:0.602151, , , , , 
ECB_02825, 582.7, , , , , , , , , , , , 7250:1:1:0
ECB_02826, 1232.7, , , , , , , , , , , , 16250:1:1:0;29750:3:4:0.126126
ECB_02827;ECB_02828, 1265.0, , , , , , , 21250:3:4:0.30303;25750:2:2:1, 8750:1:1:0, , 22750:3:5:0.057971, 19250:1:4:0;37250:1:1:0;14250:1:1:0;16750:1:1:0;28250:1:1:0, 20750:2:2:1;59750:3:4:0.081761;13750:2:2:1;13750:2:2:1
ECB_02854;ECB_02853;ECB_02852;ECB_02851, 3229.0, 12250:2:3:0.916667, , , , , , 52750:1:1:0;25750:2:2:1;33250:1:1:0;44250:1:1:0;49750:1:1:0, 39250:2:3:1, 45750:1:1:0, 2750:2:2:0.96, 58250:3:6:0.142857;17250:2:3:1;17250:2:3:1, 9750:1:1:0;18750:1:1:0;53250:3:6:0.127119;16750:1:1:0.00581395;42750:3:4:0.0983607;10750:1:1:0;750:1:1:0;42750:3:4:0.10101
ECB_03080;yhcG, 717.3, , , , , , , 34750:1:1:0;53750:3:4:0.25;49250:1:1:0.0422535, , 54750:3:5:0.9, , 22750:2:3:1, 750:1:1:0;17750:1:1:0
ECB_03279, 869.0, , , , , , , 26250:2:2:1;30250:3:3:0.6, , , , , 11750:1:1:0;13750:2:2:0.994709;7750:1:1:0
ECB_03412, 337.7, , , , , , , , , , 21250:2:2:1, , 28250:3:4:0.114754
ECB_03436, 728.7, , , , , , , 50250:1:1:0, , , , , 43750:1:1:0;17250:2:2:0.98913;60750:1:4:0.0116279
ECB_03438;ECB_03437, 2702.3, , , , 35750:2:3:1, , , 30250:3:3:0.530864;27250:3:4:0.243478;32250:1:1:0;50750:3:3:0.486842;26250:2:2:1;34750:1:1:0, 22750:1:1:0;43750:1:1:0, , 16250:1:1:0;36250:3:4:0.228571;9250:1:1:0;35750:3:3:0.880952, 15750:1:1:0.0232558, 15750:1:1:0;60750:3:4:0.0724638;32750:3:4:0.0992908;17750:1:1:0;26250:1:1:0;26750:3:4:0.118519
ECB_03457, 259.7, , , , , , , 39750:1:1:0, , , , 31750:2:3:1;9250:1:1:0, 6750:1:1:0
ECB_03459;ECB_03460, 4144.0, , , 49750:1:1:0, , , , 52750:1:1:0;34250:3:4:0.443038;26750:1:1:0;47750:3:4:0.444444;36750:3:4:0.364865;21250:3:4:0.179487;45250:1:1:0;52250:1:1:0;39750:1:1:0, 36250:1:1:0;34750:2:6:0.867925;13750:2:3:0.945946, 40250:1:1:0;48250:2:2:0.900709, 32250:2:2:1;48250:3:3:0.565789;56750:3:6:0.158537;9750:2:2:1;43750:1:1:0, 35750:1:1:0;36750:2:3:1;40250:1:1:0, 42750:3:4:0.0580357;32750:3:4:0.0575221;23750:1:1:0;9250:2:2:0.98125;6250:1:1:0.00591716;60250:3:4:0.0547945;18250:1:1:0;8250:1:1:0;19750:3:3:0.854749;34750:1:1:0;45750:1:1:0;25250:1:1:0;46750:3:3:0.91195;1750:1:1:0;31750:3:3:0.590308;55250:1:1:0;34750:1:1:0;10250:2:2:0.993976;42250:1:1:0;36750:1:1:0;60750:3:6:0.132597;41750:1:1:0;25250:1:1:0
ECB_03516, 1027.7, , , , , , , 58750:3:6:0.28;37750:1:1:0, 3250:2:3:0.943662, , 34250:1:1:0, 20750:1:1:0;25750:1:4:0, 31750:3:4:0.0793651;35750:1:1:0;35750:1:1:0
ECB_03517, 922.3, , , , , , , , 22750:1:1:0, , , 21250:1:4:0, 17250:2:2:0.993671;55250:1:1:0;32250:1:1:0;9250:1:1:0;60250:3:4:0.0972222
ECB_03518, 279.0, , , , , , , , , , , , 
ECB_03519, 981.3, , , , , , , 32250:1:1:0;36750:1:1:0, 19750:2:3:0.913043, 58250:3:5:0.691729;40250:1:1:0.020202, 53250:1:1:0, 18750:2:3:1;3750:2:2:0.97561, 26250:1:1:0;3250:1:1:0;2750:1:1:0
ECB_03520;ECB_03521, 3021.7, , , , , , , 34250:3:4:0.427083;32250:1:1:0;36250:1:1:0;53750:3:4:0.258993, 27750:1:1:0, 56750:1:1:0;45750:1:1:0, 26250:1:1:0.0212766;26250:1:1:0;26750:2:2:0.982456;42250:1:1:0;9750:2:2:1;56250:3:4:0.205128, 7750:1:1:0, 36250:1:1:0;31750:1:1:0.00917431;46750:3:4:0.601942;44250:3:4:0.625;30750:1:1:0;8750:1:1:0;45250:3:4:0.609524;4250:2:2:0.990654
ECB_03522;ECB_03523, 1421.0, , , , , , , 55750:3:3:0.553191, 5750:3:6:0.862745, , 37250:1:1:0, 18750:1:1:0;23250:1:1:0, 20250:2:2:1;35750:1:1:0.0142857;10750:1:1:0;19250:1:1:0
ECB_03524, 246.0, , , , , , , 30250:3:3:0.572917, , , , , 18250:1:1:0;16750:1:1:0;16750:1:1:0;33250:3:3:0.267606
ECB_03525, 344.7, , , , , , , , 36750:2:6:0.931373, 57750:3:5:0.0914286, , 35750:1:1:0, 9250:1:1:0.0108696;4750:2:2:1
ECB_03526, 220.7, , , , , , , 49750:3:4:0.357895, , , , , 
ECB_03527, 253.3, , , , , , , 57250:3:6:0.105263, , , , , 
ECB_03528, 191.3, , , , , , , 53750:3:4:0.479167, , , , , 44250:2:2:1
ECB_03530;ECB_03529, 464.3, , , , , , , , , , , , 9750:1:1:0;28250:1:1:0
ECB_03531, 2701.7, , , , , 57250:3:6:0.705479, , 47750:3:4:0.421875;52750:1:1:0, 23250:1:1:0, 43750:1:1:0, 45750:1:1:0, , 13750:1:1:0;10250:1:1:0;15250:2:2:0.995434;37750:1:1:0.00938967;34750:1:1:0.00881057;12250:1:1:0;7250:1:1:0;16750:1:1:0.00537634
ECB_03532, 431.3, 19250:1:1:0, , , , , , 33250:3:4:0.430769, , , , , 55250:3:4:0.0645161;46750:1:1:0
ECB_03533, 190.0, , , , , , , , , 35250:1:1:0, 20250:1:1:0, , 20250:2:2:1
ECB_03534, 144.0, , , , , , , 47750:3:3:0.556818, , , , , 
ECB_03539;ECB_03538;yeeV_2;ykgN, 593.0, , , , , , , , , , 16250:1:1:0, , 38750:3:3:0.89781;10250:1:1:0;17750:2:2:1;31250:3:3:0.88785
ECB_03540, 619.3, , , , , , , 59250:3:6:0.132353, , , , , 29250:1:1:0;45750:3:4:0.0666667
ECB_03541, 213.7, , , , , , , , , 34750:1:1:0, 31750:1:1:0.0204082, 17250:1:4:0, 8250:1:1:0
ECB_03545, 334.0, , , , , , , , , 44250:2:2:0.92126, , , 
ECB_03654, 314.3, , , , , , , , , , , , 
ECB_03694;ECB_03693, 1200.3, , , , , , , 34250:3:3:0.561798;38250:1:1:0;49750:1:1:0, , , , , 18250:1:1:0;39250:3:4:0.0873786;20250:2:2:0.991071
ECB_03695, 95.7, , , , , , , , , , , , 
ECB_03713;ECB_03712;ECB_03711;ECB_03710;ECB_03714;ECB_03709, 5283.7, , , , , , 43250:3:4:0.46, 51250:1:1:0;50750:1:1:0;53750:1:1:0;28750:1:1:0;39750:3:4:0.264368;28750:3:3:0.506024;34250:3:3:0.6875;51250:1:1:0;32250:1:1:0, 17750:1:4:0.0352941;6250:1:1:0;24250:1:4:0.0229885;7750:2:3:1;5750:1:4:0.0153846, 14750:1:1:0;56750:1:1:0, 29750:2:2:1, 28250:1:1:0;13250:2:2:1, 750:3:4:0.0392157;15750:1:1:0;30250:1:1:0;59750:1:1:0;28250:1:1:0;49750:1:1:0.00757576;54750:1:1:0;30750:1:1:0;36250:1:1:0
ECB_03716;ECB_03715, 1316.3, , 32750:1:1:0;3250:1:1:0, , 10250:1:1:0, , , 48750:3:3:0.447368, , , 19250:1:1:0, 3250:2:2:0.909091;12250:2:2:1;48250:2:6:0.857143, 39250:1:1:0;42750:3:4:0.110345;15750:1:1:0;7250:1:1:0;30750:3:3:0.881579;4750:2:2:0.993056;21750:2:2:1;26250:1:1:0;6750:1:1:0
ECB_03723;ECB_03724;ECB_03722;ECB_03719;ECB_03720;ECB_03721, 4395.3, 44750:1:4:0.0300752, , 6750:2:2:1, , , , 52250:1:1:0;52750:1:1:0;25750:2:2:1;40250:3:4:0.393258;32250:1:1:0;32250:1:1:0;36750:1:1:0;53750:3:4:0.345455;26250:2:2:1;43250:1:1:0;32750:1:1:0;30250:1:1:0, 10750:1:4:0.0238095;19250:1:1:0;15750:1:1:0.031746;15750:1:1:0, , 41250:1:1:0;21250:2:2:1;37250:3:4:0.288889;13250:1:1:0;43250:1:1:0, 8750:1:1:0, 21250:1:1:0;32250:3:3:0.904459;48250:3:4:0.0503145;4750:2:2:1;20250:1:1:0;60750:3:4:0.0857143;19750:2:2:1;46250:3:3:0.895833;55250:1:1:0.0117647;9250:1:1:0;31250:2:3:0.96;30250:1:1:0.00763359
ECB_03786, 1204.7, , , , , , , 43250:3:3:0.55, , , 30750:2:2:0.906977, 8750:2:2:1;7250:2:2:1, 15750:1:1:0;29250:1:1:0;9250:1:1:0;37750:1:1:0.011236;28250:1:1:0;8250:1:1:0.00460829
ECB_04071, 1113.7, , , , , , , 26250:2:2:1, 57750:3:6:0.329268, , 36750:1:1:0, , 
