"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0.0198186098403018	-0.00332379978821864	0	0	0.0328203402600431	0	0	0.0173552967198546	0	0	-0.015831846786463	-0.0180245595052209	0.0726847629865864	0.107086333806398	0	0	1	0	0	0	0	0	0	0	0.0360438441485065	-0.012686375281328	0	0	0	0	0.0196817024073778	0	0	0	0	-0.0218166651948256	0	0	0	-0.0217677443681363	0	-0.0201649563985897	0	0	0	0	0	-0.0155859515188581	0	0	0	0.0217669558892425	0.0300775551529123	0	0	-0.00505136518694315	0.0239036846198432	0.0334514135927629	0.0227273889724624	0.0121382337939067	0.0203446324268418	0	0.0117673516311086	0	0	0	0	0.000530644351206121	0	0	-0.0351008180154186	0.00789029211379672	0	0.0419107495156968
"hyfA"	0	0	0	0	0	0	0	0	0	0	-0.00839320947875699	0	0.101281469800544	0.0100443373792645	0	0	0	1	0	0	0	-0.00374564695229562	0	0	0.0351375983198968	0	0	0	0	-0.00100691742179566	0	0	0	0	0	0	0.00187286690231306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024205540894272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00374071606887808	-0.146785953724829	0	0
"iap"	0	0	0.00651193773070561	0	0	0	0	0	0.0103626795204117	0	0	0	-0.00228969594056925	0.00109708847295346	0	0	0	0	1	0	0	0	0	0	0	0	0.0125292172127449	0	0	0.0151193791178241	0	0.0099867001176402	0	0	0	0	0	0.0115621275742183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131960628746014	0.0133353539278948	0	0	0	0	0	0	0.216110832138129	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0.00322703620683592	0	0	-0.132409932557951	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0648541020356558	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	-0.182040912208951	0	0.048739644555982	0.0153461436939455	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0354507351429595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00121134785915546	0	0	0	0.161011006029287	-0.0822381049603304	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	-0.110177924543147	0	0	0	0	-0.00374564695229562	0	0	0	1	0	0	-0.038446128909153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0232501785438091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15572544216794	0.182120720298416	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143226476492217	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209033844946846	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165909607774582	0	0.0275155991165496
"metH"	0	0	0	0	0	0	0	0	0	0	0.148070770951447	0	-0.0730825658206968	-0.0131034007473198	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175683237081693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.069959196598331	0.155395863866829	0	0
"mokC"	0.00976452295080743	-0.0167875358280522	0	-0.00599058561820478	0.0391683253812002	0	0	0.00533896669275266	0	0	-0.0240590050715573	0	0.169851039844546	0.125213373681219	0.0245552337139716	0	0.0360438441485065	0.0351375983198968	0	0	0	-0.038446128909153	0	0	1	0	0	0	-0.00227048254711711	0	0.00949318468683547	0	0	0	-0.000475133750165035	0	0.030340622348536	0	0.0156893107457711	0	0	0	-0.00184118559459192	0	-0.0120532536994067	0	0	0	0	0	0	0.013747052299462	0.0864947079319844	-0.000871422689647102	0.0267569457827764	-0.0179071912555797	0.0183888059088972	0.0400246688321744	0.0157233031755196	0	0.0108151244300609	0.0232186031502381	0	0	0	0	0	0	0	0	-0.0760226222427169	-0.0728395333083511	0	0.0501791555626184
"mreB"	0	0	0	0	-0.0225572416590776	0	0	0	0	0	0.0337315006111681	0	-0.0965981556997989	-0.242068249229888	0	0	-0.012686375281328	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0258204471419732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0580639334953188
"mreC"	0	0	0.00629744374760586	0	0	0	0	0	0.0101626560834569	0	0	0	-0.00222194692639441	0.00103662045194977	0	0	0	0	0.0125292172127449	0	0	0	0	0	0	0	1	0	0	0.0149382176823576	0	0.0097875512877933	0	0	0	0	0	0.0113674449010758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0130119009907131	0.0131542822028354	0	0	0	0	0	0	0.216284899633376	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0.00640527900580682	0	-7.45270472703226e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117540457959807	0	0
"nudC"	0	0.0179015763006671	0	0.00657181711324534	0	0	0	0	0	0	-0.0571516607707026	0	-0.0390530253191108	-0.0072834621631679	0	0	0	0	0	0	0	0	0	0	-0.00227048254711711	0	0	0	1	0	0	0	0	0	0.00223767505276225	0	0	0	0	0	0	0	0.00347062254572413	0	0	0	0	0	0	0	0	0	0	0.00254908963127207	0	0.0202194339561643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199924167644529	0	0	0
"oppD"	0	0	0.00919074533641379	0	0	0	0	0	0.0128742656485695	0	0	0	-0.00311151982356432	0.00190046110282809	0	0	0	-0.00100691742179566	0.0151193791178241	0	0	0	0	0	0	0	0.0149382176823576	0	0	1	0	0.0125157970679163	0	0	0	0	0	0.0140155550320722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155809081565207	0.0157069117989245	0	0	0	0	0	0	0.214230466900688	0	0
"phoH"	0	0	0	0	0.0245186689647893	0	0	0	0	0	0	0	0.0657580118282141	0.135960646474872	0	0	0.0196817024073778	0	0	0	0	0	0	0	0.00949318468683547	0	0	0	0	0	1	0	0	0	0	-0.000578226286960303	0	0	0	-0.000472315807330621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00150206374585354	0.0260531457434538	0	0	0	0	0	0	0	0	0	0	0	0	-0.0185221467470996	0.023393578114524	0	0.0424612936202665
"prlA"	0	0	0.00346341902172394	0	0	0	0	0	0.00751306143400659	0	0	0	-0.00120181703708188	0.000205363108143217	0	0	0	0	0.0099867001176402	0	0	0	0	0	0	0	0.0097875512877933	0	0	0.0125157970679163	0	1	0	0	0	0	0	0.00877541188341052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105061142503486	0.0106338730937496	0	0	0	0	0	0	0.218066382156809	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0.00922594628450124	0	0	0	0	0.132034912818975	0	-0.0281713198319378	-0.0605716836244779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.00807403290470619	0	0	0.0350628904624463	0	0	0	0	0.0124818882113247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159887329167726	0	0.0103891398139754	0	-0.109883599341341	0.0085643389477665	0.00840538113727655	-0.00139185440705405
"rbsB"	0	0.0167547210091236	0	0.0050432639999452	0	0	0	0	0	0	-0.0573087678937491	0	-0.0376721116037258	-0.00582011652793197	0	0	0	0	0	0	0	0	0	0	-0.000475133750165035	0	0	0	0.00223767505276225	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00181274710508932	0	0	0	0	0	0	0	0	0	0	0.000863527917807063	0	0.0191333937227339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20139707714902	0	0	0
"rbsD"	-0.00073362016068513	0	0	0	-0.0263803130319182	0	0	0	0	0	0.00107633419790925	0.0256602225886008	-0.0266579104774328	-0.125205728168788	0	0	-0.0218166651948256	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000578226286960303	0	0	0	0	1	0	0	0	0.0293155966805903	0	0.0275533119048406	0	0	0	0	0	0.0237024197163091	0	0	0	-0.00420064534477621	0	0	0	0	-0.00778670670710541	-0.0279854075633747	-0.00575802980023	0	-0.00172180893025559	0	0	0	0	0	0	-0.000722173530151967	0	0	0	-0.110250640825282	0	-0.043689729594871
"rbsR"	0	0	0	0	0	0	0	0	0	0	-0.00414155230442072	0	0.101699186960173	0.0102869157817066	0	0	0	0.00187286690231306	0	0	0	0	0	0	0.030340622348536	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181282437907837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00153700588408881	-0.141403801780533	0	0
"rfbB"	0	0	0.00521146471863086	0	0	0	0	0	0.00915814438823946	0	0	0	-0.00181674537957766	0.000692075206088248	0	0	0	0	0.0115621275742183	0	0	0	0	0	0	0	0.0113674449010758	0	0	0.0140155550320722	0	0.00877541188341052	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120693912228156	0.012177059483905	0	0	0	0	0	0	0.217013463403093	0	0
"rne"	0	0	0	0	0	0	0	0	0	0	0	0	0.101010349337224	0.00461383663698739	0	0	0	0	0	0	0	0	0	0	0.0156893107457711	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127480002795539	0	0
"rplF"	-0.000629642471695196	0	0	0	-0.0263503927089548	0	0	0	0	0	0.00118367283915096	0.0255851166458562	-0.0266747296548939	-0.125327984529466	0	0	-0.0217677443681363	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000472315807330621	0	0	0	0	0.0293155966805903	0	0	0	1	0	0.0274725756385952	0	0	0	0	0	0.0236118843322468	0	0	0	-0.00410404978745885	0	0	0	0	-0.00770085271038736	-0.0279600316630417	-0.00566728877301684	0	-0.00162165214183139	0	0	0	0	0	0	-0.000547461768249367	0	0	0	-0.110225944668813	0	-0.0437027437816744
"rpsA"	0	0	0	0	0	0.00726290499313527	0	0	0	0	0.133098874021383	0	-0.0275679519771489	-0.0597747336643654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00807403290470619	0	0	0	0	0	0	1	0	0	0.0342540915717433	0	0	0	0	0.0106763218690277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143508924339703	0	0.00848315767692114	0	-0.109805886993145	0.0091521889646076	0.00640189192695707	-0.000204541060874376
"rpsC"	0	0	0	0	-0.0251749722662362	0	0	0	0	0	0.000982031727225833	0.0236951318058286	-0.0270344848135618	-0.126352881035493	0	0	-0.0201649563985897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275533119048406	0	0	0	0.0274725756385952	0	1	0	0	0	0	0	0.0216650926563148	0	0	0	-0.000884309543157607	0	0	0	0	-0.00480362106159463	-0.0268583785888368	-0.00259516008156321	0	0	0	0	0	0	0	0	0	0	0	0	-0.107663804094938	0	-0.0434358260874259
"sapF"	0	0.01761424184768	0	0.00618797846330289	0	0	0	0	0	0	-0.057232352791182	0	-0.0387479140189673	-0.00672613732696101	0	0	0	0	0	0	0	0	0	0	-0.00184118559459192	0	0	0	0.00347062254572413	0	0	0	0	0	0.00181274710508932	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00212277479933938	0	0.01993627331518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200318607153059	0	0	0
"speG"	0	0	0	0	-0.00296511089140284	0.0347357344395772	0	0	0	0	0.112717493652986	0	-0.0329248932475922	-0.0722253196212819	0	0	0	0	0	0	-0.0354507351429595	0	0	0.0175683237081693	0	0	0	0	0	0	0	0	0	0.0350628904624463	0	0	0	0	0	0	0.0342540915717433	0	0	1	0	0	0	0	0.0361289266484835	0	0.0182444649364249	0	0	0	0	-0.000677873693530772	0	-0.00421827292350097	0	0	0	0	0	0	0	0	0.0376081084608708	0	0.0352318662701498	0	-0.104422243626174	0	0.0343958325274281	-0.0164862354045488
"spoT"	0	0	0	0	0	0	0	0	0	0	0.0414395646530126	0	-0.152336806263639	-0.0870649131732698	0	0	0	0	0	0	0	0	0	0	-0.0120532536994067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128863636951041	0	0
"thiI"	0	0.0118440038446634	0	0	0	0	0	0	0	0	-0.0573349754615672	0	-0.0275255896997915	-0.00425334884302639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0145071492001186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203533979207808	0	0	0
"thrA"	0	0.00695891204640868	0	0	0	0	0	0	0	0	-0.0521186122309179	0	-0.0240778730216233	-0.00437828694768034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00986066529233241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20183706526261	0	0	0
"trkH"	0	0	0	0	-0.0212534290074137	0	0	0	0	0	0	0.0197022492156451	-0.0251918934069212	-0.122765346136624	0	0	-0.0155859515188581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237024197163091	0	0	0	0.0236118843322468	0	0.0216650926563148	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0231647062421619	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.100678622507058	0	-0.040987948664558
"wzy"	0	0	0	0	0	0.0117568534318959	0	0	0	0	0.13075616935611	0	-0.0288243034746578	-0.0614675252818877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124818882113247	0	0	0	0	0	0	0.0106763218690277	0	0	0.0361289266484835	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018108734657601	0	0.0128485970097992	0	-0.110270309798606	0.00774209673346182	0.0109873288821519	-0.00287447920688382
"ybaE"	0	0.0102306047584281	0	0	0	0	0	0	0	0	-0.0557940315087601	0	-0.0260962943135452	-0.00427812929261976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0129707943908457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20301864532857	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0.128376929648468	0	0	-0.0119027616978823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182444649364249	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220532972411966	-0.108626807979415	0	0
