"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"hokB"	0.0719117779796424	-0.036154713661127	-0.0372079707298665	-0.000912806424582854	-0.0314926241900456	0.0786530702101842	-0.0353054600674917	0	0.0693665345226729	-0.000788253288640592	0	-0.0563810047573759	-0.0355681078124311	1	0.0835063937804817	0.104615191197218	0	0.0808103352485715	0.106518677892884	-0.00074192516219569	0	0.0675413826750683	-0.106141748240704	-0.0329861667304204	0	-0.0822739710653473	-0.0206784054412854	0.186896326622238	-0.159029858540566	-0.000756341779060503	0	-0.0285091599211677	-0.000688988013718373	0.0717538671018137	-0.00081892845072988	0	-0.0355936959635517	-0.0255740823342774	-0.0349978260340087	0.105940269828612	-0.00348332570100438	-0.000777997431435653	0.102859323648049	-0.0350310915221544	-0.0349737233358616	-0.0357119586335609	-0.0279543624390479	-0.0331193364650396	-0.160254168639015	-0.0200513994300512	-0.0170471493044699	-0.0348015615437125	-0.036542802138808	-0.0191055513449828	0	0.0741975329650725	0.190893900447266	-0.0262363477955787	0.105265882641447	-0.0361125878064804	0.0769635393765155	0.0774394310636825	0.0753741396077455	0.0648958509508476	0.0725930903011775	0.104423782476475	0.0644519484078397	-0.000745598417190613	-0.000741686452205126	-0.103238565885846	-0.0372319733379792	0	-0.0357509064404385	-0.0194733911857148	-0.0483511847881399	-0.0634213052703566	-0.0350880445920784	0.0745385684784628
"hokD"	0.130295659932179	-0.0194791554043059	-0.04124241951966	0	-0.00341313203532294	0.101125020341725	-0.0362797692625448	0.033071811310065	0.130481530519084	0	-0.0915585553827318	-0.0734450656304518	-0.135376373149654	0.0835063937804817	1	0.00784935494891683	0	0.108614760506692	0.00922815628772839	0	0	0.0192537384263865	0	-0.0644163624890303	0.154177725045015	0	-0.00262986174011469	0.124085234505073	-0.183092924193165	0	0	-0.00291928468992377	0	0.130317002603784	0	0	-0.0368468231730076	-0.00282710316688072	-0.132330272126906	0.00978061443292622	0.00290189070131084	0	0.0063553312638396	-0.132395680123814	-0.0355052673759019	-0.134259976392357	-0.0029124744294581	-0.0643989102584582	-0.0666563079723929	-0.00266896920875646	-0.00257499321787311	-0.13573717211537	-0.0388176269459939	-0.00268738906685566	0	0.129411644279953	0.125318626792251	-0.00286241309944047	0.00893410114078206	-0.0213347499290522	0.127913137053912	0.0975475558365983	0.128843135527503	0.131155417013113	0.130311982278138	0.0073019754295325	0.131115731711022	0	0	-0.0282558281959286	-0.0411823788694011	0.163160390994632	-0.0371606114354048	-0.00271209762199567	-0.0243415718390573	0.0180882881357446	-0.0356409870897442	0.078062905349818
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	-0.00186948602617123	0	0.104615191197218	0.00784935494891683	1	0	0	0	0	0	0	0	0	0	0	0	0.0231055736893306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818587962612089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.128447163739745	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0.0176895259833719	0	0	0	0	0.0324735222128806	0	0	0.0151275259378481	0	0	-0.0122186032626561	-0.016201989606476	0.0808103352485715	0.108614760506692	0	0	1	0	0	0	0	0	0	0	0	0	0.037189210296595	0	0	0	0	0	0.0175685433489653	0	0	0	0	-0.0196585729481988	0	0	0	0	-0.0196230458924013	0	-0.0181570093129016	0	0	0	0	0	-0.0141480152329953	0	0	0	0.0200408167367632	0.0301169165189131	0	0	-0.000985525041714801	0.0226567487902482	0.0333713814865835	0.0211229248651277	0.0102218177117947	0.0183622113327648	0	0.00981154423517381	0	0	0	0	0.00266493374088695	0	0	-0.0329466077634923	0.0117877978292252	0	0.0431876764084501
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	-0.00508348998835905	0	0.106518677892884	0.00922815628772839	0	0	0	1	0	0	0	-0.0017877345098802	0	0	0	0	0.0359817368971437	0	0	0	0	0	0	0	0	0	0	0	0	-0.0017474381727255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0239340273247908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00108791657881395	-0.139597955406248	0	0
"iap"	0	0	0	0.000516845893910611	0	0	0	0	0	0.0048694347832193	0	0	0	-0.00074192516219569	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00702816297732824	0	0	0.0096978902234203	0	0.00447861725508877	0	0	0	0	0	0.0155261058757645	0.00623093893776028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077411746235116	0.00783359354991409	0	0	0	0	0	0	0.215861616434	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0520721504466652	0	0
"infB"	0	0	-0.00149562580115414	0	0	0	0	0	0	0	0	-0.186976899389861	0	0.0675413826750683	0.0192537384263865	0	0	0	0	0	0	1	0	-0.0365800951422023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0365902272559875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00139106367936681	0	0	0	0.156831676759924	-0.075150473607426	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106141748240704	0	0	0	0	-0.0017877345098802	0	0	0	1	0	0	0	0	-0.0384100609014131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0224897392767107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147243569956547	0.184700009453493	0	0
"lrp"	0	-0.0053640024998806	0.0332671031388113	0	-0.00069119493745742	-0.000329957088580044	0.0297404598873247	0	0	0	0	0.106279568325994	0	-0.0329861667304204	-0.0644163624890303	0	0	0	0	0	0	-0.0365800951422023	0	1	0	0.00506683845490782	0	0	0	0	0	0	0	0	0	0	0.0301729786236607	0	0	0	0	0	0	0	0.0291229525943487	0	0	0.0425454590609727	0	0	0	0	0.0315355447804357	0	0.00386982339096037	0	0	0	0	-0.00621420319420355	0	-0.00201605678294006	0	0	0	0	0	0	0	0	0.0332521650286273	0	0.0303975872641923	0	-0.102517425607809	0	0.0292982836132001	-0.016075239631452
"malT"	0	0	0	0	0	0	0	0	0	0	0	-0.000527008303272272	0	0	0.154177725045015	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00354528732032044	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164563373311437	0	0.0320680843815465
"metH"	0	0	0	0	0	0	0	0	0	0	0	0.138244104803563	0	-0.0822739710653473	0	0	0	0	0	0	0	0	0	0.00506683845490782	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00511441286770092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0641843677782179	0.146472288279097	0	0
"mntH"	0	0.009420493706825	0	0	0	0	0	0	0	0	0	-0.0496591050847505	0	-0.0206784054412854	-0.00262986174011469	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121361786669081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194166552536333	0	0	0
"mokC"	0.00997306770419316	-0.0135383407121165	0	0	-0.00299344145679885	0.040174648563283	0	0	0.00555100037045045	0	0	-0.0234450411437638	0	0.186896326622238	0.124085234505073	0.0231055736893306	0	0.037189210296595	0.0359817368971437	0	0	0	-0.0384100609014131	0	0	0	0	1	-0.0100693351383899	0	0	0	0	0.00975786151770656	0	0	0	0	0	0.0302551867830564	0	0	0.0121607374352408	0	0	0	0	0	-0.00165929811086159	0	0	0	0	0	0	0.0142979960352078	0.092446499246893	0	0.0257338175312267	-0.015144293758514	0.0193976091337019	0.0413672008365892	0.0163639093883581	0	0.0111087001366313	0.0216229195095562	0	0	0	0	0	0	0	0	-0.0768443331380141	-0.0686638452323694	0	0.0532530953417434
"mreB"	0	0	0	0	0	-0.00755296289358993	0	0	0	0	0	0.0804565477491662	0	-0.159029858540566	-0.183092924193165	0	0	0	0	0	0	0	0	0	0	0	0	-0.0100693351383899	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0115937566119732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0445019986019911
"mreC"	0	0	0	0.000334444984314931	0	0	0	0	0	0.00469954454874391	0	0	0	-0.000756341779060503	0	0	0	0	0	0.00702816297732824	0	0	0	0	0	0	0	0	0	1	0	0	0.00952546057340128	0	0.00429739323416819	0	0	0	0	0	0.0153838386614492	0.00606554595546335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00758628640824521	0.00768162223459602	0	0	0	0	0	0	0.216015042695221	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0.00309557698946922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00108564255262158	0.112620097322384	0	0
"nudC"	0	0.0155588786225073	0	0	0.00210562365132314	0	0	0	0	0	0	-0.0540917215099005	0	-0.0285091599211677	-0.00291928468992377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017970088486635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194740268257024	0	0	0
"oppD"	0	0	0	0.00331375602334568	0	0	0	0	0	0.00747542001959998	0	0	0	-0.000688988013718373	0	0	0	0	0	0.0096978902234203	0	0	0	0	0	0	0	0	0	0.00952546057340128	0	0	1	0	0.00706636249576825	0	0	0	0	0	0.0176089277420009	0.00876422008727901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102225009232509	0.0103236019777057	0	0	0	0	0	0	0.213896204642059	0	0
"phoH"	0	0	0	0	0	0.0221819934234501	0	0	0	0	0	0	0	0.0717538671018137	0.130317002603784	0	0	0.0175685433489653	0	0	0	0	0	0	0	0	0	0.00975786151770656	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241597805321328	0	0	0	0	0	0	0	0	0	0	0	0	-0.0207751748364479	0.0283826322564089	0	0.0416400388730129
"prlA"	0	0	0	0	0	0	0	0	0	0.00204322788132613	0	0	0	-0.00081892845072988	0	0	0	0	0	0.00447861725508877	0	0	0	0	0	0	0	0	0	0.00429739323416819	0	0	0.00706636249576825	0	1	0	0	0	0	0	0.0131750033803865	0.0034481760262607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00504254802463303	0.00514138308137187	0	0	0	0	0	0	0.217444215035032	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0.00662678842025164	0	0	0	0	0	0	0	0	0.12740571124823	0	-0.0355936959635517	-0.0368468231730076	0	0	0	0	0	0	0	0	0.0301729786236607	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0301714298810563	0	0	0	0	0.00208567989741812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00656385217849958	0	0	0	-0.110619192923069	0.0055371205381349	0	0
"rbsB"	0	0.014069212475979	0	0	0.000167152982674395	0	0	0	0	0	0	-0.0536593035515056	0	-0.0255740823342774	-0.00282710316688072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016556131381015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195047920253636	0	0	0
"rbsD"	0	0	0	0	0	-0.0238269481012825	0	0	0	0	0	0.01986120745309	0.0127100611892572	-0.0349978260340087	-0.132330272126906	0	0	-0.0196585729481988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0180647122141155	0	0.0155780876399204	0	0	0	0	0	0.00984008428246483	0	0	0	-0.00186296771976935	0	0	0	0	-0.00575486470000764	-0.0256918383792803	-0.00349949777293767	0	0	0	0	0	0	0	0	0	0	0	0	-0.10434428184128	0	-0.0425237534233858
"rbsR"	0	0	0	0	0	0	0	0	0	0	0	-0.00262672886430399	0	0.105940269828612	0.00978061443292622	0	0	0	0	0	0	0	0	0	0	0	0	0.0302551867830564	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169062949777072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.133006036583283	0	0
"recO"	0	0	0	0.00982564590317905	0	0	0	0	0	0.0135397248031008	0	0	0	-0.00348332570100438	0.00290189070131084	0	0	0	-0.0017474381727255	0.0155261058757645	0	0	0	0	0	0	0	0	0	0.0153838386614492	0	0	0.0176089277420009	0	0.0131750033803865	0	0	0	0	0	1	0.0146838525548456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159742436239543	0.0160529995624663	0	0	0	0	0	0	0.207725192964704	0	0
"rfbB"	0	0	0	0	0	0	0	0	0	0.00385807393052971	0	0	0	-0.000777997431435653	0	0	0	0	0	0.00623093893776028	0	0	0	0	0	0	0	0	0	0.00606554595546335	0	0	0.00876422008727901	0	0.0034481760262607	0	0	0	0	0	0.0146838525548456	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00676776633864869	0.00682992608961644	0	0	0	0	0	0	0.216543217375637	0	0
"rne"	0	0	0	0	0	0	0	0	0	0	0	-0.000499013675602192	0	0.102859323648049	0.0063553312638396	0	0	0	0	0	0	0	0	0	0	0	0	0.0121607374352408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118774032046305	0	0
"rplF"	0	0	0	0	0	-0.023811931378272	0	0	0	0	0	0.0197932050056386	0.0126369463640146	-0.0350310915221544	-0.132395680123814	0	0	-0.0196230458924013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180647122141155	0	0	0	0	1	0	0.0155174548623829	0	0	0	0	0	0.00977154812600158	0	0	0	-0.00179062004482073	0	0	0	0	-0.0056918686768145	-0.0256786204399807	-0.0034381917465076	0	0	0	0	0	0	0	0	0	0	0	0	-0.104268174743921	0	-0.0425317681877087
"rpsA"	0	0	0.00470848464667681	0	0	0	0	0	0	0	0	0.127931775049661	0	-0.0349737233358616	-0.0355052673759019	0	0	0	0	0	0	0	0	0.0291229525943487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0291214764781363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00464272756671642	0	0	0	-0.110109221485942	0.00598478187490246	0	0
"rpsC"	0	0	0	0	0	-0.0226542844420826	0	0	0	0	0	0.0179296665092269	0.00974222799435055	-0.0357119586335609	-0.134259976392357	0	0	-0.0181570093129016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155780876399204	0	0	0	0	0.0155174548623829	0	1	0	0	0	0	0	0.00671833632682867	0	0	0	0	0	0	0	0	-0.0029619575696613	-0.0246562780932198	-0.000511320698853462	0	0	0	0	0	0	0	0	0	0	0	0	-0.102141978975591	0	-0.042296226865073
"sapF"	0	0.0153057643338698	0	0	0.00177303254222908	0	0	0	0	0	0	-0.054048981634554	0	-0.0279543624390479	-0.0029124744294581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0177250042758874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194841777880967	0	0	0
"speG"	0	-0.00534108091860114	0.0332600866693345	0	-0.000671030268488988	-0.000350175059417745	0.0297325267064399	0	0	0	0	0.10630750289311	0	-0.0331193364650396	-0.0643989102584582	0	0	0	0	0	0	-0.0365902272559875	0	0.0425454590609727	0	0.00511441286770092	0	0	0	0	0	0	0	0	0	0	0.0301714298810563	0	0	0	0	0	0	0	0.0291214764781363	0	0	1	0	0	0	0	0.0315264510713844	0	0.00378562519253241	0	0	0	0	-0.00619343725254816	0	-0.00201235602386599	0	0	0	0	0	0	0	0	0.0332405458504016	0	0.0303876513185504	0	-0.102486969623761	0	0.0292931312446058	-0.0160705382631521
"spoT"	0	0	0	0	0	0	0	0	0	0	0	0.0564256329330891	0	-0.160254168639015	-0.0666563079723929	0	0	0	0	0	0	0	0	0	0	0	0	-0.00165929811086159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110136234945009	0	0
"thiI"	0	0.00799533905272835	0	0	0	0	0	0	0	0	0	-0.0479006634504241	0	-0.0200513994300512	-0.00266896920875646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0107750827132984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193729767882044	0	0	0
