Cov	Iteration	euc_z_score	euc_percent	eig_percent	mcd_percent_k1	mcd_percent_k3
0.05	131	0.416911661138	0.678	0.947	0.684	0.737
0.05	132	-1.24669666378	0.097	0.995	0.83	0.128
0.05	133	1.19675917375	0.889	0.309	0.648	0.871
0.05	134	-0.200058469009	0.421	0.296	0.436	0.515
0.05	135	1.48410948152	0.932	0.783	0.595	0.887
0.05	136	0.444935928498	0.668	0.46	0.496	0.644
0.05	137	0.825928042582	0.798	0.926	0.992	0.736
0.05	138	-0.891547930565	0.19	0.079	0.196	0.266
0.05	139	0.430183969499	0.67	0.49	0.204	0.515
0.05	140	0.290766786443	0.608	0.975	0.35	0.428
0.05	141	0.96378997561	0.838	0.995	0.83	0.812
0.05	142	0.603653091754	0.721	0.678	0.718	0.643
0.05	143	0.758998338256	0.786	0.573	0.584	0.796
0.05	144	0.120439670157	0.535	0.044	0.054	0.523
0.05	145	-1.0266775016	0.15	0.686	0.56	0.236
0.05	146	-0.966988404559	0.164	0.386	0.393	0.177
0.05	147	-0.233893217487	0.412	0.623	0.274	0.31
0.05	148	-0.767177032126	0.22	0.134	0.709	0.456
0.05	149	1.65428439958	0.953	0.941	0.891	0.825
0.05	150	1.50241196935	0.935	0.977	0.63	0.893
0.05	151	-0.173748159343	0.439	0.892	0.51	0.251
0.05	152	-0.976352731308	0.161	0.479	0.493	0.088
0.05	153	0.974717264781	0.834	0.571	0.992	0.814
0.05	154	0.744107849331	0.784	0.674	0.346	0.643
0.05	155	-0.794385321808	0.208	0.305	0.134	0.178
0.05	156	1.35599234713	0.91	0.618	0.318	0.908
0.05	157	-1.20366562222	0.115	0.505	0.116	0.084
0.05	158	-0.406502418241	0.335	0.527	0.566	0.361
0.05	159	1.06606686953	0.858	0.924	0.774	0.89
0.05	160	0.540043318625	0.705	0.095	0.276	0.705
0.05	161	-0.429676799343	0.328	0.594	0.779	0.549
0.05	162	1.17475561173	0.882	0.692	0.715	0.859
0.05	163	-0.643426414731	0.255	0.136	0.024	0.315
0.05	164	1.09451695569	0.859	0.95	0.915	0.918
0.05	165	0.051668205965	0.509	0.364	0.643	0.575
0.05	166	0.0551603765245	0.534	0.202	0.656	0.539
0.05	167	1.54020665688	0.935	0.64	0.506	0.919
0.05	168	1.3263566721	0.893	0.68	0.812	0.863
0.05	169	1.57068178236	0.935	0.761	0.91	0.905
0.05	170	0.276317071293	0.599	0.13	0.68	0.741
0.05	171	0.598737161749	0.733	0.114	0.177	0.72
0.05	172	0.299671301909	0.622	0.359	0.83	0.6
0.05	173	-1.23526267241	0.104	0.038	0.111	0.138
0.05	174	-1.45001070183	0.068	0.338	0.3	0.057
0.05	175	0.163697201006	0.557	0.267	0.216	0.378
0.05	176	-0.516672035024	0.302	0.207	0.016	0.342
0.05	177	-1.15529297009	0.123	0.75	0.592	0.196
0.05	178	-0.00721491481232	0.509	0.514	0.324	0.31
0.05	179	-1.28893446808	0.102	0.692	0.821	0.19
0.05	180	-0.200888908069	0.42	0.177	0.372	0.396
0.05	181	-0.820558335394	0.21	0.035	0.175	0.437
0.05	182	0.744322180871	0.79	0.146	0.343	0.783
0.05	183	-0.165870980468	0.43	0.339	0.222	0.38
0.05	184	1.60565947442	0.94	0.385	0.447	0.941
0.05	185	0.276275653943	0.619	0.468	0.831	0.702
0.05	186	0.878143195802	0.805	0.899	0.32	0.557
0.05	187	-0.161639399853	0.431	0.36	0.317	0.312
0.05	188	1.37861836126	0.913	0.648	0.886	0.859
0.05	189	-1.42558992726	0.063	0.631	0.109	0.109
0.05	190	0.999279161736	0.847	0.77	0.847	0.848
0.05	191	0.482661660977	0.687	0.631	0.53	0.575
0.05	192	0.313523913761	0.633	0.654	0.733	0.611
0.05	193	-1.0098054015	0.158	0.608	0.379	0.076
0.05	194	1.23890894358	0.891	0.667	0.559	0.885
0.05	195	-1.17146708872	0.116	0.023	0.046	0.062
0.05	196	0.00818163262314	0.499	0.895	0.649	0.315
0.05	197	-1.69853727085	0.045	0.512	0.091	0.058
0.05	198	0.488618454587	0.687	0.855	0.773	0.641
0.05	199	-0.706528009509	0.238	0.017	0.378	0.176
0.05	200	0.193078686248	0.585	0.35	0.692	0.336
0.05	201	0.951531078643	0.828	0.201	0.403	0.862
0.05	202	0.905893989249	0.821	0.279	0.46	0.714
0.05	203	-0.941128254617	0.166	0.057	0.025	0.154
0.05	204	-1.2546491293	0.098	0.18	0.395	0.151
0.05	205	0.598687793978	0.734	0.903	0.874	0.649
0.05	206	-0.724503706358	0.228	0.641	0.286	0.199
0.05	207	-1.38262790399	0.073	0.147	0.025	0.143
0.05	208	-1.64747366469	0.043	0.598	0.017	0.046
0.05	209	-2.0270470311	0.017	0.622	0.141	0.026
0.05	210	-0.0165748155808	0.497	0.779	0.172	0.342
0.05	211	-0.278357782634	0.39	0.023	0.186	0.461
0.05	212	0.0970605722104	0.544	0.869	0.788	0.456
0.05	213	-0.836731709057	0.194	0.388	0.059	0.213
0.05	214	1.06854348435	0.86	0.282	0.587	0.898
0.05	215	-0.0990996057827	0.463	0.175	0.239	0.724
0.05	216	1.0845520261	0.85	0.979	0.958	0.804
0.05	217	0.648799366782	0.752	0.551	0.969	0.663
0.05	218	-0.488706782957	0.311	0.345	0.647	0.349
0.05	219	-0.541706719981	0.305	0.302	0.918	0.392
0.05	220	-0.435113872845	0.326	0.342	0.192	0.387
0.05	221	-0.14756886617	0.446	0.633	0.253	0.377
0.05	222	1.31411365493	0.904	0.026	0.833	0.899
0.05	223	0.840460357844	0.817	0.792	0.528	0.771
0.05	224	-0.286998247541	0.403	0.276	0.01	0.197
0.05	225	2.90759342921	0.999	0.828	0.98	0.999
0.05	226	0.531318574723	0.699	0.533	0.825	0.813
0.05	227	-0.102122801014	0.446	0.409	0.508	0.391
0.05	228	0.179254592772	0.575	0.737	0.395	0.478
0.05	229	1.15736400311	0.871	0.974	0.568	0.845
0.05	230	-0.410363251821	0.344	0.624	0.231	0.188
0.05	231	-0.614377140051	0.258	0.934	0.718	0.284
0.05	232	0.307845756033	0.632	0.124	0.23	0.372
0.05	233	-0.995492899635	0.153	0.169	0.217	0.163
0.05	234	1.0838384214	0.865	0.327	0.901	0.973
0.05	235	-0.449181908306	0.318	0.448	0.627	0.346
0.05	236	0.154680683122	0.574	0.215	0.667	0.565
0.05	237	2.49256030426	0.994	0.839	0.858	0.998
0.05	238	0.769988128031	0.781	0.112	0.439	0.776
0.05	239	-2.08074870868	0.017	0.088	0.024	0.016
0.05	240	-1.21837165246	0.121	0.521	0.63	0.087
0.05	241	-0.228659337914	0.418	0.289	0.143	0.24
0.05	242	-0.199325250226	0.415	0.12	0.199	0.59
0.05	243	-0.212513232391	0.425	0.288	0.594	0.5
0.05	244	0.00528480406723	0.504	0.22	0.261	0.557
0.05	245	0.494267408914	0.682	0.078	0.549	0.587
0.05	246	0.381131801957	0.653	0.375	0.534	0.596
0.05	247	0.767064302731	0.77	0.532	0.425	0.728
0.05	248	0.273773016496	0.62	0.668	0.437	0.481
0.05	249	-0.682408895583	0.251	0.109	0.144	0.196
0.05	250	-0.921188491451	0.159	0.469	0.065	0.165
0.05	251	2.01243389243	0.981	0.937	0.996	0.983
0.05	252	-0.47482902965	0.327	0.091	0.025	0.38
0.05	253	-1.07065531578	0.136	0.848	0.694	0.091
0.05	254	0.310332940947	0.623	0.156	0.154	0.549
0.05	255	-0.017368095587	0.506	0.15	0.516	0.619
0.05	256	1.55789424184	0.94	0.724	0.607	0.956
0.05	257	1.66204872245	0.962	0.819	0.822	0.976
0.05	258	1.10271457683	0.861	0.595	0.539	0.867
0.05	259	-0.811966969996	0.2	0.128	0.651	0.228
0.05	260	0.467542168133	0.7	0.943	0.375	0.646
0.05	261	0.459822867207	0.681	0.392	0.59	0.638
0.05	262	-1.44431443366	0.079	0.295	0.375	0.109
0.05	263	1.07277296432	0.858	0.819	0.417	0.811
0.05	264	0.522431018903	0.713	0.148	0.41	0.55
0.05	265	-0.755964747325	0.223	0.133	0.136	0.35
0.05	266	-1.19808563283	0.121	0.19	0.22	0.099
0.05	267	-0.974302845192	0.156	0.615	0.645	0.08
0.05	268	-0.0938959249432	0.465	0.617	0.564	0.408
0.05	269	-1.98199818116	0.023	0.001	0.055	0.155
0.05	270	-0.333541651794	0.384	0.759	0.878	0.341
0.05	271	-0.553482171258	0.301	0.662	0.553	0.191
0.05	272	0.591391897705	0.717	0.58	0.779	0.638
0.05	273	0.81771012791	0.799	0.593	0.31	0.805
0.05	274	0.854168083836	0.801	0.026	0.608	0.84
0.05	275	2.14748709507	0.98	0.839	0.709	0.955
0.05	276	-0.693726345668	0.241	0.327	0.465	0.293
0.05	277	0.771658958809	0.786	0.519	0.609	0.758
0.05	278	0.332701236821	0.637	0.446	0.638	0.61
0.05	279	1.65172896616	0.948	0.791	0.731	0.966
0.05	280	0.456611639225	0.667	0.049	0.093	0.647
0.05	281	0.914891965389	0.814	0.866	0.108	0.771
0.05	282	-1.24512394289	0.112	0.003	0.268	0.21
0.05	283	1.03070518142	0.853	0.708	0.765	0.822
0.05	284	1.12870807878	0.874	0.737	0.904	0.841
0.05	285	-0.221535518402	0.42	0.672	0.643	0.317
0.05	286	0.0620854056503	0.522	0.354	0.285	0.423
0.05	287	-0.0768977929593	0.455	0.014	0.131	0.483
0.05	288	0.657800423525	0.749	0.301	0.808	0.822
0.05	289	-0.203212166707	0.412	0.039	0.135	0.26
0.05	290	1.02193830064	0.838	0.551	0.651	0.812
0.05	291	-0.0662144113679	0.472	0.43	0.472	0.478
0.05	292	1.54267484174	0.933	0.696	0.999	0.927
0.05	293	0.214922946607	0.611	0.291	0.234	0.543
0.05	294	0.829850558966	0.789	0.509	0.182	0.734
0.05	295	0.421455664329	0.669	0.251	0.274	0.522
0.05	296	-0.0728755864371	0.477	0.771	0.131	0.564
0.05	297	-1.44703462644	0.073	0.299	0.559	0.174
0.05	298	-0.415417534463	0.35	0.772	0.354	0.422
0.05	299	0.686954280122	0.746	0.97	0.463	0.73
0.05	300	0.553810329139	0.715	0.211	0.135	0.608
0.05	301	2.10509136335	0.98	0.565	0.486	0.969
0.05	302	0.290234208017	0.624	0.416	0.857	0.636
0.05	303	-0.18268552866	0.419	0.083	0.263	0.434
0.05	304	-0.777823329145	0.238	0.569	0.065	0.17
0.05	305	0.710158162987	0.758	0.91	0.85	0.823
0.05	306	0.818167259727	0.804	0.955	0.602	0.848
0.05	307	-0.699294193399	0.241	0.325	0.518	0.285
0.05	308	0.314510667104	0.621	0.981	0.677	0.412
0.05	309	-1.98893779306	0.021	0.539	0.369	0.022
0.05	310	0.574574270531	0.714	0.333	0.416	0.681
0.05	311	0.337459070988	0.639	0.943	0.822	0.712
0.05	312	-0.796076297515	0.216	0.393	0.323	0.151
0.05	313	3.51026508107	1.0	0.879	0.981	1.0
0.05	314	0.628375869914	0.731	0.79	0.248	0.768
0.05	315	-1.24330393671	0.108	0.709	0.293	0.06
0.05	316	1.02545843235	0.843	0.806	0.961	0.852
0.05	317	1.62506030689	0.945	0.912	0.97	0.925
0.05	318	-0.532674609595	0.309	0.06	0.644	0.281
0.05	319	1.86622901907	0.964	0.35	0.584	0.953
0.05	320	0.489748212645	0.687	0.991	0.98	0.75
0.05	321	-0.418415892129	0.33	0.48	0.666	0.482
0.05	322	-0.821620722645	0.2	0.883	0.303	0.224
0.05	323	0.0470435964293	0.524	0.083	0.264	0.586
0.05	324	-0.888457467177	0.189	0.682	0.306	0.21
0.05	325	-1.57636034283	0.061	0.687	0.534	0.075
0.05	326	0.505494689119	0.707	0.937	0.095	0.605
0.05	327	1.64721256292	0.936	0.563	0.625	0.944
0.05	328	-0.346443355266	0.359	0.028	0.066	0.573
0.05	329	1.0152045365	0.837	0.986	0.738	0.484
0.05	330	0.811561794041	0.803	0.539	0.958	0.713
0.05	331	0.4275887669	0.663	0.643	0.249	0.76
0.05	332	0.667259409363	0.758	0.783	0.581	0.511
0.05	333	1.20860878188	0.892	0.579	0.9	0.733
0.05	334	0.283778229295	0.606	0.75	0.932	0.57
0.05	335	1.05257669542	0.86	0.062	0.339	0.879
0.05	336	-0.382005753937	0.362	0.897	0.642	0.496
0.05	337	-2.67602947296	0.002	0.008	0.068	0.01
0.05	338	-0.525490287498	0.303	0.115	0.158	0.294
0.05	339	-1.31447038938	0.091	0.39	0.465	0.141
0.05	340	0.523755615134	0.699	0.518	0.052	0.787
0.05	341	0.20001663453	0.58	0.93	0.736	0.54
0.05	342	-1.26764805482	0.1	0.28	0.02	0.12
0.05	343	-1.19827644013	0.116	0.601	0.082	0.051
0.05	344	0.193993161482	0.597	0.53	0.617	0.502
0.05	345	-0.831572594468	0.209	0.498	0.151	0.329
0.05	346	-0.862827223581	0.195	0.519	0.166	0.274
0.05	347	-0.798719272752	0.211	0.369	0.13	0.043
0.05	348	-1.00569300472	0.166	0.029	0.224	0.294
0.05	349	0.784352756821	0.771	0.645	0.617	0.713
0.05	350	-0.0355864177956	0.499	0.183	0.514	0.653
0.05	351	-1.07806290341	0.135	0.255	0.219	0.109
0.05	352	-0.131526760937	0.434	0.964	0.788	0.295
0.05	353	-0.412799966207	0.362	0.039	0.573	0.605
0.05	354	0.341150562094	0.624	0.364	0.211	0.682
0.05	355	-0.790270916302	0.207	0.876	0.192	0.109
0.05	356	1.0133069117	0.846	0.973	0.983	0.794
0.05	357	-0.994520987783	0.16	0.921	0.889	0.175
0.05	358	-1.30060418937	0.086	0.289	0.24	0.115
0.05	359	0.809654057257	0.778	0.692	0.954	0.84
0.05	360	1.98909943148	0.98	0.712	0.81	0.97
0.05	361	-0.169966253392	0.437	0.699	0.396	0.367
0.05	362	-0.787926583326	0.225	0.069	0.123	0.074
0.05	363	-1.95755774314	0.015	0.02	0.052	0.008
0.05	364	-0.915681998986	0.188	0.169	0.096	0.205
0.05	365	-1.09605112748	0.14	0.155	0.113	0.164
0.05	366	0.249212545581	0.601	0.414	0.617	0.51
0.05	367	-0.301716697752	0.398	0.331	0.67	0.243
0.05	368	0.320324633077	0.615	0.803	0.035	0.285
0.05	369	0.348738222169	0.637	0.999	0.984	0.529
0.05	370	0.405148284432	0.645	0.914	0.972	0.865
0.05	371	-0.376699531781	0.364	0.615	0.013	0.222
0.05	372	0.381457957415	0.652	0.711	0.388	0.607
0.05	373	1.03930672812	0.837	0.872	0.966	0.879
0.05	374	-0.620548731073	0.258	0.163	0.261	0.4
0.05	375	0.0777707894369	0.544	0.492	0.455	0.601
0.05	376	0.0312805601701	0.508	0.553	0.359	0.581
0.05	377	-1.00892837214	0.148	0.451	0.397	0.045
0.05	378	-0.156738198752	0.446	0.281	0.316	0.386
0.05	379	1.4225892496	0.917	0.431	0.692	0.843
0.05	380	1.8803172338	0.966	0.827	0.514	0.972
0.05	381	-0.199068829766	0.425	0.304	0.423	0.342
0.05	382	0.0589718185523	0.536	0.6	0.524	0.266
0.05	383	-1.74155963809	0.045	0.586	0.477	0.097
0.05	384	-0.363948041019	0.357	0.318	0.496	0.365
0.05	385	0.498236253504	0.681	0.183	0.09	0.673
0.05	386	-0.842178083883	0.206	0.661	0.459	0.103
0.05	387	-1.17959895827	0.123	0.093	0.667	0.343
0.05	388	-0.709389280939	0.241	0.774	0.238	0.111
0.05	389	2.18614255278	0.988	0.754	0.958	0.944
0.05	390	1.7732335073	0.957	0.923	0.321	0.951
0.05	391	-1.21747882858	0.108	0.201	0.067	0.134
0.05	392	-0.617645830146	0.278	0.181	0.064	0.26
0.05	393	1.2612755346	0.889	0.429	0.499	0.913
0.05	394	1.20519581671	0.885	0.714	0.898	0.807
0.05	395	0.254427807746	0.595	0.322	0.634	0.72
0.05	396	0.624064565251	0.745	0.395	0.616	0.733
0.05	397	0.580287249862	0.737	0.803	0.179	0.799
0.05	398	-1.02256624769	0.158	0.743	0.409	0.196
0.05	399	0.503646567308	0.695	0.105	0.294	0.702
0.05	400	0.0628515550034	0.536	0.564	0.802	0.49
0.05	401	-0.756639762	0.23	0.05	0.263	0.37
0.05	402	-1.90638546674	0.022	0.403	0.016	0.023
0.05	403	0.576293572518	0.727	0.441	0.784	0.582
0.05	404	0.163884645449	0.569	0.199	0.13	0.427
0.05	405	-1.28124075839	0.095	0.118	0.42	0.173
0.05	406	-0.485865134771	0.308	0.734	0.278	0.22
0.05	407	-0.501906839266	0.316	0.197	0.16	0.257
0.05	408	0.373591476432	0.66	0.446	0.163	0.638
0.05	409	-0.220644472811	0.401	0.702	0.64	0.444
0.05	410	-0.0204577934078	0.488	0.247	0.302	0.722
0.05	411	0.529346419774	0.688	0.843	0.947	0.807
0.05	412	0.258704953712	0.606	0.869	0.9	0.932
0.05	413	2.42445375766	0.985	0.775	0.903	0.979
0.05	414	-0.916976576592	0.183	0.574	0.546	0.357
0.05	415	0.384564738005	0.654	0.871	0.816	0.659
0.05	416	-0.629940101643	0.264	0.548	0.226	0.296
0.05	417	1.52753327935	0.931	0.942	0.984	0.866
0.05	418	0.630873517066	0.746	0.817	0.915	0.584
0.05	419	1.36002468941	0.907	0.416	0.633	0.862
0.05	420	0.166679296516	0.573	0.655	0.388	0.591
0.05	421	0.314480066506	0.623	0.666	0.646	0.63
0.05	422	-1.66395353797	0.044	0.03	0.036	0.044
0.05	423	0.220330673045	0.593	0.894	0.868	0.518
0.05	424	-1.14159234576	0.121	0.189	0.032	0.052
0.05	425	0.292012792128	0.618	0.124	0.637	0.722
0.05	426	0.0560437536707	0.526	0.492	0.157	0.559
0.05	427	1.60629189487	0.944	0.991	0.963	0.957
0.05	428	-1.00181922057	0.165	0.288	0.076	0.17
0.05	429	0.716281477759	0.758	0.721	0.73	0.894
0.05	430	1.02458623688	0.851	0.607	0.753	0.864
0.05	431	0.570612112357	0.717	0.245	0.388	0.76
0.05	432	0.11539522874	0.555	0.701	0.899	0.673
0.05	433	-1.36433263099	0.087	0.654	0.546	0.122
0.05	434	-1.71686456495	0.034	0.005	0.174	0.185
0.05	435	0.0359191164956	0.522	0.202	0.195	0.387
0.05	436	1.36334482772	0.918	0.392	0.567	0.72
0.05	437	-1.14110843044	0.13	0.464	0.353	0.19
0.05	438	-0.285340080116	0.394	0.946	0.899	0.375
0.05	439	-0.589338210525	0.293	0.565	0.436	0.236
0.05	440	1.53597179954	0.938	0.846	0.99	0.928
0.05	441	0.194052357827	0.579	0.179	0.499	0.501
0.05	442	-1.20854704706	0.122	0.152	0.108	0.144
0.05	443	-0.078168589122	0.473	0.934	0.632	0.421
0.05	444	-0.963646046863	0.174	0.278	0.116	0.071
0.05	445	1.15898875463	0.865	0.666	0.221	0.647
0.05	446	-1.40219212241	0.078	0.497	0.685	0.079
0.05	447	1.24286146362	0.884	0.461	0.684	0.856
0.05	448	-1.14050572233	0.135	0.18	0.184	0.126
0.05	449	-1.15237073405	0.124	0.889	0.504	0.05
0.05	450	0.570762435016	0.721	0.118	0.371	0.655
0.05	451	1.62407905777	0.948	0.945	0.892	0.867
0.05	452	-0.485885314482	0.323	0.008	0.103	0.423
0.05	453	-0.878089470922	0.187	0.298	0.296	0.203
0.05	454	-0.507890974644	0.304	0.28	0.498	0.206
0.05	455	0.873023455643	0.806	0.87	0.474	0.776
0.05	456	0.96352950284	0.839	0.51	0.854	0.923
0.05	457	0.91183686428	0.839	0.765	0.936	0.71
0.05	458	1.85940083478	0.968	0.901	0.57	0.97
0.05	459	0.761565158907	0.79	0.747	0.814	0.882
0.05	460	-0.380703046559	0.363	0.355	0.483	0.316
0.05	461	0.56166791612	0.725	0.562	0.734	0.846
0.05	462	-0.0599363619186	0.487	0.863	0.804	0.45
0.05	463	-0.0623039771519	0.472	0.028	0.15	0.478
0.05	464	3.34458809066	1.0	0.695	0.971	1.0
0.05	465	-0.6423841307	0.271	0.11	0.322	0.473
0.05	466	-0.331698557184	0.383	0.807	0.339	0.322
0.05	467	-0.242587320525	0.419	0.058	0.035	0.321
0.05	468	-0.143724529098	0.441	0.257	0.652	0.374
0.05	469	0.126524539219	0.539	0.866	0.451	0.351
0.05	470	-1.11635722985	0.138	0.356	0.482	0.177
