STRAIN ID	STRAIN SHORTHAND	ANCESTOR	GENOTYPE	PURPOSE IN THIS STUDY	NOTES
ySAK0125		L096b	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0126		L096b	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0127		L098	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0128		L098	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	Excluded
ySAK0129		L098	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0130		L098	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0131		L102	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0132		L102	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0133		L102	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0134		L102	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0135		L102a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0136		L102a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0137		L102a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0138		L102a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0139		S002	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0140		S002	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0141		S002	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0142		S002	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0143		S028	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0144		S028	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0145		S028	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0146		S028	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0147		S121	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0148		S121	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0149		S121	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0150		S121	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0151		S121	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0152		L041-8-2	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0153		L041-8-2	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0154		L041-8-2	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0155		L041-8-2	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0156		L041-8-2	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0008		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0009		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0157		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0158		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0159		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0160		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0161		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0162		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0163		DivAnc	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0164		L003	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0165		L003	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0166		L003	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0167		L003	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0168		L003	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0169		L013	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0170		L013	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0171		L013	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0172		L013	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0173		L013	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0010		L041	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0011		L041	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0174		L041	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0175		L041	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0176		L041	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0177		L041	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0178		L041	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0179		L048	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0180		L048	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0181		L048	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0182		L048	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0183		L048	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0012		L094	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0013		L094	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0184		L094	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0185		L094	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0186		L094	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0187		L094	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0188		L094	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0189		L013-8-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0190		L013-8-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0191		L013-8-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0192		L013-8-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0193		L013-8-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0194		L096a-4-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0195		L096a-4-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0196		L096a-4-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0197		L096a-4-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0198		L096b-6-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0199		L096b-6-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0200		L096b-6-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0201		L096b-6-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0202		L096b-6-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0203		L096b-6-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0204		L096b-6-1	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0205		L096a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0206		L096a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0207		L096a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0208		L096a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0209		L096b	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0210		L096b	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0211		L096b	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0212		L096b	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0213		L098	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0214		L098	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0215		L098	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0216		L098	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0217		L102	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0218		L102	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0219		L102	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0220		L102	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0221		L102a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0222		L102a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0223		L102a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0224		L102a	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0225		S002	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0226		S002	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0227		S002	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0228		S002	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0229		S028	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0230		S028	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0231		S028	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0232		S028	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0233		S121	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0234		S121	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0235		S121	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0236		S121	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0237		S121	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0238		L041-8-2	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0239		L041-8-2	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0240		L041-8-2	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0241		L041-8-2	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0242		L041-8-2	Same as DivAnc and ace2∆::KanMX	ace2∆ knock-out	Excluded
ySAK0023		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0024		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0243		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0244		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0245		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0246		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0247		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0248		DivAnc	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0025		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0026		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0249		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0250		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0251		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0252		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0253		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0254		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0255		L003	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0256		L013	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0257		L013	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0258		L013	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0259		L013	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0260		L013	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0027		L041	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0261		L041	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0262		L041	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0263		L041	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0264		L041	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0265		L041	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0266		L048	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0267		L048	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0268		L048	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0269		L048	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0028		L094	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0029		L094	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0270		L094	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0271		L094	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0272		L094	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0273		L094	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0274		L094	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0275		L013-8-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0276		L013-8-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0277		L013-8-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0278		L013-8-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0279		L013-8-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0280		L096a-4-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0281		L096a-4-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0282		L096a-4-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0283		L096b-6-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0284		L096b-6-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0285		L096b-6-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0286		L096b-6-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0287		L096b-6-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0289		L096b-6-1	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0290		L096a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0291		L096a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0292		L096a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0293		L096a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0294		L096a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0295		L096b	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0296		L096b	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0297		L096b	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0298		L098	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0299		L098	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0300		L098	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0301		L098	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0302		L102	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0303		L102	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0304		L102	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0305		L102	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	Excluded
ySAK0306		L102a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0307		L102a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0308		L102a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0309		L102a	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0310		S002	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0311		S002	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0312		S002	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0313		S002	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0314		S002	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0315		S028	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0316		S028	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0317		S028	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0318		S121	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0319		S121	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0320		S121	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0321		S121	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0322		L041-8-2	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0323		L041-8-2	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0324		L041-8-2	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0325		L041-8-2	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0326		L041-8-2	Same as DivAnc and whi2∆::KanMX	whi2∆ knock-out	
ySAK0036		DivAnc	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0327		DivAnc	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0328		DivAnc	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0329		DivAnc	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0330		DivAnc	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0331		DivAnc	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0332		L003	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0333		L003	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0334		L003	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0335		L003	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0336		L003	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0337		L003	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0338		L003	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0339		L013	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0340		L013	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0341		L013	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0342		L013	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
ySAK0037		L041	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	Excluded
ySAK0038		L041	Same as DivAnc and sfl1∆::KanMX	sfl1∆ knock-out	
