		0 Gen				250 Gen				500 Gen			
L054	11	7.41	6.13	6.77	0.64	9.77	9.04	9.40	0.36	8.62	9.75	9.18	0.57
L054	12	7.07	7.71	7.39	0.32	8.70	9.90	9.30	0.60	10.66	8.85	9.75	0.90
L064	1	4.03	6.34	5.19	1.15	6.05	1.51	3.78	2.27	8.44	8.67	8.55	0.11
L064	2	1.83	4.47	3.15	1.32	5.26	2.69	3.97	1.28	4.01	4.83	4.42	0.41
L064	3	3.96	7.16	5.56	1.60	8.41	7.14	7.77	0.63	7.62	6.72	7.17	0.45
L064	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L064	5	2.79	6.41	4.60	1.81	7.15	6.66	6.90	0.25	4.56	7.30	5.93	1.37
L064	6	3.82	6.08	4.95	1.13	6.37	2.97	4.67	1.70	10.52	10.11	10.32	0.20
L064	7	0.53	3.90	2.21	1.68	3.17	3.59	3.38	0.21	4.77	5.75	5.26	0.49
L064	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L064	9	4.20	7.20	5.70	1.50	3.07	3.41	3.24	0.17	6.94	8.84	7.89	0.95
L064	10	2.67	4.06	3.36	0.70	4.15	1.52	2.84	1.31	4.05	4.52	4.28	0.23
L064	11	6.04	7.38	6.71	0.67	6.90	5.90	6.40	0.50	6.29	8.09	7.19	0.90
L064	12	5.40	7.08	6.24	0.84	9.82	9.27	9.55	0.28	14.44	12.32	13.38	1.06
L098	1	4.26	5.85	5.05	0.79	6.35	4.53	5.44	0.91	5.35	3.59	4.47	0.88
L098	2	1.72	3.16	2.44	0.72	3.20	3.76	3.48	0.28	4.49	3.81	4.15	0.34
L098	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L098	4	6.41	6.49	6.45	0.04	6.14	4.62	5.38	0.76	5.38	5.08	5.23	0.15
L098	5	4.98	6.57	5.77	0.79	7.04	7.29	7.16	0.12	6.92	6.73	6.83	0.10
L098	6	5.75	6.39	6.07	0.32	7.80	4.24	6.02	1.78	5.71	5.28	5.49	0.22
L098	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L098	8	5.23	4.80	5.01	0.22	7.05	4.96	6.01	1.04	6.49	6.49	6.49	0.00
L098	9	5.22	6.27	5.75	0.52	7.64	9.32	8.48	0.84	9.70	8.21	8.95	0.75
L098	10	4.01	7.25	5.63	1.62	4.59	4.30	4.45	0.14	8.91	4.69	6.80	2.11
L098	11	5.11	5.57	5.34	0.23	6.76	5.76	6.26	0.50	6.02	4.99	5.51	0.51
L098	12	4.18	5.85	5.01	0.84	6.41	5.54	5.98	0.43	13.41	10.83	12.12	1.29
L102	1	4.61	6.52	5.57	0.95	6.77	5.21	5.99	0.78	10.08	7.46	8.77	1.31
L102a	2	3.96	6.17	5.07	1.11	7.10	8.77	7.93	0.83	10.30	8.30	9.30	1.00
L102a	3	3.49	7.38	5.43	1.94	6.67	5.52	6.10	0.57	6.25	6.60	6.43	0.17
L102	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L102a	5	6.05	6.21	6.13	0.08	6.48	6.71	6.59	0.11	10.78	8.85	9.82	0.96
L102a	6	6.48	6.21	6.34	0.14	7.35	7.43	7.39	0.04	7.38	6.71	7.04	0.34
L102	7	2.67	6.26	4.47	1.80	5.80	4.71	5.25	0.54	7.20	6.23	6.72	0.49
L102	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L102	9	4.48	6.80	5.64	1.16	6.23	4.49	5.36	0.87	6.24	10.33	8.28	2.05
L102	10	4.56	7.48	6.02	1.46	-0.03	9.67	4.82	4.85	7.77	7.25	7.51	0.26
L102	11	5.03	7.02	6.02	1.00	7.47	6.96	7.21	0.25	12.92	10.52	11.72	1.20
L102	12	4.21	6.77	5.49	1.28	9.23	9.14	9.19	0.04	5.17	3.68	4.43	0.74
L105	1	2.61	3.18	2.89	0.28	7.83	7.71	7.77	0.06	12.54	10.07	11.30	1.23
L105	2	2.61	2.64	2.63	0.02	6.18	7.06	6.62	0.44	11.90	9.80	10.85	1.05
L105	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L105	4	2.22	3.18	2.70	0.48	5.50	4.14	4.82	0.68	7.62	5.94	6.78	0.84
L105	5	1.82	2.91	2.36	0.55	0.12	6.03	3.08	2.95	8.70	8.74	8.72	0.02
L105	6	1.80	1.99	1.89	0.10	2.81	3.63	3.22	0.41	8.78	7.56	8.17	0.61
L105	7	1.81	2.11	1.96	0.15	5.14	5.73	5.44	0.30	4.98	6.33	5.65	0.68
L105	8	1.76	2.17	1.97	0.20	7.27	7.33	7.30	0.03	9.99	9.61	9.80	0.19
L105	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L105	10	1.73	2.56	2.15	0.42	4.51	4.33	4.42	0.09	10.06	8.60	9.33	0.73
L105	11	3.03	3.99	3.51	0.48	4.30	4.24	4.27	0.03	8.83	8.51	8.67	0.16
L105	12	1.62	3.86	2.74	1.12	0.12	4.97	2.55	2.43	7.51	8.29	7.90	0.39
L121	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L121	2	4.87	7.28	6.08	1.21	6.41	5.68	6.04	0.36	8.39	7.80	8.10	0.30
L121	3	3.66	7.72	5.69	2.03	8.18	7.69	7.94	0.25	6.27	5.77	6.02	0.25
L121	4	4.55	8.80	6.67	2.13	7.47	6.21	6.84	0.63	6.97	7.91	7.44	0.47
L121	5	4.40	7.99	6.20	1.80	6.73	6.03	6.38	0.35	10.44	11.29	10.87	0.42
L121	6	4.47	6.91	5.69	1.22	6.28	4.75	5.52	0.76	5.08	12.75	8.91	3.84
L121	7	4.59	7.05	5.82	1.23	7.17	7.51	7.34	0.17	5.18	7.48	6.33	1.15
L121	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L121	9	3.73	7.63	5.68	1.95	5.83	3.92	4.88	0.95	4.99	2.43	3.71	1.28
L121	10	5.57	8.75	7.16	1.59	6.89	5.81	6.35	0.54	6.84	9.46	8.15	1.31
L121	11	6.25	8.63	7.44	1.19	8.95	9.62	9.29	0.33	9.44	12.63	11.04	1.59
L121	12	3.10	6.18	4.64	1.54	5.45	4.69	5.07	0.38	6.98	6.44	6.71	0.27
L001	1	3.60	3.87	3.74	0.13	5.79	7.26	6.53	0.74	9.71	8.60	9.16	0.56
L001	2	2.84	3.09	2.97	0.13	5.06	5.54	5.30	0.24	7.64	7.05	7.34	0.29
L001	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L001	4	3.27	3.32	3.30	0.02	7.16	7.33	7.25	0.09	6.61	4.96	5.79	0.83
L001	5	3.36	4.05	3.71	0.34	5.60	5.68	5.64	0.04	8.03	6.69	7.36	0.67
L001	6	3.22	4.11	3.67	0.45	5.64	5.58	5.61	0.03	9.50	6.77	8.13	1.36
L001	7	3.08	4.09	3.59	0.50	4.95	6.13	5.54	0.59	9.50	7.61	8.56	0.94
L001	8	1.51	3.19	2.35	0.84	7.09	7.54	7.32	0.22	7.18	4.76	5.97	1.21
L001	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L001	10	3.68	4.51	4.10	0.42	9.64	10.84	10.24	0.60	8.20	8.41	8.30	0.11
L001	11	4.02	5.24	4.63	0.61	7.19	6.02	6.61	0.59	10.61	11.32	10.97	0.35
L001	12	nan	nan	nan	nan	nan	7.06	7.06	0.00	10.32	10.78	10.55	0.23
L015	1	4.26	4.40	4.33	0.07	9.62	8.79	9.21	0.41	12.64	14.01	13.32	0.69
L015	2	4.15	3.60	3.88	0.27	4.96	5.56	5.26	0.30	6.25	4.67	5.46	0.79
L015	3	3.54	3.58	3.56	0.02	6.03	6.25	6.14	0.11	8.93	7.52	8.23	0.70
L015	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L015	5	2.85	2.79	2.82	0.03	7.06	6.74	6.90	0.16	8.57	8.50	8.53	0.04
L015	6	4.45	5.53	4.99	0.54	6.38	5.24	5.81	0.57	10.05	8.55	9.30	0.75
L015	7	4.57	4.54	4.55	0.01	5.75	5.60	5.67	0.07	7.41	8.87	8.14	0.73
L015	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L015	9	5.06	4.62	4.84	0.22	5.26	5.62	5.44	0.18	7.63	7.44	7.53	0.10
L015	10	4.55	4.36	4.45	0.10	7.08	6.30	6.69	0.39	10.54	9.93	10.24	0.31
L015	11	2.73	4.11	3.42	0.69	7.05	6.23	6.64	0.41	8.85	8.51	8.68	0.17
L015	12	nan	nan	nan	nan	nan	nan	nan	nan	7.48	6.35	6.92	0.57
L031	1	5.56	4.10	4.83	0.73	6.86	6.59	6.73	0.14	11.81	11.72	11.76	0.04
L031	2	4.90	4.57	4.73	0.16	4.29	4.47	4.38	0.09	6.10	5.30	5.70	0.40
L031	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L031	4	4.48	3.16	3.82	0.66	7.67	7.51	7.59	0.08	10.27	10.50	10.39	0.12
L031	5	6.34	4.15	5.24	1.09	4.46	3.35	3.91	0.55	7.77	9.63	8.70	0.93
L031	6	6.39	3.21	4.80	1.59	2.76	3.83	3.29	0.54	6.32	7.10	6.71	0.39
L031	7	1.78	4.34	3.06	1.28	4.63	4.01	4.32	0.31	6.25	6.50	6.37	0.12
L031	8	2.47	3.77	3.12	0.65	-0.16	6.92	3.38	3.54	10.13	8.52	9.33	0.80
L031	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L031	10	4.03	2.46	3.25	0.79	2.01	3.83	2.92	0.91	8.46	8.65	8.56	0.09
L031	11	4.46	2.86	3.66	0.80	3.65	2.92	3.28	0.36	9.39	9.25	9.32	0.07
L031	12	nan	nan	nan	nan	nan	nan	nan	nan	10.18	9.26	9.72	0.46
L040	1	1.84	1.72	1.78	0.06	4.16	2.76	3.46	0.70	6.56	5.72	6.14	0.42
L040	2	0.05	0.78	0.42	0.36	4.53	4.03	4.28	0.25	10.97	10.65	10.81	0.16
L040	3	1.34	1.26	1.30	0.04	-1.13	1.02	-0.06	1.08	5.67	7.46	6.57	0.89
L040	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L040	5	-0.57	-0.07	-0.32	0.25	0.88	1.98	1.43	0.55	4.50	6.26	5.38	0.88
L040	6	-1.22	-1.85	-1.53	0.31	3.57	3.68	3.62	0.05	3.96	3.40	3.68	0.28
L040	7	-0.12	0.09	-0.02	0.11	2.18	1.66	1.92	0.26	4.50	4.15	4.32	0.17
L040	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L040	9	-0.08	-0.43	-0.26	0.18	3.54	2.32	2.93	0.61	8.89	6.23	7.56	1.33
L040	10	-1.55	-4.07	-2.81	1.26	2.93	-0.04	1.44	1.48	5.20	4.88	5.04	0.16
L040	11	-0.43	-0.80	-0.61	0.19	0.68	-0.15	0.27	0.41	4.18	6.67	5.43	1.25
L040	12	nan	nan	nan	nan	nan	nan	nan	nan	5.72	7.28	6.50	0.78
L041	1	3.97	3.17	3.57	0.40	7.02	7.23	7.13	0.10	11.66	7.41	9.54	2.13
L041	2	1.94	2.05	2.00	0.05	5.46	5.67	5.57	0.10	9.26	8.39	8.83	0.43
L041	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L041	4	2.13	3.01	2.57	0.44	8.29	7.66	7.98	0.31	8.35	7.29	7.82	0.53
L041	5	1.83	1.76	1.80	0.03	5.42	4.81	5.12	0.31	11.47	12.40	11.93	0.47
L041	6	1.53	1.25	1.39	0.14	6.66	4.97	5.82	0.85	6.55	9.89	8.22	1.67
L041	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L041	8	1.31	1.51	1.41	0.10	5.03	4.49	4.76	0.27	8.15	8.33	8.24	0.09
L041	9	1.36	1.69	1.53	0.16	5.71	5.08	5.39	0.32	6.07	5.65	5.86	0.21
L041	10	0.42	2.09	1.25	0.83	7.47	6.60	7.03	0.44	11.43	6.10	8.76	2.66
L041	11	3.22	1.56	2.39	0.83	7.52	6.01	6.77	0.75	8.93	7.80	8.36	0.56
L041	12	nan	nan	nan	nan	nan	nan	nan	nan	10.71	8.43	9.57	1.14
L049	1	3.95	3.70	3.83	0.13	5.83	4.88	5.35	0.47	9.99	9.75	9.87	0.12
L049	2	3.05	3.81	3.43	0.38	3.69	4.19	3.94	0.25	4.99	3.15	4.07	0.92
L049	3	2.48	2.02	2.25	0.23	5.33	4.51	4.92	0.41	6.37	5.79	6.08	0.29
L049	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L049	5	0.91	1.90	1.41	0.50	2.80	3.51	3.16	0.36	6.94	6.21	6.57	0.37
L049	6	2.45	2.69	2.57	0.12	4.59	3.97	4.28	0.31	7.24	7.89	7.57	0.33
L049	7	2.05	3.30	2.68	0.63	5.18	4.38	4.78	0.40	6.58	6.01	6.30	0.29
L049	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L049	9	1.82	1.26	1.54	0.28	3.51	4.53	4.02	0.51	4.59	3.81	4.20	0.39
L049	10	2.21	2.52	2.36	0.16	5.75	5.86	5.80	0.05	7.66	7.54	7.60	0.06
L049	11	-0.67	-0.43	-0.55	0.12	1.95	2.43	2.19	0.24	9.98	9.00	9.49	0.49
L049	12	nan	nan	nan	nan	nan	nan	nan	nan	6.36	5.80	6.08	0.28
L085	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L085	2	3.45	4.58	4.02	0.57	6.29	5.11	5.70	0.59	9.42	12.59	11.00	1.58
L085	3	3.25	3.70	3.48	0.22	7.93	4.93	6.43	1.50	8.55	8.73	8.64	0.09
L085	4	2.93	3.44	3.19	0.25	6.98	4.18	5.58	1.40	8.05	9.92	8.99	0.94
L085	5	2.11	3.10	2.61	0.49	3.34	2.39	2.86	0.48	5.80	5.77	5.79	0.01
L085	6	2.76	3.41	3.09	0.32	2.95	2.37	2.66	0.29	6.64	7.44	7.04	0.40
L085	7	3.31	3.19	3.25	0.06	4.30	3.27	3.78	0.51	7.39	8.37	7.88	0.49
L085	8	2.15	2.47	2.31	0.16	0.00	6.26	3.13	3.13	12.03	13.38	12.70	0.68
L085	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L085	10	2.19	3.20	2.69	0.50	6.31	5.41	5.86	0.45	8.56	8.15	8.36	0.21
L085	11	3.45	4.32	3.89	0.43	3.17	4.25	3.71	0.54	7.56	5.99	6.78	0.78
L085	12	nan	nan	nan	nan	nan	nan	nan	nan	9.15	8.46	8.80	0.34
L101	1	3.52	4.21	3.86	0.35	4.90	4.15	4.53	0.38	7.01	7.31	7.16	0.15
L101	2	4.34	4.10	4.22	0.12	7.21	5.07	6.14	1.07	6.12	5.56	5.84	0.28
L101	3	4.04	3.95	4.00	0.05	10.13	5.69	7.91	2.22	7.17	6.46	6.81	0.35
L101	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L101	5	4.08	4.33	4.20	0.13	6.99	4.16	5.57	1.42	7.31	6.70	7.01	0.30
L101	6	4.12	2.77	3.45	0.67	3.47	3.82	3.64	0.18	5.61	10.20	7.91	2.29
L101	7	4.91	3.31	4.11	0.80	3.55	4.69	4.12	0.57	6.57	8.67	7.62	1.05
L101	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L101	9	3.49	3.61	3.55	0.06	4.74	3.32	4.03	0.71	5.93	5.81	5.87	0.06
L101	10	4.01	3.78	3.89	0.11	5.52	5.00	5.26	0.26	5.70	9.87	7.79	2.09
L101	11	3.30	5.03	4.17	0.86	5.54	5.28	5.41	0.13	8.07	7.29	7.68	0.39
L101	12	nan	nan	nan	nan	nan	nan	nan	nan	11.74	11.26	11.50	0.24
L032	1	0.62	2.14	1.38	0.76	3.08	2.11	2.59	0.49	5.93	10.01	7.97	2.04
L032	2	-2.23	0.47	-0.88	1.35	2.20	1.69	1.95	0.25	6.91	7.25	7.08	0.17
L032	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L032	4	-1.69	0.88	-0.40	1.29	3.81	4.07	3.94	0.13	9.58	10.62	10.10	0.52
L032	5	-1.89	-0.09	-0.99	0.90	2.92	2.80	2.86	0.06	5.86	5.21	5.54	0.32
L032	6	-2.35	0.44	-0.96	1.39	3.13	1.76	2.45	0.68	5.05	3.14	4.10	0.95
L032	7	-0.86	0.89	0.02	0.87	2.08	1.43	1.75	0.32	3.43	1.39	2.41	1.02
L032	8	-1.49	0.23	-0.63	0.86	4.41	3.61	4.01	0.40	7.05	5.66	6.36	0.69
L032	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L032	10	-1.10	0.07	-0.52	0.58	2.07	2.05	2.06	0.01	7.13	12.54	9.84	2.70
L032	11	0.23	1.48	0.86	0.63	6.35	6.32	6.33	0.02	9.18	7.84	8.51	0.67
L032	12	-1.23	0.95	-0.14	1.09	2.49	2.34	2.42	0.07	8.55	5.89	7.22	1.33
L034	1	-5.40	-6.41	-5.90	0.50	6.12	5.24	5.68	0.44	4.74	5.40	5.07	0.33
L034	2	nan	-9.06	-9.06	0.00	4.39	4.39	4.39	0.00	6.86	6.77	6.81	0.04
L034	3	-7.41	-9.58	-8.50	1.08	1.85	0.50	1.18	0.67	3.29	1.04	2.17	1.13
L034	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L034	5	-8.46	-9.23	-8.84	0.39	1.52	0.25	0.88	0.64	6.29	5.80	6.04	0.24
L034	6	nan	-7.44	-7.44	0.00	-2.34	-2.18	-2.26	0.08	5.39	2.54	3.97	1.43
L034	7	nan	-8.29	-8.29	0.00	3.09	2.63	2.86	0.23	5.30	5.19	5.25	0.06
L034	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L034	9	-7.27	-7.90	-7.59	0.31	6.34	6.44	6.39	0.05	10.50	10.50	10.50	0.00
L034	10	nan	-7.98	-7.98	0.00	-1.20	-3.79	-2.50	1.30	1.52	1.43	1.47	0.05
L034	11	nan	-5.91	-5.91	0.00	-1.37	-1.44	-1.41	0.04	3.03	0.16	1.59	1.43
L034	12	-7.12	-4.82	-5.97	1.15	1.57	1.87	1.72	0.15	2.82	10.49	6.65	3.84
L042	1	0.93	0.09	0.51	0.42	4.28	4.00	4.14	0.14	7.68	10.32	9.00	1.32
L042	2	0.60	0.46	0.53	0.07	2.50	1.08	1.79	0.71	6.05	4.13	5.09	0.96
L042	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L042	4	1.17	-1.22	-0.02	1.20	3.17	3.13	3.15	0.02	6.89	7.11	7.00	0.11
L042	5	-0.34	-0.58	-0.46	0.12	3.71	3.19	3.45	0.26	5.76	4.12	4.94	0.82
L042	6	-2.41	-1.15	-1.78	0.63	-0.49	-0.05	-0.27	0.22	5.12	4.43	4.78	0.35
L042	7	-0.62	-0.35	-0.48	0.14	-0.67	0.09	-0.29	0.38	4.66	3.06	3.86	0.80
L042	8	-3.21	-0.66	-1.93	1.28	2.58	2.38	2.48	0.10	4.73	3.74	4.23	0.50
L042	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L042	10	-1.31	-1.90	-1.61	0.30	1.39	-0.58	0.41	0.99	4.03	4.59	4.31	0.28
L042	11	-1.65	-2.00	-1.82	0.18	0.28	1.02	0.65	0.37	7.32	7.01	7.17	0.15
L042	12	-1.29	0.41	-0.44	0.85	1.03	1.64	1.34	0.30	4.71	4.21	4.46	0.25
L060	1	1.95	1.73	1.84	0.11	3.19	1.15	2.17	1.02	6.04	5.50	5.77	0.27
L060	2	0.11	0.68	0.39	0.28	6.18	4.36	5.27	0.91	6.60	7.85	7.22	0.62
L060	3	0.21	0.37	0.29	0.08	4.33	2.39	3.36	0.97	4.87	2.62	3.74	1.13
L060	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L060	5	-0.88	0.10	-0.39	0.49	2.41	2.71	2.56	0.15	3.95	3.81	3.88	0.07
L060	6	-0.83	-0.78	-0.80	0.02	5.09	5.75	5.42	0.33	5.71	5.74	5.72	0.01
L060	7	-1.52	-0.51	-1.01	0.50	2.26	2.49	2.38	0.12	6.91	6.75	6.83	0.08
L060	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L060	9	1.01	0.78	0.90	0.12	3.85	1.99	2.92	0.93	7.23	4.79	6.01	1.22
L060	10	-2.63	-2.05	-2.34	0.29	1.23	1.95	1.59	0.36	3.43	3.01	3.22	0.21
L060	11	-1.44	0.68	-0.38	1.06	3.06	4.12	3.59	0.53	7.82	8.26	8.04	0.22
L060	12	-1.16	1.20	0.02	1.18	1.45	1.45	1.45	0.00	5.27	3.20	4.24	1.03
L086	1	2.38	2.73	2.56	0.17	4.64	2.38	3.51	1.13	8.59	8.69	8.64	0.05
L086	2	2.93	1.99	2.46	0.47	5.05	4.99	5.02	0.03	7.07	6.41	6.74	0.33
L086	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L086	4	1.07	1.97	1.52	0.45	6.50	4.33	5.42	1.08	7.11	7.06	7.09	0.02
L086	5	2.26	2.76	2.51	0.25	2.94	3.38	3.16	0.22	4.18	4.23	4.21	0.02
L086	6	0.50	0.92	0.71	0.21	2.71	2.78	2.75	0.03	5.19	4.94	5.07	0.13
L086	7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L086	8	2.32	2.79	2.56	0.24	7.96	6.13	7.04	0.92	6.84	7.13	6.99	0.15
L086	9	3.28	3.06	3.17	0.11	4.68	4.78	4.73	0.05	7.09	6.97	7.03	0.06
L086	10	1.15	1.70	1.43	0.28	5.53	5.45	5.49	0.04	7.54	6.30	6.92	0.62
L086	11	3.00	3.75	3.37	0.38	3.63	4.00	3.82	0.19	8.73	7.28	8.01	0.72
L086	12	2.09	2.84	2.47	0.38	2.83	2.39	2.61	0.22	10.23	8.64	9.44	0.79
L094	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L094	2	1.89	2.72	2.31	0.42	3.64	3.23	3.44	0.21	5.72	6.27	5.99	0.28
L094	3	1.30	2.43	1.87	0.57	3.92	2.40	3.16	0.76	5.67	5.59	5.63	0.04
L094	4	2.67	3.66	3.17	0.49	4.99	4.12	4.56	0.43	12.51	9.69	11.10	1.41
L094	5	0.85	1.20	1.03	0.17	2.27	1.72	1.99	0.27	7.22	6.32	6.77	0.45
L094	6	2.98	3.83	3.40	0.42	5.25	3.96	4.60	0.64	3.23	4.07	3.65	0.42
L094	7	2.78	2.87	2.83	0.04	2.98	3.23	3.10	0.12	5.99	5.45	5.72	0.27
L094	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L094	9	2.10	1.58	1.84	0.26	4.64	4.04	4.34	0.30	5.83	4.98	5.40	0.43
L094	10	2.48	3.19	2.84	0.35	1.87	-0.54	0.66	1.20	5.20	4.92	5.06	0.14
L094	11	0.80	1.34	1.07	0.27	3.53	3.33	3.43	0.10	7.11	5.77	6.44	0.67
L094	12	-0.12	3.18	1.53	1.65	4.39	4.20	4.29	0.09	7.03	6.00	6.51	0.51
L096b	1	2.53	2.37	2.45	0.08	4.04	3.49	3.77	0.27	6.55	4.98	5.77	0.79
L096a	2	0.01	1.60	0.81	0.79	2.92	2.21	2.56	0.36	6.17	5.98	6.07	0.09
L096a	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L096a	4	0.85	0.35	0.60	0.25	2.39	1.40	1.89	0.49	5.05	8.07	6.56	1.51
L096a	5	-0.53	1.04	0.26	0.79	2.79	3.49	3.14	0.35	5.69	5.79	5.74	0.05
L096b	6	1.07	0.98	1.02	0.04	0.62	1.58	1.10	0.48	5.33	3.23	4.28	1.05
L096a	7	-0.77	1.33	0.28	1.05	4.52	4.86	4.69	0.17	9.01	12.61	10.81	1.80
