"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0.110166392991575	0.0655967622520255	0	0	0.19246749177354	0	-0.0117004862062134	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.106807942254004	0	0	0.155409542996097	0	0	0.0586441253850684	0	0	0	0	0	0	0	0	0	0	0.113095245473308	0
"rbsB"	0.183153083504752	0	0	0	0	0	-0.0472930448391772	-0.111260557712121	0	0	0	0	0.0250682611267546	0	-0.0401071535002036	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.165485819412658	-0.0189378768418326	0	0	0	-0.017017798782987	0	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	-0.0451566381259397	0	-0.00964318581230381	0	0.0759698349855978	-0.0437140659628262	-0.00707042368936798	-0.0712883146371792	0	0.0965612391417347	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.161545601954972	0	0.157450150894691	0	-0.0216112758351081	0	0.148358682198428	0	0	0	-0.0100355345312609	0	0	0	0	0	0.0361938201622534	-0.0247869245917462	0	-0.0483748090169139
"rbsR"	0	0	0	0	0	0	0	0.120076569932115	0	0	0.0174789849073926	0.00769496837272916	-0.0604539106089036	0	0.0534519290883988	0	0	0	-0.00478809518747088	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0123891117950088	0.0302932076591565	0.0378563646911138	0	0	0	0.0276960558589615	0	0	0	0	0	-0.164367208890051
"rplF"	0	-0.0450406873273982	0	-0.00909547334604005	0	0.0755273757250243	-0.0436872985697627	-0.00717743751599061	-0.0713423201816963	0	0.0962779144740809	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161545601954972	0	1	0	0.157226343832167	0	-0.0214249475027918	0	0.148012796964086	0	0	0	-0.0096876012214423	0	0	0	0	0	0.0357379958731227	-0.0242476699688231	0	-0.0484284017248386
"rpsA"	0	0	0.104625273587987	0.0565065198123301	0	0	0.194823040846577	0	-0.00977920664267202	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106807942254004	0	0	0	0	1	0	0	0.154911960940202	0	0	0.0481417236634954	0	0	0	0	0	0	0	0	0	0	0.107922811830218	0
"rpsC"	0	-0.0413994929607369	0	0	0	0.0627186998730768	-0.0428518398455381	-0.0109806539389526	-0.0725916950095858	0	0.0877369168538156	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157450150894691	0	0.157226343832167	0	1	0	-0.0162585333296276	0	0.138373920804055	0	0	0	0	0	0	0	0	0	0.0228653205494372	-0.00860831796002183	0	-0.0490617168160266
"sapF"	0.18465632284821	0	0	0	0	0	-0.0483665843312399	-0.111639816317254	0	0	0	0	0.0275505612283692	0	-0.0422187523758452	0	0	0	0	0	0	0	0	0.165485819412658	0	0	0	0	0	1	-0.0204827185231606	0	0	0	-0.0197833421381393	0	0	0	0	0	0	0	0	0	0	0
"speG"	-0.0358513321798126	-0.0121774820614734	0.155228140458688	0.121238739753544	0	0	0.158055616258759	0	-0.0554435626532804	0	0	0	0	0	0	0.00657637331949054	0	0	0	0	0	0	0.155409542996097	-0.0189378768418326	-0.0216112758351081	0	-0.0214249475027918	0.154911960940202	-0.0162585333296276	-0.0204827185231606	1	0.0342970293024166	-0.002746190114432	0.149666778751579	0	0	0	0	0	0	0	0	-0.0337190027643872	0	0.15549106125078	0
"spoT"	0	0	0	0.0502819367908652	0	0	0.10584475782721	-0.22343598919925	0	0	0	0	0	0	-0.0158124857910003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0342970293024166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106958235918424
"trkH"	0	-0.0275981417494652	0	0	0	0.034339791517248	-0.0378070644436124	-0.0145448759014066	-0.0653647939027076	0	0.066938949116266	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148358682198428	0	0.148012796964086	0	0.138373920804055	0	-0.002746190114432	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0429526607143935
"ybaL"	0	0	0.0547919124984275	0	0	0	0.216952807280998	0.0441379305739358	0	0	0	0	-0.0904362887228883	0	0	0	0	0	0	0	0	0	0.0586441253850684	0	0	0.0123891117950088	0	0.0481417236634954	0	0	0.149666778751579	0	0	1	0	0	0	0	0	0	0	0	-0.0392049642669074	0	0.0605869268424366	-0.11703401001875
"ybeB"	-0.0406515436323207	0.04205328471197	0	0	0	0	0	0.29694510601399	0.0616139956516909	0	0	0	-0.0691963353780603	0	0.168960530219747	0	0	0	0	0	0	0	0	-0.017017798782987	0	0.0302932076591565	0	0	0	-0.0197833421381393	0	0	0	0	1	0.021757206019787	0.00181310820226847	0	0	0.013743697407046	0	0	-0.00637193088653458	0	0	-0.0165128799079135
"ycdM"	0	0	0	0	0	0	0	0.129982298842681	0	0	0.00351812781361459	0	-0.0434749503851551	0	0.0479989453467177	0	0	0	0	0	0	0	0	0	0	0.0378563646911138	0	0	0	0	0	0	0	0	0.021757206019787	1	0	0	0	0.0140918493978901	0	0	0	0	0	-0.165564144259055
"ycfC"	0	0.120389067026723	0	0	0.024978454797332	0	0	0.105539243023415	0.201408510299468	0	0	0	0	0	0.0238059857960778	0	0	0	0	0.0332466577935499	0	0	0	0	-0.0100355345312609	0	-0.0096876012214423	0	0	0	0	0	0	0	0.00181310820226847	0	1	0.001862260044421	0.0359588355110702	0	0	0	0	0	0	0.0264280764287739
"yeeR"	0	0.101345249761301	0	0	0	0	0	0.0594971091795837	0.216989816302051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001862260044421	1	0	0	0	0	0	0	0	0.012606596894603
"yeeU"	0	0.11534370573236	0	0	0	0	0	0.0959018377974284	0.210633161736119	0	0	0	0	0	0.00117723752924337	0	0	0	0	0.00608833767485653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0359588355110702	0	1	0	0	0	0	0	0	0.0233608837421421
"yfaQ"	0	0	0	0	0	0	0	0.137121141621734	0	0	0	0	-0.0280290345815892	0	0.0426680799770541	0	0	0	0	0	0	0	0	0	0	0.0276960558589615	0	0	0	0	0	0	0	0	0.013743697407046	0.0140918493978901	0	0	0	1	0	0	0	0	0	-0.157991341747639
"yfcTU"	0	0.10052368427399	0	0	0	0	0	0.0574591320916464	0.21740601441226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0120599401558702
"ygjD"	0	0	0	0	0	-0.0438849635583591	0	-0.0125561456380247	0	0	-0.074225180588405	0	0.0173842538833044	0	0	0	0.070464904560267	0	0.0755704502998552	0	0.0653183476315143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00296044416778917	0	0.214481882316125
"yhdG"	0	0	0	0	0	0	-0.110040189082611	-0.249090654236583	0	0	0	0	0	0	-0.0612311928646245	0	0	0	0	0	0	0	0	0	0.0361938201622534	0	0.0357379958731227	0	0.0228653205494372	0	-0.0337190027643872	0	0	-0.0392049642669074	-0.00637193088653458	0	0	0	0	0	0	0	1	0	0	0
"yieO"	0	0.0791370905858266	0	0	0	-0.0234981092369756	0	0	0.18415572114454	0	-0.0681869839965036	0	0	0	0	0	0.000679427621782062	0	0.00918471670564789	0	0	0	0	0	-0.0247869245917462	0	-0.0242476699688231	0	-0.00860831796002183	0	0	0	0	0	0	0	0	0	0	0	0	0.00296044416778917	0	1	0	0.21651616255695
"yihP"	0	0	0.111201708875741	0.067310084942073	0	0	0.192002974483144	0	-0.0122629237772114	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113095245473308	0	0	0	0	0.107922811830218	0	0	0.15549106125078	0	0	0.0605869268424366	0	0	0	0	0	0	0	0	0	0	1	0
"ylcG"	0	0.0270776741014193	0	0.138727745650174	0.0205346891463966	-0.216687840211114	0	0	0.0550931423443757	0	-0.169081950196644	-0.143933451059485	0.155788526844977	0.0113823131626355	-0.00995819010201626	-0.0236119631712073	0.216379009360708	0.201320705112792	0.208385017026447	0.0225996179229513	0.220255844184011	0	0	0	-0.0483748090169139	-0.164367208890051	-0.0484284017248386	0	-0.0490617168160266	0	0	0.106958235918424	-0.0429526607143935	-0.11703401001875	-0.0165128799079135	-0.165564144259055	0.0264280764287739	0.012606596894603	0.0233608837421421	-0.157991341747639	0.0120599401558702	0.214481882316125	0	0.21651616255695	0	1
