"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cpsG"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lon"	"lrp"	"malT"	"menC"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"arcA"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985729822939054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.128730872144908	0.0932901079152771	0	0
"blr"	0	0	0	-0.0470606764397899	0.0619442998997213	0	0	0	-0.00556143371234706	0	0	1	0.0585703188330097	0	0	-0.0135734767153746	0	0	0	0.0186508400180582	0	0	0	0	0.0631592382201448	-0.0163799872978624	0	0.135280126072561	0	-0.0360734843656088	0	0	0	-0.0198384266131824	0	0	0.0120626260869665	0	-0.016247684645332	0	0	0	-0.0184932049655404	0	0.047574957673478	-0.0129676115958659	0	0	0	0	0	0.0613495044039649	-0.0239598889154528	-0.0152352008848403	0	0.0445445063071876	0	0	0	0	0	0	0	0	0	0	0	0	0.0591693570486992	0	0.0162964297797753	0.0629655910907483	0	0.0599859128462321	0	0	0	0	-0.0108261702285124	0	0	0	0.0585473272951526	0	-0.0166970906045046	0	-0.0168435239018914	0	-0.0589191008280662	0	0	0	0	0	0.0936450894913038	0	-0.114862764398419	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0.0585703188330097	1	0	0	0	0	0	0	0.0120208508645751	0	0	0	0	0	0	0	0.0159263730720198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257926210371286	0	-0.132101640784448	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.00605657825215743	-0.0840678683981268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159878981711247	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.122893398948965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0782986197194557	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	-0.0135734767153746	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181080601717842	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.134019512407295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.167853766882533	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-7.03637886066519e-05	0	0	0	0	0	0	0.23727691951858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.1948833647255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109760540810846	-0.0527680410294635	0	0
"hokB"	0	-0.00565397488013877	0	-0.0825415667952889	0.0376134102901564	0	-0.00166236458262648	0.0617473941754173	0	0	0	0.0186508400180582	0.0120208508645751	-0.00605657825215743	0	0	0	0	0	1	0.0775064086436738	0	0	0.0569137142461135	0.046408802456749	0	0	0	0	-0.131301231045239	0	0	0	0	0	0	0.170230263333942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331382687248488	0	0	0	0	0	0	0	0	0	0	-0.0486983375876385	0	0	0	0	0	0	0	0.160405015354443	0.044841291556743	0	0.0237450841356511	-0.00775180300377429	0.0147062199212482	0.0630099265439092	0.00449514283205259	0	0	0	0	0.0121539086126925	0	0	0.000929106197857657	0	0	0	0	0	0	0	0.0273858601121192	0.0515185898168919	-0.0872845037083688	-0.0781570242766227	0	0.0491448294936732
"hokD"	0.131849307176873	-0.0758173791808365	0	0	0	0.127680166078167	-0.0780195437736395	0.140866986920208	0	0	0	0	0	-0.0840678683981268	0.122893398948965	0	0	-7.03637886066519e-05	0	0.0775064086436738	1	0	0	0.138235256811942	0	0	0	-0.119387713008632	-0.159267347903048	-0.0156126634629485	0	0	0.115232560255969	0	0	-0.056511144326449	0.0895227063254597	-0.0339048575054204	0	0	0	-0.0710192839470783	0	0.130667382985302	0	0	0.132894192173803	0	0	-0.0674164855024583	0	0	0	0	0	0	0.133414117331189	0	0	0	-0.0702605997473783	0	-0.0988136208903002	-0.0531787120109957	-0.160140564703226	0	0	-0.0495748983401541	0	0.134826922734861	0.0782831036516428	0	-0.0682248510593904	0	-0.0766429565444617	0.133628579814352	0.141592794993871	0.132859932301365	0	0.113729438623175	0.132739462859684	0.11227288808614	0	0.113281990216198	0	0.132689732783687	0	-0.0543698404335724	0	0	0.120126795606898	0	-0.0512044914310002	0.135736405742429	0	0	0.0487650754759531	0	0.154897406373594
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.130661047693224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.163818484709253	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0.0131425927922906	0	0	0	0	0	0	0	0	0	0	0	0.0569137142461135	0.138235256811942	0	0	1	0	0	0	-0.0314248982778394	0	0	0	0	0	0	0	0	0.00394355284001728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154518830526754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0923753674101189	0	0	0.039531501826705
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0.0631592382201448	0	0	0	0	0	0	0	0.046408802456749	0	0	0	0	1	0	0	0.00254342770528286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0374705369302098	-0.0073144472321969	-0.14164931770827	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	-0.0163799872978624	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000976721055747676	0	0.18315763868306	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.044730750364431	0	0
"ilvL"	-0.000102221166983343	0	0.212416612062205	0	0.00625515706528275	0	0	-0.0354142307752185	0	0.202947076716978	0.0985729822939054	0.135280126072561	0.0159263730720198	0	0	0	-0.134019512407295	0.23727691951858	-0.1948833647255	0	-0.119387713008632	-0.130661047693224	0	-0.0314248982778394	0.00254342770528286	0	0	1	0.000421911672159227	0	0.194977810103789	0.225845854930752	0	0	0.140143786455243	0	0	0	0	0.0310679532904699	0	0	0	0	0.0250471026026473	0	-0.0012917955994904	0	0.204057744965997	0	-0.198484014831931	0.0083188919024337	0	0	0.198368944895516	0.0276826767783533	-0.00208379358338556	-0.198445710508491	0.201041204590922	-0.196641508932134	0	0.225871350708946	0.0644823500097656	0	0.00104070637567693	-0.192616476729446	0.207791700107661	0	0.183984586508965	-0.0054647485017163	0	0.00355861991532397	0	0.0122858477001456	-0.00457124382064263	-0.0135761903148394	-0.0358175947715534	-0.00960395788628053	0	0	-0.000825364439576661	0	0.0160096380054282	0	0	-0.00813099685690817	0	0	-0.151659155995511	0.21228027443904	0	0.204736767636238	0	-0.0190257887609883	0.0856173499267389	-0.134595005200171	-0.0107535514355597	0.201538386377177	-0.0443430563450703
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.159267347903048	0	0	0	0	0	0	0.000421911672159227	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375533330369567	-0.103697453561869	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	-0.0360734843656088	0	0	0	0	0	0	0	-0.131301231045239	-0.0156126634629485	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.0295735400945918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000339234014376175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0320402867102399	0.117671035387193	0.130165800081754	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194977810103789	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225845854930752	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115232560255969	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0150866605348457	0.119705132132543	0	0
"menC"	0	0	0	0	0	0	0	0	0	0	0	-0.0198384266131824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00520090831362734	0	0.18618473189224	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140143786455243	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120260455070997	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.056511144326449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152224615877311	0	0	0
"mokC"	0	0	0	0	0	0	0	0.013316430589692	0	0	0	0.0120626260869665	0	0	0	0	0	0	0	0.170230263333942	0.0895227063254597	0	0	0.00394355284001728	0	0	0	0	0	-0.0295735400945918	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0757316238833599	0	0	0	0	0	0.0158763400986857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307986917088655	-0.112574081492842	-0.11571103298902	0	0.021578282446743
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0339048575054204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0379685369717181	-0.00838690049237597	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	-0.016247684645332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00081257518454135	0	0.18294223790093	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310679532904699	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728988128020666	0	0
"narZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160569894941775	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0710192839470783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15206590998293	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	-0.0184932049655404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00358543311651617	0	0.184950127206269	0	0
"phoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130667382985302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0781855601982524	0	0	0
"plsB"	0	0	0	0	0	0	0	0	0	0	0	0.047574957673478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0250471026026473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00734091763142359	0	-0.13079037758943	0	0
"prlA"	0	0	0	0	0	0	0	0	0	0	0	-0.0129676115958659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180511206201459	0	0
"proX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132894192173803	0	0	0	0	0	0	-0.0012917955994904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0796611391393857	0	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204057744965997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0674164855024583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151821009558568	0	0	0
"rbsD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.198484014831931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0163765031505858	-0.0612108050459586	0	0
