"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cpsG"	"cycA"	"envZ"	"fabF"	"flgB"	"flu"	"galF"	"gmhB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lacZ"	"lon"	"lrp"	"malT"	"menC"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"pbpC"	"pflB"	"phoH"	"phoR"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapA"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yicL"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"arcA"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0835856173523342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.105690367356237	0.0987818978658025	0	0
"blr"	0	0	0	-0.0519651997100186	0.11018598889313	0	0	0	-0.019512041938151	0	0	1	0.112307226661016	0	0	-0.0172639848743608	0	0	0	0	0	0.0680338748616903	-0.0517476783887782	0	0	0	0.109249211264533	-0.0175551802697196	0	0.167467867460586	0.0671374616484459	-0.0363742388280998	0	0	0	0	-0.0188023789322867	0	0	0.0421531877949053	0	-0.0175387547476184	0	-0.0241423359991893	0	-0.0181975564639374	0	0.111518500783755	0	0	0.111352133700881	-0.017267289310656	0	0	0	0	0	0.113627686392546	-0.0210491912834756	-0.0173586312828693	0	0.110773966828799	0	0	0	0	0	0	0	0	0	0.068758139455196	0	0	0	0.152897580359318	0	0.0439373482042071	0.109331608586632	0	0.112984051551453	0	0	0	0	-0.0175233450418899	0	0	0	0.112303739339622	0	-0.0176974618182047	0	-0.0177549794300869	0	-0.171621400207824	0	-0.0183629046718106	-0.0485374096191335	0	0	0	0.125215220706916	0	-0.00979047131769962	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0.112307226661016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158506309301412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424379526380711	0	-0.101048461518525	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.0748859312445963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164356625913983	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.103683507216863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0806154444986325	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	-0.0172639848743608	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182247367582341	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.108959959122917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.186171603287395	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.230863938313714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000571355808316799	0	0
"flu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0995403474445936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0687688699424002	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.189645171070801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0645433802923593	0	0
"gmhB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.145378322690497	0	0	0	0	0	0	-0.00625186345812716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0825842635163057	0	0	0.00059720981139086
"hokB"	0	0	0	-0.0534970797468936	0.000298282439107571	0	0	0.0528182399880304	0	0	0	0.0680338748616903	0	0	0	0	0	0	0	0	0	1	0.0435629962090364	0	0	0.0476063065376757	0.014640331986284	0	0	0	0	-0.106315951972569	0	0	0	0	0	0	0	0.150310108170284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136821326557735	0.0126195784321211	0	0	0	0	0.054961806426421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136620065875628	0.0503581839590371	-0.128858656347301	-0.117366980332323	0	0.0506982417532511
"hokD"	0.108471522980509	-0.0698623309682714	0	0	0	0.106332651189783	-0.0683795198900612	0.149788023938611	0	0	0	-0.0517476783887782	0	-0.0748859312445963	0.103683507216863	0	0	0	0.0995403474445936	0	0.145378322690497	0.0435629962090364	1	0	0	0.14688865744125	0	0	0	-0.137322904064978	-0.156663339236534	-0.0142740168088716	0.0985912233311567	0	0	0	0	0	-0.0453192936243257	0.0568165221651469	-0.0332575079392943	0	0	0	-0.0595740141830001	0	-0.0334288809318636	0	0.10687289498948	-0.0461099588623768	0	0	0.110285125840575	0	0	-0.0562326713112333	0	0	0	0	0	0	0.112512469989016	0	0	0	0.101359529544098	-0.0590638446777645	0	-0.119179883757605	-0.0425887369575336	-0.15858942769308	0	0	-0.0391800758568855	0	0.121539994173527	0.0472633158304253	0	-0.0571061352329844	0	-0.064248014808312	0.14418926022641	0.150021815138389	0.135196195136316	0	0.0992491581950085	0.109408934942554	0.0988828136720622	0	0.0991313318395741	0	0.128621260477876	0	-0.0433882712211025	0	0	0	0.103679217739395	0	-0.0404004401271397	0.144119510008282	-0.0256053664766344	0	0.00699402659152655	0	0.158355946214223
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.105754603012993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.180781660781316	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0.0126056987114265	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0476063065376757	0.14688865744125	0	0	1	0	0	0	-0.0303796546529057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153780606908551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0909646620800547	0	0	0.0351158970407005
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0.109249211264533	0	0	0	0	0	0	0	0	0	0.014640331986284	0	0	0	0	1	0	0	0.00606210110630776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0532007072118752	0	-0.124500994782323	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	-0.0175551802697196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185500114352832	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0438722904898143	0	0
"ilvL"	0	0	0.206631542985886	0	0.0093960119350849	0	0	-0.0357304911590681	0	0.197810118593386	0.0835856173523342	0.167467867460586	0.0158506309301412	0	0	0	-0.108959959122917	0.230863938313714	0	-0.189645171070801	-0.00625186345812716	0	-0.137322904064978	-0.105754603012993	0	-0.0303796546529057	0.00606210110630776	0	0	1	0	0	0	0.1905730011363	0.219769646136651	0.069731219506611	0	0.126920824506397	0	0	0	0	0.0174717990153681	0	0	0	0	0.0184245850338101	0	0	0.0186424620396852	0	0	0	0.198865869860067	0	-0.194200666305222	0.0100210059806022	0	0	0.193573953070353	0.0186124460150808	0	-0.194150840395001	0.196014703100412	-0.191971193702241	0	0	0.219827179141714	0.0468599956880232	0	0	-0.186985916279442	0.202299916384864	0	0.137911925473472	0	0	0.00651471062555743	0	0.0131804873528636	-0.00148390893472264	-0.00564287417564849	-0.0359433117000342	0	0	0	0	0	0.0159566052060897	0	0	0	0	0	-0.111955486673986	0.20661276037891	0	0	0.199442913273946	0	-0.0147976937199411	0.104885259624762	-0.151940722728985	0	0.196519481826756	-0.0460094623281778
"infB"	0	0	0	0	0	0	0	0	0	0	0	0.0671374616484459	0	0	0	0	0	0	0	0	0	0	-0.156663339236534	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0410379992184174	-0.0775900626521106	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	-0.0363742388280998	0	0	0	0	0	0	0	0	0	-0.106315951972569	-0.0142740168088716	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.00278986136036258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.011836029419922	0.116244302374813	0.145985719862144	0	0
"lacZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985912233311567	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0680114306679127	0	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1905730011363	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219769646136651	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069731219506611	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0875926125594094	0.0844654934073887	0	0
"menC"	0	0	0	0	0	0	0	0	0	0	0	-0.0188023789322867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190370026214333	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126920824506397	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125311468511308	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0453192936243257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142500588552487	0	0	0
"mokC"	0	0	0	0	0	0	0	0.00679956678852281	0	0	0	0.0421531877949053	0	0	0	0	0	0	0	0	0	0.150310108170284	0.0568165221651469	0	0	0	0	0	0	0	0	-0.00278986136036258	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0539704995045499	0	0	0	0	0	0.010305381717268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022511139329028	-0.137120605571311	-0.131810987198861	0	0.0195055772533988
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0332575079392943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254190482586832	-0.00717206427692888	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	-0.0175387547476184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185181863169326	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174717990153681	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0753724159376978	0	0
"narZ"	0	0	0	0	0	0	0	0	0	0	0	-0.0241423359991893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154595533539488	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0595740141830001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147876318428209	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	-0.0181975564639374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188439263831222	0	0
"pbpC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0334288809318636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140954289759715	0	0	0
"pflB"	0	0	0	0	0	0	0	0	0	0	0	0.111518500783755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184245850338101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0383399580561499	0	-0.0912863799182808	0	0
