"ECB_00737"	"ECB_01992"	"ECB_02012"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"appY"	"arcA"	"blr"	"cls"	"cpsG"	"cpxR"	"cycA"	"envZ"	"fabF"	"flgB"	"flu"	"galF"	"gltA"	"gmhB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lacZ"	"lon"	"lrp"	"malT"	"menC"	"metH"	"metJ"	"mntH"	"mokC"	"mreB"	"mreC"	"mtlD"	"nadR"	"narZ"	"nudC"	"oppD"	"pbpC"	"pflB"	"phoH"	"phoR"	"plsB"	"prlA"	"proX"	"pykA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapA"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybcU"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeI"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yicL"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yoaE"	"yqeB"	"yqhH"
"appC"	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0960563623833763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116951228681658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0175857880440229	0	0	0	0	0
"appY"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0578916532167036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14295768194995	0	0	0	0
"arcA"	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0607330952217152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0492528568858599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0920737446937201	0.110816710943286	0	0	0
"blr"	0	0	0	-0.0999420418481079	0	0.104853291222097	0	0	0.0088579308533136	0	-0.0960563623833763	0	-0.0607330952217152	1	0.103175996368461	0	-0.102195711635947	0	0	0.0555669503020685	-0.116248515802985	0	-0.00570737080264489	0	0	0.151171921711912	0.00669735536120486	0.0548539012551415	0	0.00479738993494004	0.106949753004385	0	0	-0.0185194441599527	0.0700460754366195	0	0	-0.0927503502332305	-0.107491859043734	-0.0530237178794315	0	-0.0514644867200088	0.116267572720974	0	0.0671653894400675	-0.0301731265539295	0	0.103186053372832	-0.0499369330510986	0	0	0	0	0.0794425596752196	0	0	0.101328735977618	0	0	0.102961497125071	0	-0.0962797387314199	0	-0.006141384744811	0.104209485483692	0	0	-0.0939968845590962	0.0981816861719261	0	-0.00614609744595708	-0.0950265498864856	-0.00586503815918461	0	0	-0.107529460370541	-0.0619229575680981	0	0.0712034286939808	-0.00538736836650025	-0.0977675781699986	0	0	0	0	0.113444763373077	0.106489729428351	0	0.103230729605996	0	0	0.00882477314015289	0	0	0	0	0	0	0.103007820611256	0	0	0	0	0	0	-0.0996129790390688	0	0	-0.0965347231519028	0	0	0.115044049791384	0.0765262219711986	0.0109661100494195	0	-0.0952540743053134	0.0121861163259416
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103175996368461	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10329943517945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292977036927422	0	-0.00749477114284859	0	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0697031064411293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1663102279109	0	0	0	0
"cpxR"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102195711635947	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120370980987995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0244147564431635	0	0	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0883654887502608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.084932013206456	0	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18246671171822	0	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555669503020685	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0382766754633582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259325107777628	0	-0.196104915536267	0	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116248515802985	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.132276491737622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0398988608480996	-0.00107986502706001	0	0	0	0
"flu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0839178554318373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0752811983255691	0	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00570737080264489	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0423952934752247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.187673244771701	0	0	0
"gltA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180742732050157	0	0	0
"gmhB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0141118249621305	0.124877597256761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0893741319157816	0	0	0	0
"hokB"	0	0	0	0	0	0	0	0	0.0775866924144161	0	0	0	0	0.151171921711912	0	0	0	0	0	0	0	0	0	0	0.0141118249621305	1	0.205130740833542	0	0	0.0710695336495962	0	0	0	-0.170556627580033	0	0	0	0	0	0	0	0	0.030038529190288	0	0.0227665020148766	-0.0174242250951144	0	0	0	0	0	0	0	0.0465170005982276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111536955945287	0	0	0	0	0.0129250418088906	0.0784393817685768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372795401926582	0.0786202742300577	-0.00505857523524773	0.0134586551923254	0	0	0.0905125905137166
"hokD"	0.0936254450490094	-0.0808214830424017	0	0	-0.000136305639530105	0	0.0910145612548234	-0.063029809041782	0.145921440733846	-5.43487583414499e-05	0	-0.0578916532167036	0	0.00669735536120486	0	-0.0697031064411293	0	0.0883654887502608	0	0	0	0.0839178554318373	0	0	0.124877597256761	0.205130740833542	1	0	0	0.143164114007137	0	0	0	-0.00732072950860245	0	-0.0100508108003922	0.081208964059128	0	0	0	0	0	0.0037402680229656	-0.0506073161774702	0.0962313903320101	-0.128868466013693	0	0	0	0	-0.0516301980934582	0	-0.0531455435615958	0.143135726250545	0.0893763405817941	-0.0505575497830848	0	0	0.0938793252680473	0	0	0	-0.0506895981317953	-0.00312854696408828	0	0	0	0	0	0.0961721220737626	-0.00300109392746339	0	0	0.0839207140175683	-0.0514868996026403	0	-0.096949641006124	-0.051263403289583	0	0	0	-0.0520346508290071	0	0.10364386976988	0	0.182782445674387	0	-0.0509651947973605	0	-0.0785594147503901	0.124196178435481	0.145779552367317	0.114578071982723	0	0.10295906340393	0.0820641956544147	0.0927135031718485	0.0814826504143321	0	0.0818546573531604	0	0.109484739206501	0	-0.0509348729722522	0	0	0	0.12085945600162	0	-0.0515461509358704	0.131893815540706	0.00133651739485491	0	0.00260391356478209	0.0870541961687135	0	0.147536761875173
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0548539012551415	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0375045224038417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241126720209203	0	-0.192689229215345	0	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0.0108530010049362	0	0	0	0	0.00479738993494004	0	0	0	0	0	0	0	0	0	0	0	0.0710695336495962	0.143164114007137	0	0	1	0	0	0	-0.00819164162088899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127149508823921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0941767720589749	0	0	0	0.0318271449829595
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106949753004385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.107428466051265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0411896533283899	0	-0.0280526456952518	0	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186580729849443	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0101762319961242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0674265939787017	0	0	0
"ilvL"	0	-0.00162568220336262	0	0.119202251250269	0	-0.105022724423913	0	0	-0.0125603592992252	0	0.116951228681658	0	0.0492528568858599	-0.0185194441599527	-0.10329943517945	0	0.120370980987995	0	0	-0.0382766754633582	0.132276491737622	0	0.0423952934752247	0	0	-0.170556627580033	-0.00732072950860245	-0.0375045224038417	0	-0.00819164162088899	-0.107428466051265	0	0.0101762319961242	1	-0.0885016180501756	0	0	0.114711793836235	0.123953842780549	0.0415335607599837	0	0.0400582229541801	-0.116122406683528	0	-0.120796476468975	0.081058991281911	0	-0.103203072505124	0.0194217428129245	0	0	0	0	-0.0747671351053054	0	0	-0.104814953088832	0	0	-0.103042473751523	0	0.117028566916878	0	0.040243699613122	-0.10430463558003	0	0	0.115595931555381	-0.103939864516271	0	0.0402721908592479	0.116248325629305	0.0419563248111546	0	0	0.123993144323778	0.0358884925501012	0	-0.0896803080683395	0.0425508896221354	0.117918748522669	0	0.00612566132792794	0	0	-0.104463471972406	-0.106892037414505	0	-0.103259373762525	-0.0059786642850726	0	-0.0123861615273882	0	0	0	0	0	0	-0.103131315127166	0	0	0	0	0	0	0.118953928503993	0	0	0.117151983893287	0	0	-0.11911333382921	-0.102673611482655	-0.0188786501374879	0	0.116361892880167	-0.0184194987083834
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0700460754366195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0885016180501756	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152052187411364	0	0	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0100508108003922	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145979826800724	0.179221863672891	0	0	0
"lacZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081208964059128	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.075587093324555	0	0	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0927503502332305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114711793836235	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0141729368675304	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.107491859043734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123953842780549	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0304529898623085	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0530237178794315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415335607599837	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0788000821986792	0.0950535655488081	0	0	0
"menC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192854535414109	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0514644867200088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400582229541801	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0758770076037866	0.0917279913019977	0	0	0
