"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"hslU"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iap"	0	0	0	0	0	0	0	0	-0.00895035559227846	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260827901115034
"iclR"	0	0	-0.0164930704212755	0	0	0	0	0	0	-0.0495618470919103	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930671399633586	0	0.00887012460187737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.308653114698087
"infB"	0.0459196516693207	0	0	0	0	0	0	-0.0773028313068862	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0944983495929203	0	0	0	0	0	0	0	0	0	0	0	-0.0575920213967325
"infC"	0.00659820922462743	0	0	0	0	0	0	0	-0.224754600901359	0	0	0	0	0	1	0	0	-0.066795771359579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0297687115666709	0	0	0.0250159819686853	0	0	0	0	0	0	0	0	0	0	0	0.162302638205196
"malT"	0	0	0.0295849954862267	0	0	0	0	0	0	0.158680910337356	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170301114162571
"metH"	0	0	0	0	0	0	0	0.234075135837659	-0.0140917506112848	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0302700565145642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158022675333421
"mokC"	-0.0591651130275187	-0.0465245082804756	0.0432210966379796	0	0	0	0	0	0.218879265404732	0.103338522573706	0	0	0	0	-0.066795771359579	0	0	1	0	0	0	0	0	0	0	0	-0.0365323401618904	0	0.030745834100861	0	0	0	-0.0392545757892647	0	0	-0.00908192213875367	0	0	-0.0186194452919549	0	0	0.113478007566413	-0.0372495821260944	0.0229538420900879	-0.0629132166343263	0.000669352509206059	0	0	0	0.0154076521036345	0	0	0	0	0	0	-0.055400674505124
"mreB"	0	0	-0.0477671664859875	0	0	0	0	0.209511508819338	-0.0284846081482515	-0.244185082607802	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116072538229162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	-0.00896127647239961	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260616238159152
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133554630394794
"oppD"	0	0	0	0	0	0	0	0	-0.00965707682560874	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263743745943334
"phoH"	0	0	0.0649333538458924	0	0	0	0	0	0.0714143801106616	0.190497463113366	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00106548608113129	0	0	0	0	0	0	0	0	0	0	0	0.0136276857236768
"prlA"	0	0	0	0	0	0	0	0	-0.00820855492463173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256932468805867
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0.0208273966582685	0	0	0	0.272979647968279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0178504780022706	0	0	0.0900508854205196	0	0	0	0.0281126573397341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235043936421743	0.000576889653190716
"rbsB"	0.0650057005465374	0	-0.00306815172470135	0	0	0	0	-0.0297939671979215	-0.163218102441903	-0.0424177141692662	0	0	0	0	0	0	0	-0.0365323401618904	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00176188407129993	0	0	0.0926160440764597	0	0	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	0	-0.0690869667402911	0	0	0	0	0	-0.00970196913874332	-0.142809076198845	0	0	0.00930671399633586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0421064776926008	0	0.0345556672291351	0	0	0	0	0.0178023583959058	0	0	0	0	0	0	0	0.00242495893237972	-0.0106036590415136	-0.0031155847640663	0	0	0	0	0	0	0	0	0	-0.118299685714359
"rbsR"	0	0	0	0	0	0	0	0	0.15923934847789	0	0	0	0	0	0	0	0	0.030745834100861	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.000453490045554154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14902638504661
"rplF"	0	0	-0.0691440903601806	0	0	0	0	0	-0.00946859688684177	-0.143582735051458	0	0	0.00887012460187737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0421064776926008	0	1	0	0.0342626993043487	0	0	0	0	0.0174876476512306	0	0	0	0	0	0	0	0.00140798532527458	-0.0103035268048701	-0.0027925444824897	0	0	0	0	0	0	0	0	0	-0.118064458194049
"rpsA"	0	0	0	0.0160178060996818	0	0	0	0.275890761838327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0178504780022706	0	0	0	0	1	0	0	0.0884573828588928	0	0	0	0.0236961612750585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018838318563305	0.000530930305804776
"rpsC"	0	0	-0.0675924151136365	0	0	0	0	0	-0.00183107288960346	-0.154829003974032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345556672291351	0	0.0342626993043487	0	1	0	0	0	0	0.00835703061717646	0	0	0	0	0	0	0	0	-0.00122497185530007	0	0	0	0	0	0	0	0	0	0	-0.112190360141453
"sapF"	0.0660685744372479	0	-0.0052999956526933	0	0	0	0	-0.0300260648861212	-0.16285191548495	-0.0438847040970448	0	0	0	0	0	0	0	-0.0392545757892647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.00556822289827526	0	0	0.0929087883585934	0	0	0	0	0	0	0	0	0	0	0	0
"speG"	-0.0139795186905256	0	0	0.0894535859501877	0	0	0	0.208791657453112	0	-0.0242012138540677	0	0	0	0	0	0	0.0302700565145642	0	0.0116072538229162	0	0	0	0	0	0	0.0900508854205196	0	0	0	0	0.0884573828588928	0	0	1	0	0	0	0.0918990056413268	0	0.0665642551316847	0	0	0	0	-0.0375423455352928	0	0	0	0	0	0	0	0	0	0	0.0904032054378292	0.0110395116611705
"spoT"	0	0	0	0	0	0	0	0.167789641115167	-0.162634789322258	-0.0122580382438444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0949138103649633
"thrA"	0.0558751384144703	0	0	0	0	0	0	-0.0330134981025036	-0.153513832050619	-0.0272985605527289	0	0	0	0	0	0	0	-0.00908192213875367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0895174837818982	0	0	0	0	0	0	0	0	0	0	0	0
"trkH"	0	0	-0.0549180581728783	0	0	0	0	0	0	-0.153243991490267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0178023583959058	0	0.0174876476512306	0	0.00835703061717646	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.103335795288034
"wzy"	0	0	0	0.0264835661498876	0	0	0	0.268895215052173	0	-0.00151376354465575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281126573397341	0	0	0	0	0.0236961612750585	0	0	0.0918990056413268	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290188870051093	0.000610323943091082
"ybaE"	0.058806863776551	0	0	0	0	0	0	-0.0313805034478037	-0.157432482419694	-0.0320079791113535	0	0	0	0	0	0	0	-0.0186194452919549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0903935651499641	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	-0.0263383951209212	0	0	0	0	0	0	0.290286478970828	0.0535262695812372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0665642551316847	0	0	0	0	0	1	0	0	0	0	-0.0577888902105295	0	0	0	0	0	0	0	0	0	0	0	-0.0891879129453974
"ybbN"	0	0	0.069468083234254	0	0	0	0	0	0.0785619381227809	0.190443265077227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.00923077683480415	0	0	0	0	0	0	0	0	0	0	0	0.0149793703842882
"ybeB"	-0.0455273337766357	-0.0154963616941802	0.0300746314441291	0	0	0	0	0	0.247896001439004	0.0967201642567224	0	0	0	0	-0.0297687115666709	0	0	0.113478007566413	0	0	0	0	0	0	0	0	-0.00176188407129993	0	0.000453490045554154	0	0	0	-0.00556822289827526	0	0	0	0	0	0	0	0	1	-0.00278534286599986	0	-0.0544771675979153	0	0	0	0	0	0	0	0	0	0	0	-0.0593452948957223
"ybhP"	0.0653101980915192	0	-0.00364417454685142	0	0	0	0	-0.0299320055624547	-0.163073042542692	-0.0427622786110696	0	0	0	0	0	0	0	-0.0372495821260944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00278534286599986	1	0	0.0927182958482676	0	0	0	0	0	0	0	0	0	0	0	0
"ycdM"	0	0	0	0	0	0	0	0	0.157537427315592	0	0	0	0	0	0	0	0	0.0229538420900879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.143968440617458
"yceK"	0.101562994849237	0.094303766564425	-0.0189081385004761	0	-0.0812248974595866	0	0	-0.109323687314705	-0.0577981813102602	-0.00813354152886806	0	0	0	0.0944983495929203	0.0250159819686853	0	0	-0.0629132166343263	0	0	0	0	-0.00106548608113129	0	0	0	0.0926160440764597	0.00242495893237972	0	0.00140798532527458	0	0	0.0929087883585934	-0.0375423455352928	0	0.0895174837818982	0	0	0.0903935651499641	-0.0577888902105295	-0.00923077683480415	-0.0544771675979153	0.0927182958482676	0	1	-0.0191402741219373	-0.0133644023493906	0	-0.00326733781865445	0	0	0	0	0	0	0	0
"ycfC"	-0.00883962737933524	0	0.0734058534193311	0	0	0	0	0	0.0866778715197078	0.18652553812101	0	0	0	0	0	0	0	0.000669352509206059	0	0	0	0	0	0	0	0	0	-0.0106036590415136	0	-0.0103035268048701	0	-0.00122497185530007	0	0	0	0	0	0	0	0	0	0	0	0	-0.0191402741219373	1	0.00052756551746762	0	0	0	0	0	0	0	0	0	0.0135276555705823
"yecE"	-0.00258276816672424	0	0.0711907554779353	0	0	0	0	0	0.0819148513216827	0.189236961049483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0031155847640663	0	-0.0027925444824897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0133644023493906	0.00052756551746762	1	0	0	0	0	0	0	0	0	0	0.0148162405507775
"yeeR"	0	0	0.0489629027008119	0	0	0	0	0	0.0430767403807667	0.191839825216818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00645468551083772
"yeeU"	0	0	0.066259751593477	0	0	0	0	0	0.0733616505151781	0.190475793788814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00326733781865445	0	0	0	1	0	0	0	0	0	0	0	0.0140496230528726
"yfaQ"	0	0	0	0	0	0	0	0	0.155812367169957	0	0	0	0	0	0	0	0	0.0154076521036345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.139270628194656
"yfcTU"	0	0	0.0481618352839783	0	0	0	0	0	0.041691318188476	0.19197691831646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00596513217468254
"yggM"	0	0	0	0	0	0	0	0	-0.00923197555868947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.261386157298412
"ygjD"	0	0	0	0	0	0	0	0	-0.00923865236342831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.261555991236563
"yhdG"	0	0	0	0	0	0	0	-0.111300303994199	-0.134153245003263	-0.0228588848012086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yieO"	0	0	0.0506701109873819	0	0	0	0	0	0	0.166498892536313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.189708586881079
"yihP"	0	0	0	0.0217837470496804	0	0	0	0.272290721886477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235043936421743	0	0	0	0	0.018838318563305	0	0	0.0904032054378292	0	0	0	0.0290188870051093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000483934968174235
"ylcG"	0	0	0	0.000604198735653597	0.135772250580002	0.0115617648914643	-0.286168199489385	0.00182262310271585	-0.018165556996964	0	0	0.260827901115034	-0.308653114698087	-0.0575920213967325	0.162302638205196	0.170301114162571	0.158022675333421	-0.055400674505124	0	0.260616238159152	0.133554630394794	0.263743745943334	0.0136276857236768	0.256932468805867	0	0.000576889653190716	0	-0.118299685714359	-0.14902638504661	-0.118064458194049	0.000530930305804776	-0.112190360141453	0	0.0110395116611705	0.0949138103649633	0	-0.103335795288034	0.000610323943091082	0	-0.0891879129453974	0.0149793703842882	-0.0593452948957223	0	-0.143968440617458	0	0.0135276555705823	0.0148162405507775	0.00645468551083772	0.0140496230528726	-0.139270628194656	0.00596513217468254	0.261386157298412	0.261555991236563	0	0.189708586881079	0.000483934968174235	1
