"ECB_00737"	"ECB_01992"	"ECB_02012"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"appY"	"arcA"	"blr"	"cls"	"cpsG"	"cpxR"	"cycA"	"envZ"	"fabF"	"flgB"	"flu"	"galF"	"gltA"	"gmhB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lacZ"	"lon"	"lrp"	"malT"	"menC"	"metH"	"metJ"	"mntH"	"mokC"	"mreB"	"mreC"	"mtlD"	"nadR"	"narZ"	"nudC"	"oppD"	"pbpC"	"pflB"	"phoH"	"phoR"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapA"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybcU"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeI"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yicL"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yoaE"	"yqeB"	"yqhH"
"appC"	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0873056252123777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127274846357973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0137312632769683	0	0	0	0	0
"appY"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0572341446823168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144091914852007	0	0	0	0
"arcA"	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0510198790555949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0554054882079249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.093254993183547	0.110946987690469	0	0	0
"blr"	0	0	0	-0.0911754227599814	0	0.0961872673464475	0	0	0.00681143528982893	0	-0.0873056252123777	0	-0.0510198790555949	1	0.094518384161291	0	-0.0928788185829381	0	0	0.0485559042967373	-0.106400875867517	0	-0.0023429696394383	0	0	0.143092443286683	0.00952690206030137	0.0478838345008778	0	0.00272746789064213	0.0980551332880017	0	0	-0.0264155616094223	0.0621112422391011	0	0	-0.0840325171216577	-0.098053051080678	-0.0440074400473089	0	-0.0425842197215087	0.10462926306577	0	0.0535824178146804	-0.0177755929355212	0	0.0948763779844769	-0.0411783684064474	0	0	0	0	0.0737787892875466	0	0	0.0938448884128856	0	0	0	-0.0875044195551341	0	-0.00331176572688021	0.0956070959435801	0	0	-0.0851778349114039	0.0932322749366707	0	-0.00330660679270538	-0.0862169392628163	-0.00281165308502771	0	0	-0.0980857671521212	-0.0552396147109464	0	0.0631895296324654	-0.00175978706272582	-0.0889638379383031	0	0	0	0	0.104933545812417	0.0974131638126863	0	0.0949055783166146	0	0	0.00700409520346476	0	0	0	0	0	0	0.09441562943478	0	0	0	0	0	0	-0.0907731631501346	0	0	-0.0876940598642001	0	0	0.114945380256071	0.0722687739854939	0.00636133239570351	0	-0.0864036371947521	0.0110371307398115
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094518384161291	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.111873550606244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259373245004619	0	-0.0115630204571686	0	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0687715641959828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167813106449351	0	0	0	0
"cpxR"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0928788185829381	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130564610641992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0200782085807849	0	0	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0909911447857886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0832503027534987	0	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182452194999046	0	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0485559042967373	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0431136563499366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203540990970505	0	-0.198537389831561	0	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106400875867517	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.142471616231084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0359485763568559	-0.001897864066506	0	0	0	0
"flu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0865959257704399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.073657686105967	0	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0023429696394383	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0481482157498465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18680744219252	0	0	0
"gltA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180656004318291	0	0	0
"gmhB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0154308622271143	0.125244281312121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.088025968333288	0	0	0	0
"hokB"	0	0	0	0	0	0	0	0	0.079621349429729	0	0	0	0	0.143092443286683	0	0	0	0	0	0	0	0	0	0	0.0154308622271143	1	0.204600621146882	0	0	0.072722001770484	0	0	0	-0.182273461466345	0	0	0	0	0	0	0	0	0.0316054847520839	0	0.0322913044142748	-0.0272725385527442	0	0	0	0	0	0	0	0.0496443580921461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112977487019931	0	0	0	0	0.0142487934273488	0.0803756188658361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0387496280894001	0.077191925237805	-0.000887760432365414	0.0170413170354415	0	0	0.0920466448782329
"hokD"	0.0959365173865954	-0.0809413017568166	0	0	-4.60881520763622e-05	0	0.0935001379708358	-0.062234837442324	0.147217367107807	0	0	-0.0572341446823168	0	0.00952690206030137	0	-0.0687715641959828	0	0.0909911447857886	0	0	0	0.0865959257704399	0	0	0.125244281312121	0.204600621146882	1	0	0	0.143981055554852	0	0	0	-0.0076735638499712	0	-0.0110311428780249	0.0838783875093072	0	0	0	0	0	0.00757347064854063	-0.0499001772305394	0.0910969421620119	-0.126298861781795	0	0	0	0	-0.050483304800568	0	-0.0525279797793008	0.140511444909546	0.0919346928480093	-0.049815513504477	0	0	0.0960325375565911	0	0	-0.0496268593225415	-0.00530838062771681	0	0	0	0	0	0.0980335675158668	-0.0051861622962383	0	0	0.0867411396906054	-0.0503070659756868	0	-0.0960678648504342	-0.0504350405861812	0	0	0	-0.0512803646057116	0	0.105243243100602	0	0.184276282963263	0	-0.0497964049185603	0	-0.0786184356983902	0.124533020435359	0.147166432516323	0.116225699306211	0	0.10471908167649	0.0847358652876901	0.0950297157744376	0.0841234711107298	0	0.0845876808134818	0	0.111173576066959	0	-0.0502470486763804	0	0	0	0.122811874869979	0	-0.0510233664095397	0.132537936447556	0.00120089052563473	0	0	0.0897360449069554	0	0.148429269836318
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0478838345008778	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0424032879267468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185278507230164	0	-0.195134003869226	0	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0.00985126524744019	0	0	0	0	0.00272746789064213	0	0	0	0	0	0	0	0	0	0	0	0.072722001770484	0.143981055554852	0	0	1	0	0	0	-0.00912501908393951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114088413152384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0925970456394871	0	0	0	0.0309227895724172
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0980551332880017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.114557910951826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0370028318505758	0	-0.0305132870778849	0	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186503749067665	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0105403147283282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0666740491730628	0	0	0
"ilvL"	0	-0.00218636692134946	0	0.12978620182291	0	-0.113322110258638	0	0	-0.0139271588599913	0	0.127274846357973	0	0.0554054882079249	-0.0264155616094223	-0.111873550606244	0	0.130564610641992	0	0	-0.0431136563499366	0.142471616231084	0	0.0481482157498465	0	0	-0.182273461466345	-0.0076735638499712	-0.0424032879267468	0	-0.00912501908393951	-0.114557910951826	0	0.0105403147283282	1	-0.0968587606268869	0	0	0.124604561223947	0.134218983399533	0.0477318060430033	0	0.0461993507245119	-0.120293318403511	0	-0.129592142636743	0.0857140894272792	0	-0.112060871655064	0.0274870524413445	0	0	0	0	-0.081926592403203	0	0	-0.11152916601289	0	0	0	0.127158596697186	0	0.0457724020650477	-0.112695173744199	0	0	0.125569185585289	-0.110858303641056	0	0.0457994137245912	0.126321566364276	0.0478245081319068	0	0	0.134262966974102	0.0428561356667052	0	-0.0980829457958014	0.0481194465338595	0.128127954171404	0	0.00644139995315772	0	0	-0.111461450630845	-0.114713484265973	0	-0.112112484462582	-0.0066013319522201	0	-0.013890622945379	0	0	0	0	0	0	-0.111775739032439	0	0	0	0	0	0	0.129286236053677	0	0	0.1273255991421	0	0	-0.133074514549958	-0.110451375809846	-0.0202445935289922	0	0.126449203472888	-0.0198131427365238
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0621112422391011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0968587606268869	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152000058730421	0	0	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0110311428780249	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144133751791756	0.178209272132698	0	0	0
"lacZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0838783875093072	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.074013394450828	0	0	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0840325171216577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124604561223947	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0103545958201235	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.098053051080678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134218983399533	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0261498613344857	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0440074400473089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477318060430033	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.080062493102979	0.0955830325679922	0	0	0
"menC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192679597955217	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0425842197215087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461993507245119	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0770845365906929	0.0922591718321642	0	0	0
"metJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10462926306577	0	0	0	0	0	0	0	0	0	0	0	0.0316054847520839	0.00757347064854063	0	0	0	0	0	0	-0.120293318403511	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0520037535641189	0	-0.0462009138828664	0	0	0
