"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"hokB"	0.0459312749149439	-0.0305378204318444	-0.0254379396076784	0	-0.0128276950284767	0.0911489630051956	-0.0255073276034527	0	0.0388343066820768	0	0	-0.0355614203136341	0	1	0.0924605683032621	0.140144993366308	0	0.0892944251803757	0.146677624453533	0	0	0.0295344167647957	-0.125253126420269	-0.0324453464278784	0	-0.0340154109978827	0	0.236810970709037	-0.134919651912163	0	0	-0.00646088314316001	0	0.045471926399771	0	0	-0.0256344997029761	-0.00232916882645987	0	0.147285503835807	0	0	0.121397814552004	0	-0.0254062396733525	0	-0.00566005686663343	-0.0325367309658222	-0.179401694780167	0	0	0	-0.0258860787825227	0	0	0.0527945606673349	0.231068176106235	-0.00328796828429018	0.1458615559205	-0.0336530303116056	0.0610757180028598	0.09112141843494	0.0562497862000534	0.025176287527645	0.0475728887006063	0.137394993721826	0.0241304486844139	0	0	-0.140564074656344	-0.0254643962003476	0	-0.0256787221756107	0	-0.0466489763436721	0	-0.0255455342005822	0.085720148170006
"hokD"	0.162412734867562	-0.0163584418403582	-0.0290759897919336	0	0	0.162029308879228	-0.0183329584020315	0.0131751980418486	0.162914056541927	0	-0.0729598811980497	-0.0815652567639838	-0.168443129174838	0.0924605683032621	1	0	0	0.166846344241449	0.00449494550219987	0	0	0	0	-0.0580350361605088	0.137570417908026	0	0	0.124679935410715	-0.17416900151895	0	0	0	0	0.162414190597317	0	0	-0.0193412159846875	0	-0.166129625846667	0.00228693413105253	0	0	0	-0.166182118004723	-0.0167747717806094	-0.16773769278852	0	-0.0579730147361481	-0.0262559009891627	0	0	-0.166409905082282	-0.0231112327089567	0	0	0.161525664832976	0.11583971148889	0	0	-0.0196506773307161	0.161154146652627	0.156851914543706	0.161314536900524	0.1637933519778	0.16216880230014	0	0.163868556018118	0	0	-0.0113089054549165	-0.0289921002677434	0.144824304857525	-0.0199591696976228	0	-0.00194394281284628	0	-0.0171629799279044	0.0844312756001018
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140144993366308	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125997310380508	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0.0362132716603773	0	0	0	0	0	0	0	0.0892944251803757	0.166846344241449	0	0	1	0	0	0	0	0	0	0	0	0	0.0134546439666556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00172331878166399	0.0392490172005592	0	0	0	0	0	0	0	0	0	0	0	0	-0.0338689516125361	0.0086379994686831	0	0.066082401548139
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146677624453533	0.00449494550219987	0	0	0	1	0	0	0	0	0	0	0	0	0.0231240923258958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.140945328015492	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238992463217323	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0479841529328567	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	-0.234191797397511	0	0.0295344167647957	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0928313779534109	-0.0677533631523831	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125253126420269	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0119946643429818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135874458669092	0.16912431023686	0	0
"lrp"	0	0	0.0220688574473236	0	0	0	0.00968601900156447	0	0	0	0	0.176672247265265	0	-0.0324453464278784	-0.0580350361605088	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0110222541080185	0	0	0	0	0	0	0	0.00765068812488426	0	0	0.0558119139309335	0	0	0	0	0.0154758830314335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219609745713607	0	0.0117493556617957	0	-0.0953797652629425	0	0.00828732774735192	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137570417908026	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152575481545961	0	0.00722313243041335
"metH"	0	0	0	0	0	0	0	0	0	0	0	0.184242279568241	0	-0.0340154109978827	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0153503311539498	0.139261675939412	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	-0.00122950308019172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222856520778392	0	0	0
"mokC"	0	0	0	0	0	0.0205507097998109	0	0	0	0	0	0	0	0.236810970709037	0.124679935410715	0	0	0.0134546439666556	0.0231240923258958	0	0	0	-0.0119946643429818	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0080995361765296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0923303754240672	0	0	0	0	0.0230529059305237	0	0	0	0	0	0	0	0	0	0	0	0	-0.0676340884314361	-0.075840684580753	0	0.043514482724198
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0.0571864133206567	0	-0.134919651912163	-0.17416900151895	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00225112039105644
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238759788161199	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110282114300369	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	-0.0021844290409171	0	-0.00646088314316001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2305062108924	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242124111579909	0	0
"phoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045471926399771	0.162414190597317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00330577985616993	0	0	0	0	0	0	0	0	0	0	0	0	-0.0260201877548912	0.0134397270875538	0	0.0421781820925899
"prlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235490635575085	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0	0.191717478920722	0	-0.0256344997029761	-0.0193412159846875	0	0	0	0	0	0	0	0	0.0110222541080185	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0109958551187338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0723210128868388	0	0	0
"rbsB"	0	0	0	0	0	0	0	0	0	0	0	-0.000442841668681848	0	-0.00232916882645987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230138089623525	0	0	0
"rbsD"	0	0	0	0	0	-0.00998444254906549	0	0	0	0	0	0.0131190040798783	0	0	-0.166129625846667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0149561377246019	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.094985149898003	0	-0.05456628848811
"rbsR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147285503835807	0.00228693413105253	0	0	0	0	0	0	0	0	0	0	0	0	0.0080995361765296	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131819178722618	0	0
"recO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249505460528928	0	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237679820403367	0	0
"rne"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121397814552004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.116731119191095	0	0
"rplF"	0	0	0	0	0	-0.00985870825001068	0	0	0	0	0	0.0130303735696668	0	0	-0.166182118004723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0148356286096379	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0948519198078242	0	-0.0544981493280635
"rpsA"	0	0	0	0	0	0	0	0	0	0	0	0.193464915502332	0	-0.0254062396733525	-0.0167747717806094	0	0	0	0	0	0	0	0	0.00765068812488426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00762370203833459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0704094327033233	0	0	0
"rpsC"	0	0	0	0	0	-0.00470947495672235	0	0	0	0	0	0.0105851809196498	0	0	-0.16773769278852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00996947393359778	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0911041356030549	0	-0.0516482515535546
"sapF"	0	0	0	0	0	0	0	0	0	0	0	-0.00188235516334567	0	-0.00566005686663343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230470711092931	0	0	0
"speG"	0	0	0.0220434237655746	0	0	0	0.00965796900893356	0	0	0	0	0.176693799293647	0	-0.0325367309658222	-0.0579730147361481	0	0	0	0	0	0	0	0	0.0558119139309335	0	0	0	0	0	0	0	0	0	0	0	0	0.0109958551187338	0	0	0	0	0	0	0	0.00762370203833459	0	0	1	0	0	0	0	0.0154526897046851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219382748748411	0	0.0117240521357342	0	-0.0953356417370226	0	0.00825923158437097	0
"spoT"	0	0	0	0	0	0	0	0	0	0	0	0.046599514053774	0	-0.179401694780167	-0.0262559009891627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0846700705365166	0	0
"thiI"	0	0	0	0	0	0	0	0	0	0	0	-0.00059246780925315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220747823842917	0	0	0
"thrA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211420894739679	0	0	0
"trkH"	0	0	0	0	0	0	0	0	0	0	0	0.00522987607793462	0	0	-0.166409905082282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.084353250591418	0	-0.0427701347541872
"wzy"	0	0	0	0	0	0	0	0	0	0	0	0.189383620565609	0	-0.0258860787825227	-0.0231112327089567	0	0	0	0	0	0	0	0	0.0154758830314335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154526897046851	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0746435028376707	0	0	0
"ybaE"	0	0	0	0	0	0	0	0	0	0	0	-7.08481654854708e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217854679660272	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0.0836968699577663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.188296554130589	-0.103341001019775	0	0
"ybbN"	0	0	0	0	0	0.00508634384287648	0	0	0	0	0	0	0	0.0527945606673349	0.161525664832976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00959253812261786	0	0	0	0	0	0	0	0	0	0	0	0	-0.0287982686119481	0.0129981788743999	0	0.0459835440930831
"ybeB"	0	0	0	0	0	0.00696800687439925	0	0	0	0	0	0	0	0.231068176106235	0.11583971148889	0	0	0	0	0	0	0	0	0	0	0	0	0.0923303754240672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0100181425771999	0	0	0	0	0	0	0	0	0	0	0	0	-0.0635494952242177	-0.0713018857434317	0	0.0337105588668518
"ybhP"	0	0	0	0	0	0	0	0	0	0	0	-0.000906419203722517	0	-0.00328796828429018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230260833462048	0	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1458615559205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127078125362779	0	0
"yceK"	0	0	0	0	0	0	0	0	0	0	0	-0.0140133023235446	0	-0.0336530303116056	-0.0196506773307161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23608996273375	0	0	0
"ycfC"	0	0	0	0	0	0.0119817682426529	0	0	0	0	0	0	0	0.0610757180028598	0.161154146652627	0	0	0.00172331878166399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0161169687200083	0	0	0	0	0	0	0	0	0	0	0	0	-0.0317238556629555	0.0116672629765218	0	0.0500171367035173
"yebY"	0.00354024022351321	0	0	0	0	0.0449338785733874	0	0	0	0	0	0	-0.00377757305728885	0.09112141843494	0.156851914543706	0	0	0.0392490172005592	0	0	0	0	0	0	0	0	0	0.0230529059305237	0	0	0	0	0	0.00330577985616993	0	0	0	0	-0.0149561377246019	0	0	0	0	-0.0148356286096379	0	-0.00996947393359778	0	0	0	0	0	0	0	0	0	0.00959253812261786	0.0100181425771999	0	0	0	0.0161169687200083	1	0.0123443635805379	0	0.0051901020943792	0	0	0	0	0	0	0	0	0	-0.0252077814987127	0.0104200322243522	0	0.0688121702544536
