"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yhdG"	"yieO"	"ylcG"
"malT"	0	0.117553502540723	0	0	0	0	0	0.00625668719778712	0.200047632979595	0	0	0	1	0.138611623957038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mokC"	0	0.0970454076354031	-0.00777300921692774	0	0.145268092210223	0	-0.0403543699514484	0.0744688669953672	0.0626598552078376	0	0	0	0.138611623957038	1	-0.11545828929243	0	0.014458121489438	0.148365162904781	0	0	-0.00943130615835742	0	-0.0283793599788103	0	-0.0282191053778375	-0.00433424501655834	-0.0228732135942555	0	-0.011359194448872	0	0.0697079263365412	0	0.140831011114263	0.149178929900477	0	0.139917176260703	-0.0548866206761655	0.0913218745667704	0.00985840103708401
"mreB"	0	-0.0870929129653546	0	0	0	0	0	-0.172440853098061	-0.192445583182851	0	0	0	0	-0.11545828929243	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0152775349006359	0	0	0	0	0	0	0	-0.038250669065958
"mreC"	0	0	0	0.160455566248289	0	-0.0285411982803678	0	0	0	0	-0.0578251874201106	0.0571529983879845	0	0	0	1	0	0	0.148646791881645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0472641481465328	0.215711545488599
"nadR"	0.0398989180889052	0	0	0	0	-0.0650801362216157	-0.029318266369865	0	0.0976579689310035	0	-0.137200108312666	0.162186861989856	0	0.014458121489438	0	0	1	0	0	0	0	0.00652150323838392	0	0	0	0	0	0	0	-0.031686506418337	0	0	0	0	0	0	0	0	0.125997285917449
"phoH"	0	0.131092782156671	0	0	0.024194527237767	0	0	0.0390693212885064	0.199200298960258	0	0	0	0	0.148365162904781	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0373837400125541	0	0	0	0	0
"prlA"	0	0	0	0.157393351823146	0	-0.0229575485341173	0	0	0	0	-0.0542709318052266	0.0519701930002899	0	0	0	0.148646791881645	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400732635802075	0.217669193535361
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	-0.00288584885108807	0.201237691460327	0	0	0	0.238415807752843	-0.0145120968576954	-0.036158818427176	0	0	0	0	-0.00943130615835742	0	0	0	0	0	0	1	0	-0.0161115412165424	0	-0.0158935822390167	0.198095125696618	-0.00927609425825783	0.0156291022433334	0	0.115405995847544	0	0	0	0	0	0	-2.57562176648915e-05	0	0
"rbsB"	0.205999125765243	0	0	0	0	0	0	-0.147356642899919	0	0	0	0.107890370365796	0	0	0	0	0.00652150323838392	0	0	0	0	1	0	-0.000207092941202825	0	0	0	0	0	-0.0131665070251744	-0.0750572133693679	0	0	0	0	0	0.0579514622699833	0	0
"rbsD"	0	-0.0235254110771047	-0.0145493543145919	0	0	0.0986292372074696	-0.0371833386593158	0	-0.0361635427755434	0	0.110899607600573	0	0	-0.0283793599788103	0	0	0	0	0	0	-0.0161115412165424	0	1	0	0.182223170628649	-0.0128430473882395	0.180268792012359	0	0.174709485643761	0	0	0	0	0	0	0	0.111409115158389	-0.0309637134379948	-0.024330481027359
"rbsR"	-0.0250031753600241	0	0	0	0	0.0569120729781	0	0.132266539481738	0	0	0.0721269627208922	-0.123888431019864	0	0	0	0	0	0	0	0	0	-0.000207092941202825	0	1	0	0	0	0	0	0.0375888304035232	0.0775519021718286	0.122933110425293	0	0	0.118116132776107	0	0	0	-0.0574489106191443
"rplF"	0	-0.0233163408723361	-0.014320098348052	0	0	0.0982523051090138	-0.0371633919085991	0	-0.0361173068215838	0	0.110662372959225	0	0	-0.0282191053778375	0	0	0	0	0	0	-0.0158935822390167	0	0.182223170628649	0	1	-0.0125968911985429	0.180115698787826	0	0.174404569288702	0	0	0	0	0	0	0	0.110851617848965	-0.0303301573459466	-0.0241094418983859
"rpsA"	0	0	0.195812824836026	0	0	0	0.238792808062362	-0.0206123927148188	-0.0317899708938078	0	0	0	0	-0.00433424501655834	0	0	0	0	0	0	0.198095125696618	0	-0.0128430473882395	0	-0.0125968911985429	1	-0.00505701067164404	0.00434336563546976	0	0.100339298517738	0	0	0	0	0	0	0	0	0
"rpsC"	0	-0.0163627851779338	-0.00735358013147724	0	0	0.0859193608740834	-0.0368471004969647	0	-0.0343016778202739	0	0.102730841001902	0	0	-0.0228732135942555	0	0	0	0	0	0	-0.00927609425825783	0	0.180268792012359	0	0.180115698787826	-0.00505701067164404	1	0	0.164913315467361	0	0	0	0	0	0	0	0.0943349842186448	-0.0102796919988799	-0.0176665096407493
"spoT"	0	0	0.0110676522785377	0	0	-0.08497696857678	0.094605186992618	-0.238729453163161	0	0	-0.133424071869435	0.0316340673346793	0	0	0	0	0	0	0	0	0.0156291022433334	0	0	0	0	0.00434336563546976	0	1	0	0	-0.0468540849387757	0	0	0	0	0	0	0	0.0531959221603446
"trkH"	0	-0.00171963154372894	0	0	0	0.0563425142036473	-0.0233402613482124	0	-0.0296709330192389	0	0.081298039923422	0	0	-0.011359194448872	0	0	0	0	0	0	0	0	0.174709485643761	0	0.174404569288702	0	0.164913315467361	0	1	0	0	0	0	0	0	0	0.0657716462217425	0	-0.00237747856033655
"ybaL"	-0.0524515938023286	0	0.109652413380619	0	0	0	0.205952532730266	0	0	0	0	-0.144643917509962	0	0	0	0	-0.031686506418337	0	0	0	0.115405995847544	-0.0131665070251744	0	0.0375888304035232	0	0.100339298517738	0	0	0	1	0	0.0227209017216482	0	0	0.00907642411002025	0	-0.0858138665264817	0	-0.122701534995668
"ybeB"	-0.0994107559406745	0.0633093855305683	0	0	0	0	0	0.286972388184952	0.0838255634775687	0	0	-0.0847461416317072	0	0.0697079263365412	-0.0152775349006359	0	0	0	0	0	0	-0.0750572133693679	0	0.0775519021718286	0	0	0	-0.0468540849387757	0	0	1	0.069678485796611	0	0	0.061972172881393	0	-0.0775372721384919	0	0
"ycdM"	-0.0125143431037354	0	0	0	0	0.0472722353854336	0	0.133005935016394	0	0	0.0656381688059535	-0.118293984035207	0	0	0	0	0	0	0	0	0	0	0	0.122933110425293	0	0	0	0	0	0.0227209017216482	0.069678485796611	1	0	0	0.110313941318753	0	0	0	-0.0543833658618263
"yeeR"	0	0.120125845085861	0	0	0	0	0	0.00930784685529791	0.201307460458528	0	0	0	0	0.140831011114263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00134971164744173	0	0	0	0	0
"yeeU"	0	0.132216486616118	0	0	0.0276502987204822	0	0	0.0426956790782977	0.19918502179336	0	0	0	0	0.149178929900477	0	0	0	0.0373837400125541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00134971164744173	1	0	0	0	0	0
"yfaQ"	-0.00100846247173326	0	0	0	0	0.0385024213772258	0	0.133146555551465	0	0	0.0599449264083608	-0.113424778660733	0	0	0	0	0	0	0	0	0	0	0	0.118116132776107	0	0	0	0	0	0.00907642411002025	0.061972172881393	0.110313941318753	0	0	1	0	0	0	-0.0520879159150475
"yfcTU"	0	0.119039175539854	0	0	0	0	0	0.00795162909246158	0.20088598872759	0	0	0	0	0.139917176260703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yhdG"	0.105558997203838	-0.0467598267403166	0	0	0	0	-0.0722306884104289	-0.128105153862756	-0.0607510351809941	0	0	0	0	-0.0548866206761655	0	0	0	0	0	0	-2.57562176648915e-05	0.0579514622699833	0.111409115158389	0	0.110851617848965	0	0.0943349842186448	0	0.0657716462217425	-0.0858138665264817	-0.0775372721384919	0	0	0	0	0	1	0	0
"yieO"	0	0.073716947921427	0	0.0646324891080257	0	-0.033186267897315	0	0	0.140214581959446	0	-0.0856104789259879	0	0	0.0913218745667704	0	0.0472641481465328	0	0	0.0400732635802075	0	0	0	-0.0309637134379948	0	-0.0303301573459466	0	-0.0102796919988799	0	0	0	0	0	0	0	0	0	0	1	0.207047286401556
"ylcG"	0	0.00915704703030082	0	0.210935733661756	0	-0.110254180300886	-0.0294866281340252	0	0.0055399832481113	0	-0.0863771508150691	0.106021772591573	0	0.00985840103708401	-0.038250669065958	0.215711545488599	0.125997285917449	0	0.217669193535361	0	0	0	-0.024330481027359	-0.0574489106191443	-0.0241094418983859	0	-0.0176665096407493	0.0531959221603446	-0.00237747856033655	-0.122701534995668	0	-0.0543833658618263	0	0	-0.0520879159150475	0	0	0.207047286401556	1
