"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ycdM"	"yceK"	"ycfC"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"infC"	0	0	0	0	0	0	0	-0.0108931928825775	-0.237890328292468	0	0	0	0	0	1	0	0	-0.063090878665275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0276095591935997	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159157464961781
"malT"	0	0	0.0286939909059714	0	0	0	0	0	0	0.166153631780288	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170408315822807
"metH"	0	0	0	0	0	0	0	0.209452325272851	-0.00647494520783868	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049487656238491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15965023068444
"mokC"	-0.0629542563322944	-0.0515126438780592	0.0416138373793735	0	0	0	0	0	0.221489320800033	0.0969738234351961	0	0	0	0	-0.063090878665275	0	0	1	0	0	0	0	0	0	0	0	-0.0455894439000114	0	0.0233478733888709	0	0	0	-0.0477448825157799	0	0	0	0	-0.0301921122348022	0	0	0.109354639108236	0.0154880889021925	-0.0641359215069631	0.00118030511800537	0	0	0	0.00783587784885638	0	0	0	0	0	0	-0.0547402257527181
"mreB"	0	0	-0.0455578129888857	0	0	0	0	0.206356256237374	0	-0.256547097219114	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00969909126153897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00188959810538649
"mreC"	0	0	0	0	0	0	0	0	-0.00808868962828716	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26102374318639
"nadR"	0	0	0	0	0	0	0	0.0220398587261326	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132025891060348
"oppD"	0	0	0	0	0	0	0	0	-0.00869586381159577	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264124032946992
"phoH"	0	0	0.0623851704813707	0	0	0	0	0	0.0774824932341838	0.188308787049861	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173448855159429
"prlA"	0	0	0	0	0	0	0	0	-0.00738771031312945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257373743161033
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0.0246398614227068	0	0	0	0.275675666256656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0216179745056069	0	0	0.0860535611185991	0	0	0.0320790962367746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273998736525152	0
"rbsB"	0	0	-0.00745902491768155	0	0	0	0	0	-0.199640722616405	-0.0668807910097999	0	0	0	0	0	0	0	-0.0455894439000114	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00995990149480661	0	0.00331956016064308	0	0	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	0	-0.0603553626325505	0	0	0	0	-0.060414796418359	-0.0244600520878181	-0.114107922815326	0	0	0.026402911039217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0686003231166795	0	0.0602766516900082	0	0	0	0.0446047844672549	0	0	0	0	0	0	0	-0.00804505373942559	-0.000574678963486371	0	0	0	0	0	0	0	0	0	-0.107877894591782
"rbsR"	0	0	0	0	0	0	0	0	0.157782331755006	0	0	0	0	0	0	0	0	0.0233478733888709	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.148621989709515
"rplF"	0	0	-0.0603962813517802	0	0	0	0	-0.0599049043362654	-0.0243710473050719	-0.114409366295529	0	0	0.0260131543376685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0686003231166795	0	1	0	0.0599776606876417	0	0	0	0.0442476910776259	0	0	0	0	0	0	0	-0.00784253759751806	-0.000355009300288045	0	0	0	0	0	0	0	0	0	-0.107982792154223
"rpsA"	0	0	0	0.0196837481238282	0	0	0	0.278541446056412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216179745056069	0	0	0	0	1	0	0	0.084179261638792	0	0	0.0275311620779598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225945832642017	0
"rpsC"	0	0	-0.0590004265129258	0	0	0	0	-0.0479771539511513	-0.0207757181569975	-0.120043636763701	0	0	0.0112272836179998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0602766516900082	0	0.0599776606876417	0	1	0	0	0	0.0332485560224519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10769527057733
"sapF"	0	0	-0.00905359618929802	0	0	0	0	0	-0.199136155006511	-0.0675209086739686	0	0	0	0	0	0	0	-0.0477448825157799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0129444563701682	0	0.00511292223324126	0	0	0	0	0	0	0	0	0	0	0	0
"speG"	0	0	0	0.0853483159497846	0.000125311717215228	0	0	0.222030531952688	0	-0.0064666651437549	0	0	-0.000683014600073621	0	0	0	0.049487656238491	0	0.00969909126153897	0	0	0	0	0	0	0.0860535611185991	0	0	0	0	0.084179261638792	0	0	1	0	0	0.0881823431496742	0	0.0380669229310742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0864176200526996	0.00275799366227748
"spoT"	0	0	0	0	0	0	0	0.16403333028193	-0.156832360693457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0913087167795584
"trkH"	0	0	-0.0507046343918323	0	0	0	0	-0.0397550119431173	-0.0128386809930376	-0.12081945529779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446047844672549	0	0.0442476910776259	0	0.0332485560224519	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0985829997009291
"wzy"	0	0	0	0.0303610498391441	0	0	0	0.272242832239391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320790962367746	0	0	0	0	0.0275311620779598	0	0	0.0881823431496742	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0329451625557432	0
"ybaE"	0	0	0	0	0	0	0	0	-0.197901620183179	-0.0599906198652914	0	0	0	0	0	0	0	-0.0301921122348022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0.33980549087163	0.0663875956738484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0380669229310742	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0982333623709663
"ybbN"	0	0	0.0673784649594233	0	0	0	0	0	0.0857890949341617	0.189006742351744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186773431865563
"ybeB"	-0.036809664132251	-0.0188620797407585	0.0283555329935819	0	0	0	0	0	0.250173844480317	0.0921922252300094	0	0	0	0	-0.0276095591935997	0	0	0.109354639108236	0	0	0	0	0	0	0	0	-0.00995990149480661	0	0	0	0	0	-0.0129444563701682	0	0	0	0	0	0	0	1	0	-0.0391007804049257	0	0	0	0	0	0	0	0	0	0	0	-0.0554157927583806
"ycdM"	0	0	0	0	0	0	0	0	0.156285273168438	0	0	0	0	0	0	0	0	0.0154880889021925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.143670094167906
"yceK"	0.0368407403018594	0.0107172258287855	-0.0271030978400829	0	0	0	0	-0.0428520896831003	-0.182060365050412	-0.0677839475645302	0	0	0	0	0	0	0	-0.0641359215069631	0	0	0	0	0	0	0	0	0.00331956016064308	0	0	0	0	0	0.00511292223324126	0	0	0	0	0	0	0	-0.0391007804049257	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ycfC"	0	0	0.072785489266093	0	0	0	0	0	0.0967517674129456	0.187856234467402	0	0	0	0	0	0	0	0.00118030511800537	0	0	0	0	0	0	0	0	0	-0.00804505373942559	0	-0.00784253759751806	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0180060303000645
"yecE"	0	0	0.0698985833175916	0	0	0	0	0	0.0904064644678222	0.189203716888347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000574678963486371	0	-0.000355009300288045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0191203966222673
"yeeR"	0	0	0.0459863743546658	0	0	0	0	0	0.0505708225333859	0.18943638513727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.010105663693624
"yeeU"	0	0	0.0638967684103742	0	0	0	0	0	0.079995399383046	0.188402724833415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0177586480787269
"yfaQ"	0	0	0	0	0	0	0	0	0.154868281071522	0	0	0	0	0	0	0	0	0.00783587784885638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.138986725905233
"yfcTU"	0	0	0.0451252069266974	0	0	0	0	0	0.0491601611050418	0.189617390530156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00956502899122416
"yggM"	0	0	0	0	0	0	0	0	-0.00839333747084197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.261813798590879
"ygjD"	0	0	0	0	0	0	0	0	-0.0084583173856034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.261972887885807
"yhdG"	0	0	0	0	0	0	0	-0.214846291574906	-0.16336091906016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7.8246843832142e-05
"yieO"	0	0	0.0510065161795548	0	0	0	0	0	0	0.174867635787566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.19053604413536
"yihP"	0	0	0	0.0255844141332987	0	0	0	0.275155307667316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273998736525152	0	0	0	0	0.0225945832642017	0	0	0.0864176200526996	0	0	0.0329451625557432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ylcG"	0	0	0	0	0.13270193141845	0.0154219095330666	-0.28946329877128	-0.0293532213401249	-0.02341100598912	0	0	0.261244831070079	-0.306148969671674	-0.0443222212553522	0.159157464961781	0.170408315822807	0.15965023068444	-0.0547402257527181	-0.00188959810538649	0.26102374318639	0.132025891060348	0.264124032946992	0.0173448855159429	0.257373743161033	0	0	0	-0.107877894591782	-0.148621989709515	-0.107982792154223	0	-0.10769527057733	0	0.00275799366227748	0.0913087167795584	-0.0985829997009291	0	0	-0.0982333623709663	0.0186773431865563	-0.0554157927583806	-0.143670094167906	0	0.0180060303000645	0.0191203966222673	0.010105663693624	0.0177586480787269	-0.138986725905233	0.00956502899122416	0.261813798590879	0.261972887885807	7.8246843832142e-05	0.19053604413536	0	1
