"ECB_00737"	"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"hupB"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"	"yqeB"
"hokB"	0.0561905011290278	-0.0596024712902598	-0.14641090786029	0.0839519270565329	0	0	0.0466105815245526	-0.00373889527829472	0	-0.0170522220827987	1	0.0718861065450467	0	0.0883706479451389	-0.00381487430413984	0	0	-0.224713280156552	0	-0.0175955825657209	0.245514398258689	-0.110014203842567	-0.00382740322744864	0	-0.00441384167296577	0.0555921848252918	-0.00340403084364821	0	0	-0.148349152513068	0	0.16374536520543	0	0	0	-0.148287962578323	0	-0.153280020785259	-0.140146747066096	0	0	-0.146238306333825	0.0841178246621578	0.0645075397865499	0.258368336532198	-0.148327185587261	0.162187451934893	-0.0160107731689202	0.0752888075374251	0.0691021947771187	0.0276314977199906	0.0583479079355088	0.160586842067168	0.0262835813411397	-0.00413475002676683	-0.00421535226516546	-0.140767786691766	0	0	-0.0159039373254719	0
"hokD"	0.186817358745006	-0.0296771679774138	-0.0171574437905686	0.139004202249017	0	0.0903318630048602	0.188739067376209	0	-0.0411164818537313	-0.132386384785755	0.0718861065450467	1	0	0.159834265242433	0	-0.00823276379482845	0	0	0.147601598073533	0	0.111165550735862	-0.198460922736703	0	0	0	0.186854847064129	0	0	0	-0.0119422065513832	-0.174270945875642	0	-0.174249737867955	0	-0.173790673913568	-0.0136490326658518	-0.0298834147571597	-0.036599600970864	-0.00104334883486193	-0.171149550987851	-0.000768584282450141	-0.00451166286205653	0	0.185712727149451	0.103287868642834	-0.0123063020040692	0	-0.020506926616824	0.185510671920702	0.185562062670941	0.194470456023278	0.186460616761423	0	0.194975598165468	0	0	-0.0196518074540201	0.159685027429508	0	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0.0227440477345378	-0.00779471184342694	0	0.0679748000315379	0	0	0.016422366419065	0	0	0	0.0883706479451389	0.159834265242433	0	1	0	0	0	0	0	0	0.0288576391229727	0	0	0	0	0.0225310388620909	0	0	0	0	-0.0282819733353846	0	-0.0281072166537034	0	-0.0230257595707398	0	0	0	0	-0.0109657790452947	0	0	0	0.0282995076034124	0.0150430769406783	0	0	-0.0113447505861514	0.0353304002221255	0.0313754405306625	0.00331982027367019	0.0244076466185686	0	0.00233587283121136	0	0	0	0	0	0.0134355721537652	0
"iap"	0	0	0	0	0	0	0	0	0	0	-0.00381487430413984	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264979393537278	0
"iclR"	0	0	0	0	0	0	0	0	0	0.23232665056678	0	-0.00823276379482845	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.164267701297962	0
"infB"	0	0	0	0	0	0	0	0	0	-0.286652454068588	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175134793173981	0	0	0	0	0	0	0	0	0	0	0	-0.0661449684566505	0
"infC"	0	0.0117577336632511	0	0	0	0	0	0	0	0	-0.224713280156552	0	0	0	0	0	0	1	0	0	-0.0460314188994341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00784695726459687	0	0	0.0336662140965825	0	0	0	0	0	0	0	0	0	0	0	0.171585789673457	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0.147601598073533	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175852123459122	0
"metH"	0	0	0	0	0	0	0	0	0	0.206417875328754	-0.0175955825657209	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16222138042781	0
"mokC"	0	-0.0454152937639007	-0.0295599152235159	0.0347232276773696	0	0	0	0	0	0	0.245514398258689	0.111165550735862	0	0.0288576391229727	0	0	0	-0.0460314188994341	0	0	1	0	0	0	0	0	0	0	0	-0.0178633903511413	0	0.0189053638711721	0	0	0	-0.0213355113393015	0	0	0	0	0	-0.000249480185783487	0	0	0.102025330111428	-0.0186945355593037	0.0112556866864266	-0.0510064611037903	0	0	0	0	0.00433159113137406	0	0	0	0	0	0	-0.0633051014907098	0
"mreB"	0	0	0	0	0	0	0	0	0	0.121388176632458	-0.110014203842567	-0.198460922736703	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	-0.00382740322744864	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264679783954358	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130868162451942	0
"oppD"	0	0	0	0	0	0	0	0	0	0	-0.00441384167296577	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267967708892617	0
"phoH"	0	0	0	0.0359229451661811	0	0	0	0	0	0	0.0555921848252918	0.186854847064129	0	0.0225310388620909	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118150150765896	0
"prlA"	0	0	0	0	0	0	0	0	0	0	-0.00340403084364821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260797271026933	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0.26038807911979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0256801551076822	0	0	0	0	0	0	0	0	0	0	-0.0181309103445124	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsB"	0	0.075952973805604	0.0121043275240852	0	0	0	0	0	0	-0.0896090365549106	-0.148349152513068	-0.0119422065513832	0	0	0	0	0	0	0	0	-0.0178633903511413	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00174357210158728	0	0	0	0	0	0	0	0	0	0	0	0.106793328695557	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	0	0	-0.0415281737974612	0	0	0	0	0	0	0	-0.174270945875642	0	-0.0282819733353846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124200888111516	0
"rbsR"	0	0	0	0	0	0	0	0	0	0	0.16374536520543	0	0	0	0	0	0	0	0	0	0.0189053638711721	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.141331468161181	0
"rplF"	0	0	0	-0.0413744927572746	0	0	0	0	0	0	0	-0.174249737867955	0	-0.0281072166537034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124054574269477	0
"rpsA"	0	0	0	0	0	0	0	0	0	0.259526155193286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0211844417315772	0	0	0	0	0	0	0	0	0	0	-0.0176363767987184	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsC"	0	0	0	-0.0369204988787649	0	0	0	0	0	0	0	-0.173790673913568	0	-0.0230257595707398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119784575289529	0
"sapF"	0	0.0770017589987015	0.0154712102762598	0	0	0	0	0	0	-0.0886197463566998	-0.148287962578323	-0.0136490326658518	0	0	0	0	0	0	0	0	-0.0213355113393015	0	0	0	0	0	0	0	0	0.00174357210158728	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00264092301273662	0	0.107161771170432	0	0	0	0	0	0	0	0	0	0	0	0	0
"speG"	0	-0.0293103589410358	0	0	0.0240384502887889	0	0	0	0	0.245052450628121	0	-0.0298834147571597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256801551076822	0	0	0	0	0.0211844417315772	0	0	1	0	0	0	0.0327031787112307	0	0	0	0	0	0	-0.0567524061553689	0	0	0	0	0	0	0	0	0	0	0.0265487437301409	0	0.0218082679707762
"spoT"	0	0	0	0	0	0	0	0	0	0.10998302967261	-0.153280020785259	-0.036599600970864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103246632670093	0
"thrA"	0	0.0651344707043576	0	0	0	0	0	0	0	-0.0937743295279484	-0.140146747066096	-0.00104334883486193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.100129452877822	0	0	0	0	0	0	0	0	0	0	0	0	0
"trkH"	0	0	0	-0.0262433026242381	0	0	0	0	0	0	0	-0.171149550987851	0	-0.0109657790452947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.111284972714628	0
"wzy"	0	0	0	0	0	0	0	0	0	0.260893747232114	0	-0.000768584282450141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327031787112307	0	0	0	1	0	0	0	0	0	0	-0.0175700819812403	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaE"	0	0.0693885290486428	0	0	0	0	0	0	0	-0.0923993695135563	-0.146238306333825	-0.00451166286205653	0	0	0	0	0	0	0	0	-0.000249480185783487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.10318036401839	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	-0.0581940604077196	0	0	0	0	0	0	0	0.202163610265572	0.0841178246621578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.105470407873465	0	0	0	0	0	0	0	0	0	0	0	-0.0914118375228543	0
"ybbN"	0	0	0	0.0408333214430045	0	0	0	0	0	0	0.0645075397865499	0.185712727149451	0	0.0282995076034124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129036485338448	0
"ybeB"	0	-0.0315756712600293	-0.00112571024387367	0.022417657634967	0	0	0	0	0	0	0.258368336532198	0.103287868642834	0	0.0150430769406783	0	0	0	-0.00784695726459687	0	0	0.102025330111428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0413705148960239	0	0	0	0	0	0	0	0	0	0	0	-0.0647026043158528	0
"ybhP"	0	0.0761614817465573	0.0128922985971627	0	0	0	0	0	0	-0.0892980096245744	-0.148327185587261	-0.0123063020040692	0	0	0	0	0	0	0	0	-0.0186945355593037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00264092301273662	0	0	0	0	0	0	0	0	0	1	0	0.106826262670505	0	0	0	0	0	0	0	0	0	0	0	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	0.162187451934893	0	0	0	0	0	0	0	0	0	0.0112556866864266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.137562333323052	0
"yceK"	0	0.100692242076662	0.107801667194307	-0.00780481374151373	-0.0180554187105274	-0.0825826892256116	0	0	0	-0.0990361186817392	-0.0160107731689202	-0.020506926616824	0	-0.0113447505861514	0	0	0.0175134793173981	0.0336662140965825	0	0	-0.0510064611037903	0	0	0	0	0	0	0	-0.0181309103445124	0.106793328695557	0	0	0	-0.0176363767987184	0	0.107161771170432	-0.0567524061553689	0	0.100129452877822	0	-0.0175700819812403	0.10318036401839	-0.105470407873465	0	-0.0413705148960239	0.106826262670505	0	1	0	0	0	0	0	0	0	0	0.0473439587265915	0	-0.0177425004912719	0	-0.0178332801558221
"ycfC"	0	0	0	0.046912267966571	0	0	0	0	0	0	0.0752888075374251	0.185510671920702	0	0.0353304002221255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.013566253273682	0
"yecE"	0	0	0	0.0434862035567858	0	0	0	0	0	0	0.0691021947771187	0.185562062670941	0	0.0313754405306625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0132668312971167	0
"yeeR"	0	0	0	0.0198303312779718	0	0	0	0	0	0	0.0276314977199906	0.194470456023278	0	0.00331982027367019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00389853037077565	0
"yeeU"	0	0	0	0.0375155454125908	0	0	0	0	0	0	0.0583479079355088	0.186460616761423	0	0.0244076466185686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0122167149095808	0
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0.160586842067168	0	0	0	0	0	0	0	0	0	0.00433159113137406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.134529001884237	0
"yfcTU"	0	0	0	0.0190126859303168	0	0	0	0	0	0	0.0262835813411397	0.194975598165468	0	0.00233587283121136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00330585351790212	0
"yggM"	0	0	0	0	0	0	0	0	0	0	-0.00413475002676683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.265392846401938	0
"ygjD"	0	0	0	0	0	0	0	0	0	0	-0.00421535226516546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.265575744459821	0
"yhdG"	0	0	0	0	0	0	0	0	0	0	-0.140767786691766	-0.0196518074540201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473439587265915	0	0	0	0	0	0	0	0	1	0	0	0	0
"yieO"	0	0	0	0.00814954008740744	0	0	0	0	0	0	0	0.159685027429508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.196332069283131	0
"yihP"	0	0	0	0	0	0	0	0	0	0.26060963773367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265487437301409	0	0	0	0	0	0	0	0	0	0	-0.0177425004912719	0	0	0	0	0	0	0	0	0	0	1	0	0
"ylcG"	0.0114692988319298	0	0	0.0103822679112423	0	0.129168221367857	0.00976271799458267	0.261412230589715	-0.26955355479823	0.0490296893048691	-0.0159039373254719	0	0	0.0134355721537652	0.264979393537278	-0.164267701297962	-0.0661449684566505	0.171585789673457	0.175852123459122	0.16222138042781	-0.0633051014907098	0	0.264679783954358	0.130868162451942	0.267967708892617	0.0118150150765896	0.260797271026933	0	0	0	-0.124200888111516	-0.141331468161181	-0.124054574269477	0	-0.119784575289529	0	0	0.103246632670093	0	-0.111284972714628	0	0	-0.0914118375228543	0.0129036485338448	-0.0647026043158528	0	-0.137562333323052	0	0.013566253273682	0.0132668312971167	0.00389853037077565	0.0122167149095808	-0.134529001884237	0.00330585351790212	0.265392846401938	0.265575744459821	0	0.196332069283131	0	1	0
"yqeB"	0	0	0	0	0	0	0	0	0	0.259484741153213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0218082679707762	0	0	0	0	0	0	0	0	0	0	-0.0178332801558221	0	0	0	0	0	0	0	0	0	0	0	0	1
