"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0.137703142938023	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.134555705946752	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0.0485085515776456	0	0	0	0	0	0	0.0914555693971923	0.172830209855364	0	0	1	0	0	0	0	0	0	0	0.0175098350785456	0	0	0	0	0	0	0	0	0	0	-0.0146483597594936	0	0	0	-0.0145312558114066	0	-0.0107761061385891	0	0	0	0	0	-0.000670268821594541	0	0	0	0.00367761748973888	0.00334269198697091	0	0	0	0.011024963744588	0.0509964769184978	0.00676537869941704	0	0	0	0	0	0	0	0	0	0	0	-0.0344542549523375	0.00699759348929274	0
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0.150349486258809	0.000811093280052077	0	0	0	1	0	0	0	0	0	0	0.0198742265336232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.145788527992783	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24508617482881	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	-0.121452339915004	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0633368379867828	0
"infB"	0	0	0	0	0	0	0	0	0	0	-0.221246138890319	0.0136427578231221	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105851692825835	-0.0866721650889629	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	-0.143015631401409	0	0	0	0	0	0	0	0	1	0	0	-0.00929635976161104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135162072210157	0.16692320892555	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0.136570831535144	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157773670040375	0
"metH"	0	0	0	0	0	0	0	0	0	0	0.193461082252675	-0.0455440134773915	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02200336295638	0.143009539795863	0
"mokC"	0	0	0	0	0.0247243160098078	0	0	0	0	0	0	0.244583017268913	0.126297578052365	0	0	0.0175098350785456	0.0198742265336232	0	0	0	-0.00929635976161104	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00384801894558912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0901648455917707	0	0	0	0	0.0269065439589407	0	0	0	0	0	0	0	0	0	0	0	0	-0.0712341499730867	-0.0824622997646183	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0.0136301965195442	-0.0887241861987628	-0.241071512462025	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244730839704924	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113547981143016	0
"nudC"	0	0	0	0	0	0	0	0	0	0	-0.00291933139070499	-0.0187845960562242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236373577613633	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248183858202808	0
"phoH"	0	0	0	0	0.0110200826101003	0	0	0	0	0	0	0.0445325757465461	0.173827593740246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152593700730695	0	0	0	0	0	0	0	0	0	0	0	0	-0.0269269861337511	0.00999118095543247	0
"prlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241478040783069	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0.193409878659014	-0.0173102318415135	-0.0462082074287633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.019842988756078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0821644325534886	0.00208142428039441	0
"rbsB"	0	0	0	0	0	0	0	0	0	0	-0.00303011339465907	-0.0138172280134114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235951934721076	0	0
"rbsD"	0	0	0	0	-0.0286065345389092	0	0	0	0	0	0	-0.00189166940130768	-0.173136276803414	0	0	-0.0146483597594936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.032970652082053	0	0	0	0	0	0	0	0	0	0	0	0	0.00361777206175943	-0.106873526567788	0
"rbsR"	0	0	0	0	0	0	0	0	0	0	0	0.148605080923565	0	0	0	0	0	0	0	0	0	0	0	0.00384801894558912	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.139179024757764	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243532001940403	0
"rne"	0	0	0	0	0	0	0	0	0	0	0	0.117342858872289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12707381338953	0
"rplF"	0	0	0	0	-0.0285080071857337	0	0	0	0	0	0	-0.00187423345227472	-0.17315013706296	0	0	-0.0145312558114066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.032877748183148	0	0	0	0	0	0	0	0	0	0	0	0	0.00359584653279905	-0.106733023969407	0
"rpsA"	0	0	0	0	0	0	0	0	0	0	0.194350405072903	-0.0160504400426457	-0.043748485683687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0161863205776857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0799966548483152	0.00252611932225599	0
"rpsC"	0	0	0	0	-0.0253392147185672	0	0	0	0	0	0	-0.000535467029893987	-0.172807790796321	0	0	-0.0107761061385891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0298746264325826	0	0	0	0	0	0	0	0	0	0	0	0	0.00375129399709017	-0.103307148786666	0
"sapF"	0	0	0	0	0	0	0	0	0	0	-0.00312121525591991	-0.0177633235605465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236262177144671	0	0
"speG"	0	0	0	0	0	0.0186165628498067	0	0	0	0	0.178497284233818	-0.0323648994832471	-0.0723861209311346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019842988756078	0	0	0	0	0	0	0.0161863205776857	0	0	1	0	0	0	0	0.024149230384098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301457127177924	0	0.0205095584248513	0	-0.102953436658266	0	0.0169000738412348
"spoT"	0	0	0	0	0	0	0	0	0	0	0.0345178405318912	-0.178441699551602	-0.048670117537794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0984172302368392	0
"thiI"	0	0	0	0	0	0	0	0	0	0	0	-0.00066797359249204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233516247133862	0	0
"thrA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22528578902231	0	0
"trkH"	0	0	0	0	-0.0165653701728728	0	0	0	0	0	0	0	-0.168465741985106	0	0	-0.000670268821594541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0214490396039218	0	0	0	0	0	0	0	0	0	0	0	0	0.00420112703609271	-0.0959534008301392	0
"wzy"	0	0	0	0	0	0	0	0	0	0	0.192415191414231	-0.018643613102938	-0.0490605226466099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024149230384098	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0848824602913568	0.00147303362575589	0
"ybaE"	0	0	0	0	0	0	0	0	0	0	-0.000172413574169647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231341201542549	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0.135984674770668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.174424586776361	-0.111967876626876	0
"ybbN"	0	0	0	0	0.0165943197116199	0	0	0	0	0	0	0.0517142210610086	0.172594858662441	0	0	0.00367761748973888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0205539273805626	0	0	0	0	0	0	0	0	0	0	0	0	-0.0301756909703845	0.00980177950808966	0
"ybeB"	0	0	0	0	0.012030514863168	0	0	0	0	0	0	0.237236467377789	0.118150022144837	0	0	0.00334269198697091	0	0	0	0	0	0	0	0.0901648455917707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0146273591286199	0	0	0	0	0	0	0	0	0	0	0	0	-0.0627834616151621	-0.0765351285343331	0
"ybhP"	0	0	0	0	0	0	0	0	0	0	-0.00299850215667187	-0.0149349829188645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236106081260536	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	0	0.142376284030406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.135960662099714	0
"yceK"	0	0	0	0	0	0	0	0	0	0	-0.00449447019975742	-0.048566013501371	-0.0224972073261197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241014208890906	0	0
"ycfC"	0	0	0	0	0.0228674047321764	0	0	0	0	0	0	0.060266253156231	0.171659646526789	0	0	0.011024963744588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0265163581690573	0	0	0	0	0	0	0	0	0	0	0	0	-0.033604270370752	0.0090090872504041	0
"yebY"	0.0155401608013467	0	0	0	0.0556411417344624	0	0	0.00977659230331892	0	0	-0.00916145020351432	0.0897292829510754	0.148654248130508	0	0	0.0509964769184978	0	0	0	0	0	0	0	0.0269065439589407	0	0	0	0	0	0.0152593700730695	0	0	0	0	-0.032970652082053	0	0	0	-0.032877748183148	0	-0.0298746264325826	0	0	0	0	0	-0.0214490396039218	0	0	0	0.0205539273805626	0.0146273591286199	0	0	0	0.0265163581690573	1	0.0230556930371627	0	0.016996801107916	0	0	0	0	0	0	0	0	0	-0.0279796787276593	0.00889295781261306	0
"yecE"	0	0	0	0	0.0192299292474004	0	0	0	0	0	0	0.0552168049285891	0.172136710479385	0	0	0.00676537869941704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0230556930371627	1	0	0	0	0	0	0	0	0	0	0	0	-0.0314892298919804	0.00954224354656585	0
"yeeR"	0	0	0	0	0	0	0	0	0	0	0	0.0238355760237434	0.177222365084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0157841305797574	0.00583486695904683	0
"yeeU"	0	0	0	0	0.0128498750260209	0	0	0	0	0	0	0.0468003010151898	0.173492650729563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016996801107916	0	0	1	0	0	0	0	0	0	0	0	0	-0.028025899365757	0.0100515367065144	0
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0	0.134932907582274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.133998940888233	0
"yfcTU"	0	0	0	0	0	0	0	0	0	0	0	0.0227061778279487	0.177134274705906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0152080724760371	0.0054885696635151	0
"yggM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.24562021883564	0
"ygjD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.245784192094207	0
"yhdG"	0	0	0	0	0	0	0	0	0	0	0	-0.12211585884018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0655873374283394	0	0
"yhdJ"	0	0	0	0	0	0	0	0	0	0	0.191180800791709	-0.0203637510750527	-0.0528590524553684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301457127177924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.089030794551049	0.000651739236063565	0
"yieO"	0	0	0	0	0	0	0	0	0	0	0	0	0.150445094851108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.00503700098625939	0.179155482821064	0
"yihP"	0	0	0	0	0	0	0	0	0	0	0.193232137191605	-0.0175402855118021	-0.0466414268513804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0205095584248513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.08257804731197	0.00199091192899183	0
