"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cpsG"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lon"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"arcA"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099658211228837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127185636692861	0.0920999373893914	0	0
"blr"	0	0	0	-0.0461303067111546	0.0525716138455132	0	0	0	-0.00769400359360129	0	0	1	0.0454172036300028	0	0	-0.0160210740257631	0	0	0	0.0288108631402501	0	0	0	0	0.0471002974967353	-0.0185764239895492	0	0.131632769100304	0	-0.0377152482293288	0	0	0	0	0	0.0206982906103023	0	-0.0184319912735899	0	0	0	-0.020751083743998	0	0.0410273829141891	-0.0153274678444904	0	0	0	0	0	0.0582866123137745	-0.0264366620224023	-0.017581146072262	0	0.0386092478069461	0	0	0	0	0	0	0	0	0	0	0	0	0.0491806538076308	0	0.0243384626986979	0.0478179150561438	0	0.0564566221247267	0	0	0	0	-0.0132781805688674	0	0	0	0.0454441606725948	0	-0.0190246970781535	0	-0.0191369126600816	-0.0466723492809949	0	0	0	0	0	0.0986421315476084	0	-0.125594633044287	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0.0454172036300028	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113753775826951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0074036776432639	0	-0.147892003738463	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.00912438652473106	-0.10322634641688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13996822697877	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.115770559802974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0860810868531912	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	-0.0160210740257631	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181614610413866	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.145019187574751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.159223515346208	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.236658166955914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.20355476214951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00735289922016899	-0.0457396426556086	0	0
"hokB"	0	-0.0103881532674904	0	-0.0812680683528419	0.0237149336463892	0	-0.00457603809394124	0.0606031440813042	0	0	0	0.0288108631402501	0	-0.00912438652473106	0	0	0	0	0	1	0.0836485385704993	0	0	0.0516656891746518	0.0410358791562223	0	0	0	0	-0.128632566007829	0	0	0	0	-0.000229236554774623	0.168654620338664	0	0	0	0	-0.00283455304483757	0	0	0	0	0	0	0	-0.00190768649576258	0	0.0157917135615971	0	0	0	0	0	0	0	0	-0.0025761826909561	0	-0.0372823680896013	-1.60607893359179e-05	0	0	0	0	0	0	0.156349894782789	0.0381110068645478	-0.00206622183530584	0.0012978341879703	-0.0106820421639738	0.00839762138199648	0.0620273154223747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0210245609122061	0.0558213561176422	-0.0866982851077162	-0.0908570251448603	0	0.0540736059030389
"hokD"	0.120482786988132	-0.0980199912976957	0	0	0	0.118241600225795	-0.0964913213719599	0.14773641577543	0	0	0	0	0	-0.10322634641688	0.115770559802974	0	0	0	0	0.0836485385704993	1	0	0	0.146204753743982	0	0	0	-0.114298203081795	-0.160970855657273	-0.021446173833954	0	0	0.118639741858199	0	-0.0768982619250482	0.0912039196029839	-0.0342611547307872	0	0	0	-0.0901856352151977	0	0.120318040515883	0	0	0.123046873178473	0	0	-0.0868703102758603	0	0	0	0	0	0	0.124260080152808	0	0	0	-0.0893949003113272	0	-0.093989924414334	-0.0739540160664653	-0.162536137302859	0	0	-0.0707978891785245	0	0.128658202713968	0.0778537344789944	0	-0.0876644075135719	0	-0.0915553722702804	0.139513519128117	0.148304932271118	0.135159817386814	0	0.111054589176542	0.122487606422465	0.110107226247752	0	0.110764910665467	0	0.131885007850907	0	0	0	0.118508592268052	0	-0.0722276368672791	0.141501335195038	0	0	0.0554603168942397	0	0.163238660993754
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.141489636811437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.155464764833145	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0.00665642428196249	0	0	0	0	0	0	0	0	0	0	0	0.0516656891746518	0.146204753743982	0	0	1	0	0	0	-0.023043637190107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00904741150149453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0945113447715073	0	0	0.0353873612256282
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0.0471002974967353	0	0	0	0	0	0	0	0.0410358791562223	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249130628945847	0	-0.15553340600209	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	-0.0185764239895492	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00166258205797121	0	0.183501310329597	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0437275592314558	0	0
"ilvL"	0	0	0.211577589514605	0	0	0	0	-0.0270879795782026	0	0.202593369613367	0.099658211228837	0.131632769100304	0.0113753775826951	0	0	0	-0.145019187574751	0.236658166955914	-0.20355476214951	0	-0.114298203081795	-0.141489636811437	0	-0.023043637190107	0	0	0	1	0	0	0.195224085404091	0.225100676285102	0	0.143986041760973	0	0	0	0	0.0366756971099486	0	0	0	0	0.0187760627921587	0	0	0	0.203696613887719	0	-0.206878663451367	0.000110725305626261	0	0	0.198287362239997	0.0206793165014104	0	-0.206810338213765	0.200773040530262	-0.205082416054365	0	0.225103517406076	0.0696840937432663	0	0	-0.201465320154253	0.207077906892781	0	0.177695406706236	0	0	0	0	0.0043612298160197	-0.0004892232963412	-0.00245498411801823	-0.0277739127806225	0	0	0	0	0	0.0114421148484348	0	0	0	0	-0.146022603415906	0.211472285923865	0	0.204311805964833	0	-0.00848609688978565	0.0775394620120935	-0.128775389914805	-0.0177222317104512	0.201314808517776	-0.036882962489168
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.160970855657273	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400691440507007	-0.104930638040011	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	-0.0377152482293288	0	0	0	0	0	0	0	-0.128632566007829	-0.021446173833954	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0155032845931149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0277166171569446	0.114320440013239	0.133604224779588	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195224085404091	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225100676285102	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118639741858199	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00571190427750402	0.120608212957782	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143986041760973	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120513468381273	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000229236554774623	-0.0768982619250482	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137064764359711	0	0	0
"mokC"	0	0	0	0	0	0	0	0.00422154167167473	0	0	0	0.0206982906103023	0	0	0	0	0	0	0	0.168654620338664	0.0912039196029839	0	0	0	0	0	0	0	0	-0.0155032845931149	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062977744374884	0	0	0	0	0	0.00696530097817085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0312495592716668	-0.121554972944545	-0.114216156382004	0	0.0190247630764777
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0342611547307872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0370051891873122	-0.00630403259887362	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	-0.0184319912735899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00149250586016879	0	0.18344439254845	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0366756971099486	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073270849148991	0	0
"narZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164148073681299	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00283455304483757	-0.0901856352151977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134775337514972	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	-0.020751083743998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00432617349809533	0	0.185352621531519	0	0
"phoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120318040515883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0891126162890736	0	0	0
"plsB"	0	0	0	0	0	0	0	0	0	0	0	0.0410273829141891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187760627921587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.138113343514318	0	0
"prlA"	0	0	0	0	0	0	0	0	0	0	0	-0.0153274678444904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181388338164197	0	0
"proX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123046873178473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0902165083809937	0	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203696613887719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00190768649576258	-0.0868703102758603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135299465543527	0	0	0
"rbsD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.206878663451367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146448727341381	-0.054887096393886	0	0
"rbsR"	0	0	0	0	0	0	0	0	0	0	0	0.0582866123137745	0	0	0	0	0	0	0	0.0157917135615971	0	0	0	0	0	0	0	0.000110725305626261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263757778506395	0	-0.149043546297339	0	0
"recO"	0	0	0	0	0	0	0	0	0	0	0	-0.0264366620224023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0110120102921579	0	0.189941825719613	0	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	0	-0.017581146072262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000415721619671524	0	0.182874970440345	0	0
