"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cpsG"	"cycA"	"envZ"	"fabF"	"flgB"	"flu"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lon"	"lrp"	"malT"	"menC"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"phoR"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"arcA"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974558345450433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.125149892594523	0.0933832113330187	0	0
"blr"	0	0	0	-0.0460035129183522	0.0645552429968448	0	0	0	-0.00631384010254588	0	0	1	0.061661370074635	0	0	-0.013551618785384	0	0	0	0	0.0212776002939067	-0.000103232131307774	0	0	0	0.0655785685997586	-0.0166591969994489	0	0.141747929361297	0	-0.0339184660176697	0	0	0	-0.0200378095441507	0	0	0.0123729758277584	0	-0.0164121900728135	0	-0.000785811410807702	0	-0.0185726429177975	0	0	0.052073139826121	-0.0130339315129719	0	0	0	0	0	0.064029953436969	-0.0240804573981868	-0.0151474487063284	0	0.048421321480798	0	0	0	0	0	0	0	0	0	0	0	0	0.063401342572373	0	0.0151151386795055	0.0654854622552753	0	0.0628622872091394	0	0	0	0	-0.0111268709343176	0	0	0	0.0616778984617697	0	-0.0170336368767969	0	-0.0171522973884512	0	-0.067169759617523	0	0	0	0	0	0.0959347405327059	0	-0.112231938932522	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0.061661370074635	1	0	0	0	0	0	0	0	0.0136170541777294	0	0	0	0	0	0	0	0.014180957416578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243341154429894	0	-0.13117965503459	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.00638682972736176	-0.0862764040891903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15498986157341	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.121082958733483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.07355628753421	0	0	0
"envZ"	0	0	0	0	0	0	0	0	0	0	0	-0.013551618785384	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180506235608029	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.132594207348798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121914574878495	-0.165962205753314	0	0
"flgB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.00264436228201126	0	0	0	0	0	0	0.235185527113567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"flu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.111994977566662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0668778522569053	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.194409461759375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0130364999347225	-0.0523905601271331	0	0
"hokB"	0	-0.00720106929721578	0	-0.0815859836749575	0.0388968406203385	0	-0.000552030262877018	0.0597839523815984	0	0	0	0.0212776002939067	0.0136170541777294	-0.00638682972736176	0	0	0	0	0	0	1	0.0738367985499153	0	0	0.0555840151974175	0.0475056543523583	0	0	0	0	-0.131656678707788	0	0	0	0	0	0	0.170805900544874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343983601753216	0	0	0	0	0	0	0	0	0	0	-0.041183613517639	0	0	0	0	0	0	0	0.160793790705393	0.0460759788254032	0	0.0249816041973155	-0.0077602146752134	0.0132426526047896	0.0608750896334988	0.00267088833487407	0	0	0	0	0.013602944839812	0	0	0	0	0	0	0	0	0	0	0.0265836225683624	0.055139189876303	-0.090928338916199	-0.0780338772419306	0	0.0538284589947597
"hokD"	0.128701217089392	-0.0799764175221566	0	0	0	0.125234413612289	-0.0779888903432056	0.144523641039663	0	0	0	-0.000103232131307774	0	-0.0862764040891903	0.121082958733483	0	0	-0.00264436228201126	0.111994977566662	0	0.0738367985499153	1	0	0	0.142610250006499	0	0	0	-0.128949437099704	-0.157164678396879	-0.015945149395557	0	0	0.114494319592281	0	0	-0.0554491834670281	0.0886041123452924	-0.0327940603316334	0	0	0	-0.0713367921401446	0	0.128188069366856	-0.0565577276012835	0	0	0.133222184196939	0	0	-0.0671413083423585	0	0	0	0	0	0	0.135762150878423	0	0	0	-0.0706042034497142	0	-0.0948426935979248	-0.0522571066997411	-0.159326321856702	0	0	-0.0485460570920831	0	0.138233704034639	0.0780121605164009	0	-0.068041987388538	0	-0.0774469250177668	0.137571461063492	0.145617299408347	0.136687861836543	0	0.113355064953719	0.132132783476478	0.111933121235134	0	0.112936187700916	0	0.137816602322199	0	-0.0531666162974284	0	0	0.117492255019281	0	-0.0499349862981545	0.139714303521736	0	0	0.0519409585493887	0	0.156424115989626
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.129317489029319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000506059906467717	-0.161893992501673	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0.0118468573301935	0	0	0	0	0	0	0	0	0	0	0	0	0.0555840151974175	0.142610250006499	0	0	1	0	0	0	-0.0299316839862118	0	0	0	0	0	0	0	0	0.00197810202202361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145682070672554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0902640188788124	0	0	0.0362700713942056
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0.0655785685997586	0	0	0	0	0	0	0	0	0.0475056543523583	0	0	0	0	1	0	0	0.000413802661439997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362937298809977	-0.00693364566272974	-0.141404820600577	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	-0.0166591969994489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.3342381553525e-05	0	0.182868429081087	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.04439180845833	0	0
"ilvL"	0	0	0.211603985089921	0	0.00412959919008511	0	0	-0.0333358061954015	0	0.202368861923046	0.0974558345450433	0.141747929361297	0.014180957416578	0	0	0	-0.132594207348798	0.235185527113567	0	-0.194409461759375	0	-0.128949437099704	-0.129317489029319	0	-0.0299316839862118	0.000413802661439997	0	0	1	0	0	0.194712774575033	0.224692836803453	0	0	0.139515085529083	0	0	0	0	0.0311287117807241	0	0	0	0	0	0.0234993757317208	0	0	0	0.203530245722463	0	-0.197730789614466	0.00637250719427613	0	0	0.197934236865862	0.0266350566651399	0	-0.197683629119679	0.200543660890749	-0.196012000671459	0	0.224710370893012	0.0644141705556312	0	0	-0.192215789631418	0.2070654561495	0	0.182119287062834	-0.00236951366262845	0	0.00162207558838211	0	0.0103665650786362	-0.00219276711731363	-0.0111799605824252	-0.0343273130297554	-0.0069486791701131	0	0	0	0	0.0144030626812556	0	0	-0.00509892920577687	0	0	-0.149566409193076	0.21153294597313	0	0.204148353481707	0	-0.0172320506001586	0.0843879664398671	-0.139740346548123	-0.00757500639670637	0.201084360366443	-0.0429325187936914
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.157164678396879	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0318832093067566	-0.104164200364489	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	-0.0339184660176697	0	0	0	0	0	0	0	0	-0.131656678707788	-0.015945149395557	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.0257899696372185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0292698739065914	0.114431884949323	0.132014506466561	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194712774575033	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224692836803453	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114494319592281	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00764488728031834	0.120009441863369	0	0
"menC"	0	0	0	0	0	0	0	0	0	0	0	-0.0200378095441507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00428571575229768	0	0.18604501465842	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139515085529083	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11950198688957	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0554491834670281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148147985410191	0	0	0
"mokC"	0	0	0	0	0	0	0	0.0101624084475614	0	0	0	0.0123729758277584	0	0	0	0	0	0	0	0	0.170805900544874	0.0886041123452924	0	0	0.00197810202202361	0	0	0	0	0	-0.0257899696372185	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0740018635490449	0	0	0	0	0	0.0128714391544819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313033435803072	-0.11156954613313	-0.117416459744587	0	0.0226235520843929
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0327940603316334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355693245929412	-0.00854585284366647	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	-0.0164121900728135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182676719257202	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0311287117807241	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0726368090906522	0	0
"narZ"	0	0	0	0	0	0	0	0	0	0	0	-0.000785811410807702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16020063838705	0	0
"nudC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0713367921401446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148002518126063	0	0	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	-0.0185726429177975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00255281501828686	0	0.18478467647427	0	0
"phoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128188069366856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0747620665231666	0	0	0
"phoR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0565577276012835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147925662593343	0	0	0
"plsB"	0	0	0	0	0	0	0	0	0	0	0	0.052073139826121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234993757317208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00727113468545098	0	-0.129343768444918	0	0
"prlA"	0	0	0	0	0	0	0	0	0	0	0	-0.0130339315129719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180115552289996	0	0
"proX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133222184196939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0740453254511892	0	0	0
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
