"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"	"yqeB"
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0	0	0	0	0	0	0	0.277624385645879	0	-0.00444456963966914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0204797393693827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsB"	0	0.0169759741020159	0	0	-0.0105894681286414	0	0	0	0	0	-0.00520640061440884	-0.163221597084578	-0.07692226996495	0	0	0	0	0	0	0	0	0	-0.0116838715965484	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0413062140607363	0	-0.0138508827275568	0	0	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	0.0186714247915685	0	0	-0.0158495601566223	0	0	0	0	0	-0.11843955686895	-0.0235974590245654	-0.0738072255498617	0	-0.0114246822724483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0505443981880096	0	0.0445588823622527	0	0	0	0	0.0320979628643146	0	0	0	0	0	0	0	0.0360425280639117	0	-0.0157947662826082	0	0	0	0	0	0	0	0	0	0	-0.109036181211899	0
"rbsR"	0	0	0	0	0	0	0	0	0	0	0	0.152630241533311	0	0	0	0	0	0	0	0	0	0	0.00469873858463562	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13518400368964	0
"rfbB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24483745808266	0
"rne"	0	0	0	0	0	0	0	0	0	0	0	0.122399409200808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119546911461282	0
"rplF"	0	0.0185236755678399	0	0	-0.015772449583353	0	0	0	0	0	-0.118315016178174	-0.0236006446665941	-0.0739337390728119	0	-0.0113182954618188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505443981880096	0	0	0	1	0	0.0443517342809469	0	0	0	0	0.031856406640857	0	0	0	0	0	0	0	0.0359409150661555	0	-0.0157281090366258	0	0	0	0	0	0	0	0	0	0	-0.108967665349139	0
"rpsA"	0	0	0	0	0	0	0	0	0	0	0.277710111247382	0	-0.00269815145837643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0167381506691166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsC"	0	0.0145660028025722	0	0	-0.0130977280523293	0	0	0	0	0	-0.116728740791054	-0.024081992166107	-0.0766487963855371	0	-0.0078200951211528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0445588823622527	0	0	0	0.0443517342809469	0	1	0	0	0	0	0.0242033062496035	0	0	0	0	0	0	0	0.0334471910634943	0	-0.0133052286248368	0	0	0	0	0	0	0	0	0	0	-0.106397196832408	0
"sapF"	0	0.0189638045646399	0	0	-0.012540161242235	0	0	0	0	0	-0.00575155572936635	-0.16223911227165	-0.0773182661014735	0	-0.00224240096915837	0	0	0	0	0	0	0	-0.0147497475487582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0425047775642812	0	-0.0156532713042423	0	0	0	0	0	0	0	0	0	0	0	0
"speG"	0	0	0	0	0	0.0190774297955457	0	0	0	0	0.273810028537113	0	-0.0206065174020081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204797393693827	0	0	0	0	0	0	0.0167381506691166	0	0	1	0	0	0	0.0249502304744805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212911994924034	0.000356317653619476	0.0173758826546416
"spoT"	0	0	0	0	0	0	0	0	0	0	0.127331273686933	-0.123636433832314	-0.0229685061327059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0964105442879156	0
"thrA"	0	0.000872244519806615	0	0	0	0	0	0	0	0	-0.00450461535001952	-0.160829143780883	-0.0697487393399413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0308481027987742	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"trkH"	0	0.00648138150604591	0	0	-0.00567168658979687	0	0	0	0	0	-0.11906417373644	-0.025187815218582	-0.0781689996761616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320979628643146	0	0	0	0.031856406640857	0	0.0242033062496035	0	0	0	0	1	0	0	0	0	0	0	0	0.0285014457602417	0	-0.00625900925488829	0	0	0	0	0	0	0	0	0	0	-0.0991183579971832	0
"wzy"	0	0	0	0	0	0	0	0	0	0	0.277314042854003	0	-0.00705913162486089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249502304744805	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ybaE"	0	0.00658356560449345	0	0	0	0	0	0	0	0	-0.00418355556246917	-0.164462557976223	-0.0728691607966369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0347205935801273	0	-0.00366332669482043	0	0	0	0	0	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0.303364814412587	0.0420638759407495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.101110378570591	0
"ybbN"	0	0	0	0	0.0318132692775048	0	0	0	0	0	0	0.0653712744222696	0.170623604020022	0	0.0202114854956429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.00474619605193702	0	0.0357393565577104	0	0	0	0	0	0	0	0	0	0	0.0166118965511042	0
"ybeB"	0	-0.0295233677216117	0	0	0.0254217165007946	0	0	0	0	0	0	0.249575789012683	0.0869524232388382	0	0.0181650832945658	0	0	0	0	-0.00301024434057116	0	0	0.103991045139967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.0422579762356763	0	0.0279776501713509	0	0	0	0	0	0	0	0	0	0	-0.0605901688061918	0
"ybhP"	0	0.0175158426459245	0	0	-0.0110935842909752	0	0	0	0	0	-0.00533761771158347	-0.163015059320967	-0.0770591515053222	0	-0.000490117564974177	0	0	0	0	0	0	0	-0.0124489522919669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0416234432687345	0	-0.0142904764304357	0	0	0	0	0	0	0	0	0	0	0	0
"ycdM"	0	0	0	0	0	0	0	0	0	0	0	0.148337336989205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.130806968856005	0
"yceK"	0	0.0733281725243684	0	0.0460808924783433	-0.0338414781673671	0	-0.0154911169816007	0	0	0	-0.106373018232971	-0.127611962520886	-0.0185566565797484	0	-0.036746298313115	0	0	0	0	0.0113160762662583	0	0	-0.0564572681637487	0	0	0	0	0	0	0	0	0.0413062140607363	0.0360425280639117	0	0	0	0.0359409150661555	0	0.0334471910634943	0.0425047775642812	0	0	0.0308481027987742	0.0285014457602417	0	0.0347205935801273	0	-0.00474619605193702	-0.0422579762356763	0.0416234432687345	0	1	-0.0122726849383773	-0.0318355125119911	-0.00784951924919303	0	-0.000148330468930513	0	0	0	0	0	0	0	0	0
"ycfC"	0	-0.000163274337949397	0	0	0.0376358474495445	0	0	0	0	0	0	0.0730043844832751	0.169066257242882	0	0.0269621541223241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0122726849383773	1	0.0412670509276595	0	0	0	0	0	0	0	0	0	0	0.0163538850542293	0
"yebY"	0.030817908022881	-0.0322643870196727	0	-0.0199648561589772	0.0626841439386133	0	0	0.0250939227322208	0	0	0	0.0586077933173117	0.134612984598263	0	0.0602632660995373	0	0	0	0	0	0	0	0.0388808100828565	0	0	0	0	0.0306113602298839	0	0	0	-0.0138508827275568	-0.0157947662826082	0	0	0	-0.0157281090366258	0	-0.0133052286248368	-0.0156532713042423	0	0	0	-0.00625900925488829	0	-0.00366332669482043	0	0.0357393565577104	0.0279776501713509	-0.0142904764304357	0	-0.0318355125119911	0.0412670509276595	1	0.0380131792661587	0.0131245810167288	0.032281235427815	0	0.0121660459857545	0	0	0	0.001446522547433	0	0.0225375479784173	0
"yecE"	0	0	0	0	0.0342302338914104	0	0	0	0	0	0	0.0684969092272181	0.169919204235644	0	0.0230011041975448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00784951924919303	0	0.0380131792661587	1	0	0	0	0	0	0	0	0	0	0.0165149748874805	0
"yeeR"	0	0	0	0	0.00789419905993355	0	0	0	0	0	0	0.0362468705627611	0.180909959416669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131245810167288	0	1	0	0	0	0	0	0	0	0	0.0110502622608994	0
"yeeU"	0	0	0	0	0.0281796197882499	0	0	0	0	0	0	0.0608895386760352	0.171935178787088	0	0.015907571334227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000148330468930513	0	0.032281235427815	0	0	1	0	0	0	0	0	0	0	0.0166690759719864	0
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0	0.141744566346678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.128180401338237	0
"yfcTU"	0	0	0	0	0.00688748773032032	0	0	0	0	0	0	0.0351037364967723	0.181320109554391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121660459857545	0	0	0	0	1	0	0	0	0	0	0.0105969711581353	0
"yggM"	0	0	0	0	0	0	0	0	0	0	0	-0.000209833218462383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.246973562577155	0
"ygjD"	0	0	0	0	0	0	0	0	0	0	0	-0.000282286199301088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.247175054188404	0
"yhdG"	0	0	0	0	0	0	0	0	0	0	-0.260593892308501	-0.132712730631833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0127892804619203	0
"yieO"	0	0	0	0	0	0	0	0	0	0	0	0	0.180133337213918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001446522547433	0	0	0	0	0	0	0	0	1	0	0.179899732493953	0
"yihP"	0	0	0	0	0	0	0	0	0	0	0.277562697788444	0	-0.00492530104869473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212911994924034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ylcG"	0.0166840491775881	0	0.238082438485581	0	0.0219702520293114	0	0.121317782423256	0.0159576393784904	0.243349903459421	-0.238199406978909	-0.0226286648401684	-0.0160674509354142	0	0	0.0201881526113839	-0.141713900430013	0.246333382452491	-0.0873254028838435	-0.0414589164080213	0.146949876513772	0.158420332537059	0.161879040210106	-0.0615851128346524	-0.0381588210498347	0.246087593308092	0.110451667513821	0.249571564309972	0.0165210427378175	0.242694109310784	0	0	0	-0.109036181211899	-0.13518400368964	0.24483745808266	-0.119546911461282	-0.108967665349139	0	-0.106397196832408	0	0.000356317653619476	0.0964105442879156	0	-0.0991183579971832	0	0	-0.101110378570591	0.0166118965511042	-0.0605901688061918	0	-0.130806968856005	0	0.0163538850542293	0.0225375479784173	0.0165149748874805	0.0110502622608994	0.0166690759719864	-0.128180401338237	0.0105969711581353	0.246973562577155	0.247175054188404	0.0127892804619203	0.179899732493953	0	1	0
"yqeB"	0	0	0	0	0	0	0	0	0	0	0.277589011560325	0	-0.00305736741187557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173758826546416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
