"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"mokC"	"mreB"	"mreC"	"nadR"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rpsA"	"spoT"	"trkH"	"ybaL"	"ybeB"	"yfaQ"	"yhdG"	"yieO"
"infC"	0.168326791162518	0	0	0	-0.0707410303955194	0	0	0	0	0	1	0	0.00920551276598627	0	0.0474943327752048	0	0	0	0.164982398364909	0	-0.0788022827937587	0	0.058922225701871	0	-0.0643734173891554	-0.104869943064897	-0.0670584834628655	0.164722811735482	0
"mokC"	0	0.153380562645049	-0.00919325235341148	0.146052098030356	0	-0.0384261074354512	0.15944931791146	0.154805563360527	0	-0.0299684623463919	0	1	-0.11003862328452	0	0.0181172985039192	0	0	-0.0106335915016164	0	-0.0391325601340225	0	-0.00667851020684071	-0.0118155480554658	-0.0228327850942961	0	0.0748103247938916	0	0	0.0705261364840432
"mreB"	0.0488900689402557	-0.101977009708059	0	-0.0121144811136093	0	0	-0.184183555198555	-0.130357875176663	0	0	0.00920551276598627	-0.11003862328452	1	0	0	0	0	0	0	0	0	0	0.021811646405427	0	0	-0.205665360689015	0	0	-0.0825129786394664
"mreC"	0	0	0	0	-0.0739688283260766	0	0	0	0	-0.00159403792226233	0	0	0	1	0.0172909095447145	0.357069021056311	0	0	0	-0.0134555480528523	0	0	0	0	0	0	0	0	0.19749157263914
"nadR"	0.0741608318771437	0.0119594413978688	0	0	-0.250626138631127	0	0.0928756175993277	0.0371027394566333	0	-0.0681914770334239	0.0474943327752048	0.0181172985039192	0	0.0172909095447145	1	0.00902712581628163	0	0	0.0253786409328857	-0.109762198214734	-0.0592725719695245	0	0	-0.0421743113082273	-0.0152763896075443	0	-0.0234859942400715	0.0165713847137027	0.132954220589008
"prlA"	0	0	0	0	-0.0700499964351554	0	0	0	0	0	0	0	0	0.357069021056311	0.00902712581628163	1	0	0	0	-0.010909949783731	0	0	0	0	0	0	0	0	0.195666940965191
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	-0.00809563702406721	0.203356864790848	0	0	0.227260612444605	-0.0438653058682401	-0.0178466478192839	0	0	0	-0.0106335915016164	0	0	0	0	0	1	0	0	0	0.201327078054488	0.0748520378887564	0	0	-0.0132922834414048	0	0	0
"rbsB"	0.171981225711157	0	0	0	-0.0643230355645376	0	0	0	0	0	0.164982398364909	0	0	0	0.0253786409328857	0	0	0	1	0	-0.0680329780779359	0	0.0382755406238251	0	-0.0473754165974235	-0.0960850846877077	-0.0512968569893882	0.159526546273263	0
"rbsD"	0	-0.0384089447865211	0	-0.0195006038912853	0.166214009607209	0	-0.0420488146646881	-0.0414270772611277	0	0.213683446913163	0	-0.0391325601340225	0	-0.0134555480528523	-0.109762198214734	-0.010909949783731	0	0	0	1	0	0	0	0.212813809598898	0	0	0	0	-0.0994596214897544
"rbsR"	-0.0947285235817085	0	0	0	0.132190818257142	0	0	0	0	0	-0.0788022827937587	0	0	0	-0.0592725719695245	0	0	0	-0.0680329780779359	0	1	0	-0.0571190636889543	0	0.172938062060788	0.101340461414498	0.173074696295098	-0.0641804335926564	0
"rpsA"	0	-0.0038787366804453	0.199994610235002	0	0	0.226794147702883	-0.0424920637962581	-0.0145700343279933	0	0	0	-0.00667851020684071	0	0	0	0	0	0.201327078054488	0	0	0	1	0.0683352917433837	0	0	-0.0090864373043344	0	0	0
"spoT"	0.091244659268751	-0.008002252559133	0.0724669608851232	0	-0.0380112986818404	0.124706350508482	-0.046497070675287	-0.0202520372328417	0	0	0.058922225701871	-0.0118155480554658	0.021811646405427	0	0	0	0	0.0748520378887564	0.0382755406238251	0	-0.0571190636889543	0.0683352917433837	1	0	-0.0322696453784605	-0.237763717425246	-0.0374552048451422	0.0307322633344113	0
"trkH"	0	-0.0203413995090068	0	0	0.137391606576309	0	-0.0420163499300146	-0.0297364449169691	0	0.20548527161646	0	-0.0228327850942961	0	0	-0.0421743113082273	0	0	0	0	0.212813809598898	0	0	0	1	0	0	0	0	-0.0814070052861272
"ybaL"	-0.0889458367685402	0	0	0	0.123114648081463	0	0	0	0	0	-0.0643734173891554	0	0	0	-0.0152763896075443	0	0	0	-0.0473754165974235	0	0.172938062060788	0	-0.0322696453784605	0	1	0.0957233715425507	0.167328037732501	-0.0411878709728762	0
"ybeB"	-0.114986555344301	0.0732227893502436	-0.0117470564601207	0.0425151848802971	0	-0.0442907877009781	0.0816457088556617	0.0770751475195698	0	0	-0.104869943064897	0.0748103247938916	-0.205665360689015	0	0	0	0	-0.0132922834414048	-0.0960850846877077	0	0.101340461414498	-0.0090864373043344	-0.237763717425246	0	0.0957233715425507	1	0.0971896040741754	-0.0924791327378933	0
"yfaQ"	-0.0899243300732677	0	0	0	0.124471784828972	0	0	0	0	0	-0.0670584834628655	0	0	0	-0.0234859942400715	0	0	0	-0.0512968569893882	0	0.173074696295098	0	-0.0374552048451422	0	0.167328037732501	0.0971896040741754	1	-0.0455765519889167	0
"yhdG"	0.173318783704472	0	0	0	-0.0617530833460547	0	0	0	0	0	0.164722811735482	0	0	0	0.0165713847137027	0	0	0	0.159526546273263	0	-0.0641804335926564	0	0.0307322633344113	0	-0.0411878709728762	-0.0924791327378933	-0.0455765519889167	1	0
"yieO"	0	0.0653885343213399	0	0.0159110249877961	-0.0915047420169411	-0.00462472403359608	0.125749292861401	0.084162800473924	0	-0.089993070084309	0	0.0705261364840432	-0.0825129786394664	0.19749157263914	0.132954220589008	0.195666940965191	0	0	0	-0.0994596214897544	0	0	0	-0.0814070052861272	0	0	0	0	1
