"ECB_00737"	"ECB_01992"	"ECB_02012"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03710"	"ECB_03722"	"acpP"	"acs"	"appC"	"appY"	"arcA"	"blr"	"cls"	"cpsG"	"cpxR"	"cycA"	"envZ"	"fabF"	"flgB"	"flu"	"galF"	"gltA"	"gmhB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"ilvL"	"infB"	"infC"	"lacZ"	"lon"	"lrp"	"malT"	"menC"	"metH"	"metJ"	"mntH"	"mokC"	"mreB"	"mreC"	"mtlD"	"nadR"	"narZ"	"nudC"	"oppD"	"pbpC"	"pflB"	"phoH"	"phoR"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapA"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeI"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"ygjG"	"yhdG"	"yhdJ"	"yicL"	"yieO"	"yihP"	"yjcE"	"yjeB"	"yjiX"	"yjjY"	"ylcG"	"yoaE"	"yqeB"	"yqhH"
"flu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0887519781980058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0735224957027418	0	0	0	0
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0397177515087335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.195506004345875	0	0	0
"gltA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185078502129635	0	0	0
"gmhB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00759370401966318	0.135916071369598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.081816345908931	0	0	0	0
"hokB"	0	0	0	0	0	0	0	0	0.0757987404229459	0	0	0	0	0.144407559899855	0	0	0	0	0	0	0	0	0	0	0.00759370401966318	1	0.210806705138742	0	0	0.0688796858640214	0	0	0	-0.188009180558719	0	0	0	0	0	0	0	0	0.020291649468185	0	0.0143491196629252	-0.00922119959075633	0	0	0	0	0	0	0	0.0302229226615657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105410658448796	0	0	0	0	0.00655150561167021	0.0769370549296447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306003373037102	0.0669662520142757	0	0.0277449645677643	0	0	0.0909360922005706
"hokD"	0.102301214996998	-0.0870329576645176	0	0	-0.000330985030754846	0	0.0996741643840932	-0.0714465580872573	0.158046300445802	-0.000271640005529124	0	-0.0659255156054217	0	0.0116010805051116	0	-0.0793553510532817	0	0.0961371906732599	0	0	0	0.0887519781980058	0	0	0.135916071369598	0.210806705138742	1	0	0	0.154706544534125	0	0	0	-0.00288325361098011	0	-0.0185658477431002	0.0857456947618801	0	0	0	0	0	0.00982003044035963	-0.0580910035672163	0.0870376239083253	-0.118061240965696	0	0	0	0	-0.0609330188024976	0	-0.0571347959046111	0.136067809493674	0.0991053313178319	-0.0581861283532785	0	0	0.102221112500202	0	0	-0.0597110533390987	-0.000963576956692019	0	0	0	0	0	0.104071699624789	-0.000705394576695319	0	0	0.0910802512606215	-0.060662847292661	0	-0.0898656790753608	-0.0578571498038803	0	0	0	-0.0575838706207435	0	0.110622241343072	0.19391620150869	0	-0.0598619960566015	0	-0.079456005083333	0.135113142322283	0.157872370323251	0.121031498718721	0	0.109892356412805	0.0870469018957365	0.101188931514664	0.0860583169683297	0	0.0866928167927185	0	0.115803607578151	0	-0.0576195957039591	0	0	0	0.121211666791989	0	-0.0574280885935517	0.142722277367731	0	0	0.00353055775009462	0.0938019557288697	0	0.160223471160752
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0540825666104919	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0459897239029108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011156361075211	0	-0.194786074207616	0	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0	0	0.00797050319747117	0	0	0	0	0.000658289480517888	0	0	0	0	0	0	0	0	0	0	0	0.0688796858640214	0.154706544534125	0	0	1	0	0	0	-0.00810868751280759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100932210011468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0862608148300785	0	0	0	0.0319758636149041
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997621037721219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.116764886678022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190890776893409	0	-0.0237987332814602	0	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190723906961765	0	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00623105424913967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.069612429454956	0	0	0
"ilvL"	0	0	0	0.132209517210172	0	-0.115930997127078	0	0	-0.0124442699047087	0	0.128998785519103	0	0.0481579855774775	-0.0299699963022936	-0.115929086390675	0	0.13356893775235	0	0	-0.0465399981822066	0.14348980031325	0	0.0397177515087335	0	0	-0.188009180558719	-0.00288325361098011	-0.0459897239029108	0	-0.00810868751280759	-0.116764886678022	0	0.00623105424913967	1	-0.0891648921838857	0	0	0.126224253540367	0.136317440276198	0.0424325321764223	0	0.0847142589454968	-0.121705253766596	0	-0.126981305978249	0.0866309900134433	0	-0.115522168727452	0.0245249109552065	0	0	0	0	-0.0857418004869869	0	0	-0.120806215507061	0	0	0	0.129366348116924	0	0.0389348490152455	-0.115652491167996	0	0	0.127324317615512	-0.118332071338407	0	0.0390383329280243	0.128243094626127	0.0397469018806142	0	0	0.136300262950037	0.0388477481286228	0	-0.0900770340748441	0.0398803900059933	0.130665580630621	0	0.00611774987819154	0	-0.120293838622227	-0.116538293751049	0	-0.115525672024466	-0.000111752487543149	0	-0.0125750839606678	0	0	0	0	0	0	-0.115925364441074	0	0	0	0	0	0	0.132152218529101	0	0	0.129597816286126	0	0	-0.183035141415431	-0.123060648697629	-0.0195875444037134	0	0.128454512106788	-0.0199060660777506
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552649582359958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0891648921838857	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158276832505942	0	0	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0185658477431002	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143183824938936	0.177062582338598	0	0	0
"lacZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857456947618801	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0744647564177091	0	0	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0811326778591863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126224253540367	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0950913366449805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136317440276198	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00444750080640402	0	0	0	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0454036037063599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424325321764223	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0882235031635914	0.0943821271188001	0	0	0
"menC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196886502973759	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0818147689400659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0847142589454968	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00299440610216926	0	0.12988371870216	0	0	0
"metJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105628317551521	0	0	0	0	0	0	0	0	0	0	0	0.020291649468185	0.00982003044035963	0	0	0	0	0	0	-0.121705253766596	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0388216442958504	0	-0.0434263249626691	0	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0580910035672163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123315380525552	0	0	0	0
