"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"ybaL"	"ybbN"	"ybeB"	"ycdM"	"yceK"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"hslU"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	-0.02992720731153	-0.199974382066654	0	0.22988133849818	-0.0235257596668351	0	-0.0101310053272106	0	1	0	-0.0498858269178141	0	0	0	0	-0.0228475596286517	-0.195996784591037	-0.0293819023007184	0	-0.0160071660465932	0	-0.0316794919925591	0	0.139101574899607	0.0608030762236244	0.138816330557904	-0.0271315601737716	0.130010371712884	0	-0.0333250565790054	-0.154487261307717	0.108502572088408	0	0	0	0.0512731864216056	0	0	0	0	0.0388466584806342	0	-0.0251604914758336	0	-0.0388640616733708	-0.0327985446264449	-0.0625357799434637
"infB"	0.0858123681169499	0.0455468965137099	0	0	0	0	0	-0.0111578191362769	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0375370724744294	0	0	0	0	0	0.039876544979132	0	0	0	0	0	0	0	0.0978609428916679	0	0	0	0	0	0	0	0	0	-0.159957291878773
"infC"	0.0283471877049553	0.00354097558442885	0	0	0	0	-0.0323129458052702	0	-0.180564126195039	0	0	-0.0498858269178141	0	1	0	0	-0.10382289988032	0	0	0	0.00580261183071254	0	0	0	0	0	0	-0.0361011815015875	0	0	0	0	0	0	0	0	0	-0.0744773820919663	-0.0240095301927577	0.031491816818861	0	0	0	-0.0121146948959301	0	0	0	0	0	0.177484347906695
"malT"	0	0	0.0996761731104393	0	0	0	0	0	0.0370015969614388	0.217987839711579	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00570178614514224
"metH"	0	0	0	0	0	0	0	0	-0.000124131007320985	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292600410263401
"mokC"	-0.0479347362614791	-0.0414140174016405	0.0583007131672043	0	0	0	0	0	0.251228409293201	0.0723479826806882	0	0	0	-0.10382289988032	0	0	1	0	0	0	0	0	0	0	0	-0.0344076809344075	0	0.0563917224912224	0	0	0	-0.0368000058374744	0	-0.00797982502458619	0	0	0.00678736978756839	0.163192365278312	0.0511461574525296	-0.0474565274876479	0.0222606587876878	0	0	0.0465716168852357	0	0	-0.0351195712426598	0	0	-0.0214941201376643
"mreB"	0	0	-0.0893885418960877	0	0	0	0	0.151758384518408	-0.0822591373257478	-0.205946088524393	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.00263436147057823	0	0	0	0	0	0	0	0.100564394866381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478784050793416	-0.0192830910378357
"mreC"	0	0	0	0	0	0	0	0	-0.00921726532752982	0	0	-0.0228475596286517	0	0	0	0	0	0	1	0	0.0438516048915137	0	0.0307972501042049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392855446206827	0	0	0	0.28807081917458
"nadR"	0	0	0	0	0	0	0	0	0	0	0	-0.195996784591037	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0777388960704229
"oppD"	0	0	0	0	0	0	-0.00374223043332357	0	-0.0118294804728862	0	0	-0.0293819023007184	0	0.00580261183071254	0	0	0	0	0.0438516048915137	0	1	0	0.0375795449440858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0455989739284516	0	0	0	0.28337854007422
"phoH"	0	0	0.116898198485082	0	0	0	0	0	0.0849203267900034	0.214144682344001	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00326990477934513	0	0	0	0.0201112239010534	0	0	0	0	0	0	0	0	0.0170045261844563
"prlA"	0	0	0	0	0	0	0	0	-0.00563143629346344	0	0	-0.0160071660465932	0	0	0	0	0	0	0.0307972501042049	0	0.0375795449440858	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032756161171791	0	0	0	0.290545909730894
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0	0.116051028704101	0	0	0	0.199409429867913	0	-0.00450546020763609	0	-0.0316794919925591	0	0	0	0	0	0.00263436147057823	0	0	0	0	0	0	1	0	0	0	0	0.112615278073415	0	0	0.167347912294587	0	0	0.0511437948410748	0	0	0	0	0	0	0	0	0	0	0	0	0.119082349335013	0
"rbsB"	0.129900771277936	0.107739831579618	0	0	0	0	0	0	-0.0964114337042114	-0.0074135433356856	0	0	0.0375370724744294	0	0	0	-0.0344076809344075	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.102069047029901	0	0	0	0	0	-0.0130353723335909	0	0.134640602761785	0	0	0	0	0	0	0	0	0	0
"rbsD"	0	0	-0.0396292963729725	0	-0.0638640669601746	0	0.100666297953041	-0.0289101085587765	0	-0.0630848001397356	0	0.139101574899607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.153626957456099	0	0.150966735524835	0	-0.0221425174704849	0	0.144021734551722	0	0	0	0	0	-0.000326065781193515	0	0	0	0	0	0.0550577203457272	0	0	0
"rbsR"	0	0	0	0	0	0	0.00777532772951613	0	0.13631932689907	0	0	0.0608030762236244	0	-0.0361011815015875	0	0	0.0563917224912224	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0322860183000099	0.0135566438038393	0	0	0	0	0.00424946380070732	0	0	0	0	0	-0.159850405162484
"rplF"	0	0	-0.0395792371159011	0	-0.0628737823562665	0	0.10013078235585	-0.0287681092835972	0	-0.0632783180385323	0	0.138816330557904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153626957456099	0	1	0	0.150791572110136	0	-0.0218483793054633	0	0.14369436079659	0	0	0	0	0	-3.82926927604152e-05	0	0	0	0	0	0.0545771891234909	0	0	0
"rpsA"	0	0	0	0.110374555856487	0	0	0	0.201696180153422	0	-0.00201205467794695	0	-0.0271315601737716	0	0	0	0	0	0	0	0	0	0	0	0	0.112615278073415	0	0	0	0	1	0	0	0.167082413989585	0	0	0.0389230057368307	0	0	0	0	0	0	0	0	0	0	0	0	0.113769893050318	0
"rpsC"	0	0	-0.0363039630928367	0	-0.0329034133168113	0	0.0832816458592785	-0.0254956122993292	0	-0.0665428313666365	0	0.130010371712884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150966735524835	0	0.150791572110136	0	1	0	-0.0138390003872199	0	0.13384495277417	0	0	0	0	0	0	0	0	0	0	0	0.0404083379304136	0	0	0
"sapF"	0.131187983861509	0.1099801728579	0	0	0	0	0	0	-0.0968537449722211	-0.00699833929431432	0	0	0.039876544979132	0	0	0	-0.0368000058374744	0	0	0	0	0	0	0	0	0.102069047029901	0	0	0	0	0	1	0	0	0	0	0	-0.0160839694729254	0	0.135758313807716	0	0	0	0	0	0	0	0	0	0
"speG"	0	0	0	0.167427567797239	0.0831697610621724	0	-0.0105876666200919	0.144121432040806	0	-0.0142363264566677	0	-0.0333250565790054	0	0	0	0	0	0.100564394866381	0	0	0	0	0	0	0.167347912294587	0	-0.0221425174704849	0	-0.0218483793054633	0.167082413989585	-0.0138390003872199	0	1	0.0689236224720082	-0.000370233748730319	0.144868838939078	0	0	0	0	0	0	0	0	0	0	-0.0191283343766524	0	0.1672125643706	-0.0397999729106672
"spoT"	0	0	0	0	0	0	-0.0224334599654672	0.127655454291719	-0.206371697190454	0	0	-0.154487261307717	0	0	0	0	-0.00797982502458619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0689236224720082	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0440114678944839
"trkH"	0	0	-0.0262956694075917	0	0	0	0.0486392473576108	-0.0212985408704233	0	-0.0679912188594922	0	0.108502572088408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144021734551722	0	0.14369436079659	0	0.13384495277417	0	-0.000370233748730319	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00609526187729018	0	0	0
"ybaL"	0	0	0	0.0466124059957717	0	0	0	0.193884435148079	0.0704634010766564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0511437948410748	0	0	0	0	0.0389230057368307	0	0	0.144868838939078	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0534445494423191	-0.161664196552085
"ybbN"	0	0	0.119899912515238	0	0	0	0	0	0.0933136986116576	0.211475071511557	0	0	0	0	0	0	0.00678736978756839	0	0	0	0	0.00326990477934513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0300095208297178	0	0.00669191664756264	0	0	0	0	0	0	0.0196508854579466
"ybeB"	-0.0354064591075624	-0.0223324765383246	0.0485341695834536	0	0	0	0	0	0.272365805786747	0.0718401629253883	0	0	0	-0.0744773820919663	0	0	0.163192365278312	0	0	0	0	0	0	0	0	-0.0130353723335909	0	0.0322860183000099	0	0	0	-0.0160839694729254	0	0	0	0	0	1	0.0250167784552186	-0.0360642597982991	0.00234321310640762	0	0	0.0182257917737623	0	0	0	0	0	-0.0306245623763499
"ycdM"	0	0	0	0	0	0	0	0	0.140705673838065	0	0	0.0512731864216056	0	-0.0240095301927577	0	0	0.0511461574525296	0	0	0	0	0	0	0	0	0	0	0.0135566438038393	0	0	0	0	0	0	0	0	0	0.0250167784552186	1	0	0	0	0	0	0	0	0	0	0	-0.15912406061923
"yceK"	0.148808353401532	0.137974006849516	-0.00927268917817562	0	0	0	0	-0.00859013795124595	-0.0736342968632682	-0.0154973414618819	0	0	0.0978609428916679	0.031491816818861	0	0	-0.0474565274876479	0	0	0	0	0	0	0	0	0.134640602761785	0	0	0	0	0	0.135758313807716	0	0	0	0	0	-0.0360642597982991	0	1	0	0	0	0	0	0	0	0	0	0
"ycfC"	0	0	0.121586749468187	0	0	0.00998115560325686	0	0	0.100271368138492	0.203657089321244	0	0	0	0	0	0	0.0222606587876878	0	0	0	0	0.0201112239010534	0	0	0	0	-0.000326065781193515	0	-3.82926927604152e-05	0	0	0	0	0	0	0	0.0300095208297178	0.00234321310640762	0	0	1	0	0.0231171697207192	0	0	0	0	0	0	0.0227578344336206
"yeeR"	0	0	0.101742486009765	0	0	0	0	0	0.0418182458083584	0.21801631938271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00689904115306529
"yeeU"	0	0	0.11775789734883	0	0	0	0	0	0.0882956288739221	0.21315866218061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00669191664756264	0	0	0	0.0231171697207192	0	1	0	0	0	0	0	0	0.0176439672026064
"yfaQ"	0	0	0	0	0	0	0	0	0.146340456435723	0	0	0.0388466584806342	0	-0.0121146948959301	0	0	0.0465716168852357	0	0	0	0	0	0	0	0	0	0	0.00424946380070732	0	0	0	0	0	0	0	0	0	0.0182257917737623	0	0	0	0	0	1	0	0	0	0	0	-0.158452590198713
"yfcTU"	0	0	0.100731763986744	0	0	0	0	0	0.0394214174629782	0.218004742803075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.00632152923444278
"ygjD"	0	0	0	0	0	0	0	0	-0.0105014962088844	0	0	-0.0251604914758336	0	0	0	0	0	0	0.0392855446206827	0	0.0455989739284516	0	0.032756161171791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.28725295778116
"yhdG"	0	0	-0.0025403696735827	0	0	0	0	-0.0756513004854473	-0.190825875604056	-0.0702590927859014	0	0	0	0	0	0	-0.0351195712426598	0	0	0	0	0	0	0	0	0	0.0550577203457272	0	0.0545771891234909	0	0.0404083379304136	0	-0.0191283343766524	0	0.00609526187729018	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.100347741290648
"yieO"	0	0	0.0765708442008654	0	0	0	0	0	0	0.178453009502341	0	-0.0388640616733708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.248042875409009
"yihP"	0	0	0	0.117129101710152	0	0	0	0.198699264337882	0	-0.00431654565911038	0	-0.0327985446264449	0	0	0	0	0	0.00478784050793416	0	0	0	0	0	0	0.119082349335013	0	0	0	0	0.113769893050318	0	0	0.1672125643706	0	0	0.0534445494423191	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ylcG"	0	0	0.0327433762576522	0	0.0587466877345694	0.0145624337888775	-0.166220657646123	-0.0572775228696807	0	0.0467595386176683	0	-0.0625357799434637	-0.159957291878773	0.177484347906695	0.00570178614514224	0.292600410263401	-0.0214941201376643	-0.0192830910378357	0.28807081917458	0.0777388960704229	0.28337854007422	0.0170045261844563	0.290545909730894	0	0	0	0	-0.159850405162484	0	0	0	0	-0.0397999729106672	0.0440114678944839	0	-0.161664196552085	0.0196508854579466	-0.0306245623763499	-0.15912406061923	0	0.0227578344336206	0.00689904115306529	0.0176439672026064	-0.158452590198713	0.00632152923444278	0.28725295778116	0.100347741290648	0.248042875409009	0	1
