"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"spoT"	"trkH"	"ybaL"	"ybeB"	"yfaQ"	"yfcTU"	"yhdG"	"yieO"
"mreB"	0.0370134758135179	-0.0834082838042509	0	0	0	0.0122595156956094	-0.25249355161442	-0.133450481636901	0	0	0	0	-0.0956953314353471	1	0	0	0	0	0	0	0	0	0	0	0	0.0172965788080978	0	0	-0.121300208117889	0	0	0	0
"mreC"	0	0	0	0	-0.0564866200706015	0	0	0	0	-0.0896978809258808	0	0	0	0	1	0	0	0.328481627777052	0	0	0	0	0	0	0	0	0	-0.0117018280739791	0	0	0	0	0.177234085944856
"nadR"	0.0408995187727452	0	0	0	-0.157290675794541	0	0.111508458921675	0.0103064940068026	0	-0.222964883137812	0.0191713435567863	0	0	0	0	1	0	0	0	0	0.00372937432282187	0	-0.109653572483861	0	0	0	0	-0.151636036749211	0	-0.0723428346218255	0	0	0.0622392605508385
"phoH"	0	0.102419304967534	0	0.0499152752463075	0	0	0.192137130912879	0.125662600077426	0	0	0	0.029019846898678	0.107826384616261	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0141845851860285	0	0.0307350918349357	-0.00196554520806509	0
"prlA"	0	0	0	0	-0.052648040473625	0	0	0	0	-0.0867634494708149	0	0	0	0	0.328481627777052	0	0	1	0	0	0	0	0	0	0	0	0	-0.00584230793376609	0	0	0	0	0.173460345384342
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	0	0.184318711718271	0	0	0.217250677662648	-0.0542840865966722	-0.00726493705233686	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.0252385185402682	0	-0.0250960432611312	0.181770379536832	0.0912821177808873	-0.00944947106234389	0.13600482174851	0	0	0	-0.0122789234255026	0
"rbsB"	0.158901165962098	0	0	0	-0.0276064332342127	0	-0.0139437898477656	-0.000210864385358652	0	-0.0441983963336713	0.149905353539901	0	0	0	0	0.00372937432282187	0	0	0	0	1	0	-0.0993878535508908	0	0	0.0409013335971932	0	-0.053216244172064	-0.160409173839392	-0.0811429883251659	0	0.0828327365560736	0
"rbsD"	0	-0.0284576879941214	-0.0236630595896819	0	0.121343581211548	-0.0588100037437824	-0.0536192106854808	-0.043658087580511	0	0.132495702524114	0	0	-0.0328640205059463	0	0	0	0	0	0	-0.0252385185402682	0	1	0	0.187548603594227	-0.0209859993945975	0	0.178407853505041	0	0	0	0	0.116324504111727	-0.030996971446661
"rbsR"	-0.116364783004567	0	0	0	0.111557185260589	0	0	0	0	0.123675098092579	-0.105837563570771	0	0	0	0	-0.109653572483861	0	0	0	0	-0.0993878535508908	0	1	0	0	-0.00676103212196417	0	0.132005672184241	0.131028554349288	0.148790924895045	0	0	0
"rplF"	0	-0.0283630373164125	-0.0235117723083839	0	0.121121294498908	-0.0587872886950911	-0.0536165360760515	-0.0436086991053886	0	0.132336201681946	0	0	-0.0327799260740863	0	0	0	0	0	0	-0.0250960432611312	0	0.187548603594227	0	1	-0.020825914656833	0	0.178243061164764	0	0	0	0	0.116132639139647	-0.0307655134518744
"rpsA"	0	0	0.180010298489412	0	0	0.218262873624309	-0.0494279631098592	-0.000685847995699586	0	0	0	0	0	0	0	0	0	0	0	0.181770379536832	0	-0.0209859993945975	0	-0.020825914656833	1	0.0830033353017604	-0.00298968592032876	0.127539534648848	0	0	0	-0.00518857519966111	0
"spoT"	0.0808411782447297	-0.0115219225606259	0.08819050376724	0	-0.0861356802736597	0.148305679770968	-0.0850449997621791	-0.029684529064973	0	-0.0936044223566181	0.0564184690684882	0	-0.0158011227400796	0.0172965788080978	0	0	0	0	0	0.0912821177808873	0.0409013335971932	0	-0.00676103212196417	0	0.0830033353017604	1	0	0	-0.147189458951906	0	0	0	0
"trkH"	0	-0.0144936930063009	-0.00706452929925327	0	0.0957008554454032	-0.0576487875168703	-0.0524873491240507	-0.0359196747790776	0	0.114665195339083	0	0	-0.0206666568170714	0	0	0	0	0	0	-0.00944947106234389	0	0.178407853505041	0	0.178243061164764	-0.00298968592032876	0	1	0	0	0	0	0.0919029077756983	-0.00245361028401477
"ybaL"	-0.0750691297397743	0	0.132875390118499	0	0	0.202686070691198	-0.000368271912913087	0	0	0	-0.0629883399330672	0	0	0	-0.0117018280739791	-0.151636036749211	0	-0.00584230793376609	0	0.13600482174851	-0.053216244172064	0	0.132005672184241	0	0.127539534648848	0	0	1	0	0.110073344381691	0	-0.10969905141843	-0.0424373914277006
"ybeB"	-0.17670459556687	0.0572448133411754	0	0.00523610140280737	0.0103969064630778	0	0.0647374336493938	0.0619349910628142	0	0.0217796038868568	-0.168670403567128	0	0.0588363958860675	-0.121300208117889	0	0	0.0141845851860285	0	0	0	-0.160409173839392	0	0.131028554349288	0	0	-0.147189458951906	0	0	1	0.122761690955346	0	-0.119745003626886	0
"yfaQ"	-0.108985371282523	0	0	0	0.101124877369383	0	0	0	0	0.11875244871003	-0.09202926676185	0	0	0	0	-0.0723428346218255	0	0	0	0	-0.0811429883251659	0	0.148790924895045	0	0	0	0	0.110073344381691	0.122761690955346	1	0	0	0
"yfcTU"	0	0.0886357458213726	0	0.0199413071291458	0	0	0.194941139971249	0.117112262043928	0	0	0	0	0.0953516989282741	0	0	0	0.0307350918349357	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yhdG"	0.110713661749366	-0.060343590823734	-0.00968252529661539	0	0	-0.0701289463094414	-0.0886828469576281	-0.0799988227727815	0	0	0.0954529434149445	0	-0.0661197276242442	0	0	0	-0.00196554520806509	0	0	-0.0122789234255026	0.0828327365560736	0.116324504111727	0	0.116132639139647	-0.00518857519966111	0	0.0919029077756983	-0.10969905141843	-0.119745003626886	0	0	1	0
"yieO"	0	0.0387642080944307	0	0	-0.0893502157117888	-0.00289760246379511	0.1619512471412	0.0794244967451575	0	-0.123813132549502	0	0	0.0491776932880106	0	0.177234085944856	0.0622392605508385	0	0.173460345384342	0	0	0	-0.030996971446661	0	-0.0307655134518744	0	0	-0.00245361028401477	-0.0424373914277006	0	0	0	0	1
